Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Sex and Age","Median age (years)",39.2,(+/-0.3),39.9,(+/-0.4),40.6,(+/-0.6),38.9,(+/-0.8),39.1,(+/-0.6),48.4,(+/-0.9),41.9,(+/-0.6),48.6,(+/-0.3),37.8,(+/-0.9),35.3,(+/-0.7),45.9,(+/-0.7),47.2,(+/-0.5),50.7,(+/-0.7),40.1,(+/-0.8),37.3,(+/-0.7),43.7,(+/-0.8),55.4,(+/-0.6),40.9,(+/-0.6),53.8,(+/-0.7),39.6,(+/-1.0),48.5,(+/-0.7),46.5,(+/-0.9),44.2,(+/-1.4),38.8,(+/-0.8),41.7,(+/-1.1),44.1,(+/-0.7),42.3,(+/-1.0),41.0,(+/-0.8)
People,"Sex and Age","18 years and over","630,748","(+/-3,202)","643,286","(+/-3,350)","657,384","(+/-8,010)","627,776","(+/-9,869)","655,180","(+/-10,274)","675,737","(+/-11,813)","643,811","(+/-6,141)","674,833",(+/-849),"654,547","(+/-15,026)","627,403","(+/-16,459)","683,309","(+/-13,503)","690,714","(+/-6,578)","655,800","(+/-6,520)","640,499","(+/-15,489)","634,923","(+/-17,384)","678,054","(+/-13,808)","722,924","(+/-7,318)","674,742","(+/-9,354)","692,217","(+/-10,092)","629,513","(+/-13,516)","672,816","(+/-8,524)","631,401","(+/-11,258)","633,024","(+/-15,633)","596,027","(+/-13,502)","619,982","(+/-9,321)","661,870","(+/-12,569)","613,821","(+/-14,140)","609,369","(+/-13,252)"
People,"Sex and Age","65 years and over","143,126","(+/-1,750)","146,260","(+/-1,815)","174,081","(+/-3,713)","136,775","(+/-3,580)","145,231","(+/-4,275)","232,120","(+/-5,326)","162,145","(+/-3,416)","220,863","(+/-1,081)","119,958","(+/-4,698)","99,854","(+/-5,243)","222,145","(+/-6,162)","220,579","(+/-3,265)","213,653","(+/-3,597)","137,279","(+/-5,931)","138,411","(+/-6,118)","192,073","(+/-4,480)","302,315","(+/-3,676)","183,467","(+/-3,921)","272,177","(+/-5,801)","140,709","(+/-5,982)","228,159","(+/-4,642)","207,373","(+/-5,729)","176,170","(+/-7,439)","130,186","(+/-5,935)","135,722","(+/-6,324)","166,011","(+/-6,363)","140,154","(+/-6,639)","130,786","(+/-6,074)"
People,Race,"Total population","803,679","(+/-4,265)","799,012","(+/-4,592)","807,523","(+/-11,123)","811,996","(+/-14,828)","837,211","(+/-14,540)","821,498","(+/-16,070)","802,027","(+/-6,012)","817,216","(+/-1,980)","842,005","(+/-20,269)","784,303","(+/-20,232)","843,676","(+/-17,612)","843,806","(+/-8,875)","767,679","(+/-7,868)","784,928","(+/-20,740)","828,431","(+/-24,595)","850,603","(+/-18,973)","851,634","(+/-9,279)","853,391","(+/-15,411)","809,197","(+/-12,201)","803,297","(+/-17,214)","820,276","(+/-9,525)","773,713","(+/-14,492)","780,374","(+/-16,413)","772,726","(+/-17,019)","779,002","(+/-10,353)","809,482","(+/-15,020)","746,930","(+/-17,819)","765,111","(+/-17,620)"
People,Race,"One race","722,627","(+/-9,086)","730,679","(+/-6,915)","720,632","(+/-12,317)","738,026","(+/-15,853)","734,620","(+/-15,470)","727,796","(+/-15,278)","682,630","(+/-9,594)","725,958","(+/-8,273)","633,091","(+/-21,303)","629,386","(+/-18,253)","714,960","(+/-15,061)","740,526","(+/-10,619)","694,764","(+/-9,206)","605,878","(+/-17,289)","681,553","(+/-24,156)","709,106","(+/-17,848)","739,235","(+/-9,423)","713,297","(+/-14,873)","683,349","(+/-12,128)","653,571","(+/-16,923)","707,493","(+/-11,788)","644,137","(+/-14,778)","617,220","(+/-19,513)","585,833","(+/-16,321)","511,840","(+/-14,146)","401,093","(+/-12,857)","364,804","(+/-15,702)","427,803","(+/-18,003)"
People,Race,White,"567,726","(+/-6,767)","517,191","(+/-5,404)","545,716","(+/-7,626)","434,919","(+/-10,438)","558,712","(+/-12,300)","586,178","(+/-13,611)","508,779","(+/-10,213)","603,440","(+/-6,430)","306,803","(+/-14,183)","308,307","(+/-12,942)","530,571","(+/-12,613)","650,184","(+/-9,935)","580,303","(+/-8,658)","408,717","(+/-13,212)","423,515","(+/-17,052)","530,240","(+/-13,195)","653,129","(+/-8,856)","488,697","(+/-11,043)","568,123","(+/-11,397)","173,826","(+/-11,631)","542,434","(+/-11,382)","394,791","(+/-11,696)","434,054","(+/-13,746)","186,836","(+/-8,502)","286,522","(+/-12,668)","255,575","(+/-11,408)","232,902","(+/-12,571)","264,644","(+/-16,477)"
People,Race,"Black or African American","101,636","(+/-5,254)","173,250","(+/-4,384)","116,952","(+/-7,074)","245,490","(+/-11,266)","94,821","(+/-10,835)","94,636","(+/-9,527)","78,640","(+/-5,117)","76,214","(+/-5,505)","91,423","(+/-8,438)","201,934","(+/-14,123)","105,064","(+/-10,773)","35,468","(+/-4,929)","52,419","(+/-6,218)","123,122","(+/-10,422)","136,334","(+/-12,010)","92,471","(+/-8,883)","43,606","(+/-4,977)","107,104","(+/-7,586)","59,703","(+/-5,524)","402,735","(+/-16,368)","112,116","(+/-7,306)","130,646","(+/-11,049)","95,915","(+/-10,521)","309,602","(+/-11,751)","124,017","(+/-12,255)","43,579","(+/-4,765)","45,198","(+/-5,930)","68,092","(+/-8,450)"
People,Race,"American Indian and Alaska Native","5,839","(+/-2,135)","3,402","(+/-1,291)","3,249","(+/-1,418)","2,126","(+/-1,094)","1,385",(+/-763),"2,662","(+/-1,256)","1,416",(+/-712),"1,877",(+/-937),"3,959","(+/-2,566)","2,894","(+/-1,905)","1,790",(+/-869),"5,558","(+/-3,594)","3,404","(+/-1,628)","2,333","(+/-1,109)","3,894","(+/-2,284)","5,174","(+/-2,824)","2,996","(+/-1,750)","6,322","(+/-2,094)","12,504","(+/-5,248)","2,160","(+/-1,251)","2,611","(+/-1,439)","1,934",(+/-981),"2,038","(+/-1,004)","1,178",(+/-625),"1,650",(+/-881),"8,523","(+/-3,334)","2,671","(+/-1,077)","2,464","(+/-1,485)"
People,Race,Asian,"22,783","(+/-1,843)","17,106","(+/-1,951)","25,205","(+/-2,296)","23,080","(+/-3,760)","51,920","(+/-4,159)","12,320","(+/-2,518)","30,043","(+/-2,392)","19,061","(+/-1,889)","37,546","(+/-5,448)","37,003","(+/-4,774)","30,245","(+/-4,308)","17,881","(+/-2,598)","29,372","(+/-2,279)","29,549","(+/-4,076)","46,256","(+/-5,016)","28,592","(+/-4,412)","13,624","(+/-1,657)","15,685","(+/-2,022)","14,456","(+/-1,463)","18,445","(+/-4,597)","15,481","(+/-2,766)","22,048","(+/-4,148)","32,882","(+/-5,827)","12,013","(+/-2,818)","38,994","(+/-4,789)","9,519","(+/-2,352)","16,654","(+/-2,589)","12,110","(+/-2,979)"
People,Race,"Native Hawaiian and Other Pacific Islander",920,(+/-810),202,(+/-280),603,(+/-609),500,(+/-422),342,(+/-418),463,(+/-454),462,(+/-481),545,(+/-295),"1,448","(+/-1,122)",670,(+/-387),"1,467","(+/-1,694)",255,(+/-257),215,(+/-163),608,(+/-482),740,(+/-515),"1,260","(+/-1,058)","1,016",(+/-953),318,(+/-315),231,(+/-278),"1,376",(+/-714),289,(+/-318),214,(+/-356),152,(+/-289),554,(+/-516),368,(+/-449),465,(+/-470),0,(+/-243),158,(+/-260)
People,Race,"Some other race","23,723","(+/-4,488)","19,528","(+/-2,977)","28,907","(+/-5,736)","31,911","(+/-6,864)","27,440","(+/-5,972)","31,537","(+/-5,732)","63,290","(+/-8,115)","24,821","(+/-4,816)","191,912","(+/-17,284)","78,578","(+/-10,331)","45,823","(+/-6,492)","31,180","(+/-6,129)","29,051","(+/-4,670)","41,549","(+/-6,967)","70,814","(+/-10,809)","51,369","(+/-9,919)","24,864","(+/-4,995)","95,171","(+/-10,090)","28,332","(+/-5,315)","55,029","(+/-8,136)","34,562","(+/-5,761)","94,504","(+/-9,597)","52,179","(+/-8,701)","75,650","(+/-8,877)","60,289","(+/-9,435)","83,432","(+/-9,452)","67,379","(+/-7,278)","80,335","(+/-9,351)"
People,Race,"Two or more races","81,052","(+/-7,571)","68,333","(+/-5,539)","86,891","(+/-8,443)","73,970","(+/-6,886)","102,591","(+/-10,220)","93,702","(+/-9,756)","119,397","(+/-7,447)","91,258","(+/-8,332)","208,914","(+/-18,633)","154,917","(+/-12,073)","128,716","(+/-12,989)","103,280","(+/-8,434)","72,915","(+/-6,654)","179,050","(+/-14,118)","146,878","(+/-10,421)","141,497","(+/-14,080)","112,399","(+/-9,608)","140,094","(+/-11,410)","125,848","(+/-10,883)","149,726","(+/-11,274)","112,783","(+/-10,586)","129,576","(+/-10,192)","163,154","(+/-13,130)","186,893","(+/-13,556)","267,162","(+/-15,073)","408,389","(+/-14,166)","382,126","(+/-15,952)","337,308","(+/-16,252)"
People,"Hispanic or Latino and Race","Total population","803,679","(+/-4,265)","799,012","(+/-4,592)","807,523","(+/-11,123)","811,996","(+/-14,828)","837,211","(+/-14,540)","821,498","(+/-16,070)","802,027","(+/-6,012)","817,216","(+/-1,980)","842,005","(+/-20,269)","784,303","(+/-20,232)","843,676","(+/-17,612)","843,806","(+/-8,875)","767,679","(+/-7,868)","784,928","(+/-20,740)","828,431","(+/-24,595)","850,603","(+/-18,973)","851,634","(+/-9,279)","853,391","(+/-15,411)","809,197","(+/-12,201)","803,297","(+/-17,214)","820,276","(+/-9,525)","773,713","(+/-14,492)","780,374","(+/-16,413)","772,726","(+/-17,019)","779,002","(+/-10,353)","809,482","(+/-15,020)","746,930","(+/-17,819)","765,111","(+/-17,620)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","67,955",(+/-974),"61,941","(+/-1,370)","99,917","(+/-5,554)","85,495","(+/-6,878)","105,509","(+/-6,782)","118,027","(+/-9,546)","180,171","(+/-4,669)","104,736",(+/-395),"449,496","(+/-17,853)","238,594","(+/-15,470)","165,045","(+/-12,201)","133,784","(+/-5,787)","87,480","(+/-3,849)","216,215","(+/-13,298)","224,593","(+/-15,687)","197,573","(+/-12,820)","132,606","(+/-8,127)","262,042","(+/-9,222)","165,963","(+/-9,280)","199,417","(+/-12,439)","158,499","(+/-7,143)","217,400","(+/-9,400)","186,337","(+/-13,152)","303,078","(+/-14,801)","348,136","(+/-11,873)","585,342","(+/-13,792)","535,157","(+/-15,978)","566,254","(+/-16,095)"
People,"Hispanic or Latino and Race",Mexican,"25,433","(+/-3,788)","14,874","(+/-2,220)","19,932","(+/-4,438)","17,228","(+/-4,508)","13,669","(+/-2,875)","26,083","(+/-5,770)","13,187","(+/-2,697)","23,338","(+/-5,533)","15,851","(+/-4,299)","19,843","(+/-5,618)","28,459","(+/-6,989)","20,355","(+/-4,415)","19,171","(+/-4,146)","21,388","(+/-5,273)","60,606","(+/-9,914)","61,024","(+/-8,579)","23,131","(+/-4,658)","104,677","(+/-10,400)","31,517","(+/-6,998)","19,950","(+/-5,780)","28,098","(+/-4,518)","34,018","(+/-6,951)","17,424","(+/-5,625)","8,716","(+/-2,859)","16,667","(+/-5,060)","37,601","(+/-5,226)","13,005","(+/-2,846)","31,884","(+/-6,889)"
People,"Hispanic or Latino and Race","Puerto Rican","9,932","(+/-2,531)","13,164","(+/-3,001)","26,638","(+/-5,115)","29,898","(+/-5,630)","31,555","(+/-5,463)","45,852","(+/-7,456)","83,348","(+/-6,760)","35,851","(+/-6,404)","205,026","(+/-18,634)","93,662","(+/-11,928)","50,528","(+/-6,551)","50,257","(+/-6,130)","22,777","(+/-3,725)","43,977","(+/-5,969)","54,882","(+/-7,414)","50,536","(+/-10,980)","26,247","(+/-4,608)","80,549","(+/-9,844)","26,236","(+/-4,918)","27,948","(+/-6,031)","33,428","(+/-5,819)","26,630","(+/-5,023)","23,760","(+/-4,910)","18,234","(+/-4,143)","41,322","(+/-6,455)","23,527","(+/-5,303)","22,576","(+/-3,894)","29,723","(+/-5,330)"
People,"Hispanic or Latino and Race",Cuban,"5,501","(+/-2,025)","7,781","(+/-2,189)","15,197","(+/-2,945)","8,469","(+/-2,565)","18,865","(+/-5,338)","11,681","(+/-3,249)","17,605","(+/-3,772)","12,407","(+/-3,114)","25,598","(+/-5,864)","30,290","(+/-5,024)","16,060","(+/-4,374)","25,864","(+/-5,298)","13,863","(+/-3,942)","82,661","(+/-10,632)","37,083","(+/-6,011)","24,403","(+/-4,996)","35,834","(+/-6,361)","25,104","(+/-5,355)","50,636","(+/-6,981)","29,061","(+/-5,057)","25,442","(+/-5,171)","45,337","(+/-6,623)","22,881","(+/-3,847)","82,226","(+/-8,311)","84,212","(+/-8,715)","317,127","(+/-12,511)","273,586","(+/-14,002)","276,578","(+/-16,271)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","27,089","(+/-3,881)","26,122","(+/-3,498)","38,150","(+/-6,410)","29,900","(+/-4,929)","41,420","(+/-6,727)","34,411","(+/-5,646)","66,031","(+/-7,651)","33,140","(+/-4,758)","203,021","(+/-18,615)","94,799","(+/-11,005)","69,998","(+/-10,054)","37,308","(+/-5,917)","31,669","(+/-5,091)","68,189","(+/-9,481)","72,022","(+/-9,360)","61,610","(+/-9,376)","47,394","(+/-6,908)","51,712","(+/-8,034)","57,574","(+/-8,009)","122,458","(+/-11,255)","71,531","(+/-7,644)","111,415","(+/-9,432)","122,272","(+/-12,587)","193,902","(+/-12,215)","205,935","(+/-14,735)","207,087","(+/-10,778)","225,990","(+/-11,933)","228,069","(+/-13,799)"
