Housing,Value,"Median (dollars)","347,500","(+/-5,906)"
Housing,"Mortgage Status","Owner-occupied units","183,575","(+/-3,874)"
Housing,"Mortgage Status","Housing units with a mortgage","105,131","(+/-4,227)"
Housing,"Mortgage Status","Housing units without a mortgage","78,444","(+/-3,166)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","105,131","(+/-4,227)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",633,(+/-305)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","5,741","(+/-1,079)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","14,800","(+/-2,170)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","25,046","(+/-2,705)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","23,381","(+/-2,758)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","14,312","(+/-1,971)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","21,218","(+/-2,378)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,136",(+/-51)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","78,444","(+/-3,166)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","7,770","(+/-1,298)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","10,104","(+/-1,432)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","16,867","(+/-1,840)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","15,661","(+/-1,874)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","13,674","(+/-1,943)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","14,368","(+/-1,930)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",659,(+/-22)
Housing,"Gross Rent","Occupied units paying rent","84,451","(+/-4,053)"
Housing,"Gross Rent","Less than $500","4,780",(+/-995)
Housing,"Gross Rent","$500 to $999","14,018","(+/-1,643)"
Housing,"Gross Rent","$1,000 to $1,499","30,908","(+/-3,133)"
Housing,"Gross Rent","$1,500 to $1,999","20,306","(+/-2,389)"
Housing,"Gross Rent","$2,000 to $2,499","8,956","(+/-1,794)"
Housing,"Gross Rent","$2,500 to $2,999","2,823",(+/-913)
Housing,"Gross Rent","$3,000 or more","2,660",(+/-844)
Housing,"Gross Rent","Median (dollars)","1,373",(+/-37)
Housing,"Gross Rent","No rent paid","8,826","(+/-1,587)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","276,852","(+/-3,294)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","11,341","(+/-1,741)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","6,928","(+/-1,332)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","15,703","(+/-1,624)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","14,947","(+/-1,981)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","29,238","(+/-2,494)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","41,984","(+/-3,526)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","36,700","(+/-2,915)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","53,772","(+/-3,851)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","28,927","(+/-2,681)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","37,312","(+/-3,126)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","86,631","(+/-2,575)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","114,201","(+/-3,712)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","702,315","(+/-2,648)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","629,361","(+/-4,525)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","463,324","(+/-9,385)"
Socioeconomic,"Health Insurance Coverage","With public coverage","265,704","(+/-8,805)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","72,954","(+/-4,727)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","183,282","(+/-2,285)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","12,695","(+/-1,842)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.2,(+/-0.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.5,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.1,(+/-3.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.5,(+/-0.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.3,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.1,(+/-2.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",19.7,(+/-3.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",24.6,(+/-5.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",44.6,(+/-14.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.4,(+/-0.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.1,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.7,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.7,(+/-2.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.3,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.8,(+/-0.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.2,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.6,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",19.4,(+/-1.7)
Education,"School Enrollment","Population 3 years and over enrolled in school","171,455","(+/-4,907)"
Education,"School Enrollment","Nursery school, preschool","9,993","(+/-1,444)"
Education,"School Enrollment",Kindergarten,"8,773","(+/-1,477)"
Education,"School Enrollment","Elementary school (grades 1-8)","79,363","(+/-3,139)"
Education,"School Enrollment","High school (grades 9-12)","39,549","(+/-2,411)"
Education,"School Enrollment","College or graduate school","33,777","(+/-3,844)"
Education,"Educational Attainment","Population 25 years and over","493,892","(+/-2,853)"
Education,"Educational Attainment","Less than 9th grade","11,376","(+/-1,645)"
Education,"Educational Attainment","9th to 12th grade, no diploma","22,085","(+/-2,107)"
Education,"Educational Attainment","High school graduate (includes equivalency)","143,607","(+/-5,420)"
Education,"Educational Attainment","Some college, no degree","115,592","(+/-5,154)"
Education,"Educational Attainment","Associate's degree","42,025","(+/-3,040)"
Education,"Educational Attainment","Bachelor's degree","99,091","(+/-5,225)"
Education,"Educational Attainment","Graduate or professional degree","60,116","(+/-4,371)"
Education,"Educational Attainment","Percent high school graduate or higher",93.2,(+/-0.5)
Education,"Educational Attainment","Percent bachelor's degree or higher",32.2,(+/-1.3)


"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","257,462",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",675,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction","9,214",G
Business,"Paid employees for pay period including March 12",Utilities,"2,303",G
Business,"Paid employees for pay period including March 12",Construction,"16,309",G
Business,"Paid employees for pay period including March 12",Manufacturing,"10,824",G
Business,"Paid employees for pay period including March 12","Wholesale trade","8,169",G
Business,"Paid employees for pay period including March 12","Retail trade","33,767",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","20,143",G
Business,"Paid employees for pay period including March 12",Information,"7,054",G
Business,"Paid employees for pay period including March 12","Finance and insurance","7,329",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","4,731",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","19,943",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","4,730",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","19,560",G
Business,"Paid employees for pay period including March 12","Educational services","2,960",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","48,505",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","4,119",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","27,166",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","9,947",G
Business,"Paid employees for pay period including March 12","Industries not classified",14,G
Business,"Annual payroll ($1,000)","Total for all sectors","17,816,330",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","74,015",H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","1,250,693",G
Business,"Annual payroll ($1,000)",Utilities,"253,358",G
Business,"Annual payroll ($1,000)",Construction,"1,510,192",G
Business,"Annual payroll ($1,000)",Manufacturing,"795,535",H
Business,"Annual payroll ($1,000)","Wholesale trade","570,250",G
Business,"Annual payroll ($1,000)","Retail trade","1,334,474",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","1,874,448",G
Business,"Annual payroll ($1,000)",Information,"577,298",G
Business,"Annual payroll ($1,000)","Finance and insurance","637,379",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","274,134",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","1,723,654",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","705,590",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,158,279",G
Business,"Annual payroll ($1,000)","Educational services","106,406",G
Business,"Annual payroll ($1,000)","Health care and social assistance","3,437,816",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","138,944",G
Business,"Annual payroll ($1,000)","Accommodation and food services","942,516",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","449,994",G
Business,"Annual payroll ($1,000)","Industries not classified","1,355",H
Business,"Total Establishments","Total for all sectors","22,082",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",501,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",165,X
Business,"Total Establishments",Utilities,113,X
Business,"Total Establishments",Construction,"2,602",X
Business,"Total Establishments",Manufacturing,564,X
Business,"Total Establishments","Wholesale trade",706,X
Business,"Total Establishments","Retail trade","2,426",X
Business,"Total Establishments","Transportation and warehousing","1,235",X
Business,"Total Establishments",Information,429,X
Business,"Total Establishments","Finance and insurance",806,X
Business,"Total Establishments","Real estate and rental and leasing","1,140",X
Business,"Total Establishments","Professional, scientific, and technical services","1,973",X
Business,"Total Establishments","Management of companies and enterprises",172,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,262",X
Business,"Total Establishments","Educational services",304,X
Business,"Total Establishments","Health care and social assistance","2,841",X
Business,"Total Establishments","Arts, entertainment, and recreation",634,X
Business,"Total Establishments","Accommodation and food services","2,268",X
Business,"Total Establishments","Other services (except public administration)","1,912",X
Business,"Total Establishments","Industries not classified",29,X


"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
