Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Hispanic or Latino and Race",Mexican,"29,851","(+/-3,667)","24,196","(+/-4,046)","32,665","(+/-5,617)","40,612","(+/-4,977)","22,033","(+/-4,875)","38,319","(+/-5,201)","83,789","(+/-8,241)","35,430","(+/-3,534)","70,422","(+/-5,388)","33,970","(+/-4,401)","49,884","(+/-6,881)","28,419","(+/-2,719)","58,350","(+/-7,204)","62,982","(+/-7,868)"
People,"Hispanic or Latino and Race","Puerto Rican","14,068","(+/-2,719)","10,140","(+/-2,596)","8,221","(+/-2,567)","4,951","(+/-2,276)","6,202","(+/-1,992)","10,536","(+/-3,559)","15,657","(+/-3,731)","6,689","(+/-2,379)","8,295","(+/-2,443)","10,914","(+/-3,318)","10,817","(+/-2,727)","8,165","(+/-1,870)","4,971","(+/-1,718)","4,818","(+/-2,056)"
People,"Hispanic or Latino and Race",Cuban,"2,401","(+/-1,200)","2,342","(+/-1,486)","2,552","(+/-1,653)","2,818","(+/-1,397)","2,510","(+/-1,040)","4,721","(+/-1,526)","4,089","(+/-1,874)","2,256","(+/-1,160)","3,457","(+/-1,503)","3,713","(+/-1,729)","3,596","(+/-1,522)",972,(+/-689),"1,457",(+/-817),"3,096","(+/-1,251)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,552","(+/-3,120)","11,319","(+/-2,467)","14,963","(+/-3,472)","42,010","(+/-5,084)","23,791","(+/-4,936)","33,987","(+/-4,731)","91,184","(+/-8,322)","13,850","(+/-3,391)","48,863","(+/-7,352)","25,356","(+/-4,168)","40,929","(+/-6,640)","10,400","(+/-2,137)","27,881","(+/-5,843)","42,146","(+/-7,335)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","732,677","(+/-3,844)","709,222","(+/-8,510)","735,205","(+/-7,669)","674,115","(+/-10,761)","720,091","(+/-13,997)","709,929","(+/-10,437)","583,394","(+/-11,681)","720,045","(+/-7,555)","679,055","(+/-11,993)","760,025","(+/-9,912)","686,553","(+/-9,481)","731,942","(+/-4,072)","681,246","(+/-12,774)","683,151","(+/-7,688)"
People,"Place of Birth","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,506","(+/-10,655)","774,627","(+/-11,882)","797,492","(+/-9,651)","778,113","(+/-12,951)","778,270","(+/-7,756)","810,092","(+/-13,174)","833,978","(+/-9,499)","791,779","(+/-10,798)","779,898","(+/-4,033)","773,905","(+/-14,243)","796,193","(+/-7,923)"
People,"Place of Birth",Native,"750,526","(+/-5,469)","724,262","(+/-8,860)","745,731","(+/-9,304)","617,824","(+/-11,754)","700,114","(+/-14,453)","639,147","(+/-11,445)","530,804","(+/-14,012)","742,638","(+/-7,624)","692,043","(+/-12,136)","766,544","(+/-11,957)","696,138","(+/-10,904)","747,571","(+/-4,941)","677,052","(+/-13,253)","724,371","(+/-8,528)"
People,"Place of Birth","Born in United States","733,533","(+/-5,695)","716,416","(+/-8,842)","735,591","(+/-9,699)","607,868","(+/-11,954)","688,547","(+/-14,519)","625,408","(+/-11,227)","514,243","(+/-13,617)","732,639","(+/-7,847)","680,665","(+/-12,582)","757,398","(+/-12,137)","682,761","(+/-10,417)","736,921","(+/-4,549)","657,062","(+/-14,895)","714,949","(+/-7,727)"
People,"Place of Birth","State of residence","412,308","(+/-11,204)","510,228","(+/-11,049)","468,079","(+/-10,647)","346,023","(+/-12,047)","376,417","(+/-12,533)","297,283","(+/-10,140)","269,394","(+/-9,468)","535,606","(+/-10,626)","418,302","(+/-8,940)","504,274","(+/-11,910)","362,203","(+/-9,233)","513,979","(+/-9,544)","397,212","(+/-18,627)","433,291","(+/-9,415)"
People,"Place of Birth","Different state","321,225","(+/-11,360)","206,188","(+/-8,843)","267,512","(+/-8,727)","261,845","(+/-11,838)","312,130","(+/-12,378)","328,125","(+/-10,049)","244,849","(+/-11,825)","197,033","(+/-9,100)","262,363","(+/-11,544)","253,124","(+/-8,991)","320,558","(+/-10,486)","222,942","(+/-8,585)","259,850","(+/-11,689)","281,658","(+/-11,063)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,993","(+/-2,581)","7,846","(+/-1,425)","10,140","(+/-2,081)","9,956","(+/-2,239)","11,567","(+/-2,038)","13,739","(+/-2,491)","16,561","(+/-2,778)","9,999","(+/-2,212)","11,378","(+/-2,577)","9,146","(+/-2,131)","13,377","(+/-2,459)","10,650","(+/-2,378)","19,990","(+/-7,227)","9,422","(+/-2,393)"
People,"Place of Birth","Foreign born","49,023","(+/-4,220)","32,957","(+/-3,856)","47,875","(+/-5,494)","146,682","(+/-8,399)","74,513","(+/-7,194)","158,345","(+/-6,837)","247,309","(+/-10,892)","35,632","(+/-3,480)","118,049","(+/-7,705)","67,434","(+/-6,113)","95,641","(+/-7,631)","32,327","(+/-3,805)","96,853","(+/-8,152)","71,822","(+/-6,548)"
People,Ancestry,"Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,506","(+/-10,655)","774,627","(+/-11,882)","797,492","(+/-9,651)","778,113","(+/-12,951)","778,270","(+/-7,756)","810,092","(+/-13,174)","833,978","(+/-9,499)","791,779","(+/-10,798)","779,898","(+/-4,033)","773,905","(+/-14,243)","796,193","(+/-7,923)"
People,Ancestry,American,"60,330","(+/-7,864)","84,786","(+/-7,279)","98,611","(+/-10,923)","32,925","(+/-5,083)","27,089","(+/-3,866)","47,167","(+/-4,829)","29,228","(+/-4,293)","85,766","(+/-6,886)","64,676","(+/-5,668)","78,840","(+/-7,614)","45,900","(+/-5,245)","68,611","(+/-5,960)","81,438","(+/-13,416)","84,036","(+/-7,002)"
People,Ancestry,Arab,"3,581","(+/-1,840)","2,248","(+/-1,483)","1,987","(+/-1,491)","5,627","(+/-2,901)","3,573","(+/-1,242)","5,338","(+/-1,790)","9,515","(+/-4,086)","2,103","(+/-1,022)","2,932","(+/-1,582)","2,086",(+/-924),"1,863","(+/-1,138)","1,211",(+/-821),900,(+/-667),917,(+/-650)
People,Ancestry,Czech,986,(+/-632),79,(+/-103),804,(+/-547),841,(+/-502),"1,137",(+/-405),"1,451",(+/-857),"1,783",(+/-831),476,(+/-388),"1,163",(+/-834),883,(+/-402),"2,010",(+/-834),620,(+/-499),543,(+/-422),523,(+/-397)
People,Ancestry,Danish,968,(+/-574),484,(+/-463),541,(+/-359),661,(+/-364),"1,050",(+/-591),"2,218","(+/-1,183)","1,107",(+/-632),455,(+/-303),"1,359",(+/-681),"1,033",(+/-461),"2,556","(+/-1,132)",728,(+/-610),500,(+/-444),586,(+/-483)
People,Ancestry,Dutch,"4,438","(+/-1,757)","1,942",(+/-856),"2,629",(+/-838),"1,813",(+/-647),"5,472","(+/-1,848)","6,940","(+/-1,959)","3,056",(+/-921),"2,321","(+/-1,103)","5,602","(+/-1,735)","2,813",(+/-903),"5,449","(+/-1,376)","1,382",(+/-675),602,(+/-329),"4,293","(+/-1,596)"
People,Ancestry,English,"77,781","(+/-6,867)","48,920","(+/-4,471)","99,259","(+/-8,552)","42,834","(+/-5,159)","68,760","(+/-5,891)","108,313","(+/-7,727)","47,975","(+/-4,515)","80,310","(+/-6,871)","94,970","(+/-6,618)","96,690","(+/-8,363)","113,240","(+/-8,067)","71,600","(+/-6,122)","30,304","(+/-4,589)","128,093","(+/-8,710)"
People,Ancestry,"French (except Basque)","9,520","(+/-2,026)","4,875","(+/-1,326)","8,762","(+/-2,393)","4,547","(+/-1,461)","13,750","(+/-3,239)","12,364","(+/-2,215)","5,756","(+/-1,572)","6,160","(+/-1,939)","10,217","(+/-2,360)","8,527","(+/-1,892)","12,992","(+/-2,824)","7,183","(+/-2,262)","2,065","(+/-1,060)","6,249","(+/-1,551)"
People,Ancestry,"French Canadian","1,888",(+/-723),899,(+/-461),"1,515",(+/-572),"1,553",(+/-799),"1,850",(+/-874),"2,311","(+/-1,033)",732,(+/-452),"1,216",(+/-644),"2,826","(+/-1,053)","1,778",(+/-870),"2,386",(+/-767),"1,013",(+/-550),638,(+/-514),927,(+/-480)
People,Ancestry,German,"65,955","(+/-5,024)","29,841","(+/-4,039)","56,009","(+/-5,646)","28,143","(+/-3,286)","46,298","(+/-3,900)","75,721","(+/-5,959)","33,256","(+/-4,051)","33,229","(+/-3,977)","54,848","(+/-4,756)","59,601","(+/-5,436)","71,933","(+/-5,504)","46,939","(+/-5,100)","15,398","(+/-2,860)","50,444","(+/-5,423)"
People,Ancestry,Greek,"1,960","(+/-1,064)",878,(+/-594),935,(+/-662),"2,378","(+/-1,024)","1,290",(+/-568),"2,372",(+/-859),558,(+/-482),"1,146",(+/-543),"1,792","(+/-1,142)","1,564","(+/-1,015)","1,260",(+/-641),444,(+/-293),57,(+/-94),"2,597","(+/-1,474)"
People,Ancestry,Hungarian,"1,269",(+/-677),556,(+/-540),"1,206",(+/-763),"1,335",(+/-724),"1,753",(+/-654),"2,018",(+/-671),"1,049",(+/-499),"1,056",(+/-549),"1,256",(+/-547),964,(+/-487),"1,175",(+/-640),"1,140",(+/-735),386,(+/-421),"1,053","(+/-1,249)"
People,Ancestry,Irish,"73,584","(+/-6,570)","39,141","(+/-4,600)","61,412","(+/-5,871)","30,290","(+/-3,435)","44,720","(+/-4,106)","68,911","(+/-5,146)","30,670","(+/-4,062)","51,595","(+/-6,148)","62,574","(+/-5,153)","59,767","(+/-4,584)","65,444","(+/-5,794)","50,885","(+/-6,255)","16,621","(+/-2,854)","69,565","(+/-6,270)"
People,Ancestry,Italian,"26,804","(+/-3,899)","10,027","(+/-2,044)","18,508","(+/-3,098)","9,818","(+/-1,865)","23,153","(+/-3,469)","31,748","(+/-4,012)","14,817","(+/-2,387)","9,722","(+/-1,819)","17,500","(+/-2,996)","18,186","(+/-2,901)","37,993","(+/-5,050)","11,454","(+/-2,426)","5,836","(+/-1,127)","13,034","(+/-2,706)"
People,Ancestry,Lithuanian,611,(+/-448),347,(+/-474),746,(+/-609),748,(+/-469),"1,324",(+/-714),"2,041",(+/-630),849,(+/-584),572,(+/-696),592,(+/-350),488,(+/-408),"1,111",(+/-730),539,(+/-553),133,(+/-227),209,(+/-195)
People,Ancestry,Norwegian,"3,196","(+/-1,278)",886,(+/-388),"4,196","(+/-1,500)","2,816","(+/-1,204)","4,208","(+/-1,910)","5,205","(+/-1,484)","2,642",(+/-942),"2,163","(+/-1,280)","4,961","(+/-1,296)","3,777","(+/-1,739)","4,851","(+/-1,296)","2,360","(+/-1,187)",635,(+/-474),"3,161","(+/-1,523)"
People,Ancestry,Polish,"9,082","(+/-2,156)","3,645","(+/-1,014)","7,302","(+/-1,621)","6,851","(+/-1,440)","9,309","(+/-1,477)","14,496","(+/-2,164)","7,285","(+/-1,587)","5,084","(+/-1,356)","8,962","(+/-2,183)","6,502","(+/-1,471)","14,517","(+/-2,872)","4,043","(+/-1,910)","2,499","(+/-1,366)","5,541","(+/-2,452)"
People,Ancestry,Portuguese,"3,439","(+/-1,773)",390,(+/-311),"1,169",(+/-668),"1,229",(+/-819),"1,969","(+/-1,299)","4,144","(+/-1,400)",480,(+/-424),"1,018",(+/-758),"1,902","(+/-1,169)","1,260","(+/-1,021)","2,037",(+/-993),321,(+/-282),554,(+/-457),398,(+/-294)
People,Ancestry,Russian,"2,131","(+/-1,095)",745,(+/-542),"1,625",(+/-982),"2,632","(+/-1,114)","4,361","(+/-1,595)","7,815","(+/-1,914)","2,881",(+/-967),668,(+/-430),766,(+/-386),"2,768","(+/-1,191)","4,800","(+/-2,324)",822,(+/-532),369,(+/-371),997,(+/-542)
People,Ancestry,Scotch-Irish,"7,808","(+/-1,718)","3,457",(+/-930),"8,109","(+/-1,786)","4,456","(+/-1,095)","6,303","(+/-1,519)","8,365","(+/-1,713)","5,155","(+/-1,176)","8,189","(+/-2,102)","9,591","(+/-1,676)","8,862","(+/-2,347)","10,306","(+/-2,572)","7,968","(+/-1,882)","3,633","(+/-1,383)","7,178","(+/-1,651)"
People,Ancestry,Scottish,"14,177","(+/-2,687)","7,496","(+/-1,648)","14,576","(+/-2,725)","8,105","(+/-1,746)","12,395","(+/-1,891)","18,929","(+/-2,593)","9,786","(+/-1,911)","14,412","(+/-2,459)","18,031","(+/-2,411)","18,808","(+/-2,518)","17,274","(+/-2,547)","11,066","(+/-2,607)","4,747","(+/-1,385)","16,494","(+/-2,970)"
People,Ancestry,Slovak,779,(+/-559),60,(+/-108),336,(+/-395),174,(+/-146),471,(+/-391),"1,230",(+/-594),393,(+/-296),126,(+/-144),949,(+/-567),383,(+/-399),"1,601",(+/-703),410,(+/-297),314,(+/-315),242,(+/-193)
People,Ancestry,"Subsaharan African","10,144","(+/-2,241)","12,327","(+/-3,824)","10,276","(+/-3,511)","38,161","(+/-6,424)","22,594","(+/-4,502)","12,108","(+/-4,056)","39,070","(+/-6,802)","6,697","(+/-2,263)","7,600","(+/-3,104)","14,656","(+/-4,821)","14,370","(+/-3,295)","8,049","(+/-2,855)","37,453","(+/-8,392)","9,397","(+/-3,733)"
People,Ancestry,Swedish,"3,648","(+/-1,192)",492,(+/-366),"3,565","(+/-1,319)","2,750",(+/-885),"4,263","(+/-1,164)","7,374","(+/-1,989)","1,590",(+/-618),"1,446",(+/-736),"4,112","(+/-1,244)","1,845",(+/-640),"3,772","(+/-1,070)",931,(+/-449),"1,353",(+/-928),"1,868",(+/-904)
People,Ancestry,Swiss,"1,006",(+/-524),350,(+/-352),619,(+/-327),941,(+/-565),"1,051",(+/-540),890,(+/-436),650,(+/-353),247,(+/-335),578,(+/-359),622,(+/-323),929,(+/-514),292,(+/-299),250,(+/-198),538,(+/-416)
People,Ancestry,Ukrainian,"1,508","(+/-1,272)",473,(+/-597),"1,116",(+/-811),"1,631",(+/-979),"2,060","(+/-1,148)","4,290","(+/-1,442)","1,117",(+/-699),389,(+/-392),"1,015",(+/-597),"2,797","(+/-2,101)","1,426",(+/-566),600,(+/-569),470,(+/-434),666,(+/-586)
People,Ancestry,Welsh,"3,742","(+/-1,885)","2,745","(+/-1,063)","3,010","(+/-1,211)","1,953",(+/-853),"3,416","(+/-2,009)","3,473",(+/-888),"2,387","(+/-1,048)","2,432",(+/-991),"7,236","(+/-2,258)","3,414","(+/-1,682)","3,665","(+/-1,235)","1,779",(+/-770),"1,064",(+/-462),"3,641","(+/-1,814)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","5,141","(+/-1,971)","7,576","(+/-4,097)","5,634","(+/-2,109)","28,393","(+/-6,279)","14,576","(+/-2,959)","8,260","(+/-2,739)","19,581","(+/-6,454)","2,755","(+/-1,492)","7,344","(+/-2,389)","12,595","(+/-3,424)","10,273","(+/-2,699)","4,034","(+/-2,129)","24,084","(+/-4,994)","4,542","(+/-2,164)"
