Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","739,954","(+/-3,974)","733,754","(+/-7,972)","779,881","(+/-8,677)","749,045","(+/-7,805)","771,838","(+/-16,684)","744,483","(+/-16,411)","756,762","(+/-15,828)","745,852","(+/-9,424)","763,507","(+/-5,146)","739,860","(+/-10,673)","698,726","(+/-8,537)","729,037","(+/-5,505)","768,433","(+/-14,256)","721,942","(+/-8,268)","717,179","(+/-11,072)","745,440","(+/-14,764)","739,056","(+/-12,688)","730,076","(+/-17,400)","717,454","(+/-16,936)","784,189","(+/-15,684)","742,492","(+/-14,497)","750,162","(+/-12,581)","745,399","(+/-12,491)","747,756","(+/-6,322)","764,680","(+/-8,204)","733,402","(+/-8,543)","727,303","(+/-10,891)","742,126","(+/-13,095)","715,749","(+/-22,329)","741,045","(+/-14,037)","712,661","(+/-11,562)","756,702","(+/-18,302)","758,980","(+/-13,446)","703,869","(+/-21,671)","740,776","(+/-12,502)","738,411","(+/-15,825)","732,173","(+/-19,739)","720,589","(+/-13,065)","763,567","(+/-7,753)","753,322","(+/-11,004)","803,987","(+/-12,783)","706,931","(+/-14,819)","713,736","(+/-19,318)","731,885","(+/-16,846)","733,927","(+/-10,335)","740,252","(+/-9,117)","752,036","(+/-4,396)","727,914","(+/-15,393)","719,949","(+/-9,127)","756,520","(+/-18,950)","725,338","(+/-15,722)","715,417","(+/-15,998)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","122,982","(+/-5,737)","102,620","(+/-5,683)","97,380","(+/-6,437)","103,836","(+/-5,648)","108,941","(+/-6,309)","102,124","(+/-6,593)","95,730","(+/-5,433)","95,130","(+/-5,756)","102,118","(+/-5,750)","77,666","(+/-5,590)","86,403","(+/-5,164)","93,881","(+/-5,252)","97,208","(+/-6,207)","71,712","(+/-5,007)","74,498","(+/-5,225)","69,812","(+/-5,789)","58,664","(+/-4,713)","64,113","(+/-4,241)","80,216","(+/-3,901)","105,619","(+/-5,245)","105,809","(+/-6,313)","89,917","(+/-5,847)","114,026","(+/-6,846)","89,456","(+/-5,448)","109,975","(+/-6,133)","84,644","(+/-4,654)","89,027","(+/-5,655)","73,214","(+/-4,378)","85,496","(+/-5,656)","87,323","(+/-6,640)","81,321","(+/-5,275)","72,189","(+/-5,375)","84,386","(+/-4,679)","91,565","(+/-5,857)","73,001","(+/-5,283)","65,660","(+/-4,020)","95,599","(+/-5,672)","73,986","(+/-4,443)","85,108","(+/-5,900)","72,515","(+/-5,109)","105,102","(+/-6,805)","83,174","(+/-5,042)","98,349","(+/-5,820)","83,150","(+/-4,722)","77,205","(+/-4,587)","70,183","(+/-5,220)","69,247","(+/-4,824)","82,911","(+/-5,250)","68,071","(+/-4,624)","72,160","(+/-5,146)","85,750","(+/-5,272)","89,567","(+/-5,431)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","170,461","(+/-1,998)","142,888","(+/-4,084)","160,141","(+/-4,704)","148,316","(+/-4,908)","169,104","(+/-8,453)","170,123","(+/-7,892)","169,866","(+/-8,244)","158,105","(+/-5,196)","198,504","(+/-3,464)","164,966","(+/-5,461)","89,604","(+/-3,673)","124,343","(+/-4,671)","224,434","(+/-7,687)","158,525","(+/-5,441)","135,082","(+/-4,738)","163,351","(+/-7,640)","134,267","(+/-7,176)","183,569","(+/-7,440)","133,022","(+/-8,344)","213,010","(+/-8,453)","214,329","(+/-8,182)","232,621","(+/-6,983)","191,648","(+/-8,688)","149,935","(+/-4,408)","195,702","(+/-6,909)","163,958","(+/-5,204)","184,414","(+/-9,460)","142,599","(+/-8,067)","154,635","(+/-9,007)","107,161","(+/-5,935)","152,404","(+/-8,126)","140,307","(+/-9,516)","206,679","(+/-8,377)","132,159","(+/-9,261)","179,103","(+/-7,323)","127,533","(+/-9,292)","150,918","(+/-9,750)","153,374","(+/-9,520)","188,988","(+/-7,564)","158,979","(+/-7,290)","177,980","(+/-8,521)","143,658","(+/-7,616)","160,296","(+/-9,359)","163,577","(+/-10,279)","155,333","(+/-7,085)","157,050","(+/-7,825)","149,084","(+/-7,400)","172,928","(+/-8,718)","153,296","(+/-6,619)","132,791","(+/-7,410)","149,955","(+/-7,884)","175,711","(+/-8,207)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,652","(+/-1,886)","4,859","(+/-1,315)","6,314","(+/-1,632)","9,026","(+/-1,770)","8,725","(+/-2,168)","6,521","(+/-1,462)","10,049","(+/-2,216)","7,222","(+/-1,734)","9,427","(+/-2,004)","5,413","(+/-1,472)","2,129",(+/-993),"4,825","(+/-1,018)","11,687","(+/-2,409)","4,312","(+/-1,369)","5,710","(+/-1,816)","7,867","(+/-1,569)","5,095","(+/-1,291)","6,227","(+/-1,402)","3,616","(+/-1,012)","12,132","(+/-2,602)","15,092","(+/-2,780)","9,054","(+/-1,885)","9,767","(+/-2,308)","4,830","(+/-1,275)","11,374","(+/-1,888)","5,164","(+/-1,538)","10,933","(+/-2,799)","4,956","(+/-1,442)","8,551","(+/-1,738)","3,353","(+/-1,115)","5,450","(+/-1,757)","3,755","(+/-1,260)","8,345","(+/-1,500)","4,931","(+/-1,308)","6,513","(+/-1,557)","4,523","(+/-1,273)","7,936","(+/-1,777)","2,943",(+/-917),"8,666","(+/-1,805)","3,666","(+/-1,097)","9,272","(+/-2,092)","7,121","(+/-1,607)","8,833","(+/-1,989)","7,035","(+/-1,732)","5,337","(+/-1,339)","4,321","(+/-1,215)","4,463","(+/-1,207)","8,191","(+/-2,062)","4,924","(+/-1,207)","4,796","(+/-1,374)","4,898","(+/-1,175)","7,340","(+/-1,627)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","428,985","(+/-3,176)","418,619","(+/-5,769)","442,487","(+/-6,545)","451,067","(+/-6,484)","438,226","(+/-10,628)","458,466","(+/-10,657)","471,636","(+/-9,864)","465,830","(+/-6,973)","460,407","(+/-4,106)","441,168","(+/-8,368)","482,238","(+/-5,948)","485,418","(+/-7,073)","457,638","(+/-9,192)","447,021","(+/-8,294)","450,671","(+/-7,852)","455,354","(+/-10,578)","501,642","(+/-9,238)","454,809","(+/-12,211)","437,143","(+/-10,387)","455,408","(+/-11,246)","441,913","(+/-9,885)","442,800","(+/-8,809)","438,209","(+/-9,732)","452,075","(+/-5,023)","435,874","(+/-8,059)","437,808","(+/-6,078)","441,337","(+/-8,532)","452,564","(+/-11,992)","473,490","(+/-14,578)","508,666","(+/-11,686)","442,378","(+/-11,669)","475,404","(+/-13,497)","467,969","(+/-11,119)","472,855","(+/-14,927)","479,667","(+/-9,945)","470,705","(+/-11,021)","492,987","(+/-13,699)","444,009","(+/-10,578)","490,870","(+/-9,265)","453,659","(+/-9,982)","470,712","(+/-10,772)","469,931","(+/-11,294)","456,771","(+/-14,132)","464,601","(+/-12,182)","444,909","(+/-9,144)","491,947","(+/-8,477)","479,514","(+/-6,805)","424,206","(+/-11,469)","427,554","(+/-8,680)","510,715","(+/-13,860)","463,202","(+/-12,856)","436,861","(+/-12,355)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","61,387","(+/-4,401)","46,961","(+/-4,045)","42,435","(+/-3,885)","47,907","(+/-3,867)","47,082","(+/-4,926)","53,014","(+/-5,560)","41,366","(+/-3,805)","47,172","(+/-4,478)","50,901","(+/-4,513)","33,816","(+/-4,111)","41,415","(+/-3,500)","52,733","(+/-4,225)","49,886","(+/-4,119)","30,013","(+/-3,389)","29,216","(+/-3,512)","25,970","(+/-3,307)","24,032","(+/-3,149)","29,455","(+/-2,938)","34,487","(+/-2,956)","52,733","(+/-4,192)","55,866","(+/-5,018)","49,923","(+/-4,341)","57,797","(+/-4,866)","39,541","(+/-3,825)","43,381","(+/-3,996)","37,541","(+/-3,608)","42,191","(+/-4,349)","29,324","(+/-2,657)","42,810","(+/-4,042)","36,874","(+/-4,441)","35,030","(+/-4,113)","29,286","(+/-3,100)","45,425","(+/-3,479)","45,795","(+/-4,146)","38,541","(+/-3,903)","25,306","(+/-2,690)","53,660","(+/-4,357)","34,070","(+/-2,677)","45,431","(+/-4,112)","28,324","(+/-3,234)","42,511","(+/-3,909)","44,375","(+/-3,653)","52,102","(+/-4,439)","40,462","(+/-3,272)","31,061","(+/-3,091)","34,494","(+/-4,147)","27,748","(+/-3,276)","36,300","(+/-3,288)","27,635","(+/-3,521)","37,021","(+/-3,638)","42,813","(+/-3,941)","45,953","(+/-3,861)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,508","(+/-1,781)","172,247","(+/-3,329)","177,253","(+/-3,695)","149,662","(+/-4,114)","164,508","(+/-4,612)","115,894","(+/-3,984)","115,260","(+/-3,796)","121,917","(+/-4,592)","104,596","(+/-1,721)","133,726","(+/-4,068)","126,884","(+/-2,569)","119,276","(+/-5,003)","86,361","(+/-3,373)","116,396","(+/-4,976)","131,426","(+/-2,947)","126,735","(+/-6,002)","103,147","(+/-5,335)","91,698","(+/-4,062)","147,289","(+/-4,464)","115,771","(+/-4,350)","86,250","(+/-3,964)","74,741","(+/-4,449)","115,542","(+/-4,913)","145,746","(+/-3,460)","133,104","(+/-6,060)","131,636","(+/-3,757)","101,552","(+/-5,568)","146,963","(+/-5,837)","87,624","(+/-5,365)","125,218","(+/-6,365)","117,879","(+/-5,796)","140,991","(+/-6,647)","84,332","(+/-4,785)","98,855","(+/-5,376)","82,006","(+/-5,244)","140,173","(+/-6,502)","88,268","(+/-5,781)","123,206","(+/-6,038)","83,709","(+/-4,801)","140,684","(+/-5,644)","155,295","(+/-6,461)","93,342","(+/-5,593)","96,669","(+/-5,571)","103,707","(+/-5,192)","133,685","(+/-6,277)","91,255","(+/-5,138)","123,438","(+/-6,110)","130,780","(+/-6,434)","139,099","(+/-5,891)","113,014","(+/-4,777)","112,181","(+/-5,382)","102,845","(+/-4,658)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","50,943","(+/-2,947)","50,800","(+/-3,257)","48,631","(+/-3,774)","46,903","(+/-3,534)","53,134","(+/-3,335)","42,589","(+/-3,107)","44,315","(+/-2,833)","40,736","(+/-2,800)","41,790","(+/-2,811)","38,437","(+/-3,223)","42,859","(+/-3,296)","36,323","(+/-2,899)","35,635","(+/-2,894)","37,387","(+/-3,234)","39,572","(+/-3,101)","35,975","(+/-3,594)","29,537","(+/-2,986)","28,431","(+/-2,994)","42,113","(+/-2,910)","40,754","(+/-2,565)","34,851","(+/-3,024)","30,940","(+/-2,554)","46,462","(+/-3,361)","45,085","(+/-3,121)","55,220","(+/-4,045)","41,939","(+/-2,823)","35,903","(+/-3,122)","38,934","(+/-3,238)","34,135","(+/-2,851)","47,096","(+/-4,251)","40,841","(+/-2,940)","39,148","(+/-3,565)","30,616","(+/-3,155)","40,839","(+/-4,501)","27,947","(+/-3,009)","35,831","(+/-3,016)","34,003","(+/-3,227)","36,973","(+/-3,200)","31,011","(+/-2,801)","40,525","(+/-3,461)","53,319","(+/-4,206)","31,678","(+/-2,910)","37,414","(+/-3,430)","35,653","(+/-2,999)","40,807","(+/-3,397)","31,368","(+/-2,792)","37,036","(+/-3,370)","38,420","(+/-3,439)","35,512","(+/-2,692)","30,343","(+/-2,803)","38,039","(+/-3,400)","36,274","(+/-2,563)"
People,"Residence 1 Year Ago","Population 1 year and over","746,215","(+/-3,801)","737,859","(+/-7,766)","780,923","(+/-8,557)","752,055","(+/-7,836)","774,754","(+/-16,579)","738,632","(+/-16,180)","755,449","(+/-15,447)","742,051","(+/-9,321)","762,140","(+/-5,166)","739,712","(+/-9,510)","695,375","(+/-8,436)","726,673","(+/-5,028)","775,123","(+/-14,042)","717,784","(+/-8,349)","714,006","(+/-11,105)","740,040","(+/-14,781)","736,301","(+/-12,644)","735,225","(+/-17,181)","719,621","(+/-16,838)","784,829","(+/-15,469)","741,485","(+/-14,252)","764,004","(+/-12,942)","760,832","(+/-12,613)","755,396","(+/-6,534)","769,562","(+/-7,852)","732,347","(+/-8,546)","728,667","(+/-10,956)","740,359","(+/-12,886)","712,457","(+/-21,881)","739,435","(+/-13,872)","709,141","(+/-11,355)","752,052","(+/-18,199)","754,263","(+/-13,540)","708,967","(+/-21,557)","739,977","(+/-12,697)","735,513","(+/-15,565)","728,489","(+/-19,471)","716,557","(+/-13,227)","758,233","(+/-8,026)","747,622","(+/-10,907)","803,861","(+/-12,865)","705,160","(+/-15,024)","709,424","(+/-19,243)","729,718","(+/-16,538)","731,068","(+/-10,187)","739,245","(+/-9,088)","745,109","(+/-5,315)","730,507","(+/-15,229)","743,625","(+/-9,470)","773,180","(+/-19,110)","738,656","(+/-15,786)","732,489","(+/-15,774)"
People,"Residence 1 Year Ago","Same house","650,110","(+/-9,510)","652,345","(+/-10,861)","689,194","(+/-10,326)","646,208","(+/-13,619)","702,869","(+/-16,804)","659,037","(+/-16,113)","680,600","(+/-16,130)","672,270","(+/-12,234)","684,608","(+/-10,335)","666,361","(+/-12,329)","577,189","(+/-11,391)","625,260","(+/-9,212)","697,494","(+/-15,704)","645,393","(+/-10,887)","638,613","(+/-12,043)","650,435","(+/-15,264)","616,464","(+/-13,985)","656,367","(+/-17,270)","631,392","(+/-17,101)","699,133","(+/-17,388)","676,822","(+/-16,009)","708,168","(+/-14,862)","674,696","(+/-14,076)","642,285","(+/-9,764)","702,147","(+/-12,685)","665,920","(+/-12,402)","665,744","(+/-12,191)","683,528","(+/-12,967)","666,597","(+/-21,707)","644,286","(+/-13,984)","656,497","(+/-10,942)","675,378","(+/-18,194)","698,453","(+/-13,745)","633,265","(+/-20,863)","673,480","(+/-13,414)","629,266","(+/-15,901)","656,757","(+/-20,411)","669,207","(+/-13,946)","694,581","(+/-10,066)","685,013","(+/-12,724)","722,006","(+/-14,958)","645,070","(+/-15,682)","664,214","(+/-19,458)","675,756","(+/-15,473)","666,431","(+/-12,349)","672,731","(+/-9,875)","640,803","(+/-9,778)","664,337","(+/-14,562)","649,807","(+/-11,850)","650,485","(+/-18,441)","634,701","(+/-16,367)","665,563","(+/-17,104)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","96,105","(+/-8,614)","85,514","(+/-8,526)","91,729","(+/-8,749)","105,847","(+/-9,485)","71,885","(+/-6,656)","79,595","(+/-9,028)","74,849","(+/-8,177)","69,781","(+/-8,412)","77,532","(+/-9,118)","73,351","(+/-7,854)","118,186","(+/-9,052)","101,413","(+/-7,613)","77,629","(+/-7,316)","72,391","(+/-8,283)","75,393","(+/-5,906)","89,605","(+/-6,885)","119,837","(+/-9,669)","78,858","(+/-10,162)","88,229","(+/-7,880)","85,696","(+/-9,044)","64,663","(+/-7,384)","55,836","(+/-7,934)","86,136","(+/-10,653)","113,111","(+/-7,577)","67,415","(+/-9,881)","66,427","(+/-8,397)","62,923","(+/-9,955)","56,831","(+/-5,487)","45,860","(+/-6,803)","95,149","(+/-8,040)","52,644","(+/-6,352)","76,674","(+/-8,207)","55,810","(+/-7,376)","75,702","(+/-6,610)","66,497","(+/-8,330)","106,247","(+/-7,999)","71,732","(+/-7,627)","47,350","(+/-6,318)","63,652","(+/-7,046)","62,609","(+/-6,769)","81,855","(+/-9,160)","60,090","(+/-7,202)","45,210","(+/-5,138)","53,962","(+/-7,194)","64,637","(+/-7,789)","66,514","(+/-8,324)","104,306","(+/-9,080)","66,170","(+/-10,060)","93,818","(+/-10,112)","122,695","(+/-8,666)","103,955","(+/-8,578)","66,926","(+/-7,615)"
People,"Residence 1 Year Ago","Different house in the U.S.","93,088","(+/-8,466)","81,292","(+/-8,352)","85,893","(+/-8,537)","100,188","(+/-9,063)","69,808","(+/-6,729)","65,721","(+/-7,589)","70,165","(+/-8,048)","66,273","(+/-8,159)","71,617","(+/-8,957)","67,906","(+/-8,043)","110,825","(+/-9,028)","90,982","(+/-7,504)","70,996","(+/-6,872)","58,737","(+/-6,828)","67,000","(+/-5,589)","76,059","(+/-6,646)","103,211","(+/-9,475)","70,309","(+/-8,855)","82,746","(+/-7,926)","83,615","(+/-8,865)","62,170","(+/-7,291)","52,491","(+/-7,667)","83,934","(+/-10,547)","108,636","(+/-7,350)","62,328","(+/-9,050)","63,168","(+/-8,113)","59,659","(+/-9,815)","49,946","(+/-5,234)","39,525","(+/-6,068)","83,871","(+/-6,801)","48,510","(+/-6,129)","68,693","(+/-7,905)","53,560","(+/-7,149)","68,351","(+/-5,645)","60,528","(+/-8,056)","98,594","(+/-7,822)","64,732","(+/-6,908)","44,242","(+/-6,032)","60,377","(+/-7,064)","56,985","(+/-6,486)","78,288","(+/-9,010)","55,592","(+/-7,073)","39,296","(+/-4,592)","51,831","(+/-7,078)","60,783","(+/-7,389)","59,524","(+/-7,996)","96,138","(+/-9,142)","63,389","(+/-9,922)","86,973","(+/-9,927)","114,780","(+/-8,214)","97,960","(+/-8,320)","59,814","(+/-6,691)"
People,"Residence 1 Year Ago","Same county","48,975","(+/-6,567)","43,471","(+/-6,322)","41,493","(+/-6,865)","53,342","(+/-6,672)","38,959","(+/-5,627)","43,825","(+/-6,474)","37,595","(+/-5,071)","33,818","(+/-5,416)","37,548","(+/-6,585)","34,272","(+/-5,836)","63,431","(+/-7,603)","51,315","(+/-5,902)","43,533","(+/-6,316)","36,551","(+/-6,331)","32,722","(+/-4,292)","44,972","(+/-6,079)","66,304","(+/-7,861)","50,841","(+/-8,410)","46,905","(+/-7,086)","48,300","(+/-7,059)","43,705","(+/-6,486)","35,442","(+/-6,505)","51,889","(+/-8,564)","60,459","(+/-6,798)","40,531","(+/-7,144)","35,316","(+/-5,517)","51,069","(+/-9,665)","35,266","(+/-4,679)","33,030","(+/-5,732)","61,191","(+/-6,763)","36,919","(+/-5,178)","55,269","(+/-6,969)","36,400","(+/-6,432)","50,284","(+/-4,795)","31,089","(+/-5,155)","63,589","(+/-6,698)","46,195","(+/-6,215)","31,642","(+/-5,788)","33,863","(+/-5,725)","34,778","(+/-5,385)","41,964","(+/-6,849)","39,862","(+/-5,940)","32,565","(+/-4,278)","41,223","(+/-6,600)","44,572","(+/-7,024)","41,388","(+/-6,834)","63,841","(+/-8,156)","45,389","(+/-8,661)","46,824","(+/-7,490)","66,111","(+/-6,128)","66,785","(+/-7,615)","44,244","(+/-6,171)"
People,"Residence 1 Year Ago","Different county","44,113","(+/-5,682)","37,821","(+/-5,117)","44,400","(+/-5,924)","46,846","(+/-5,633)","30,849","(+/-4,061)","21,896","(+/-3,184)","32,570","(+/-6,142)","32,455","(+/-6,156)","34,069","(+/-6,308)","33,634","(+/-5,026)","47,394","(+/-4,776)","39,667","(+/-4,690)","27,463","(+/-4,732)","22,186","(+/-3,921)","34,278","(+/-4,139)","31,087","(+/-3,465)","36,907","(+/-5,241)","19,468","(+/-2,202)","35,841","(+/-4,091)","35,315","(+/-5,948)","18,465","(+/-3,801)","17,049","(+/-3,035)","32,045","(+/-5,627)","48,177","(+/-5,289)","21,797","(+/-4,475)","27,852","(+/-5,721)","8,590","(+/-1,958)","14,680","(+/-2,444)","6,495","(+/-1,714)","22,680","(+/-3,789)","11,591","(+/-2,729)","13,424","(+/-2,509)","17,160","(+/-3,419)","18,067","(+/-2,944)","29,439","(+/-6,048)","35,005","(+/-5,395)","18,537","(+/-2,685)","12,600","(+/-2,683)","26,514","(+/-4,678)","22,207","(+/-5,001)","36,324","(+/-6,004)","15,730","(+/-3,063)","6,731","(+/-1,674)","10,608","(+/-3,216)","16,211","(+/-3,534)","18,136","(+/-3,445)","32,297","(+/-4,799)","18,000","(+/-3,692)","40,149","(+/-6,952)","48,669","(+/-5,076)","31,175","(+/-4,721)","15,570","(+/-3,202)"
People,"Residence 1 Year Ago","Same state","35,529","(+/-4,689)","29,358","(+/-4,719)","33,223","(+/-5,322)","38,986","(+/-4,966)","26,182","(+/-3,809)","18,168","(+/-3,094)","24,324","(+/-4,696)","26,812","(+/-5,162)","30,415","(+/-6,107)","24,887","(+/-4,270)","34,469","(+/-4,383)","30,857","(+/-4,022)","24,409","(+/-4,251)","15,414","(+/-3,454)","25,195","(+/-3,140)","21,196","(+/-2,839)","22,233","(+/-3,845)","15,720","(+/-2,176)","25,414","(+/-4,055)","26,938","(+/-5,767)","15,515","(+/-3,379)","15,049","(+/-2,875)","19,465","(+/-4,400)","35,222","(+/-4,101)","16,960","(+/-4,311)","21,258","(+/-5,492)","4,163","(+/-1,257)","9,831","(+/-2,136)","2,824",(+/-976),"7,553","(+/-2,081)","7,364","(+/-2,172)","7,074","(+/-1,678)","14,618","(+/-3,290)","8,391","(+/-1,941)","25,411","(+/-5,245)","13,418","(+/-2,373)","8,693","(+/-1,673)","10,515","(+/-2,682)","22,830","(+/-4,568)","13,764","(+/-2,972)","29,052","(+/-5,424)","11,578","(+/-2,386)","4,274","(+/-1,354)","7,049","(+/-2,213)","11,951","(+/-3,035)","13,827","(+/-2,900)","22,154","(+/-4,152)","10,092","(+/-2,522)","14,532","(+/-2,888)","20,492","(+/-3,041)","14,546","(+/-2,739)","8,964","(+/-2,386)"
People,"Residence 1 Year Ago","Different state","8,584","(+/-2,544)","8,463","(+/-2,120)","11,177","(+/-2,888)","7,860","(+/-2,415)","4,667","(+/-1,718)","3,728","(+/-1,418)","8,246","(+/-3,157)","5,643","(+/-3,062)","3,654","(+/-1,394)","8,747","(+/-2,426)","12,925","(+/-2,082)","8,810","(+/-1,938)","3,054","(+/-2,055)","6,772","(+/-1,617)","9,083","(+/-2,346)","9,891","(+/-2,138)","14,674","(+/-3,677)","3,748","(+/-1,092)","10,427","(+/-2,520)","8,377","(+/-2,238)","2,950","(+/-1,359)","2,000","(+/-1,205)","12,580","(+/-4,242)","12,955","(+/-3,351)","4,837","(+/-1,574)","6,594","(+/-1,718)","4,427","(+/-1,455)","4,849","(+/-1,280)","3,671","(+/-1,159)","15,127","(+/-2,983)","4,227","(+/-1,989)","6,350","(+/-1,807)","2,542",(+/-962),"9,676","(+/-2,496)","4,028","(+/-1,596)","21,587","(+/-4,618)","9,844","(+/-2,002)","2,085",(+/-810),"3,684","(+/-1,462)","8,443","(+/-3,335)","7,272","(+/-1,772)","4,152","(+/-1,434)","2,457","(+/-1,030)","3,559","(+/-1,953)","4,260","(+/-1,751)","4,309","(+/-1,587)","10,143","(+/-2,706)","7,908","(+/-2,534)","25,617","(+/-6,215)","28,177","(+/-3,889)","16,629","(+/-3,117)","6,606","(+/-1,859)"
People,"Residence 1 Year Ago",Abroad,"3,017","(+/-1,454)","4,222","(+/-1,461)","5,836","(+/-1,996)","5,659","(+/-2,242)","2,077","(+/-1,156)","13,874","(+/-4,792)","4,684","(+/-1,425)","3,508","(+/-1,476)","5,915","(+/-1,848)","5,445","(+/-1,552)","7,361","(+/-1,622)","10,431","(+/-2,448)","6,633","(+/-2,438)","13,654","(+/-3,839)","8,393","(+/-2,389)","13,546","(+/-2,615)","16,626","(+/-2,810)","8,549","(+/-4,393)","5,483","(+/-1,974)","2,081","(+/-1,151)","2,493","(+/-1,237)","3,345","(+/-1,660)","2,202","(+/-1,837)","4,475","(+/-1,663)","5,087","(+/-2,076)","3,259","(+/-1,331)","3,264","(+/-1,345)","6,885","(+/-1,794)","6,335","(+/-2,237)","11,278","(+/-3,686)","4,134","(+/-1,301)","7,981","(+/-3,655)","2,250","(+/-1,073)","7,351","(+/-2,795)","5,969","(+/-2,247)","7,653","(+/-1,838)","7,000","(+/-2,186)","3,108",(+/-980),"3,275","(+/-1,453)","5,624","(+/-2,086)","3,567","(+/-1,194)","4,498","(+/-1,333)","5,914","(+/-2,533)","2,131",(+/-753),"3,854","(+/-1,401)","6,990","(+/-2,785)","8,168","(+/-2,179)","2,781","(+/-1,034)","6,845","(+/-2,757)","7,915","(+/-1,726)","5,995","(+/-1,834)","7,112","(+/-3,631)"
Workers,"Employment Status","Population 16 years and over","606,974","(+/-3,362)","619,564","(+/-6,183)","646,932","(+/-7,119)","632,737","(+/-6,935)","636,013","(+/-12,627)","595,984","(+/-11,816)","613,946","(+/-11,637)","614,191","(+/-8,717)","597,827","(+/-4,616)","602,381","(+/-8,426)","623,012","(+/-6,690)","624,015","(+/-6,004)","588,819","(+/-10,719)","586,905","(+/-7,775)","604,353","(+/-8,496)","606,927","(+/-12,113)","626,251","(+/-10,464)","582,940","(+/-12,949)","611,950","(+/-12,425)","607,669","(+/-12,719)","561,263","(+/-10,563)","573,221","(+/-10,283)","596,670","(+/-10,966)","629,880","(+/-5,440)","608,713","(+/-8,466)","596,650","(+/-6,417)","576,144","(+/-10,493)","623,251","(+/-10,951)","582,650","(+/-17,597)","649,666","(+/-12,428)","584,395","(+/-11,111)","635,280","(+/-15,246)","583,996","(+/-13,123)","599,192","(+/-16,086)","591,390","(+/-11,186)","631,860","(+/-11,974)","604,539","(+/-15,461)","589,031","(+/-11,606)","603,385","(+/-10,220)","617,152","(+/-10,716)","655,671","(+/-11,956)","589,110","(+/-13,138)","573,136","(+/-15,828)","593,714","(+/-13,783)","601,127","(+/-9,951)","608,559","(+/-8,573)","623,727","(+/-7,046)","588,314","(+/-11,205)","617,871","(+/-9,612)","664,449","(+/-16,187)","614,629","(+/-13,682)","586,315","(+/-13,520)"
