Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years","77,715","(+/-2,183)","91,629","(+/-2,463)","83,956","(+/-3,606)","78,026","(+/-2,058)","76,755","(+/-3,702)","96,534","(+/-2,853)","77,167","(+/-1,447)","84,080","(+/-1,472)"
People,"Sex and Age","55 to 59 years","41,937","(+/-2,966)","46,193","(+/-2,606)","46,574","(+/-3,230)","40,068","(+/-2,920)","32,427","(+/-3,210)","43,837","(+/-2,726)","42,370","(+/-1,890)","45,092","(+/-2,295)"
People,"Sex and Age","60 to 64 years","46,829","(+/-2,278)","47,093","(+/-2,685)","53,280","(+/-3,507)","43,530","(+/-2,777)","37,048","(+/-3,422)","48,462","(+/-3,132)","52,779","(+/-1,862)","57,817","(+/-2,219)"
People,"Sex and Age","65 to 74 years","81,232","(+/-1,308)","68,777","(+/-1,663)","79,642","(+/-3,923)","69,422","(+/-1,672)","56,647","(+/-3,697)","65,864","(+/-2,050)","87,590","(+/-1,313)","97,287","(+/-1,285)"
People,"Sex and Age","75 to 84 years","42,599","(+/-1,762)","33,149","(+/-2,089)","36,937","(+/-2,184)","35,428","(+/-1,783)","29,732","(+/-2,751)","33,945","(+/-1,684)","47,305","(+/-1,456)","46,542","(+/-1,550)"
People,"Sex and Age","85 years and over","17,181","(+/-1,812)","12,441","(+/-1,745)","15,488","(+/-1,876)","12,421","(+/-1,669)","10,942","(+/-1,726)","8,662","(+/-1,088)","19,646","(+/-1,164)","17,049","(+/-1,305)"
People,"Sex and Age","Median age (years)",39.6,(+/-0.4),38.4,(+/-0.4),41.2,(+/-0.7),37.4,(+/-0.4),35.1,(+/-0.4),37.8,(+/-0.4),41.6,(+/-0.3),43.2,(+/-0.3)
People,"Sex and Age","18 years and over","555,271","(+/-1,625)","556,761","(+/-3,182)","537,130","(+/-7,005)","539,350","(+/-3,251)","565,283","(+/-6,886)","557,843","(+/-4,128)","551,447","(+/-2,968)","579,855","(+/-3,106)"
People,"Sex and Age","65 years and over","141,012","(+/-1,409)","114,367","(+/-2,082)","132,067","(+/-4,720)","117,271","(+/-1,847)","97,321","(+/-4,525)","108,471","(+/-2,533)","154,541","(+/-1,621)","160,878","(+/-1,709)"
People,Race,"Total population","713,000","(+/-1,694)","733,289","(+/-3,556)","699,786","(+/-7,383)","699,739","(+/-4,392)","702,050","(+/-7,171)","747,036","(+/-6,029)","715,239","(+/-3,763)","727,776","(+/-3,865)"
People,Race,"One race","668,526","(+/-4,024)","678,048","(+/-6,079)","650,402","(+/-8,153)","645,399","(+/-6,819)","627,931","(+/-7,362)","699,354","(+/-7,516)","672,941","(+/-4,714)","687,140","(+/-5,039)"
People,Race,White,"590,545","(+/-3,280)","550,310","(+/-5,470)","494,677","(+/-9,893)","444,756","(+/-5,873)","437,170","(+/-10,337)","614,139","(+/-5,928)","632,487","(+/-4,511)","635,118","(+/-4,539)"
People,Race,"Black or African American","28,149","(+/-2,377)","55,413","(+/-4,368)","72,035","(+/-10,682)","75,599","(+/-3,688)","118,780","(+/-10,236)","44,513","(+/-4,827)","8,433","(+/-1,217)","10,005","(+/-1,889)"
People,Race,"American Indian and Alaska Native","3,859","(+/-1,349)","3,622","(+/-1,223)","3,542","(+/-1,640)","4,015","(+/-1,298)","5,290","(+/-1,897)","2,553",(+/-846),"5,379",(+/-982),"25,271","(+/-1,516)"
People,Race,Asian,"22,055","(+/-1,548)","40,015","(+/-2,613)","61,853","(+/-4,913)","95,555","(+/-3,016)","37,569","(+/-4,059)","24,463","(+/-3,131)","8,407","(+/-2,135)","8,505","(+/-1,583)"
People,Race,"Native Hawaiian and Other Pacific Islander",160,(+/-287),143,(+/-135),63,(+/-102),431,(+/-440),298,(+/-410),258,(+/-291),"1,977","(+/-1,353)",347,(+/-211)
People,Race,"Some other race","23,758","(+/-3,363)","28,545","(+/-5,244)","18,232","(+/-4,283)","25,043","(+/-3,911)","28,824","(+/-5,564)","13,428","(+/-3,398)","16,258","(+/-2,244)","7,894","(+/-1,818)"
People,Race,"Two or more races","44,474","(+/-3,557)","55,241","(+/-5,600)","49,384","(+/-6,295)","54,340","(+/-4,682)","74,119","(+/-7,230)","47,682","(+/-6,087)","42,298","(+/-2,840)","40,636","(+/-2,698)"
People,"Hispanic or Latino and Race","Total population","713,000","(+/-1,694)","733,289","(+/-3,556)","699,786","(+/-7,383)","699,739","(+/-4,392)","702,050","(+/-7,171)","747,036","(+/-6,029)","715,239","(+/-3,763)","727,776","(+/-3,865)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","53,206","(+/-1,629)","60,756","(+/-2,366)","37,768","(+/-6,339)","53,251","(+/-1,693)","72,666","(+/-6,756)","33,602","(+/-2,780)","39,870","(+/-1,281)","15,848","(+/-1,141)"
People,"Hispanic or Latino and Race",Mexican,"35,656","(+/-2,945)","40,480","(+/-3,930)","21,903","(+/-5,470)","34,078","(+/-3,676)","46,154","(+/-6,190)","21,345","(+/-2,924)","25,345","(+/-2,348)","10,036","(+/-1,466)"
People,"Hispanic or Latino and Race","Puerto Rican","1,595",(+/-711),"5,103","(+/-2,324)","2,520","(+/-1,217)","1,894",(+/-844),"1,890",(+/-834),"1,789","(+/-1,018)","2,204",(+/-821),"1,009",(+/-598)
People,"Hispanic or Latino and Race",Cuban,498,(+/-404),0,(+/-157),508,(+/-410),"1,013",(+/-717),987,(+/-526),638,(+/-493),332,(+/-243),513,(+/-414)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,457","(+/-3,167)","15,173","(+/-2,767)","12,837","(+/-2,845)","16,266","(+/-3,596)","23,635","(+/-5,084)","9,830","(+/-2,515)","11,989","(+/-2,074)","4,290","(+/-1,098)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","659,794","(+/-1,994)","672,533","(+/-4,252)","662,018","(+/-7,911)","646,488","(+/-4,734)","629,384","(+/-8,055)","713,434","(+/-6,180)","675,369","(+/-3,683)","711,928","(+/-4,007)"
People,"Place of Birth","Total population","713,000","(+/-1,694)","733,289","(+/-3,556)","699,786","(+/-7,383)","699,739","(+/-4,392)","702,050","(+/-7,171)","747,036","(+/-6,029)","715,239","(+/-3,763)","727,776","(+/-3,865)"
People,"Place of Birth",Native,"664,435","(+/-4,345)","667,446","(+/-5,685)","606,246","(+/-8,773)","603,916","(+/-6,665)","608,288","(+/-9,136)","692,108","(+/-6,430)","688,978","(+/-4,261)","711,146","(+/-4,015)"
People,"Place of Birth","Born in United States","657,832","(+/-4,229)","661,252","(+/-5,833)","599,668","(+/-8,709)","597,937","(+/-6,428)","598,494","(+/-9,347)","687,012","(+/-6,585)","683,846","(+/-4,393)","707,591","(+/-4,143)"
People,"Place of Birth","State of residence","484,635","(+/-6,359)","484,709","(+/-6,708)","438,292","(+/-9,596)","432,415","(+/-8,544)","387,838","(+/-9,742)","557,969","(+/-8,212)","515,372","(+/-5,802)","569,957","(+/-7,598)"
People,"Place of Birth","Different state","173,197","(+/-6,189)","176,543","(+/-6,350)","161,376","(+/-6,930)","165,522","(+/-6,253)","210,656","(+/-8,294)","129,043","(+/-5,918)","168,474","(+/-4,604)","137,634","(+/-5,521)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,603","(+/-1,088)","6,194","(+/-1,658)","6,578","(+/-1,319)","5,979","(+/-1,419)","9,794","(+/-2,476)","5,096","(+/-1,442)","5,132","(+/-1,200)","3,555",(+/-729)
People,"Place of Birth","Foreign born","48,565","(+/-3,896)","65,843","(+/-5,033)","93,540","(+/-7,015)","95,823","(+/-5,484)","93,762","(+/-8,064)","54,928","(+/-4,807)","26,261","(+/-2,323)","16,630","(+/-2,174)"
People,Ancestry,"Total population","713,000","(+/-1,694)","733,289","(+/-3,556)","699,786","(+/-7,383)","699,739","(+/-4,392)","702,050","(+/-7,171)","747,036","(+/-6,029)","715,239","(+/-3,763)","727,776","(+/-3,865)"
People,Ancestry,American,"32,089","(+/-3,835)","21,410","(+/-2,726)","21,741","(+/-3,231)","19,225","(+/-3,958)","12,706","(+/-2,665)","32,054","(+/-4,755)","27,238","(+/-2,569)","37,657","(+/-4,026)"
People,Ancestry,Arab,"2,193","(+/-1,225)","4,359","(+/-1,760)","3,221","(+/-1,591)","4,254","(+/-2,132)","3,524","(+/-1,312)","4,456","(+/-2,408)","1,182",(+/-739),"1,130",(+/-661)
People,Ancestry,Czech,"11,127","(+/-2,508)","14,723","(+/-2,320)","8,754","(+/-1,918)","5,463","(+/-1,439)","7,938","(+/-1,928)","6,773","(+/-1,939)","8,837","(+/-1,164)","9,405","(+/-1,401)"
People,Ancestry,Danish,"7,808","(+/-1,244)","8,444","(+/-2,739)","7,432","(+/-2,044)","6,409","(+/-1,338)","8,204","(+/-1,967)","7,634","(+/-1,474)","8,179","(+/-1,090)","6,787","(+/-1,119)"
People,Ancestry,Dutch,"12,504","(+/-1,687)","7,398","(+/-1,622)","8,828","(+/-1,577)","6,823","(+/-1,706)","9,460","(+/-2,019)","9,130","(+/-2,048)","12,982","(+/-1,438)","9,685","(+/-1,451)"
People,Ancestry,English,"44,464","(+/-3,566)","47,651","(+/-4,991)","52,854","(+/-5,004)","44,127","(+/-3,624)","51,609","(+/-4,296)","41,827","(+/-3,903)","32,195","(+/-2,178)","49,516","(+/-4,320)"
People,Ancestry,"French (except Basque)","12,275","(+/-1,644)","16,662","(+/-2,576)","19,136","(+/-3,045)","18,869","(+/-2,342)","17,912","(+/-2,573)","19,969","(+/-2,425)","15,460","(+/-1,494)","22,160","(+/-2,860)"
People,Ancestry,"French Canadian","3,052",(+/-999),"5,336","(+/-1,604)","6,049","(+/-1,813)","5,385","(+/-1,466)","3,533",(+/-915),"6,583","(+/-2,350)","3,922",(+/-825),"8,631","(+/-1,163)"
People,Ancestry,German,"244,736","(+/-7,221)","216,467","(+/-9,358)","171,486","(+/-7,385)","165,518","(+/-6,134)","153,836","(+/-9,208)","250,827","(+/-8,175)","261,006","(+/-6,071)","194,082","(+/-6,811)"
People,Ancestry,Greek,"1,317",(+/-752),811,(+/-559),"1,434",(+/-796),"1,072",(+/-464),"1,998",(+/-853),647,(+/-446),220,(+/-152),"1,605","(+/-1,124)"
People,Ancestry,Hungarian,923,(+/-437),"1,623",(+/-620),"1,394",(+/-723),"2,127","(+/-1,153)","1,359",(+/-411),"2,214","(+/-1,032)",507,(+/-158),"1,311",(+/-486)
People,Ancestry,Irish,"62,075","(+/-4,434)","81,923","(+/-6,219)","73,644","(+/-4,942)","73,303","(+/-5,675)","70,515","(+/-5,761)","67,897","(+/-4,931)","47,869","(+/-3,111)","71,245","(+/-5,016)"
People,Ancestry,Italian,"8,901","(+/-1,594)","17,719","(+/-3,672)","15,709","(+/-2,109)","18,484","(+/-2,845)","17,343","(+/-2,366)","14,339","(+/-2,191)","5,639","(+/-1,080)","20,461","(+/-2,306)"
People,Ancestry,Lithuanian,400,(+/-287),858,(+/-423),807,(+/-444),342,(+/-215),"1,260",(+/-885),666,(+/-406),185,(+/-139),684,(+/-310)
People,Ancestry,Norwegian,"95,833","(+/-4,516)","71,930","(+/-5,160)","74,585","(+/-5,161)","64,160","(+/-5,334)","62,959","(+/-5,765)","80,227","(+/-6,915)","134,911","(+/-4,154)","90,582","(+/-5,041)"
People,Ancestry,Polish,"17,337","(+/-2,166)","25,610","(+/-4,375)","26,059","(+/-2,703)","24,816","(+/-3,331)","24,550","(+/-2,667)","36,781","(+/-3,911)","26,820","(+/-2,238)","29,731","(+/-2,306)"
People,Ancestry,Portuguese,363,(+/-341),168,(+/-172),704,(+/-536),774,(+/-877),654,(+/-421),321,(+/-364),235,(+/-179),519,(+/-409)
People,Ancestry,Russian,"2,061",(+/-730),"3,057","(+/-1,079)","6,255","(+/-1,580)","2,505",(+/-833),"7,954","(+/-1,969)","3,419","(+/-1,181)","2,041",(+/-594),"3,739","(+/-1,611)"
People,Ancestry,Scotch-Irish,"2,350",(+/-587),"3,202",(+/-812),"2,326",(+/-779),"4,069","(+/-1,296)","3,530","(+/-1,097)","1,967","(+/-1,095)","2,094",(+/-570),"3,266",(+/-722)
People,Ancestry,Scottish,"6,868","(+/-1,294)","8,045","(+/-1,412)","6,431","(+/-1,293)","10,599","(+/-1,790)","9,054","(+/-1,944)","6,879","(+/-1,630)","5,740","(+/-1,067)","7,218","(+/-1,278)"
People,Ancestry,Slovak,310,(+/-223),"1,017",(+/-512),"1,247",(+/-570),"1,249",(+/-498),724,(+/-411),858,(+/-586),208,(+/-100),788,(+/-364)
People,Ancestry,"Subsaharan African","16,569","(+/-3,327)","22,474","(+/-4,378)","30,162","(+/-6,221)","38,611","(+/-6,504)","44,774","(+/-8,613)","26,096","(+/-4,993)","3,701","(+/-1,131)","3,992","(+/-1,951)"
People,Ancestry,Swedish,"27,835","(+/-2,899)","37,491","(+/-3,510)","51,493","(+/-4,329)","40,017","(+/-3,892)","42,372","(+/-5,461)","55,307","(+/-4,632)","41,603","(+/-2,582)","66,374","(+/-3,788)"
People,Ancestry,Swiss,"3,372",(+/-976),"2,766",(+/-847),"3,037",(+/-806),"3,165",(+/-865),"2,611",(+/-997),"2,644","(+/-1,166)","2,019",(+/-542),"1,530",(+/-557)
People,Ancestry,Ukrainian,788,(+/-466),"1,383",(+/-701),"2,738",(+/-878),"3,287","(+/-1,341)","3,592","(+/-1,270)","3,882","(+/-1,539)",955,(+/-325),"1,833",(+/-555)
People,Ancestry,Welsh,"3,588","(+/-1,407)","3,577","(+/-1,644)","2,669",(+/-708),"1,933",(+/-530),"4,004","(+/-1,153)","2,214",(+/-853),"1,529",(+/-459),"2,440",(+/-615)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",938,(+/-659),"3,154","(+/-3,043)",439,(+/-306),"1,549",(+/-826),"2,786","(+/-1,561)","1,341","(+/-1,392)",105,(+/-82),238,(+/-214)
People,"Veteran Status","Civilian population 18 years and over","555,146","(+/-1,631)","556,372","(+/-3,212)","537,130","(+/-7,005)","539,036","(+/-3,258)","564,972","(+/-6,958)","557,477","(+/-4,130)","551,046","(+/-2,944)","579,459","(+/-3,112)"
People,"Veteran Status","Civilian veterans","32,216","(+/-2,081)","30,349","(+/-2,745)","27,677","(+/-2,998)","25,675","(+/-2,826)","23,356","(+/-2,635)","31,224","(+/-2,489)","36,417","(+/-1,667)","44,101","(+/-2,258)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","702,131","(+/-1,740)","729,294","(+/-3,584)","695,892","(+/-7,361)","692,749","(+/-4,415)","694,793","(+/-7,115)","740,744","(+/-6,003)","705,622","(+/-3,766)","716,798","(+/-3,866)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","83,395","(+/-4,312)","80,033","(+/-5,120)","67,412","(+/-4,762)","77,449","(+/-4,877)","80,510","(+/-5,810)","77,106","(+/-5,156)","92,181","(+/-3,272)","109,578","(+/-3,952)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","157,466","(+/-1,703)","176,504","(+/-2,216)","162,555","(+/-6,368)","160,088","(+/-2,775)","136,653","(+/-5,992)","189,047","(+/-3,784)","163,609","(+/-2,314)","147,542","(+/-1,939)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,377","(+/-1,176)","5,473","(+/-1,358)","5,080","(+/-1,521)","5,000","(+/-1,099)","6,391","(+/-1,944)","10,313","(+/-2,296)","9,134","(+/-1,398)","8,710","(+/-1,280)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","409,847","(+/-2,135)","440,861","(+/-3,368)","403,855","(+/-6,744)","419,406","(+/-3,521)","466,015","(+/-6,595)","445,668","(+/-4,188)","395,321","(+/-2,767)","413,752","(+/-3,223)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,629","(+/-2,900)","42,550","(+/-3,907)","29,797","(+/-2,594)","39,983","(+/-3,607)","47,413","(+/-3,962)","37,273","(+/-3,485)","41,641","(+/-2,438)","54,847","(+/-3,387)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","134,818","(+/-1,428)","111,929","(+/-2,078)","129,482","(+/-4,718)","113,255","(+/-1,899)","92,125","(+/-4,533)","106,029","(+/-2,536)","146,692","(+/-1,623)","155,504","(+/-1,663)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","35,389","(+/-1,878)","32,010","(+/-2,385)","32,535","(+/-2,944)","32,466","(+/-2,300)","26,706","(+/-2,922)","29,520","(+/-2,468)","41,406","(+/-1,717)","46,021","(+/-1,929)"
People,"Residence 1 Year Ago","Population 1 year and over","704,562","(+/-2,107)","725,721","(+/-3,664)","691,913","(+/-7,170)","690,878","(+/-4,334)","694,012","(+/-7,245)","738,262","(+/-6,038)","706,115","(+/-3,896)","721,656","(+/-3,946)"
People,"Residence 1 Year Ago","Same house","624,112","(+/-6,662)","646,743","(+/-7,739)","624,071","(+/-11,073)","597,845","(+/-7,330)","573,621","(+/-10,084)","664,856","(+/-10,641)","636,364","(+/-6,122)","646,074","(+/-6,192)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","80,450","(+/-6,434)","78,978","(+/-7,149)","67,842","(+/-7,776)","93,033","(+/-6,854)","120,391","(+/-7,488)","73,406","(+/-8,319)","69,751","(+/-4,560)","75,582","(+/-5,767)"
People,"Residence 1 Year Ago","Different house in the U.S.","76,218","(+/-6,390)","74,651","(+/-7,202)","61,802","(+/-7,602)","88,668","(+/-6,652)","115,532","(+/-7,201)","71,183","(+/-8,215)","66,466","(+/-4,307)","74,083","(+/-5,829)"
People,"Residence 1 Year Ago","Same county","32,342","(+/-3,847)","28,671","(+/-4,556)","36,604","(+/-4,930)","39,426","(+/-4,945)","63,217","(+/-6,228)","24,441","(+/-4,055)","31,506","(+/-2,810)","34,251","(+/-3,928)"
People,"Residence 1 Year Ago","Different county","43,876","(+/-4,981)","45,980","(+/-5,299)","25,198","(+/-5,360)","49,242","(+/-5,401)","52,315","(+/-5,062)","46,742","(+/-6,629)","34,960","(+/-3,137)","39,832","(+/-3,849)"
People,"Residence 1 Year Ago","Same state","30,062","(+/-4,367)","35,168","(+/-4,209)","17,338","(+/-4,921)","33,429","(+/-4,630)","27,053","(+/-3,725)","39,060","(+/-6,121)","25,245","(+/-2,452)","30,513","(+/-3,443)"
People,"Residence 1 Year Ago","Different state","13,814","(+/-2,344)","10,812","(+/-2,650)","7,860","(+/-1,558)","15,813","(+/-2,649)","25,262","(+/-3,641)","7,682","(+/-1,864)","9,715","(+/-1,819)","9,319","(+/-1,550)"
People,"Residence 1 Year Ago",Abroad,"4,232","(+/-1,436)","4,327","(+/-1,571)","6,040","(+/-2,369)","4,365","(+/-1,522)","4,859","(+/-1,852)","2,223","(+/-1,273)","3,285",(+/-913),"1,499",(+/-466)
Workers,"Employment Status","Population 16 years and over","574,239","(+/-2,103)","577,902","(+/-3,506)","555,752","(+/-6,992)","559,832","(+/-3,698)","583,099","(+/-7,144)","580,676","(+/-4,186)","571,339","(+/-3,303)","599,604","(+/-3,340)"
Workers,"Employment Status","In labor force","378,856","(+/-4,499)","412,562","(+/-5,665)","386,192","(+/-7,532)","384,552","(+/-5,030)","428,420","(+/-7,325)","413,165","(+/-5,273)","370,213","(+/-4,311)","372,616","(+/-4,873)"
Workers,"Employment Status","Civilian labor force","378,731","(+/-4,481)","412,173","(+/-5,613)","386,192","(+/-7,532)","383,995","(+/-5,067)","428,053","(+/-7,368)","412,799","(+/-5,310)","369,812","(+/-4,298)","372,220","(+/-4,899)"
Workers,"Employment Status",Employed,"368,324","(+/-4,773)","400,820","(+/-5,907)","375,847","(+/-7,245)","372,224","(+/-5,042)","411,330","(+/-7,039)","402,267","(+/-5,431)","358,491","(+/-3,922)","359,017","(+/-5,045)"
Workers,"Employment Status",Unemployed,"10,407","(+/-1,767)","11,353","(+/-1,830)","10,345","(+/-1,845)","11,771","(+/-2,070)","16,723","(+/-2,516)","10,532","(+/-1,727)","11,321","(+/-1,483)","13,203","(+/-1,800)"
Workers,"Employment Status","Armed Forces",125,(+/-137),389,(+/-327),0,(+/-157),557,(+/-660),367,(+/-435),366,(+/-394),401,(+/-237),396,(+/-236)
Workers,"Employment Status","Not in labor force","195,383","(+/-4,334)","165,340","(+/-5,071)","169,560","(+/-6,467)","175,280","(+/-4,208)","154,679","(+/-5,619)","167,511","(+/-4,477)","201,126","(+/-3,652)","226,988","(+/-3,923)"
Workers,"Employment Status","Civilian labor force","378,731","(+/-4,481)","412,173","(+/-5,613)","386,192","(+/-7,532)","383,995","(+/-5,067)","428,053","(+/-7,368)","412,799","(+/-5,310)","369,812","(+/-4,298)","372,220","(+/-4,899)"
Workers,"Employment Status","Unemployment Rate",2.7,(+/-0.5),2.8,(+/-0.4),2.7,(+/-0.5),3.1,(+/-0.5),3.9,(+/-0.6),2.6,(+/-0.4),3.1,(+/-0.4),3.5,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","363,862","(+/-4,713)","393,710","(+/-5,538)","369,098","(+/-7,318)","365,722","(+/-5,204)","404,418","(+/-7,291)","397,881","(+/-5,335)","352,382","(+/-3,901)","353,198","(+/-4,984)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","264,200","(+/-5,831)","275,408","(+/-6,586)","251,013","(+/-6,905)","232,359","(+/-5,643)","239,145","(+/-7,053)","297,819","(+/-5,991)","269,097","(+/-4,238)","266,392","(+/-5,021)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","34,175","(+/-3,365)","30,738","(+/-3,459)","25,232","(+/-3,119)","32,135","(+/-3,558)","31,230","(+/-4,278)","29,172","(+/-3,443)","27,641","(+/-1,738)","30,520","(+/-2,548)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","5,316","(+/-1,324)","3,099",(+/-868),"5,037","(+/-1,377)","10,305","(+/-1,932)","20,812","(+/-3,197)","2,289",(+/-704),"1,950",(+/-530),"2,775",(+/-672)
Workers,"Commuting to Work",Walked,"13,816","(+/-1,538)","7,780","(+/-1,377)","4,173","(+/-1,159)","8,591","(+/-1,699)","17,623","(+/-2,781)","3,996",(+/-843),"13,103","(+/-1,610)","8,843","(+/-1,340)"
Workers,"Commuting to Work","Other means","6,361","(+/-1,078)","5,464","(+/-1,274)","7,439","(+/-1,919)","6,980","(+/-1,436)","10,078","(+/-1,719)","4,472","(+/-1,202)","5,180",(+/-880),"4,697",(+/-996)
Workers,"Commuting to Work","Worked from home","39,994","(+/-2,363)","71,221","(+/-4,610)","76,204","(+/-4,609)","75,352","(+/-4,171)","85,530","(+/-5,839)","60,133","(+/-3,581)","35,411","(+/-2,192)","39,971","(+/-2,719)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.0,(+/-0.5),23.8,(+/-0.6),22.3,(+/-0.6),21.8,(+/-0.6),21.0,(+/-0.5),26.7,(+/-0.7),20.9,(+/-0.5),24.8,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over","368,324","(+/-4,773)","400,820","(+/-5,907)","375,847","(+/-7,245)","372,224","(+/-5,042)","411,330","(+/-7,039)","402,267","(+/-5,431)","358,491","(+/-3,922)","359,017","(+/-5,045)"
Workers,Occupation,"Management, business, science, and arts occupations","147,878","(+/-4,428)","183,786","(+/-6,042)","199,483","(+/-5,941)","188,738","(+/-5,813)","228,099","(+/-7,573)","175,179","(+/-4,870)","132,857","(+/-3,530)","138,130","(+/-5,062)"
Workers,Occupation,"Service occupations","61,047","(+/-3,438)","58,481","(+/-4,875)","47,681","(+/-4,084)","55,331","(+/-4,138)","60,183","(+/-5,233)","59,111","(+/-4,157)","55,191","(+/-2,908)","62,609","(+/-3,432)"
Workers,Occupation,"Sales and office occupations","63,254","(+/-3,593)","78,612","(+/-4,445)","69,446","(+/-4,636)","63,592","(+/-4,109)","65,066","(+/-3,897)","74,300","(+/-4,451)","61,989","(+/-2,369)","65,973","(+/-3,574)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","35,195","(+/-2,432)","29,569","(+/-2,346)","17,940","(+/-2,662)","17,427","(+/-2,623)","18,422","(+/-2,462)","33,863","(+/-2,816)","40,460","(+/-2,235)","42,514","(+/-2,766)"
Workers,Occupation,"Production, transportation, and material moving occupations","60,950","(+/-2,813)","50,372","(+/-4,183)","41,297","(+/-3,797)","47,136","(+/-3,735)","39,560","(+/-4,415)","59,814","(+/-3,645)","67,994","(+/-2,445)","49,791","(+/-2,666)"
Workers,Industry,"Civilian employed population 16 years and over","368,324","(+/-4,773)","400,820","(+/-5,907)","375,847","(+/-7,245)","372,224","(+/-5,042)","411,330","(+/-7,039)","402,267","(+/-5,431)","358,491","(+/-3,922)","359,017","(+/-5,045)"
