Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","75 to 84 years","45,284","(+/-1,677)","40,828","(+/-2,083)","40,695","(+/-1,486)","38,873","(+/-1,680)","43,561","(+/-1,625)","39,901","(+/-1,726)"
People,"Sex and Age","85 years and over","12,979","(+/-1,427)","12,426","(+/-1,617)","12,448","(+/-1,418)","11,000","(+/-1,417)","12,153","(+/-1,425)","10,042","(+/-1,408)"
People,"Sex and Age","Median age (years)",40.2,(+/-0.5),39.2,(+/-0.5),38.1,(+/-0.3),39.1,(+/-0.5),41.6,(+/-0.3),37.4,(+/-0.4)
People,"Sex and Age","18 years and over","584,714","(+/-3,536)","598,897","(+/-5,567)","571,276","(+/-4,681)","588,804","(+/-3,163)","576,302","(+/-3,154)","594,424","(+/-2,990)"
People,"Sex and Age","65 years and over","144,999","(+/-2,235)","134,542","(+/-2,371)","130,680","(+/-1,299)","129,134","(+/-1,668)","141,319","(+/-1,817)","124,094","(+/-1,636)"
People,Race,"Total population","750,693","(+/-4,304)","775,707","(+/-7,888)","733,409","(+/-6,703)","768,776","(+/-4,620)","738,681","(+/-3,679)","758,888","(+/-4,002)"
People,Race,"One race","705,720","(+/-5,710)","727,244","(+/-8,304)","654,731","(+/-9,715)","719,649","(+/-6,208)","712,018","(+/-5,168)","708,387","(+/-5,727)"
People,Race,White,"640,577","(+/-4,617)","655,314","(+/-6,807)","460,195","(+/-5,235)","672,575","(+/-5,953)","693,249","(+/-5,062)","613,932","(+/-5,255)"
People,Race,"Black or African American","46,624","(+/-4,230)","43,492","(+/-4,696)","153,631","(+/-7,444)","24,993","(+/-2,625)","11,664","(+/-1,465)","57,478","(+/-3,733)"
People,Race,"American Indian and Alaska Native","1,969",(+/-834),"3,498","(+/-1,842)","1,311",(+/-572),"1,617","(+/-1,025)","1,088",(+/-677),"2,315","(+/-1,036)"
People,Race,Asian,"4,188",(+/-928),"12,222","(+/-2,093)","21,355","(+/-2,430)","7,434","(+/-1,022)","3,000","(+/-1,028)","16,124",(+/-960)
People,Race,"Native Hawaiian and Other Pacific Islander","1,131",(+/-723),148,(+/-204),225,(+/-136),331,(+/-278),626,(+/-494),108,(+/-140)
People,Race,"Some other race","11,231","(+/-2,398)","12,570","(+/-3,251)","18,014","(+/-4,523)","12,699","(+/-2,900)","2,391",(+/-897),"18,430","(+/-4,331)"
People,Race,"Two or more races","44,973","(+/-4,235)","48,463","(+/-5,058)","78,678","(+/-7,772)","49,127","(+/-3,707)","26,663","(+/-3,097)","50,501","(+/-4,652)"
People,"Hispanic or Latino and Race","Total population","750,693","(+/-4,304)","775,707","(+/-7,888)","733,409","(+/-6,703)","768,776","(+/-4,620)","738,681","(+/-3,679)","758,888","(+/-4,002)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","28,759","(+/-1,240)","36,968","(+/-3,169)","61,917","(+/-3,016)","34,292",(+/-830),"9,792","(+/-1,138)","47,808","(+/-1,037)"
People,"Hispanic or Latino and Race",Mexican,"17,225","(+/-2,235)","19,260","(+/-3,022)","16,070","(+/-3,545)","21,220","(+/-2,969)","4,459","(+/-1,233)","28,599","(+/-3,301)"
People,"Hispanic or Latino and Race","Puerto Rican","2,046",(+/-998),"5,015","(+/-1,217)","3,966","(+/-1,417)","2,396","(+/-1,185)",989,(+/-718),"2,399","(+/-1,411)"
People,"Hispanic or Latino and Race",Cuban,"1,193",(+/-656),"2,926","(+/-2,895)","27,170","(+/-4,907)","1,200",(+/-762),615,(+/-448),"3,303","(+/-1,790)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","8,295","(+/-2,064)","9,767","(+/-3,103)","14,711","(+/-3,799)","9,476","(+/-2,312)","3,729",(+/-911),"13,507","(+/-2,642)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","721,934","(+/-4,159)","738,739","(+/-7,767)","671,492","(+/-6,224)","734,484","(+/-4,617)","728,889","(+/-3,688)","711,080","(+/-4,033)"
People,"Place of Birth","Total population","750,693","(+/-4,304)","775,707","(+/-7,888)","733,409","(+/-6,703)","768,776","(+/-4,620)","738,681","(+/-3,679)","758,888","(+/-4,002)"
People,"Place of Birth",Native,"736,074","(+/-4,968)","744,884","(+/-8,273)","660,384","(+/-8,732)","744,187","(+/-5,677)","731,909","(+/-3,689)","707,044","(+/-7,641)"
People,"Place of Birth","Born in United States","732,474","(+/-4,856)","734,873","(+/-8,547)","651,863","(+/-8,455)","737,645","(+/-5,858)","729,565","(+/-3,726)","701,145","(+/-7,412)"
People,"Place of Birth","State of residence","503,220","(+/-9,118)","543,541","(+/-11,081)","478,797","(+/-9,404)","476,634","(+/-10,067)","573,414","(+/-7,258)","508,238","(+/-9,149)"
People,"Place of Birth","Different state","229,254","(+/-8,263)","191,332","(+/-8,534)","173,066","(+/-7,755)","261,011","(+/-8,961)","156,151","(+/-6,628)","192,907","(+/-7,342)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","3,600","(+/-1,183)","10,011","(+/-1,910)","8,521","(+/-2,233)","6,542","(+/-1,550)","2,344",(+/-795),"5,899","(+/-1,678)"
People,"Place of Birth","Foreign born","14,619","(+/-2,083)","30,823","(+/-4,751)","73,025","(+/-6,781)","24,589","(+/-2,556)","6,772","(+/-1,393)","51,844","(+/-6,177)"
People,Ancestry,"Total population","750,693","(+/-4,304)","775,707","(+/-7,888)","733,409","(+/-6,703)","768,776","(+/-4,620)","738,681","(+/-3,679)","758,888","(+/-4,002)"
People,Ancestry,American,"107,555","(+/-6,064)","96,673","(+/-7,616)","46,737","(+/-5,602)","62,721","(+/-5,470)","98,081","(+/-7,030)","95,144","(+/-6,446)"
People,Ancestry,Arab,613,(+/-334),682,(+/-460),"7,626","(+/-3,506)","2,154",(+/-851),497,(+/-416),"4,996","(+/-2,392)"
People,Ancestry,Czech,811,(+/-492),380,(+/-229),591,(+/-341),911,(+/-405),359,(+/-279),"1,362",(+/-977)
People,Ancestry,Danish,469,(+/-324),298,(+/-374),743,(+/-393),958,(+/-461),267,(+/-246),873,(+/-491)
People,Ancestry,Dutch,"4,471","(+/-1,188)","4,759","(+/-1,403)","3,955","(+/-1,009)","6,497","(+/-1,414)","3,055","(+/-1,486)","5,501","(+/-1,761)"
People,Ancestry,English,"100,558","(+/-6,035)","102,341","(+/-7,790)","83,099","(+/-5,946)","117,103","(+/-7,502)","103,837","(+/-7,004)","113,865","(+/-7,037)"
People,Ancestry,"French (except Basque)","8,724","(+/-1,826)","10,954","(+/-2,833)","10,942","(+/-1,833)","12,159","(+/-2,436)","6,283","(+/-1,594)","10,176","(+/-1,915)"
People,Ancestry,"French Canadian",619,(+/-314),"1,474",(+/-874),"1,438",(+/-894),"1,157",(+/-676),"1,380","(+/-1,112)","1,787",(+/-876)
People,Ancestry,German,"61,218","(+/-5,528)","78,667","(+/-6,359)","110,430","(+/-6,595)","169,420","(+/-9,130)","52,274","(+/-5,485)","78,514","(+/-5,401)"
People,Ancestry,Greek,700,(+/-565),"1,588",(+/-831),"1,411",(+/-733),"1,129",(+/-589),520,(+/-383),761,(+/-333)
People,Ancestry,Hungarian,419,(+/-273),789,(+/-444),"1,072",(+/-575),"1,129",(+/-636),732,(+/-359),"1,478",(+/-885)
People,Ancestry,Irish,"63,652","(+/-5,217)","74,546","(+/-5,636)","85,168","(+/-5,766)","105,235","(+/-7,531)","69,217","(+/-5,666)","78,397","(+/-5,058)"
People,Ancestry,Italian,"8,399","(+/-1,744)","12,652","(+/-2,549)","18,812","(+/-2,553)","24,920","(+/-3,979)","7,253","(+/-1,834)","17,680","(+/-3,075)"
People,Ancestry,Lithuanian,510,(+/-430),236,(+/-197),372,(+/-384),340,(+/-212),163,(+/-171),595,(+/-415)
People,Ancestry,Norwegian,"2,133",(+/-865),"4,874","(+/-2,374)","2,152",(+/-812),"3,042","(+/-1,035)","2,150","(+/-1,067)","3,330",(+/-814)
People,Ancestry,Polish,"6,432","(+/-1,525)","5,214","(+/-1,535)","7,399","(+/-1,960)","9,446","(+/-2,486)","3,544","(+/-1,128)","6,668","(+/-1,408)"
People,Ancestry,Portuguese,330,(+/-255),"1,474",(+/-912),428,(+/-409),870,(+/-628),465,(+/-537),"1,148","(+/-1,057)"
People,Ancestry,Russian,"1,374","(+/-1,205)",400,(+/-435),"1,650",(+/-656),"1,312",(+/-590),734,(+/-563),"1,584",(+/-903)
People,Ancestry,Scotch-Irish,"7,293","(+/-1,815)","5,569","(+/-1,412)","6,010","(+/-1,317)","8,353","(+/-1,959)","9,110","(+/-1,942)","13,724","(+/-2,501)"
People,Ancestry,Scottish,"14,043","(+/-2,018)","13,650","(+/-2,579)","12,011","(+/-1,855)","15,660","(+/-2,271)","13,239","(+/-2,187)","17,423","(+/-2,140)"
People,Ancestry,Slovak,300,(+/-327),184,(+/-220),402,(+/-252),331,(+/-282),235,(+/-166),469,(+/-305)
People,Ancestry,"Subsaharan African","3,390","(+/-1,573)","5,301","(+/-4,110)","24,351","(+/-6,145)","4,104","(+/-1,592)","1,471",(+/-966),"8,968","(+/-4,199)"
People,Ancestry,Swedish,"1,783",(+/-712),"3,498","(+/-1,368)","2,691","(+/-1,071)","4,537","(+/-1,743)",660,(+/-476),"2,972","(+/-1,006)"
People,Ancestry,Swiss,"2,345","(+/-1,402)",773,(+/-443),"1,772",(+/-512),"1,001",(+/-431),"1,659","(+/-1,091)",991,(+/-554)
People,Ancestry,Ukrainian,232,(+/-346),396,(+/-346),"1,043",(+/-540),521,(+/-378),734,(+/-761),"3,405","(+/-1,791)"
People,Ancestry,Welsh,"2,411",(+/-763),"3,235",(+/-982),"3,865","(+/-1,070)","4,219","(+/-1,273)","3,042",(+/-991),"4,264","(+/-1,249)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,508",(+/-935),"1,393","(+/-1,061)","4,276","(+/-2,607)","1,278","(+/-1,232)",429,(+/-367),"1,210",(+/-862)
People,"Veteran Status","Civilian population 18 years and over","575,966","(+/-3,528)","594,406","(+/-5,645)","570,108","(+/-4,886)","588,249","(+/-3,220)","576,160","(+/-3,166)","593,632","(+/-3,144)"
People,"Veteran Status","Civilian veterans","37,522","(+/-2,621)","44,472","(+/-3,093)","34,633","(+/-3,109)","35,903","(+/-2,900)","30,189","(+/-2,565)","33,948","(+/-2,726)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","727,718","(+/-4,378)","763,692","(+/-7,953)","725,452","(+/-6,832)","758,266","(+/-4,655)","717,227","(+/-3,634)","749,893","(+/-4,212)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","138,315","(+/-6,765)","137,764","(+/-6,658)","109,947","(+/-6,113)","108,724","(+/-5,012)","185,164","(+/-5,815)","123,399","(+/-5,587)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","165,768","(+/-3,101)","176,650","(+/-4,218)","161,890","(+/-3,227)","179,894","(+/-2,544)","161,997","(+/-3,022)","164,403","(+/-2,797)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,434","(+/-1,969)","12,880","(+/-2,287)","7,655","(+/-1,765)","9,637","(+/-1,532)","15,518","(+/-2,672)","12,906","(+/-2,240)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","421,364","(+/-3,304)","456,227","(+/-5,540)","436,512","(+/-4,616)","452,867","(+/-3,153)","418,188","(+/-2,946)","464,900","(+/-3,491)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","72,473","(+/-5,339)","75,241","(+/-5,338)","61,064","(+/-4,922)","57,940","(+/-4,323)","99,168","(+/-4,545)","67,529","(+/-4,683)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,586","(+/-2,224)","130,815","(+/-2,388)","127,050","(+/-1,287)","125,505","(+/-1,656)","137,042","(+/-1,812)","120,590","(+/-1,658)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","55,408","(+/-2,922)","49,643","(+/-2,866)","41,228","(+/-2,726)","41,147","(+/-2,506)","70,478","(+/-3,321)","42,964","(+/-2,500)"
People,"Residence 1 Year Ago","Population 1 year and over","741,207","(+/-4,544)","768,680","(+/-7,788)","724,517","(+/-6,989)","761,105","(+/-4,462)","730,659","(+/-3,623)","751,139","(+/-3,930)"
People,"Residence 1 Year Ago","Same house","652,635","(+/-7,992)","682,659","(+/-10,724)","622,455","(+/-10,952)","684,376","(+/-7,860)","648,908","(+/-6,176)","636,495","(+/-8,152)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","88,572","(+/-6,318)","86,021","(+/-7,014)","102,062","(+/-9,807)","76,729","(+/-7,082)","81,751","(+/-5,454)","114,644","(+/-7,438)"
People,"Residence 1 Year Ago","Different house in the U.S.","85,479","(+/-6,170)","82,637","(+/-7,320)","89,337","(+/-8,687)","72,908","(+/-7,159)","80,945","(+/-5,420)","110,712","(+/-7,236)"
People,"Residence 1 Year Ago","Same county","35,220","(+/-3,834)","38,306","(+/-5,666)","61,920","(+/-7,047)","32,373","(+/-5,650)","40,265","(+/-4,443)","58,208","(+/-6,544)"
People,"Residence 1 Year Ago","Different county","50,259","(+/-4,986)","44,331","(+/-5,025)","27,417","(+/-4,625)","40,535","(+/-4,990)","40,680","(+/-3,653)","52,504","(+/-6,048)"
People,"Residence 1 Year Ago","Same state","26,385","(+/-3,150)","24,833","(+/-3,481)","12,311","(+/-1,892)","24,235","(+/-3,174)","27,046","(+/-3,161)","34,119","(+/-4,722)"
People,"Residence 1 Year Ago","Different state","23,874","(+/-3,784)","19,498","(+/-3,680)","15,106","(+/-4,375)","16,300","(+/-3,568)","13,634","(+/-2,064)","18,385","(+/-3,207)"
People,"Residence 1 Year Ago",Abroad,"3,093",(+/-971),"3,384","(+/-1,485)","12,725","(+/-4,295)","3,821","(+/-1,495)",806,(+/-640),"3,932","(+/-1,285)"
Workers,"Employment Status","Population 16 years and over","602,184","(+/-3,902)","621,606","(+/-6,034)","588,450","(+/-5,048)","611,169","(+/-3,471)","595,327","(+/-3,672)","614,928","(+/-3,287)"
Workers,"Employment Status","In labor force","347,520","(+/-5,423)","388,711","(+/-6,698)","374,290","(+/-6,701)","395,186","(+/-5,903)","286,313","(+/-5,381)","398,677","(+/-5,458)"
Workers,"Employment Status","Civilian labor force","338,772","(+/-5,271)","384,220","(+/-6,675)","373,122","(+/-6,763)","394,631","(+/-5,966)","286,171","(+/-5,416)","397,885","(+/-5,545)"
Workers,"Employment Status",Employed,"325,904","(+/-5,421)","367,349","(+/-6,677)","356,049","(+/-6,882)","381,562","(+/-6,023)","271,078","(+/-5,677)","383,412","(+/-5,629)"
Workers,"Employment Status",Unemployed,"12,868","(+/-1,916)","16,871","(+/-2,468)","17,073","(+/-2,529)","13,069","(+/-2,253)","15,093","(+/-2,376)","14,473","(+/-2,472)"
Workers,"Employment Status","Armed Forces","8,748","(+/-1,041)","4,491","(+/-1,097)","1,168",(+/-946),555,(+/-628),142,(+/-228),792,(+/-482)
Workers,"Employment Status","Not in labor force","254,664","(+/-5,279)","232,895","(+/-6,055)","214,160","(+/-6,575)","215,983","(+/-6,037)","309,014","(+/-5,313)","216,251","(+/-5,872)"
Workers,"Employment Status","Civilian labor force","338,772","(+/-5,271)","384,220","(+/-6,675)","373,122","(+/-6,763)","394,631","(+/-5,966)","286,171","(+/-5,416)","397,885","(+/-5,545)"
Workers,"Employment Status","Unemployment Rate",3.8,(+/-0.6),4.4,(+/-0.6),4.6,(+/-0.7),3.3,(+/-0.6),5.3,(+/-0.8),3.6,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","328,610","(+/-5,733)","365,061","(+/-6,595)","350,968","(+/-6,996)","375,712","(+/-5,802)","266,325","(+/-5,747)","375,940","(+/-5,495)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","262,940","(+/-6,404)","291,788","(+/-7,604)","251,735","(+/-7,561)","286,245","(+/-6,504)","204,521","(+/-6,400)","284,422","(+/-7,094)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,527","(+/-2,681)","32,418","(+/-3,191)","35,343","(+/-4,233)","34,701","(+/-3,991)","33,642","(+/-3,967)","37,250","(+/-4,186)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,257","(+/-1,100)",426,(+/-343),"6,591","(+/-1,373)","1,639",(+/-805),679,(+/-348),"3,465","(+/-1,271)"
Workers,"Commuting to Work",Walked,"7,885","(+/-1,729)","6,078","(+/-1,650)","7,251","(+/-2,156)","4,185","(+/-1,295)","4,485","(+/-1,131)","8,245","(+/-1,743)"
Workers,"Commuting to Work","Other means","4,568","(+/-1,299)","2,900",(+/-963),"6,595","(+/-1,824)","4,840","(+/-1,202)","4,735","(+/-1,236)","4,923","(+/-1,542)"
Workers,"Commuting to Work","Worked from home","20,433","(+/-2,299)","31,451","(+/-3,660)","43,453","(+/-3,079)","44,102","(+/-3,495)","18,263","(+/-2,248)","37,635","(+/-3,235)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.3,(+/-0.7),24.9,(+/-0.8),22.4,(+/-0.6),25.4,(+/-0.7),26.2,(+/-1.2),24.0,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","325,904","(+/-5,421)","367,349","(+/-6,677)","356,049","(+/-6,882)","381,562","(+/-6,023)","271,078","(+/-5,677)","383,412","(+/-5,629)"
Workers,Occupation,"Management, business, science, and arts occupations","114,006","(+/-4,513)","127,830","(+/-5,791)","151,297","(+/-6,288)","155,622","(+/-7,084)","95,635","(+/-5,155)","166,590","(+/-4,635)"
Workers,Occupation,"Service occupations","48,523","(+/-3,312)","59,115","(+/-4,141)","55,929","(+/-4,534)","57,351","(+/-4,100)","45,044","(+/-3,663)","54,144","(+/-4,389)"
Workers,Occupation,"Sales and office occupations","63,163","(+/-3,498)","72,714","(+/-4,356)","65,399","(+/-4,272)","77,251","(+/-5,347)","52,433","(+/-3,958)","76,605","(+/-3,949)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","36,016","(+/-3,268)","36,225","(+/-2,771)","18,773","(+/-2,850)","31,651","(+/-2,872)","29,809","(+/-3,234)","28,891","(+/-3,072)"
Workers,Occupation,"Production, transportation, and material moving occupations","64,196","(+/-3,792)","71,465","(+/-3,957)","64,651","(+/-5,019)","59,687","(+/-4,545)","48,157","(+/-4,322)","57,182","(+/-3,687)"
Workers,Industry,"Civilian employed population 16 years and over","325,904","(+/-5,421)","367,349","(+/-6,677)","356,049","(+/-6,882)","381,562","(+/-6,023)","271,078","(+/-5,677)","383,412","(+/-5,629)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","9,222","(+/-1,506)","5,998","(+/-1,510)",726,(+/-478),"4,977","(+/-1,135)","6,686","(+/-1,347)","8,286","(+/-1,666)"
Workers,Industry,Construction,"25,950","(+/-2,644)","27,701","(+/-3,122)","14,201","(+/-2,565)","25,920","(+/-2,887)","18,466","(+/-2,002)","24,531","(+/-3,133)"
Workers,Industry,Manufacturing,"50,705","(+/-3,155)","65,079","(+/-4,162)","48,426","(+/-4,324)","49,989","(+/-3,692)","31,119","(+/-3,155)","47,804","(+/-3,620)"
Workers,Industry,"Wholesale trade","4,771","(+/-1,211)","6,279","(+/-1,137)","7,352","(+/-1,357)","6,455","(+/-1,517)","4,131","(+/-1,059)","6,452","(+/-1,772)"
Workers,Industry,"Retail trade","40,441","(+/-3,096)","43,409","(+/-3,787)","34,403","(+/-3,546)","48,630","(+/-4,144)","33,611","(+/-3,099)","44,672","(+/-3,822)"
Workers,Industry,"Transportation and warehousing, and utilities","19,663","(+/-2,423)","21,436","(+/-2,495)","31,048","(+/-3,960)","28,729","(+/-2,740)","17,087","(+/-3,020)","19,475","(+/-2,563)"
Workers,Industry,Information,"3,352",(+/-971),"3,581","(+/-1,107)","4,729","(+/-1,304)","4,306","(+/-1,171)","3,064",(+/-961),"4,535","(+/-1,349)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","16,398","(+/-2,199)","18,735","(+/-2,704)","28,432","(+/-3,138)","28,279","(+/-2,941)","10,057","(+/-1,537)","19,574","(+/-2,500)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","23,478","(+/-2,342)","28,267","(+/-2,971)","38,071","(+/-3,476)","37,821","(+/-3,218)","20,005","(+/-2,801)","38,269","(+/-3,405)"
Workers,Industry,"Educational services, and health care and social assistance","74,784","(+/-4,129)","83,726","(+/-4,555)","87,330","(+/-5,509)","81,509","(+/-4,706)","80,069","(+/-4,448)","106,832","(+/-5,557)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","26,136","(+/-2,733)","33,119","(+/-3,481)","34,609","(+/-3,079)","30,335","(+/-3,019)","18,677","(+/-2,552)","29,559","(+/-3,051)"
Workers,Industry,"Other services, except public administration","12,964","(+/-1,922)","17,216","(+/-2,776)","17,120","(+/-2,690)","15,695","(+/-1,841)","11,751","(+/-1,920)","18,364","(+/-2,495)"
Workers,Industry,"Public administration","18,040","(+/-2,255)","12,803","(+/-2,080)","9,602","(+/-1,589)","18,917","(+/-2,391)","16,355","(+/-2,430)","15,059","(+/-2,064)"
Workers,"Class of Worker","Civilian employed population 16 years and over","325,904","(+/-5,421)","367,349","(+/-6,677)","356,049","(+/-6,882)","381,562","(+/-6,023)","271,078","(+/-5,677)","383,412","(+/-5,629)"
Workers,"Class of Worker","Private wage and salary workers","250,502","(+/-5,361)","294,139","(+/-6,917)","301,495","(+/-7,040)","312,732","(+/-6,638)","202,403","(+/-5,846)","299,351","(+/-6,165)"
Workers,"Class of Worker","Government workers","54,387","(+/-3,972)","51,111","(+/-4,430)","38,546","(+/-3,113)","49,773","(+/-3,362)","54,520","(+/-4,299)","62,148","(+/-4,189)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","20,198","(+/-2,150)","21,169","(+/-2,932)","15,497","(+/-2,290)","18,055","(+/-2,528)","13,920","(+/-1,858)","21,515","(+/-2,724)"
Workers,"Class of Worker","Unpaid family workers",817,(+/-426),930,(+/-534),511,(+/-377),"1,002",(+/-593),235,(+/-225),398,(+/-257)
Housing,"Housing Occupancy","Total housing units","348,491","(+/-2,059)","337,181","(+/-2,386)","346,645","(+/-1,793)","319,169","(+/-1,852)","347,299","(+/-1,845)","337,774","(+/-2,230)"
Housing,"Housing Occupancy","Occupied housing units","308,246","(+/-3,784)","309,350","(+/-3,782)","317,177","(+/-3,683)","297,948","(+/-3,592)","304,892","(+/-3,920)","315,990","(+/-3,605)"
Housing,"Housing Occupancy","Vacant housing units","40,245","(+/-3,753)","27,831","(+/-3,010)","29,468","(+/-3,448)","21,221","(+/-3,052)","42,407","(+/-3,552)","21,784","(+/-3,231)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,(+/-0.4),1.0,(+/-0.5),0.7,(+/-0.3),0.4,(+/-0.2),1.0,(+/-0.5),0.4,(+/-0.2)
Housing,"Housing Occupancy","Rental vacancy rate",2.8,(+/-1.0),4.5,(+/-1.5),7.1,(+/-1.6),7.0,(+/-2.1),3.1,(+/-1.2),2.6,(+/-0.9)
Housing,"Housing Tenure","Occupied housing units","308,246","(+/-3,784)","309,350","(+/-3,782)","317,177","(+/-3,683)","297,948","(+/-3,592)","304,892","(+/-3,920)","315,990","(+/-3,605)"
Housing,"Housing Tenure",Owner-occupied,"216,204","(+/-4,841)","217,827","(+/-4,499)","198,182","(+/-3,988)","223,484","(+/-4,679)","219,310","(+/-4,718)","199,514","(+/-4,469)"
Housing,"Housing Tenure",Renter-occupied,"92,042","(+/-4,337)","91,523","(+/-3,961)","118,995","(+/-4,054)","74,464","(+/-4,236)","85,582","(+/-4,243)","116,476","(+/-4,233)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.43,(+/-0.04),2.55,(+/-0.04),2.39,(+/-0.05),2.64,(+/-0.04),2.36,(+/-0.04),2.48,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.17,(+/-0.08),2.23,(+/-0.08),2.07,(+/-0.07),2.23,(+/-0.07),2.24,(+/-0.09),2.05,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","308,246","(+/-3,784)","309,350","(+/-3,782)","317,177","(+/-3,683)","297,948","(+/-3,592)","304,892","(+/-3,920)","315,990","(+/-3,605)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","70,313","(+/-3,738)","73,878","(+/-3,639)","98,373","(+/-5,109)","65,972","(+/-3,513)","61,849","(+/-3,682)","95,710","(+/-4,168)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","59,429","(+/-3,341)","57,298","(+/-3,796)","58,374","(+/-4,093)","56,150","(+/-3,822)","48,721","(+/-3,557)","58,973","(+/-4,158)"
