Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Median age (years)",41.2,(+/-0.7),42.5,(+/-0.7),41.6,(+/-0.7),40.7,(+/-0.5),41.3,(+/-0.9)
People,"Sex and Age","18 years and over","575,421","(+/-8,008)","595,935","(+/-6,918)","588,910","(+/-6,429)","563,057","(+/-5,930)","571,229","(+/-9,836)"
People,"Sex and Age","65 years and over","137,472","(+/-4,559)","149,083","(+/-4,339)","142,925","(+/-3,965)","125,505","(+/-3,466)","135,046","(+/-5,880)"
People,Race,"Total population","716,454","(+/-10,360)","730,400","(+/-9,295)","726,058","(+/-6,916)","721,814","(+/-6,448)","722,450","(+/-10,707)"
People,Race,"One race","642,456","(+/-12,103)","668,862","(+/-10,722)","655,989","(+/-8,773)","634,749","(+/-8,721)","622,798","(+/-13,551)"
People,Race,White,"432,829","(+/-12,172)","579,968","(+/-9,626)","450,179","(+/-9,401)","421,933","(+/-8,482)","448,992","(+/-12,129)"
People,Race,"Black or African American","111,082","(+/-6,802)","31,213","(+/-4,388)","102,851","(+/-6,957)","81,618","(+/-6,214)","66,267","(+/-7,177)"
People,Race,"American Indian and Alaska Native","1,072",(+/-782),"2,933","(+/-1,203)","1,521","(+/-1,047)","4,904","(+/-2,218)","1,941",(+/-867)
People,Race,Asian,"46,451","(+/-4,189)","23,143","(+/-2,517)","35,307","(+/-2,717)","47,339","(+/-3,380)","23,778","(+/-3,212)"
People,Race,"Native Hawaiian and Other Pacific Islander",834,(+/-750),"1,306","(+/-1,534)",107,(+/-152),330,(+/-512),"1,644","(+/-2,518)"
People,Race,"Some other race","50,188","(+/-6,006)","30,299","(+/-5,648)","66,024","(+/-6,731)","78,625","(+/-8,649)","80,176","(+/-9,239)"
People,Race,"Two or more races","73,998","(+/-6,841)","61,538","(+/-6,495)","70,069","(+/-7,623)","87,065","(+/-7,679)","99,652","(+/-9,821)"
People,"Hispanic or Latino and Race","Total population","716,454","(+/-10,360)","730,400","(+/-9,295)","726,058","(+/-6,916)","721,814","(+/-6,448)","722,450","(+/-10,707)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","131,414","(+/-7,266)","78,944","(+/-4,775)","125,689","(+/-7,349)","163,716","(+/-5,772)","173,486","(+/-10,029)"
People,"Hispanic or Latino and Race",Mexican,"9,572","(+/-3,400)","8,902","(+/-2,492)","15,249","(+/-4,988)","14,450","(+/-3,729)","15,306","(+/-4,689)"
People,"Hispanic or Latino and Race","Puerto Rican","79,166","(+/-6,609)","37,464","(+/-6,056)","59,911","(+/-6,382)","37,995","(+/-4,966)","70,515","(+/-7,600)"
People,"Hispanic or Latino and Race",Cuban,"3,129","(+/-1,403)","2,829","(+/-1,584)","1,679","(+/-1,175)","3,989","(+/-1,823)","2,833","(+/-1,538)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","39,547","(+/-6,596)","29,749","(+/-5,383)","48,850","(+/-7,108)","107,282","(+/-6,801)","84,832","(+/-9,922)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","585,040","(+/-11,688)","651,456","(+/-9,170)","600,369","(+/-8,629)","558,098","(+/-7,802)","548,964","(+/-13,517)"
People,"Place of Birth","Total population","716,454","(+/-10,360)","730,400","(+/-9,295)","726,058","(+/-6,916)","721,814","(+/-6,448)","722,450","(+/-10,707)"
People,"Place of Birth",Native,"594,911","(+/-13,016)","671,167","(+/-9,898)","623,540","(+/-9,401)","544,960","(+/-10,670)","591,990","(+/-15,085)"
People,"Place of Birth","Born in United States","557,293","(+/-13,052)","650,007","(+/-9,814)","600,035","(+/-9,483)","519,559","(+/-10,668)","561,785","(+/-14,563)"
People,"Place of Birth","State of residence","410,390","(+/-13,326)","412,283","(+/-11,202)","444,840","(+/-11,545)","279,394","(+/-11,150)","380,803","(+/-14,218)"
People,"Place of Birth","Different state","146,903","(+/-7,509)","237,724","(+/-7,321)","155,195","(+/-8,322)","240,165","(+/-9,526)","180,982","(+/-9,718)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","37,618","(+/-4,294)","21,160","(+/-3,827)","23,505","(+/-3,321)","25,401","(+/-3,514)","30,205","(+/-4,978)"
People,"Place of Birth","Foreign born","121,543","(+/-8,124)","59,233","(+/-5,232)","102,518","(+/-7,399)","176,854","(+/-9,341)","130,460","(+/-10,901)"
People,Ancestry,"Total population","716,454","(+/-10,360)","730,400","(+/-9,295)","726,058","(+/-6,916)","721,814","(+/-6,448)","722,450","(+/-10,707)"
People,Ancestry,American,"18,222","(+/-3,059)","25,464","(+/-3,603)","17,909","(+/-3,254)","27,729","(+/-4,634)","23,869","(+/-4,410)"
People,Ancestry,Arab,"2,789","(+/-1,142)","3,305","(+/-1,777)","6,047","(+/-2,217)","6,347","(+/-2,059)","5,795","(+/-1,593)"
People,Ancestry,Czech,"1,170",(+/-612),"1,281",(+/-604),"1,784",(+/-775),"2,749",(+/-913),"1,474",(+/-694)
People,Ancestry,Danish,771,(+/-405),"1,755",(+/-764),747,(+/-421),"1,976",(+/-994),"1,530",(+/-620)
People,Ancestry,Dutch,"3,293","(+/-1,149)","4,400","(+/-1,288)","4,585","(+/-1,555)","3,454","(+/-1,057)","4,421","(+/-1,403)"
People,Ancestry,English,"53,541","(+/-5,692)","93,716","(+/-5,810)","45,878","(+/-5,306)","53,435","(+/-5,283)","52,832","(+/-4,857)"
People,Ancestry,"French (except Basque)","33,494","(+/-4,436)","51,060","(+/-5,766)","16,985","(+/-3,193)","10,764","(+/-2,130)","21,097","(+/-3,126)"
People,Ancestry,"French Canadian","19,664","(+/-3,092)","32,924","(+/-3,740)","10,854","(+/-2,654)","5,665","(+/-2,290)","13,055","(+/-2,773)"
People,Ancestry,German,"45,378","(+/-4,534)","69,393","(+/-5,443)","45,765","(+/-4,855)","48,873","(+/-5,214)","51,494","(+/-4,497)"
People,Ancestry,Greek,"3,720","(+/-1,129)","5,108","(+/-1,971)","4,383","(+/-1,313)","6,717","(+/-1,694)","4,978","(+/-2,333)"
People,Ancestry,Hungarian,"2,366",(+/-763),"2,816","(+/-1,042)","7,341","(+/-1,672)","6,395","(+/-1,446)","6,119","(+/-2,056)"
People,Ancestry,Irish,"82,940","(+/-6,349)","115,420","(+/-7,051)","99,462","(+/-7,485)","86,456","(+/-5,594)","87,104","(+/-6,655)"
People,Ancestry,Italian,"96,286","(+/-7,073)","102,706","(+/-6,853)","147,568","(+/-6,646)","97,037","(+/-5,991)","105,821","(+/-7,616)"
People,Ancestry,Lithuanian,"5,627","(+/-2,417)","5,887","(+/-1,583)","5,248","(+/-1,560)","2,958",(+/-985),"5,618","(+/-1,924)"
People,Ancestry,Norwegian,"3,114","(+/-1,635)","5,748","(+/-1,273)","2,742","(+/-1,103)","4,670","(+/-1,450)","3,109","(+/-1,023)"
People,Ancestry,Polish,"49,886","(+/-5,040)","52,124","(+/-4,667)","44,353","(+/-4,441)","29,466","(+/-3,878)","48,971","(+/-4,962)"
People,Ancestry,Portuguese,"10,911","(+/-2,859)","9,774","(+/-1,963)","10,337","(+/-3,119)","8,358","(+/-2,486)","14,308","(+/-3,402)"
People,Ancestry,Russian,"7,111","(+/-1,666)","5,829","(+/-1,251)","6,920","(+/-1,518)","10,871","(+/-2,207)","9,795","(+/-2,885)"
People,Ancestry,Scotch-Irish,"2,417",(+/-961),"4,875","(+/-1,291)","2,699",(+/-804),"2,906",(+/-815),"2,412",(+/-904)
People,Ancestry,Scottish,"8,154","(+/-2,066)","16,775","(+/-2,554)","8,854","(+/-2,122)","12,781","(+/-2,938)","8,602","(+/-1,830)"
People,Ancestry,Slovak,"1,612",(+/-697),"1,935",(+/-657),"3,743","(+/-1,263)","3,190",(+/-995),"3,090","(+/-2,054)"
People,Ancestry,"Subsaharan African","10,595","(+/-2,664)","5,217","(+/-2,352)","8,602","(+/-2,798)","7,520","(+/-3,407)","6,641","(+/-3,233)"
People,Ancestry,Swedish,"9,385","(+/-1,786)","15,834","(+/-3,132)","6,820","(+/-1,534)","5,917","(+/-1,608)","8,632","(+/-2,079)"
People,Ancestry,Swiss,998,(+/-598),"2,248",(+/-880),"1,339","(+/-1,001)","1,212",(+/-539),837,(+/-447)
People,Ancestry,Ukrainian,"4,391","(+/-2,246)","4,649","(+/-1,345)","3,604","(+/-1,054)","6,358","(+/-2,524)","5,155","(+/-1,979)"
People,Ancestry,Welsh,"1,733",(+/-630),"4,241","(+/-1,339)","1,448",(+/-582),"2,263",(+/-870),"1,229",(+/-580)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","34,683","(+/-4,321)","7,018","(+/-2,794)","14,565","(+/-3,829)","26,695","(+/-4,791)","18,340","(+/-5,469)"
People,"Veteran Status","Civilian population 18 years and over","574,258","(+/-8,086)","589,306","(+/-7,354)","588,609","(+/-6,463)","563,057","(+/-5,930)","570,895","(+/-9,777)"
People,"Veteran Status","Civilian veterans","24,977","(+/-2,733)","41,772","(+/-2,717)","24,498","(+/-3,046)","16,323","(+/-2,463)","23,700","(+/-2,191)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","708,327","(+/-10,403)","712,970","(+/-9,648)","720,592","(+/-6,962)","718,014","(+/-6,446)","713,918","(+/-10,617)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","91,367","(+/-5,900)","101,585","(+/-5,803)","86,506","(+/-4,807)","76,896","(+/-5,897)","90,410","(+/-6,235)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","140,929","(+/-6,416)","134,336","(+/-4,731)","137,071","(+/-4,811)","158,746","(+/-3,902)","151,019","(+/-7,536)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,333","(+/-1,856)","9,680","(+/-2,154)","6,882","(+/-1,804)","6,703","(+/-1,568)","10,468","(+/-2,813)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","434,581","(+/-7,942)","433,416","(+/-7,253)","444,062","(+/-6,005)","436,238","(+/-6,062)","431,882","(+/-8,815)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","43,369","(+/-3,722)","48,792","(+/-3,999)","40,880","(+/-3,593)","35,198","(+/-4,439)","43,845","(+/-4,537)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","132,817","(+/-4,525)","145,218","(+/-4,360)","139,459","(+/-3,968)","123,030","(+/-3,465)","131,017","(+/-5,886)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,665","(+/-3,616)","43,113","(+/-2,825)","38,744","(+/-2,764)","34,995","(+/-2,981)","36,097","(+/-3,085)"
People,"Residence 1 Year Ago","Population 1 year and over","708,056","(+/-10,374)","723,822","(+/-9,174)","717,972","(+/-7,328)","712,945","(+/-6,675)","713,887","(+/-11,009)"
People,"Residence 1 Year Ago","Same house","638,860","(+/-11,588)","645,937","(+/-10,788)","629,694","(+/-11,509)","632,691","(+/-11,709)","641,069","(+/-13,616)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","69,196","(+/-7,065)","77,885","(+/-6,324)","88,278","(+/-9,414)","80,254","(+/-9,531)","72,818","(+/-7,566)"
People,"Residence 1 Year Ago","Different house in the U.S.","65,992","(+/-7,183)","75,329","(+/-6,182)","81,861","(+/-9,399)","72,861","(+/-8,704)","64,780","(+/-6,509)"
People,"Residence 1 Year Ago","Same county","44,315","(+/-6,361)","36,500","(+/-4,445)","45,475","(+/-7,945)","35,743","(+/-6,492)","37,849","(+/-4,416)"
People,"Residence 1 Year Ago","Different county","21,677","(+/-3,241)","38,829","(+/-4,716)","36,386","(+/-5,458)","37,118","(+/-5,715)","26,931","(+/-4,517)"
People,"Residence 1 Year Ago","Same state","8,967","(+/-2,215)","13,333","(+/-2,339)","17,408","(+/-3,894)","12,412","(+/-2,949)","13,831","(+/-3,403)"
People,"Residence 1 Year Ago","Different state","12,710","(+/-2,828)","25,496","(+/-4,135)","18,978","(+/-3,890)","24,706","(+/-4,670)","13,100","(+/-3,453)"
People,"Residence 1 Year Ago",Abroad,"3,204","(+/-1,107)","2,556","(+/-1,307)","6,417","(+/-1,885)","7,393","(+/-2,373)","8,038","(+/-3,127)"
Workers,"Employment Status","Population 16 years and over","593,325","(+/-7,861)","613,075","(+/-6,972)","606,636","(+/-6,604)","584,072","(+/-6,289)","590,110","(+/-9,744)"
Workers,"Employment Status","In labor force","389,551","(+/-8,254)","402,065","(+/-8,183)","401,470","(+/-8,110)","393,042","(+/-7,475)","397,167","(+/-8,875)"
Workers,"Employment Status","Civilian labor force","388,388","(+/-8,372)","395,436","(+/-8,531)","401,169","(+/-8,108)","393,042","(+/-7,475)","396,833","(+/-8,848)"
Workers,"Employment Status",Employed,"371,144","(+/-8,780)","379,377","(+/-8,717)","381,869","(+/-8,250)","374,440","(+/-7,489)","377,295","(+/-8,964)"
Workers,"Employment Status",Unemployed,"17,244","(+/-3,006)","16,059","(+/-2,354)","19,300","(+/-3,098)","18,602","(+/-2,453)","19,538","(+/-3,472)"
Workers,"Employment Status","Armed Forces","1,163",(+/-884),"6,629","(+/-1,331)",301,(+/-309),0,(+/-222),334,(+/-332)
Workers,"Employment Status","Not in labor force","203,774","(+/-6,553)","211,010","(+/-6,172)","205,166","(+/-7,142)","191,030","(+/-6,101)","192,943","(+/-7,389)"
Workers,"Employment Status","Civilian labor force","388,388","(+/-8,372)","395,436","(+/-8,531)","401,169","(+/-8,108)","393,042","(+/-7,475)","396,833","(+/-8,848)"
Workers,"Employment Status","Unemployment Rate",4.4,(+/-0.8),4.1,(+/-0.6),4.8,(+/-0.8),4.7,(+/-0.6),4.9,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over","363,441","(+/-8,545)","376,782","(+/-8,551)","372,223","(+/-8,520)","365,953","(+/-7,970)","370,044","(+/-8,748)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","262,291","(+/-8,538)","277,835","(+/-7,885)","270,396","(+/-9,149)","217,438","(+/-7,870)","263,335","(+/-8,524)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,361","(+/-3,735)","30,246","(+/-3,824)","24,673","(+/-3,679)","34,445","(+/-3,488)","36,147","(+/-4,962)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","11,509","(+/-2,386)","4,993","(+/-1,412)","10,301","(+/-2,199)","35,562","(+/-3,481)","6,696","(+/-1,511)"
Workers,"Commuting to Work",Walked,"3,905","(+/-1,080)","6,400","(+/-1,272)","13,177","(+/-2,374)","10,298","(+/-1,807)","7,524","(+/-1,913)"
Workers,"Commuting to Work","Other means","8,714","(+/-2,052)","3,929","(+/-1,061)","5,775","(+/-1,595)","5,351","(+/-1,353)","5,416","(+/-2,062)"
Workers,"Commuting to Work","Worked from home","48,661","(+/-3,808)","53,379","(+/-4,562)","47,901","(+/-3,934)","62,859","(+/-4,694)","50,926","(+/-4,143)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.3,(+/-0.7),25.9,(+/-0.7),25.7,(+/-0.8),32.4,(+/-0.9),27.7,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","371,144","(+/-8,780)","379,377","(+/-8,717)","381,869","(+/-8,250)","374,440","(+/-7,489)","377,295","(+/-8,964)"
Workers,Occupation,"Management, business, science, and arts occupations","172,271","(+/-7,312)","177,607","(+/-6,112)","180,662","(+/-5,882)","199,188","(+/-6,983)","163,555","(+/-6,219)"
Workers,Occupation,"Service occupations","63,914","(+/-4,964)","62,797","(+/-4,417)","67,021","(+/-5,036)","52,596","(+/-3,905)","67,636","(+/-5,745)"
Workers,Occupation,"Sales and office occupations","68,937","(+/-4,692)","66,346","(+/-4,772)","70,213","(+/-4,791)","71,482","(+/-4,915)","72,070","(+/-5,412)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","20,505","(+/-2,563)","30,723","(+/-3,077)","23,625","(+/-3,356)","25,232","(+/-3,940)","32,212","(+/-3,333)"
Workers,Occupation,"Production, transportation, and material moving occupations","45,517","(+/-3,437)","41,904","(+/-4,286)","40,348","(+/-4,431)","25,942","(+/-2,765)","41,822","(+/-3,750)"
Workers,Industry,"Civilian employed population 16 years and over","371,144","(+/-8,780)","379,377","(+/-8,717)","381,869","(+/-8,250)","374,440","(+/-7,489)","377,295","(+/-8,964)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,273",(+/-902),"3,158","(+/-1,287)",562,(+/-419),876,(+/-356),"2,967","(+/-1,120)"
Workers,Industry,Construction,"16,783","(+/-2,342)","26,096","(+/-3,072)","19,580","(+/-2,810)","23,326","(+/-3,910)","28,598","(+/-3,560)"
Workers,Industry,Manufacturing,"38,388","(+/-3,343)","52,224","(+/-4,116)","38,113","(+/-4,189)","29,014","(+/-3,147)","41,156","(+/-3,575)"
Workers,Industry,"Wholesale trade","6,383","(+/-1,679)","6,250","(+/-1,483)","5,278","(+/-1,337)","7,312","(+/-1,390)","6,597","(+/-1,548)"
Workers,Industry,"Retail trade","37,041","(+/-3,335)","37,968","(+/-3,643)","37,091","(+/-3,636)","35,203","(+/-3,275)","37,719","(+/-3,741)"
Workers,Industry,"Transportation and warehousing, and utilities","22,943","(+/-3,455)","19,243","(+/-2,324)","20,066","(+/-3,284)","11,891","(+/-2,065)","17,072","(+/-2,664)"
Workers,Industry,Information,"5,699","(+/-1,541)","6,149","(+/-1,149)","6,403","(+/-1,328)","11,172","(+/-1,737)","8,524","(+/-1,718)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","34,752","(+/-3,475)","23,972","(+/-2,811)","21,360","(+/-2,729)","47,497","(+/-3,684)","27,265","(+/-2,924)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","48,342","(+/-4,764)","39,320","(+/-3,728)","41,748","(+/-4,298)","65,286","(+/-4,635)","44,377","(+/-4,015)"
Workers,Industry,"Educational services, and health care and social assistance","99,730","(+/-6,503)","98,172","(+/-4,896)","138,475","(+/-6,898)","89,872","(+/-5,759)","100,252","(+/-5,455)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","28,391","(+/-3,897)","37,299","(+/-3,812)","26,509","(+/-3,200)","28,221","(+/-3,452)","30,359","(+/-4,015)"
Workers,Industry,"Other services, except public administration","13,626","(+/-2,274)","12,414","(+/-1,871)","16,552","(+/-2,426)","16,843","(+/-2,512)","18,542","(+/-3,177)"
Workers,Industry,"Public administration","16,793","(+/-2,507)","17,112","(+/-2,324)","10,132","(+/-2,040)","7,927","(+/-1,824)","13,867","(+/-2,417)"
Workers,"Class of Worker","Civilian employed population 16 years and over","371,144","(+/-8,780)","379,377","(+/-8,717)","381,869","(+/-8,250)","374,440","(+/-7,489)","377,295","(+/-8,964)"
Workers,"Class of Worker","Private wage and salary workers","298,326","(+/-8,388)","297,376","(+/-8,446)","308,730","(+/-8,611)","310,074","(+/-7,976)","302,114","(+/-9,562)"
Workers,"Class of Worker","Government workers","55,542","(+/-4,112)","60,152","(+/-4,483)","49,451","(+/-4,388)","34,495","(+/-3,619)","50,679","(+/-4,552)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","16,775","(+/-1,945)","21,390","(+/-2,532)","23,544","(+/-3,045)","29,000","(+/-2,875)","23,963","(+/-3,328)"
Workers,"Class of Worker","Unpaid family workers",501,(+/-315),459,(+/-321),144,(+/-182),871,(+/-625),539,(+/-416)
Housing,"Housing Occupancy","Total housing units","318,884","(+/-5,245)","317,654","(+/-3,479)","314,998","(+/-4,149)","285,557","(+/-3,331)","308,917","(+/-7,023)"
Housing,"Housing Occupancy","Occupied housing units","298,957","(+/-5,603)","293,459","(+/-4,169)","296,504","(+/-3,941)","269,400","(+/-3,815)","284,649","(+/-6,389)"
Housing,"Housing Occupancy","Vacant housing units","19,927","(+/-2,992)","24,195","(+/-2,825)","18,494","(+/-3,152)","16,157","(+/-2,359)","24,268","(+/-3,802)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,(+/-0.5),0.3,(+/-0.3),0.8,(+/-0.5),0.7,(+/-0.4),0.9,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",5.0,(+/-1.6),3.8,(+/-1.7),4.6,(+/-1.5),4.0,(+/-1.1),6.8,(+/-1.8)
Housing,"Housing Tenure","Occupied housing units","298,957","(+/-5,603)","293,459","(+/-4,169)","296,504","(+/-3,941)","269,400","(+/-3,815)","284,649","(+/-6,389)"
Housing,"Housing Tenure",Owner-occupied,"189,453","(+/-5,274)","212,348","(+/-4,110)","185,257","(+/-5,298)","173,227","(+/-3,766)","187,836","(+/-5,287)"
Housing,"Housing Tenure",Renter-occupied,"109,504","(+/-4,452)","81,111","(+/-4,219)","111,247","(+/-5,104)","96,173","(+/-3,783)","96,813","(+/-4,960)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.56,(+/-0.06),2.56,(+/-0.04),2.50,(+/-0.05),2.80,(+/-0.05),2.63,(+/-0.06)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.97,(+/-0.06),1.90,(+/-0.06),2.12,(+/-0.06),2.32,(+/-0.09),2.20,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","298,957","(+/-5,603)","293,459","(+/-4,169)","296,504","(+/-3,941)","269,400","(+/-3,815)","284,649","(+/-6,389)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","72,996","(+/-4,508)","59,578","(+/-3,465)","66,709","(+/-4,294)","65,617","(+/-4,013)","60,751","(+/-4,228)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","53,281","(+/-3,862)","53,760","(+/-4,611)","55,107","(+/-3,735)","48,849","(+/-3,399)","53,877","(+/-4,726)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","61,389","(+/-3,912)","60,464","(+/-3,379)","61,451","(+/-4,187)","60,557","(+/-3,790)","68,289","(+/-4,552)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","51,914","(+/-3,790)","49,485","(+/-3,618)","48,006","(+/-4,073)","41,154","(+/-3,226)","45,753","(+/-3,880)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","28,393","(+/-2,546)","31,089","(+/-2,945)","31,350","(+/-2,644)","26,035","(+/-2,995)","26,283","(+/-2,770)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","30,984","(+/-2,359)","39,083","(+/-2,605)","33,881","(+/-2,292)","27,188","(+/-2,642)","29,696","(+/-2,575)"
Housing,Value,"Owner-occupied units","189,453","(+/-5,274)","212,348","(+/-4,110)","185,257","(+/-5,298)","173,227","(+/-3,766)","187,836","(+/-5,287)"
Housing,Value,"Less than $50,000","3,767","(+/-1,062)","6,095","(+/-1,263)","7,425","(+/-1,525)","3,730",(+/-990),"5,566","(+/-1,612)"
Housing,Value,"$50,000 to $99,999","2,911",(+/-951),"3,261",(+/-765),"1,631",(+/-681),"1,140",(+/-578),"2,106",(+/-767)
Housing,Value,"$100,000 to $149,999","8,200","(+/-1,961)","5,228","(+/-1,285)","5,550","(+/-1,615)","1,750",(+/-684),"7,010","(+/-1,459)"
Housing,Value,"$150,000 to $199,999","15,948","(+/-2,226)","12,915","(+/-1,722)","11,270","(+/-2,165)","3,545","(+/-1,159)","15,505","(+/-2,128)"
Housing,Value,"$200,000 to $299,999","57,287","(+/-3,620)","55,016","(+/-3,355)","42,508","(+/-3,779)","11,788","(+/-1,888)","41,313","(+/-3,215)"
Housing,Value,"$300,000 to $499,999","74,616","(+/-4,205)","85,672","(+/-3,462)","80,535","(+/-4,158)","37,478","(+/-2,593)","68,756","(+/-4,198)"
Housing,Value,"$500,000 to $999,999","24,879","(+/-2,395)","38,030","(+/-2,703)","32,392","(+/-2,256)","67,358","(+/-3,208)","41,699","(+/-2,485)"
Housing,Value,"$1,000,000 or more","1,845",(+/-751),"6,131",(+/-946),"3,946","(+/-1,142)","46,438","(+/-2,357)","5,881","(+/-1,183)"
Housing,Value,"Median (dollars)","313,200","(+/-6,059)","343,700","(+/-5,185)","351,100","(+/-6,433)","669,900","(+/-15,545)","357,200","(+/-7,926)"
Housing,"Mortgage Status","Owner-occupied units","189,453","(+/-5,274)","212,348","(+/-4,110)","185,257","(+/-5,298)","173,227","(+/-3,766)","187,836","(+/-5,287)"
Housing,"Mortgage Status","Housing units with a mortgage","121,259","(+/-4,950)","132,266","(+/-4,398)","117,372","(+/-5,356)","111,430","(+/-4,027)","119,658","(+/-4,636)"
Housing,"Mortgage Status","Housing units without a mortgage","68,194","(+/-4,176)","80,082","(+/-4,080)","67,885","(+/-3,864)","61,797","(+/-3,279)","68,178","(+/-3,291)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","121,259","(+/-4,950)","132,266","(+/-4,398)","117,372","(+/-5,356)","111,430","(+/-4,027)","119,658","(+/-4,636)"
