Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,"Sex and Age","45 to 54 years","93,629","(+/-3,237)","100,210","(+/-1,668)","87,715","(+/-4,478)","102,659","(+/-2,662)","94,831","(+/-1,890)","94,541","(+/-2,745)","95,870","(+/-3,185)","92,081","(+/-4,265)","91,871","(+/-1,933)","86,935","(+/-1,702)","82,021","(+/-3,074)","99,659","(+/-2,524)","91,354","(+/-2,238)","93,912","(+/-1,657)","97,729","(+/-4,742)"
People,"Sex and Age","55 to 59 years","44,099","(+/-3,113)","51,228","(+/-3,210)","38,957","(+/-3,040)","48,724","(+/-3,444)","50,738","(+/-2,968)","52,694","(+/-3,035)","55,947","(+/-3,077)","49,779","(+/-3,684)","45,471","(+/-2,453)","45,762","(+/-2,982)","41,606","(+/-2,699)","50,888","(+/-2,775)","53,734","(+/-3,368)","48,916","(+/-3,079)","43,246","(+/-3,497)"
People,"Sex and Age","60 to 64 years","50,089","(+/-2,960)","55,425","(+/-3,238)","44,086","(+/-3,087)","53,036","(+/-3,125)","52,692","(+/-2,809)","59,213","(+/-3,412)","54,593","(+/-3,329)","52,592","(+/-3,506)","56,482","(+/-2,657)","54,080","(+/-2,986)","53,470","(+/-2,921)","51,804","(+/-2,539)","51,231","(+/-3,352)","62,535","(+/-3,006)","47,921","(+/-3,268)"
People,"Sex and Age","65 to 74 years","76,012","(+/-3,026)","92,839","(+/-1,443)","62,374","(+/-2,946)","87,617","(+/-1,778)","92,897","(+/-1,590)","101,714","(+/-2,697)","93,172","(+/-2,803)","86,775","(+/-3,045)","92,950","(+/-1,752)","87,478","(+/-1,424)","88,120","(+/-2,615)","86,820","(+/-1,937)","93,656","(+/-2,145)","100,151","(+/-1,033)","75,748","(+/-3,190)"
People,"Sex and Age","75 to 84 years","35,581","(+/-1,866)","43,613","(+/-1,695)","32,790","(+/-2,329)","43,358","(+/-1,898)","47,775","(+/-1,819)","50,588","(+/-2,308)","49,432","(+/-2,261)","42,779","(+/-2,406)","48,308","(+/-2,266)","45,950","(+/-1,691)","40,717","(+/-2,285)","44,609","(+/-1,864)","48,198","(+/-2,465)","49,019","(+/-2,081)","34,308","(+/-2,525)"
People,"Sex and Age","85 years and over","13,866","(+/-1,616)","15,332","(+/-1,682)","10,678","(+/-1,506)","16,088","(+/-1,835)","16,048","(+/-1,544)","20,946","(+/-1,994)","19,566","(+/-1,907)","14,942","(+/-1,580)","15,497","(+/-1,899)","16,472","(+/-1,836)","17,567","(+/-2,062)","14,516","(+/-1,632)","17,418","(+/-1,931)","19,100","(+/-1,836)","10,613","(+/-1,269)"
People,"Sex and Age","Median age (years)",37.2,(+/-0.6),41.9,(+/-0.4),34.7,(+/-0.5),40.5,(+/-0.4),40.7,(+/-0.3),44.3,(+/-0.5),43.3,(+/-0.6),38.9,(+/-0.7),41.0,(+/-0.5),38.8,(+/-0.4),38.4,(+/-0.6),39.3,(+/-0.5),41.2,(+/-0.5),43.0,(+/-0.3),37.2,(+/-0.7)
People,"Sex and Age","18 years and over","616,345","(+/-6,200)","615,927","(+/-1,828)","611,765","(+/-10,887)","619,962","(+/-3,001)","618,757","(+/-3,104)","619,621","(+/-4,376)","607,373","(+/-7,522)","601,462","(+/-6,477)","607,826","(+/-2,793)","612,131","(+/-2,420)","614,278","(+/-7,264)","620,895","(+/-3,818)","617,608","(+/-3,809)","628,654","(+/-1,407)","602,710","(+/-11,740)"
People,"Sex and Age","65 years and over","125,459","(+/-3,622)","151,784","(+/-1,478)","105,842","(+/-3,596)","147,063","(+/-1,979)","156,720","(+/-1,707)","173,248","(+/-3,766)","162,170","(+/-3,755)","144,496","(+/-3,754)","156,755","(+/-1,945)","149,900","(+/-1,576)","146,404","(+/-3,527)","145,945","(+/-2,156)","159,272","(+/-2,981)","168,270","(+/-1,259)","120,669","(+/-3,899)"
People,Race,"Total population","796,831","(+/-7,373)","787,945","(+/-1,787)","784,597","(+/-16,866)","803,311","(+/-3,960)","790,574","(+/-3,448)","773,456","(+/-5,297)","769,701","(+/-9,713)","786,259","(+/-8,133)","776,106","(+/-3,384)","784,462","(+/-3,132)","772,345","(+/-8,909)","804,132","(+/-5,621)","781,848","(+/-3,788)","784,185","(+/-1,123)","790,183","(+/-17,939)"
People,Race,"One race","733,971","(+/-9,639)","753,104","(+/-3,877)","718,349","(+/-16,676)","757,246","(+/-5,018)","734,958","(+/-4,844)","728,702","(+/-6,709)","727,007","(+/-9,671)","727,022","(+/-9,608)","715,284","(+/-6,390)","719,906","(+/-5,779)","713,421","(+/-10,311)","757,256","(+/-5,891)","726,603","(+/-7,402)","741,807","(+/-5,763)","728,685","(+/-17,007)"
People,Race,White,"545,824","(+/-9,610)","727,938","(+/-3,501)","424,692","(+/-11,425)","688,696","(+/-4,781)","678,074","(+/-4,048)","669,394","(+/-5,735)","669,096","(+/-9,048)","585,930","(+/-10,104)","593,432","(+/-4,804)","562,706","(+/-3,988)","328,618","(+/-8,142)","702,704","(+/-6,103)","596,969","(+/-4,905)","681,633","(+/-4,007)","574,021","(+/-12,664)"
People,Race,"Black or African American","134,339","(+/-9,711)","12,916","(+/-1,855)","219,504","(+/-11,515)","31,168","(+/-3,128)","26,861","(+/-2,621)","40,469","(+/-3,193)","24,289","(+/-4,469)","103,015","(+/-9,890)","90,509","(+/-4,171)","125,873","(+/-4,127)","333,575","(+/-6,096)","31,105","(+/-2,543)","91,399","(+/-5,928)","41,698","(+/-3,839)","100,671","(+/-11,150)"
People,Race,"American Indian and Alaska Native",861,(+/-451),"2,087",(+/-990),"3,457","(+/-2,132)","1,029",(+/-584),"1,845",(+/-796),"1,220",(+/-759),990,(+/-569),"1,512","(+/-1,112)","1,347",(+/-751),"1,500",(+/-842),"1,921","(+/-1,057)",813,(+/-582),979,(+/-530),885,(+/-497),809,(+/-436)
People,Race,Asian,"33,436","(+/-2,939)","3,791",(+/-925),"45,508","(+/-4,446)","27,079","(+/-1,708)","8,234","(+/-1,034)","4,025",(+/-877),"23,687","(+/-3,008)","21,928","(+/-2,316)","12,501","(+/-1,080)","16,813","(+/-1,528)","22,898","(+/-2,635)","17,232","(+/-1,602)","27,387","(+/-1,697)","8,074","(+/-1,463)","30,165","(+/-3,747)"
People,Race,"Native Hawaiian and Other Pacific Islander",714,(+/-354),141,(+/-137),141,(+/-171),67,(+/-84),471,(+/-416),75,(+/-92),365,(+/-368),18,(+/-43),227,(+/-321),509,(+/-629),0,(+/-208),269,(+/-243),"1,710","(+/-2,011)",57,(+/-97),408,(+/-625)
People,Race,"Some other race","18,797","(+/-5,311)","6,231","(+/-1,804)","25,047","(+/-5,774)","9,207","(+/-2,695)","19,473","(+/-3,098)","13,519","(+/-2,686)","8,580","(+/-2,826)","14,619","(+/-3,680)","17,268","(+/-3,032)","12,505","(+/-3,298)","26,409","(+/-4,975)","5,133","(+/-1,481)","8,159","(+/-2,762)","9,460","(+/-2,398)","22,611","(+/-5,200)"
People,Race,"Two or more races","62,860","(+/-7,004)","34,841","(+/-3,384)","66,248","(+/-7,774)","46,065","(+/-3,456)","55,616","(+/-4,520)","44,754","(+/-4,268)","42,694","(+/-5,009)","59,237","(+/-6,654)","60,822","(+/-5,468)","64,556","(+/-5,296)","58,924","(+/-6,959)","46,876","(+/-4,064)","55,245","(+/-6,313)","42,378","(+/-5,701)","61,498","(+/-6,916)"
People,"Hispanic or Latino and Race","Total population","796,831","(+/-7,373)","787,945","(+/-1,787)","784,597","(+/-16,866)","803,311","(+/-3,960)","790,574","(+/-3,448)","773,456","(+/-5,297)","769,701","(+/-9,713)","786,259","(+/-8,133)","776,106","(+/-3,384)","784,462","(+/-3,132)","772,345","(+/-8,909)","804,132","(+/-5,621)","781,848","(+/-3,788)","784,185","(+/-1,123)","790,183","(+/-17,939)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","39,545","(+/-3,053)","11,606",(+/-460),"56,905","(+/-5,590)","22,668","(+/-1,792)","59,888","(+/-1,244)","28,207","(+/-2,418)","33,309","(+/-3,620)","38,776","(+/-3,105)","61,980","(+/-1,134)","31,211",(+/-843),"63,159","(+/-3,618)","18,046","(+/-1,931)","22,932","(+/-2,064)","28,143",(+/-3),"49,855","(+/-5,767)"
People,"Hispanic or Latino and Race",Mexican,"12,440","(+/-3,195)","5,199","(+/-1,483)","31,239","(+/-4,638)","12,437","(+/-2,007)","25,948","(+/-3,071)","7,556","(+/-2,744)","7,057","(+/-2,007)","12,864","(+/-3,499)","45,918","(+/-3,026)","15,805","(+/-2,419)","11,964","(+/-2,567)","6,125","(+/-1,279)","9,529","(+/-2,224)","9,794","(+/-2,533)","24,248","(+/-5,006)"
People,"Hispanic or Latino and Race","Puerto Rican","4,273","(+/-1,689)","2,094",(+/-837),"6,218","(+/-1,955)","3,942","(+/-1,371)","20,614","(+/-2,803)","11,794","(+/-1,504)","15,239","(+/-3,733)","3,198","(+/-1,714)","6,197","(+/-2,143)","5,161","(+/-1,619)","32,647","(+/-5,358)","1,996",(+/-724),"4,330","(+/-1,662)","9,645","(+/-2,486)","6,416","(+/-2,184)"
People,"Hispanic or Latino and Race",Cuban,925,(+/-486),244,(+/-231),274,(+/-223),569,(+/-286),"1,465",(+/-872),410,(+/-515),268,(+/-366),619,(+/-411),"1,462","(+/-1,157)",666,(+/-553),"1,186",(+/-621),600,(+/-438),"1,009","(+/-1,134)",887,(+/-755),"1,007",(+/-686)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","21,907","(+/-3,197)","4,069","(+/-1,293)","19,174","(+/-3,477)","5,720","(+/-1,587)","11,861","(+/-2,416)","8,447","(+/-1,546)","10,745","(+/-2,337)","22,095","(+/-4,301)","8,403","(+/-2,116)","9,579","(+/-1,941)","17,362","(+/-3,867)","9,325","(+/-2,417)","8,064","(+/-2,369)","7,817","(+/-2,522)","18,184","(+/-4,875)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","757,286","(+/-7,189)","776,339","(+/-1,934)","727,692","(+/-15,906)","780,643","(+/-4,617)","730,686","(+/-3,715)","745,249","(+/-5,617)","736,392","(+/-9,349)","747,483","(+/-7,736)","714,126","(+/-3,477)","753,251","(+/-3,004)","709,186","(+/-8,474)","786,086","(+/-5,593)","758,916","(+/-4,535)","756,042","(+/-1,123)","740,328","(+/-17,372)"
People,"Place of Birth","Total population","796,831","(+/-7,373)","787,945","(+/-1,787)","784,597","(+/-16,866)","803,311","(+/-3,960)","790,574","(+/-3,448)","773,456","(+/-5,297)","769,701","(+/-9,713)","786,259","(+/-8,133)","776,106","(+/-3,384)","784,462","(+/-3,132)","772,345","(+/-8,909)","804,132","(+/-5,621)","781,848","(+/-3,788)","784,185","(+/-1,123)","790,183","(+/-17,939)"
People,"Place of Birth",Native,"734,083","(+/-8,386)","777,366","(+/-2,649)","676,203","(+/-14,990)","772,574","(+/-4,985)","768,584","(+/-4,698)","758,804","(+/-5,218)","713,242","(+/-10,115)","741,179","(+/-8,642)","751,111","(+/-4,533)","749,056","(+/-4,131)","721,323","(+/-9,453)","782,152","(+/-5,893)","741,655","(+/-5,352)","759,015","(+/-3,594)","717,725","(+/-16,552)"
People,"Place of Birth","Born in United States","727,900","(+/-8,346)","773,461","(+/-3,049)","666,638","(+/-14,862)","768,196","(+/-5,173)","760,187","(+/-4,708)","752,680","(+/-5,228)","704,443","(+/-10,237)","733,318","(+/-8,736)","746,184","(+/-4,938)","738,273","(+/-4,605)","705,016","(+/-9,385)","777,033","(+/-5,809)","736,925","(+/-5,636)","752,835","(+/-3,908)","709,221","(+/-16,595)"
People,"Place of Birth","State of residence","539,098","(+/-9,541)","600,491","(+/-7,841)","488,947","(+/-13,768)","629,086","(+/-8,727)","632,682","(+/-7,169)","574,696","(+/-9,610)","593,969","(+/-10,241)","573,143","(+/-10,113)","599,007","(+/-10,050)","551,767","(+/-8,270)","558,281","(+/-12,581)","637,382","(+/-7,321)","607,082","(+/-8,642)","609,409","(+/-7,795)","567,072","(+/-15,543)"
People,"Place of Birth","Different state","188,802","(+/-7,683)","172,970","(+/-6,557)","177,691","(+/-8,748)","139,110","(+/-7,367)","127,505","(+/-6,124)","177,984","(+/-7,418)","110,474","(+/-5,534)","160,175","(+/-7,963)","147,177","(+/-8,149)","186,506","(+/-7,045)","146,735","(+/-8,950)","139,651","(+/-5,509)","129,843","(+/-6,965)","143,426","(+/-6,674)","142,149","(+/-8,446)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,183","(+/-1,877)","3,905","(+/-1,252)","9,565","(+/-2,755)","4,378","(+/-1,178)","8,397","(+/-1,910)","6,124","(+/-1,571)","8,799","(+/-2,575)","7,861","(+/-2,247)","4,927","(+/-1,220)","10,783","(+/-2,742)","16,307","(+/-2,708)","5,119","(+/-1,395)","4,730","(+/-1,754)","6,180","(+/-1,679)","8,504","(+/-2,003)"
People,"Place of Birth","Foreign born","62,748","(+/-4,899)","10,579","(+/-1,855)","108,394","(+/-9,957)","30,737","(+/-3,038)","21,990","(+/-3,171)","14,652","(+/-1,901)","56,459","(+/-5,182)","45,080","(+/-5,821)","24,995","(+/-2,683)","35,406","(+/-2,729)","51,022","(+/-4,801)","21,980","(+/-2,460)","40,193","(+/-3,895)","25,170","(+/-3,423)","72,458","(+/-7,440)"
People,Ancestry,"Total population","796,831","(+/-7,373)","787,945","(+/-1,787)","784,597","(+/-16,866)","803,311","(+/-3,960)","790,574","(+/-3,448)","773,456","(+/-5,297)","769,701","(+/-9,713)","786,259","(+/-8,133)","776,106","(+/-3,384)","784,462","(+/-3,132)","772,345","(+/-8,909)","804,132","(+/-5,621)","781,848","(+/-3,788)","784,185","(+/-1,123)","790,183","(+/-17,939)"
People,Ancestry,American,"29,157","(+/-3,606)","75,073","(+/-7,218)","24,802","(+/-5,002)","60,498","(+/-4,683)","48,599","(+/-5,643)","39,155","(+/-3,426)","30,381","(+/-4,020)","44,384","(+/-5,030)","38,838","(+/-4,156)","46,168","(+/-4,818)","19,959","(+/-3,237)","60,647","(+/-6,503)","40,503","(+/-5,482)","67,384","(+/-6,240)","47,779","(+/-5,202)"
People,Ancestry,Arab,"6,298","(+/-2,627)",825,(+/-453),"10,533","(+/-3,779)","1,479","(+/-1,007)","2,513","(+/-1,331)","3,739","(+/-1,606)","12,294","(+/-3,274)","5,045","(+/-3,183)","8,982","(+/-2,733)","5,588","(+/-2,358)","8,687","(+/-2,321)","2,079","(+/-1,115)","5,587","(+/-3,077)","2,529",(+/-984),"10,577","(+/-3,895)"
People,Ancestry,Czech,"2,064",(+/-787),732,(+/-705),"1,152",(+/-442),"1,679",(+/-729),"4,299","(+/-1,374)","1,876",(+/-760),"9,031","(+/-1,468)","2,128","(+/-2,252)","2,933","(+/-1,018)","2,048",(+/-861),"4,463","(+/-1,203)","2,289","(+/-1,033)","4,331","(+/-1,345)","5,286","(+/-1,442)","1,555",(+/-702)
People,Ancestry,Danish,844,(+/-364),789,(+/-540),"1,573",(+/-890),350,(+/-276),997,(+/-512),700,(+/-408),"1,328",(+/-628),926,(+/-901),919,(+/-429),"2,190",(+/-959),855,(+/-489),672,(+/-459),"1,494",(+/-690),"1,736",(+/-733),"1,260","(+/-1,078)"
People,Ancestry,Dutch,"10,086","(+/-2,919)","8,718","(+/-1,890)","5,613","(+/-1,167)","8,042","(+/-1,550)","6,625","(+/-1,483)","7,786","(+/-1,860)","8,192","(+/-2,026)","4,919","(+/-1,293)","5,198","(+/-1,394)","6,297","(+/-1,387)","3,038","(+/-1,071)","12,673","(+/-3,567)","5,433","(+/-1,684)","6,507","(+/-2,120)","6,437","(+/-1,529)"
People,Ancestry,English,"84,457","(+/-6,873)","97,154","(+/-7,477)","75,564","(+/-5,374)","99,140","(+/-6,572)","81,970","(+/-5,684)","84,684","(+/-5,524)","75,726","(+/-6,031)","80,980","(+/-7,851)","74,260","(+/-5,612)","88,481","(+/-5,488)","42,131","(+/-4,401)","112,434","(+/-7,110)","85,372","(+/-7,441)","84,376","(+/-5,675)","90,723","(+/-6,065)"
People,Ancestry,"French (except Basque)","13,649","(+/-3,142)","10,617","(+/-2,473)","12,412","(+/-2,347)","11,364","(+/-2,111)","14,422","(+/-3,351)","11,695","(+/-1,874)","13,031","(+/-2,690)","12,965","(+/-2,178)","17,351","(+/-1,897)","13,264","(+/-2,502)","7,800","(+/-1,776)","9,476","(+/-1,811)","13,095","(+/-2,820)","10,626","(+/-2,058)","14,590","(+/-3,146)"
People,Ancestry,"French Canadian","1,556",(+/-656),"1,030",(+/-574),"1,978",(+/-742),"1,352",(+/-572),"1,664",(+/-655),"1,329","(+/-1,019)","1,300",(+/-622),559,(+/-273),"3,149",(+/-869),"1,609",(+/-692),963,(+/-584),"1,512",(+/-909),784,(+/-383),"1,027",(+/-557),670,(+/-403)
People,Ancestry,German,"185,828","(+/-9,605)","159,618","(+/-9,072)","129,534","(+/-7,904)","203,547","(+/-10,636)","232,437","(+/-8,911)","157,200","(+/-9,403)","182,604","(+/-9,416)","195,249","(+/-12,427)","200,032","(+/-9,110)","158,558","(+/-8,254)","80,127","(+/-5,997)","173,173","(+/-8,591)","165,209","(+/-7,831)","149,573","(+/-8,281)","154,057","(+/-10,373)"
People,Ancestry,Greek,"3,267","(+/-1,065)","1,333",(+/-590),"3,207","(+/-1,219)","1,606",(+/-754),"4,470","(+/-1,918)","5,844","(+/-1,929)","6,020","(+/-1,882)","2,445","(+/-1,114)","3,053",(+/-981),"4,476","(+/-2,292)","2,741","(+/-1,221)","1,768",(+/-869),"6,052","(+/-1,521)","4,139","(+/-1,198)","2,035",(+/-941)
People,Ancestry,Hungarian,"4,366","(+/-1,270)","3,104",(+/-966),"4,493","(+/-1,115)","4,519","(+/-1,670)","12,135","(+/-2,271)","11,567","(+/-1,896)","24,941","(+/-3,358)","3,516","(+/-1,142)","12,751","(+/-2,237)","6,981","(+/-2,577)","13,479","(+/-2,113)","5,512","(+/-1,408)","17,450","(+/-2,862)","20,191","(+/-2,671)","4,705","(+/-1,494)"
People,Ancestry,Irish,"95,843","(+/-5,581)","94,716","(+/-6,338)","77,924","(+/-6,674)","103,458","(+/-7,898)","86,977","(+/-6,130)","109,719","(+/-7,858)","115,852","(+/-7,175)","91,455","(+/-7,034)","83,094","(+/-6,696)","94,718","(+/-7,244)","65,249","(+/-4,733)","91,901","(+/-7,145)","97,420","(+/-7,605)","105,808","(+/-6,080)","91,221","(+/-7,486)"
People,Ancestry,Italian,"33,277","(+/-4,033)","23,461","(+/-4,629)","38,357","(+/-4,309)","30,998","(+/-3,820)","42,407","(+/-4,698)","80,121","(+/-5,608)","73,346","(+/-5,317)","28,324","(+/-5,058)","30,139","(+/-4,738)","27,537","(+/-4,218)","49,368","(+/-4,623)","30,834","(+/-3,738)","74,894","(+/-7,143)","92,879","(+/-6,489)","36,293","(+/-4,545)"
People,Ancestry,Lithuanian,"1,558",(+/-791),423,(+/-311),"1,367",(+/-587),515,(+/-364),553,(+/-363),"1,566",(+/-973),"4,516","(+/-2,112)",655,(+/-598),592,(+/-391),869,(+/-485),"1,506",(+/-521),651,(+/-481),"1,745",(+/-693),"3,471","(+/-1,143)",621,(+/-453)
People,Ancestry,Norwegian,"4,469","(+/-1,521)","1,818","(+/-1,223)","3,724","(+/-1,284)","3,823","(+/-1,537)","1,399",(+/-650),"1,572",(+/-742),"2,986","(+/-1,296)","2,610","(+/-1,063)","2,826","(+/-1,060)","2,498",(+/-943),"1,255",(+/-637),"2,879","(+/-1,097)","2,312",(+/-973),"2,958","(+/-1,046)","2,640","(+/-1,044)"
People,Ancestry,Polish,"15,910","(+/-3,524)","6,702","(+/-1,256)","16,743","(+/-2,872)","15,222","(+/-3,042)","26,795","(+/-3,488)","23,776","(+/-2,981)","71,426","(+/-5,754)","13,821","(+/-3,441)","45,969","(+/-5,058)","10,964","(+/-1,983)","27,148","(+/-2,639)","13,679","(+/-2,675)","30,279","(+/-4,450)","38,291","(+/-4,430)","14,681","(+/-3,425)"
People,Ancestry,Portuguese,"1,142",(+/-894),559,(+/-390),"1,190",(+/-956),112,(+/-123),214,(+/-189),269,(+/-368),692,(+/-552),420,(+/-368),537,(+/-580),244,(+/-199),"1,035",(+/-625),533,(+/-388),"1,017",(+/-697),458,(+/-464),"1,407",(+/-871)
People,Ancestry,Russian,"4,282","(+/-1,541)",839,(+/-522),"4,140","(+/-1,089)","1,579",(+/-877),"2,198",(+/-807),"2,354","(+/-1,018)","7,341","(+/-1,803)","1,645",(+/-804),"2,233",(+/-994),"1,415",(+/-760),"8,130","(+/-2,863)","2,844","(+/-1,417)","3,148","(+/-1,112)","5,768","(+/-1,811)","3,742","(+/-1,805)"
People,Ancestry,Scotch-Irish,"6,437","(+/-1,355)","7,228","(+/-2,257)","5,685","(+/-1,249)","6,387","(+/-2,505)","4,736","(+/-1,598)","7,522","(+/-1,680)","5,575","(+/-1,572)","5,547","(+/-1,492)","5,098","(+/-1,890)","7,009","(+/-1,497)","3,676","(+/-1,352)","6,974","(+/-1,803)","6,280","(+/-1,277)","6,359","(+/-1,410)","4,929","(+/-1,211)"
People,Ancestry,Scottish,"15,255","(+/-2,359)","15,611","(+/-2,724)","14,908","(+/-2,301)","16,741","(+/-2,754)","13,376","(+/-2,589)","14,965","(+/-2,532)","15,241","(+/-2,564)","12,650","(+/-2,669)","12,053","(+/-2,207)","17,462","(+/-2,263)","8,538","(+/-1,389)","18,372","(+/-2,863)","14,259","(+/-2,396)","15,207","(+/-2,612)","14,798","(+/-2,761)"
People,Ancestry,Slovak,"1,751",(+/-899),852,(+/-480),"3,457","(+/-1,548)","1,980","(+/-1,014)","7,990","(+/-2,342)","20,080","(+/-3,036)","22,474","(+/-2,497)","1,140",(+/-756),"3,501","(+/-1,185)","1,254",(+/-612),"7,759","(+/-1,596)","2,178",(+/-856),"9,751","(+/-2,410)","15,680","(+/-2,577)","2,404",(+/-812)
People,Ancestry,"Subsaharan African","10,241","(+/-2,905)","1,017",(+/-490),"50,599","(+/-9,419)","4,536","(+/-2,116)","2,516","(+/-1,371)","7,653","(+/-2,162)","3,882","(+/-1,976)","11,926","(+/-3,793)","5,392","(+/-1,939)","6,796","(+/-2,314)","16,619","(+/-4,256)","5,457","(+/-1,476)","13,955","(+/-4,246)","1,803","(+/-1,442)","22,112","(+/-7,839)"
