Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years","86,605","(+/-3,534)","109,978","(+/-4,044)","81,308","(+/-3,152)","95,513","(+/-1,934)","90,437","(+/-3,025)","92,298","(+/-2,729)","93,209","(+/-2,657)","103,203","(+/-3,224)","88,305","(+/-3,478)","105,290","(+/-3,138)","92,409","(+/-3,250)","107,574","(+/-4,013)","108,975","(+/-4,600)","98,115","(+/-4,232)"
People,"Sex and Age","55 to 59 years","52,776","(+/-3,119)","46,629","(+/-3,246)","41,812","(+/-2,970)","47,222","(+/-3,226)","48,686","(+/-3,381)","47,747","(+/-3,267)","49,622","(+/-2,813)","51,923","(+/-3,360)","42,954","(+/-2,866)","51,112","(+/-2,893)","49,678","(+/-2,839)","49,327","(+/-4,190)","51,217","(+/-4,204)","44,529","(+/-3,474)"
People,"Sex and Age","60 to 64 years","46,065","(+/-2,743)","42,144","(+/-3,670)","52,010","(+/-2,720)","46,157","(+/-3,221)","56,683","(+/-3,295)","48,803","(+/-3,233)","59,090","(+/-3,117)","52,425","(+/-3,218)","45,740","(+/-2,965)","58,444","(+/-2,938)","55,109","(+/-3,149)","40,337","(+/-3,131)","48,230","(+/-3,537)","43,829","(+/-4,019)"
People,"Sex and Age","65 to 74 years","90,606","(+/-2,187)","59,249","(+/-3,187)","88,909","(+/-1,920)","75,726","(+/-1,437)","88,077","(+/-1,985)","81,013","(+/-2,266)","104,818","(+/-1,533)","80,350","(+/-2,005)","76,292","(+/-2,100)","87,120","(+/-1,687)","110,377","(+/-1,966)","65,225","(+/-2,951)","73,615","(+/-3,590)","60,343","(+/-2,749)"
People,"Sex and Age","75 to 84 years","47,122","(+/-2,038)","29,494","(+/-2,170)","45,198","(+/-2,391)","38,589","(+/-1,892)","49,427","(+/-2,439)","38,966","(+/-2,072)","51,544","(+/-2,072)","42,366","(+/-2,163)","44,024","(+/-1,842)","49,811","(+/-2,480)","64,032","(+/-2,226)","26,343","(+/-2,341)","36,790","(+/-2,980)","31,954","(+/-2,143)"
People,"Sex and Age","85 years and over","12,846","(+/-1,335)","9,622","(+/-1,310)","13,769","(+/-1,533)","12,133","(+/-1,495)","16,372","(+/-2,111)","13,557","(+/-1,749)","14,564","(+/-1,994)","11,220","(+/-1,738)","13,058","(+/-1,565)","12,367","(+/-1,601)","17,407","(+/-1,999)","9,418","(+/-1,852)","9,987","(+/-2,059)","11,656","(+/-1,393)"
People,"Sex and Age","Median age (years)",40.5,(+/-0.6),36.8,(+/-0.6),38.5,(+/-0.5),37.9,(+/-0.5),42.2,(+/-0.8),38.6,(+/-0.5),42.3,(+/-0.4),41.0,(+/-0.5),37.4,(+/-0.5),42.9,(+/-0.5),45.7,(+/-0.5),36.8,(+/-0.7),39.0,(+/-0.7),35.8,(+/-0.4)
People,"Sex and Age","18 years and over","594,690","(+/-3,618)","609,311","(+/-8,887)","601,805","(+/-4,707)","618,963",(+/-998),"605,401","(+/-6,371)","597,629","(+/-6,359)","635,208","(+/-2,802)","599,766","(+/-3,929)","591,944","(+/-5,678)","611,956","(+/-3,837)","630,778","(+/-2,994)","596,405","(+/-10,009)","609,084","(+/-10,112)","610,052","(+/-10,496)"
People,"Sex and Age","65 years and over","150,574","(+/-2,104)","98,365","(+/-4,107)","147,876","(+/-2,197)","126,448","(+/-1,681)","153,876","(+/-2,404)","133,536","(+/-2,412)","170,926","(+/-2,034)","133,936","(+/-2,457)","133,374","(+/-2,502)","149,298","(+/-2,047)","191,816","(+/-2,047)","100,986","(+/-3,557)","120,392","(+/-4,739)","103,953","(+/-3,468)"
People,Race,"Total population","754,008","(+/-3,805)","784,882","(+/-13,038)","768,524","(+/-5,505)","769,250",(+/-560),"750,316","(+/-9,830)","765,747","(+/-10,112)","794,214","(+/-4,031)","776,092","(+/-5,363)","771,994","(+/-8,603)","774,062","(+/-5,580)","763,974","(+/-3,617)","772,165","(+/-14,745)","799,277","(+/-15,323)","790,986","(+/-15,473)"
People,Race,"One race","708,306","(+/-7,018)","710,478","(+/-14,368)","690,822","(+/-9,312)","704,880","(+/-7,515)","698,449","(+/-10,186)","701,953","(+/-12,732)","740,630","(+/-6,718)","712,172","(+/-9,238)","699,624","(+/-9,704)","721,221","(+/-8,478)","702,836","(+/-4,891)","707,310","(+/-13,564)","729,298","(+/-17,078)","703,265","(+/-15,639)"
People,Race,White,"360,076","(+/-5,280)","440,556","(+/-10,381)","508,584","(+/-5,374)","415,385","(+/-4,660)","558,136","(+/-8,477)","393,643","(+/-9,531)","506,600","(+/-5,634)","541,468","(+/-7,839)","450,570","(+/-7,561)","595,958","(+/-6,910)","640,994","(+/-4,178)","306,070","(+/-8,886)","484,642","(+/-11,635)","447,183","(+/-9,257)"
People,Race,"Black or African American","299,808","(+/-5,499)","141,848","(+/-8,851)","126,127","(+/-6,669)","187,338","(+/-4,554)","91,072","(+/-6,166)","233,773","(+/-7,921)","136,863","(+/-4,248)","98,416","(+/-4,635)","179,650","(+/-6,617)","73,176","(+/-4,329)","24,858","(+/-2,192)","271,171","(+/-10,363)","162,004","(+/-10,301)","156,900","(+/-11,936)"
People,Race,"American Indian and Alaska Native","4,941","(+/-1,201)","2,028",(+/-885),"4,262","(+/-1,715)","4,618","(+/-2,333)","2,752","(+/-1,089)","3,845","(+/-1,941)","51,326","(+/-2,216)","3,217","(+/-1,108)","11,143","(+/-1,410)","1,559","(+/-1,204)","12,113","(+/-1,808)","3,708","(+/-1,903)","4,127","(+/-1,660)","3,152","(+/-1,585)"
People,Race,Asian,"7,353","(+/-1,072)","83,774","(+/-4,574)","11,225","(+/-1,642)","32,741","(+/-1,479)","9,825","(+/-1,327)","31,753","(+/-1,379)","10,604","(+/-1,671)","19,039","(+/-1,347)","14,124","(+/-1,738)","18,053","(+/-1,241)","7,400","(+/-1,126)","43,908","(+/-4,499)","24,519","(+/-3,620)","46,914","(+/-4,433)"
People,Race,"Native Hawaiian and Other Pacific Islander",418,(+/-408),143,(+/-147),303,(+/-255),66,(+/-126),92,(+/-161),120,(+/-202),597,(+/-387),"1,461","(+/-1,447)",470,(+/-347),205,(+/-272),269,(+/-375),93,(+/-109),492,(+/-478),603,(+/-233)
People,Race,"Some other race","35,710","(+/-4,150)","42,129","(+/-8,222)","40,321","(+/-4,579)","64,732","(+/-6,279)","36,572","(+/-5,578)","38,819","(+/-5,218)","34,640","(+/-4,781)","48,571","(+/-8,086)","43,667","(+/-6,348)","32,270","(+/-5,607)","17,202","(+/-3,219)","82,360","(+/-8,761)","53,514","(+/-7,858)","48,513","(+/-7,828)"
People,Race,"Two or more races","45,702","(+/-5,766)","74,404","(+/-8,967)","77,702","(+/-6,191)","64,370","(+/-7,528)","51,867","(+/-5,430)","63,794","(+/-7,916)","53,584","(+/-5,676)","63,920","(+/-7,131)","72,370","(+/-7,117)","52,841","(+/-5,838)","61,138","(+/-3,942)","64,855","(+/-8,197)","69,979","(+/-7,476)","87,721","(+/-8,708)"
People,"Hispanic or Latino and Race","Total population","754,008","(+/-3,805)","784,882","(+/-13,038)","768,524","(+/-5,505)","769,250",(+/-560),"750,316","(+/-9,830)","765,747","(+/-10,112)","794,214","(+/-4,031)","776,092","(+/-5,363)","771,994","(+/-8,603)","774,062","(+/-5,580)","763,974","(+/-3,617)","772,165","(+/-14,745)","799,277","(+/-15,323)","790,986","(+/-15,473)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","61,109","(+/-1,720)","93,833","(+/-6,516)","92,607","(+/-2,959)","105,119",(+/-4),"75,686","(+/-5,907)","82,717","(+/-5,676)","67,178","(+/-2,593)","88,566","(+/-3,376)","105,046","(+/-4,354)","67,855","(+/-1,635)","60,074",(+/-799),"126,200","(+/-7,336)","105,036","(+/-8,031)","105,847","(+/-6,781)"
People,"Hispanic or Latino and Race",Mexican,"41,885","(+/-4,062)","36,051","(+/-7,259)","37,931","(+/-4,830)","48,472","(+/-5,932)","40,298","(+/-6,492)","47,642","(+/-6,873)","36,675","(+/-4,326)","52,723","(+/-7,507)","49,358","(+/-5,787)","33,033","(+/-4,379)","34,728","(+/-3,923)","53,475","(+/-9,122)","58,997","(+/-8,101)","29,936","(+/-5,763)"
People,"Hispanic or Latino and Race","Puerto Rican","7,068","(+/-2,747)","11,119","(+/-3,117)","15,833","(+/-3,518)","7,756","(+/-2,614)","5,679","(+/-2,107)","8,586","(+/-3,287)","8,965","(+/-2,490)","6,565","(+/-2,431)","21,869","(+/-4,644)","7,077","(+/-2,591)","3,052","(+/-1,311)","10,739","(+/-3,129)","10,044","(+/-2,883)","8,472","(+/-2,713)"
People,"Hispanic or Latino and Race",Cuban,"2,182","(+/-1,569)","1,804","(+/-1,206)","1,574",(+/-964),"1,948","(+/-1,062)","2,611","(+/-1,516)","1,298",(+/-760),941,(+/-613),"1,151",(+/-705),"2,780","(+/-1,147)","2,472","(+/-1,489)","2,149","(+/-1,200)","1,895","(+/-1,065)","4,238","(+/-2,275)","4,459","(+/-2,230)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","9,974","(+/-2,728)","44,859","(+/-7,844)","37,269","(+/-5,334)","46,943","(+/-5,702)","27,098","(+/-6,321)","25,191","(+/-5,176)","20,597","(+/-3,445)","28,127","(+/-6,256)","31,039","(+/-5,261)","25,273","(+/-3,848)","20,145","(+/-4,030)","60,091","(+/-8,114)","31,757","(+/-7,281)","62,980","(+/-7,533)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","692,899","(+/-3,817)","691,049","(+/-11,474)","675,917","(+/-5,930)","664,131",(+/-559),"674,630","(+/-8,826)","683,030","(+/-8,940)","727,036","(+/-4,107)","687,526","(+/-5,400)","666,948","(+/-7,694)","706,207","(+/-5,447)","703,900","(+/-3,592)","645,965","(+/-13,453)","694,241","(+/-13,060)","685,139","(+/-13,725)"
People,"Place of Birth","Total population","754,008","(+/-3,805)","784,882","(+/-13,038)","768,524","(+/-5,505)","769,250",(+/-560),"750,316","(+/-9,830)","765,747","(+/-10,112)","794,214","(+/-4,031)","776,092","(+/-5,363)","771,994","(+/-8,603)","774,062","(+/-5,580)","763,974","(+/-3,617)","772,165","(+/-14,745)","799,277","(+/-15,323)","790,986","(+/-15,473)"
People,"Place of Birth",Native,"724,168","(+/-5,297)","647,797","(+/-13,005)","724,358","(+/-7,123)","675,643","(+/-5,848)","701,822","(+/-10,231)","689,971","(+/-10,910)","750,574","(+/-5,731)","715,143","(+/-5,980)","714,019","(+/-9,301)","734,062","(+/-6,617)","722,803","(+/-5,048)","653,095","(+/-14,102)","711,685","(+/-15,065)","675,224","(+/-15,082)"
People,"Place of Birth","Born in United States","718,511","(+/-5,231)","634,262","(+/-13,318)","709,480","(+/-7,381)","662,522","(+/-5,876)","694,482","(+/-10,957)","678,639","(+/-11,549)","738,514","(+/-5,325)","707,118","(+/-6,358)","692,565","(+/-8,649)","726,775","(+/-6,753)","715,490","(+/-5,169)","640,346","(+/-13,641)","695,689","(+/-14,538)","661,845","(+/-14,802)"
People,"Place of Birth","State of residence","511,808","(+/-10,479)","316,642","(+/-13,849)","392,126","(+/-11,365)","388,224","(+/-9,713)","479,017","(+/-13,214)","442,614","(+/-11,195)","434,669","(+/-9,083)","465,680","(+/-10,231)","391,537","(+/-10,161)","486,073","(+/-10,040)","376,482","(+/-9,628)","330,043","(+/-13,982)","386,179","(+/-14,293)","327,401","(+/-10,793)"
People,"Place of Birth","Different state","206,703","(+/-9,650)","317,620","(+/-10,633)","317,354","(+/-10,612)","274,298","(+/-8,576)","215,465","(+/-8,251)","236,025","(+/-10,312)","303,845","(+/-9,065)","241,438","(+/-10,073)","301,028","(+/-10,013)","240,702","(+/-9,120)","339,008","(+/-9,230)","310,303","(+/-12,302)","309,510","(+/-11,245)","334,444","(+/-13,170)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,657","(+/-1,423)","13,535","(+/-2,845)","14,878","(+/-2,774)","13,121","(+/-2,565)","7,340","(+/-2,104)","11,332","(+/-3,346)","12,060","(+/-2,358)","8,025","(+/-1,929)","21,454","(+/-3,886)","7,287","(+/-2,319)","7,313","(+/-1,324)","12,749","(+/-2,557)","15,996","(+/-3,841)","13,379","(+/-2,942)"
People,"Place of Birth","Foreign born","29,840","(+/-2,919)","137,085","(+/-8,439)","44,166","(+/-4,605)","93,607","(+/-5,814)","48,494","(+/-5,328)","75,776","(+/-6,824)","43,640","(+/-4,101)","60,949","(+/-4,512)","57,975","(+/-5,012)","40,000","(+/-3,822)","41,171","(+/-3,965)","119,070","(+/-9,407)","87,592","(+/-7,252)","115,762","(+/-9,164)"
People,Ancestry,"Total population","754,008","(+/-3,805)","784,882","(+/-13,038)","768,524","(+/-5,505)","769,250",(+/-560),"750,316","(+/-9,830)","765,747","(+/-10,112)","794,214","(+/-4,031)","776,092","(+/-5,363)","771,994","(+/-8,603)","774,062","(+/-5,580)","763,974","(+/-3,617)","772,165","(+/-14,745)","799,277","(+/-15,323)","790,986","(+/-15,473)"
People,Ancestry,American,"54,467","(+/-5,737)","44,435","(+/-7,031)","64,483","(+/-5,604)","47,901","(+/-4,879)","104,307","(+/-8,637)","66,778","(+/-8,106)","63,038","(+/-5,348)","65,056","(+/-6,414)","43,860","(+/-5,464)","94,036","(+/-7,385)","99,046","(+/-6,964)","41,046","(+/-6,072)","62,736","(+/-6,312)","45,172","(+/-5,139)"
People,Ancestry,Arab,"1,763","(+/-1,053)","10,619","(+/-4,718)","1,142",(+/-751),"4,097","(+/-1,539)","2,167","(+/-1,096)","3,513","(+/-2,281)","4,015","(+/-2,267)","2,267","(+/-1,856)","2,473","(+/-1,087)","1,264",(+/-887),"2,209","(+/-1,157)","5,202","(+/-1,989)","7,265","(+/-1,956)","3,233","(+/-1,580)"
People,Ancestry,Czech,"1,128","(+/-1,032)","1,980",(+/-897),"2,061",(+/-880),"1,958",(+/-871),782,(+/-443),657,(+/-397),"1,181",(+/-544),994,(+/-637),933,(+/-511),"1,240",(+/-680),"1,046",(+/-516),"1,444",(+/-729),"1,775",(+/-717),"1,387",(+/-636)
People,Ancestry,Danish,153,(+/-107),"2,632","(+/-1,312)",808,(+/-510),"1,505",(+/-608),834,(+/-532),989,"(+/-1,181)","1,967",(+/-766),413,(+/-344),"1,343",(+/-758),983,(+/-635),"1,813",(+/-799),511,(+/-365),"1,978",(+/-932),"2,003","(+/-1,297)"
People,Ancestry,Dutch,"4,032","(+/-1,557)","6,044","(+/-1,577)","5,011","(+/-1,157)","5,836","(+/-1,522)","3,814","(+/-1,028)","3,581","(+/-1,383)","4,036","(+/-1,125)","5,118","(+/-1,375)","6,769","(+/-2,029)","5,758","(+/-1,670)","8,071","(+/-2,019)","5,727","(+/-2,383)","3,317",(+/-988),"4,876","(+/-1,438)"
People,Ancestry,English,"86,505","(+/-6,268)","102,303","(+/-8,709)","111,533","(+/-8,903)","88,130","(+/-6,143)","113,669","(+/-8,209)","82,693","(+/-5,983)","97,371","(+/-6,859)","84,984","(+/-7,387)","79,907","(+/-7,325)","97,852","(+/-7,782)","138,889","(+/-8,907)","64,983","(+/-6,356)","96,188","(+/-8,080)","94,314","(+/-7,448)"
People,Ancestry,"French (except Basque)","6,472","(+/-1,960)","12,161","(+/-2,163)","10,278","(+/-2,276)","10,568","(+/-2,235)","8,770","(+/-2,013)","10,662","(+/-2,623)","11,446","(+/-1,858)","7,713","(+/-1,440)","10,823","(+/-2,840)","9,411","(+/-1,870)","14,406","(+/-2,387)","7,896","(+/-2,016)","11,586","(+/-2,305)","10,309","(+/-1,941)"
People,Ancestry,"French Canadian","1,867",(+/-757),"2,982","(+/-1,288)","1,338",(+/-610),"3,015","(+/-1,820)","1,273",(+/-576),963,(+/-525),"2,568",(+/-904),"1,732",(+/-994),"2,431","(+/-1,209)","2,040",(+/-807),"3,159","(+/-1,233)","1,754",(+/-760),"3,018","(+/-1,311)","2,045",(+/-856)
People,Ancestry,German,"36,360","(+/-4,144)","79,887","(+/-5,117)","73,362","(+/-5,908)","64,376","(+/-4,282)","73,819","(+/-6,121)","59,839","(+/-4,956)","67,059","(+/-5,386)","80,077","(+/-5,381)","61,177","(+/-6,125)","87,895","(+/-7,527)","87,149","(+/-6,175)","60,302","(+/-6,258)","73,682","(+/-6,691)","76,515","(+/-5,280)"
People,Ancestry,Greek,987,(+/-620),"2,318",(+/-887),"2,377","(+/-1,042)","1,159",(+/-566),"2,204","(+/-1,280)","2,394","(+/-1,375)","1,672","(+/-1,130)","3,496","(+/-2,636)","1,761",(+/-792),"2,311","(+/-1,112)","1,560",(+/-955),"1,775",(+/-922),"2,991","(+/-1,181)","4,440","(+/-1,373)"
People,Ancestry,Hungarian,"1,854",(+/-794),"2,322",(+/-950),"1,583",(+/-619),"1,343",(+/-930),"1,727",(+/-855),"1,960",(+/-863),"1,956",(+/-731),"2,087","(+/-1,504)",986,(+/-450),"1,516",(+/-876),"3,456","(+/-1,316)","1,793",(+/-716),"2,057",(+/-730),"1,782",(+/-784)
People,Ancestry,Irish,"36,978","(+/-3,277)","63,974","(+/-5,553)","66,158","(+/-5,426)","54,026","(+/-5,564)","65,317","(+/-5,244)","49,770","(+/-4,912)","74,594","(+/-5,617)","62,315","(+/-6,139)","59,356","(+/-5,776)","71,323","(+/-5,949)","78,349","(+/-6,308)","44,620","(+/-5,044)","69,280","(+/-6,927)","64,791","(+/-5,148)"
People,Ancestry,Italian,"12,834","(+/-2,002)","38,512","(+/-4,368)","28,911","(+/-5,469)","24,711","(+/-3,465)","18,873","(+/-3,281)","21,329","(+/-5,029)","31,925","(+/-4,018)","28,012","(+/-4,258)","25,198","(+/-3,434)","20,609","(+/-3,185)","24,776","(+/-4,363)","30,951","(+/-3,981)","38,820","(+/-6,365)","34,229","(+/-3,384)"
People,Ancestry,Lithuanian,320,(+/-255),"1,080",(+/-831),592,(+/-317),"2,085",(+/-729),552,(+/-431),726,(+/-597),"1,191",(+/-652),261,(+/-198),473,(+/-374),441,(+/-493),"1,322",(+/-638),812,(+/-621),891,(+/-535),"2,361","(+/-1,093)"
People,Ancestry,Norwegian,"1,521",(+/-658),"6,997","(+/-1,815)","5,330","(+/-1,589)","5,148","(+/-1,586)","3,830","(+/-1,564)","3,074","(+/-1,238)","3,292","(+/-1,153)","4,113","(+/-1,914)","3,760","(+/-1,338)","2,380",(+/-922),"6,156","(+/-1,791)","3,304","(+/-1,281)","3,503","(+/-1,139)","3,453","(+/-1,142)"
People,Ancestry,Polish,"6,495","(+/-1,699)","18,394","(+/-3,131)","11,671","(+/-1,821)","13,040","(+/-2,458)","7,143","(+/-2,054)","7,021","(+/-1,575)","13,334","(+/-2,112)","8,919","(+/-2,086)","9,204","(+/-1,856)","9,437","(+/-2,425)","12,626","(+/-2,374)","10,059","(+/-2,259)","13,487","(+/-2,818)","15,096","(+/-2,802)"
People,Ancestry,Portuguese,755,(+/-612),"2,240","(+/-1,032)","1,608",(+/-703),"1,238",(+/-866),907,(+/-648),896,(+/-996),"2,322","(+/-1,530)",708,(+/-524),675,(+/-378),778,(+/-534),641,(+/-343),"1,191","(+/-1,069)","4,532","(+/-2,345)","1,390",(+/-663)
People,Ancestry,Russian,"1,770","(+/-1,237)","3,616","(+/-1,360)","1,680",(+/-669),"2,749",(+/-920),"2,923","(+/-1,575)","1,603",(+/-563),"2,764","(+/-1,018)","2,628","(+/-1,349)","1,694",(+/-736),"1,407",(+/-557),"5,966","(+/-2,297)","2,880","(+/-1,451)","2,304",(+/-914),"2,936",(+/-990)
People,Ancestry,Scotch-Irish,"6,022","(+/-1,538)","12,843","(+/-2,937)","9,100","(+/-1,984)","11,688","(+/-1,955)","13,701","(+/-2,296)","13,070","(+/-2,532)","14,436","(+/-2,306)","14,502","(+/-3,191)","13,078","(+/-2,693)","15,746","(+/-2,415)","27,564","(+/-3,851)","11,323","(+/-2,330)","9,699","(+/-1,856)","14,957","(+/-2,427)"
People,Ancestry,Scottish,"8,652","(+/-1,475)","19,096","(+/-3,463)","13,895","(+/-2,272)","20,811","(+/-3,183)","19,273","(+/-2,851)","13,669","(+/-1,945)","16,383","(+/-2,390)","15,966","(+/-2,953)","17,474","(+/-2,704)","19,873","(+/-3,258)","29,738","(+/-3,641)","11,254","(+/-2,543)","15,715","(+/-3,241)","19,636","(+/-2,612)"
People,Ancestry,Slovak,233,(+/-311),"1,394",(+/-592),185,(+/-138),827,(+/-394),313,(+/-268),397,(+/-305),985,(+/-560),805,(+/-480),376,(+/-284),658,(+/-542),"1,578",(+/-859),"1,840","(+/-1,163)","1,214",(+/-762),"1,408",(+/-733)
People,Ancestry,"Subsaharan African","9,343","(+/-3,196)","11,558","(+/-4,324)","5,350","(+/-1,556)","16,037","(+/-5,457)","5,941","(+/-2,945)","24,066","(+/-6,277)","5,894","(+/-1,722)","8,749","(+/-2,757)","12,328","(+/-2,890)","2,535","(+/-1,256)","2,349","(+/-1,132)","25,938","(+/-9,366)","11,935","(+/-3,698)","23,920","(+/-6,336)"
People,Ancestry,Swedish,"2,905","(+/-1,185)","5,354","(+/-1,311)","3,708","(+/-1,219)","4,942","(+/-1,153)","3,555","(+/-1,515)","3,093","(+/-1,196)","4,132","(+/-1,344)","1,601",(+/-610),"4,595","(+/-2,782)","3,480","(+/-1,140)","6,680","(+/-2,081)","2,310",(+/-835),"4,292","(+/-1,301)","3,961","(+/-1,020)"
People,Ancestry,Swiss,946,(+/-561),"1,954",(+/-949),612,(+/-347),"1,929",(+/-985),"1,157",(+/-786),"1,037",(+/-683),733,(+/-490),908,(+/-425),873,(+/-612),778,(+/-424),855,(+/-403),"1,702",(+/-861),754,(+/-445),"1,696",(+/-655)
People,Ancestry,Ukrainian,312,(+/-312),"3,730","(+/-1,467)","1,909","(+/-1,120)","2,946","(+/-1,203)","1,218",(+/-873),"1,869","(+/-1,558)",996,(+/-433),"1,899",(+/-979),"1,200",(+/-568),515,(+/-441),"2,380","(+/-1,062)","1,412",(+/-719),"3,275","(+/-2,172)","3,607","(+/-1,448)"
People,Ancestry,Welsh,"1,865",(+/-623),"5,695","(+/-1,617)","3,001","(+/-1,000)","5,670","(+/-1,808)","3,401","(+/-1,081)","3,273","(+/-1,071)","3,353",(+/-999),"2,031",(+/-930),"2,070",(+/-731),"4,134","(+/-1,391)","5,453","(+/-1,661)","3,278","(+/-1,600)","3,394","(+/-1,218)","3,669","(+/-1,069)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,182","(+/-1,677)","6,973","(+/-3,071)","3,718","(+/-1,524)","4,787","(+/-2,377)","2,319","(+/-1,893)","6,598","(+/-2,727)","5,014","(+/-2,143)","2,514","(+/-1,452)","6,664","(+/-1,895)","1,826","(+/-1,594)","2,532","(+/-1,722)","5,960","(+/-2,153)","6,118","(+/-2,065)","5,111","(+/-2,261)"
