Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","45 to 54 years","95,682","(+/-1,913)","83,544","(+/-4,215)","73,379","(+/-4,144)","95,616","(+/-3,407)","88,096","(+/-2,919)","97,237","(+/-2,604)","95,508","(+/-1,794)","92,198","(+/-2,396)","90,798","(+/-2,638)","90,478","(+/-3,833)","87,181","(+/-2,560)","80,407","(+/-4,012)","93,434","(+/-1,677)","91,142","(+/-2,227)","89,443","(+/-1,533)","90,593","(+/-1,571)","89,356","(+/-3,472)"
People,"Sex and Age","55 to 59 years","57,306","(+/-3,551)","43,172","(+/-3,793)","34,451","(+/-3,447)","50,021","(+/-3,131)","45,988","(+/-3,046)","54,459","(+/-2,950)","50,738","(+/-2,586)","53,517","(+/-2,886)","53,054","(+/-2,815)","48,578","(+/-2,889)","47,368","(+/-2,605)","42,874","(+/-3,492)","50,771","(+/-2,309)","51,897","(+/-2,617)","49,088","(+/-2,188)","49,328","(+/-2,463)","53,271","(+/-4,010)"
People,"Sex and Age","60 to 64 years","57,634","(+/-3,243)","42,554","(+/-3,788)","44,844","(+/-3,755)","56,156","(+/-3,193)","50,989","(+/-3,243)","48,299","(+/-3,134)","52,193","(+/-2,642)","58,797","(+/-2,621)","56,251","(+/-2,521)","53,941","(+/-2,794)","51,264","(+/-2,782)","48,645","(+/-3,792)","56,066","(+/-2,375)","58,126","(+/-2,813)","54,545","(+/-2,302)","56,998","(+/-2,472)","54,213","(+/-3,495)"
People,"Sex and Age","65 to 74 years","92,574","(+/-2,194)","66,166","(+/-3,640)","68,948","(+/-3,704)","88,654","(+/-2,806)","78,564","(+/-2,353)","79,956","(+/-2,024)","88,369","(+/-1,568)","94,649","(+/-1,548)","94,848","(+/-2,248)","85,880","(+/-2,469)","87,517","(+/-1,976)","90,113","(+/-4,235)","99,247","(+/-1,138)","103,742","(+/-1,851)","95,212","(+/-1,152)","97,516",(+/-984),"98,629","(+/-3,731)"
People,"Sex and Age","75 to 84 years","50,925","(+/-2,362)","33,985","(+/-2,626)","34,667","(+/-3,044)","47,863","(+/-3,222)","38,950","(+/-1,688)","40,895","(+/-2,138)","47,535","(+/-1,534)","50,893","(+/-2,214)","51,124","(+/-1,833)","42,296","(+/-2,312)","50,352","(+/-2,114)","46,342","(+/-2,614)","53,011","(+/-1,651)","53,064","(+/-2,528)","50,112","(+/-1,762)","50,114","(+/-1,583)","46,920","(+/-2,943)"
People,"Sex and Age","85 years and over","18,021","(+/-1,847)","11,713","(+/-2,372)","9,717","(+/-1,619)","20,492","(+/-1,880)","14,936","(+/-1,625)","17,021","(+/-1,943)","17,292","(+/-1,619)","17,408","(+/-1,712)","20,001","(+/-1,861)","16,990","(+/-2,104)","19,690","(+/-1,666)","19,317","(+/-2,240)","18,848","(+/-1,545)","21,641","(+/-2,384)","18,151","(+/-1,469)","18,610","(+/-1,425)","18,474","(+/-2,013)"
People,"Sex and Age","Median age (years)",44.0,(+/-0.5),36.4,(+/-0.6),34.7,(+/-0.5),41.7,(+/-0.6),39.3,(+/-0.5),39.6,(+/-0.4),41.3,(+/-0.3),43.4,(+/-0.4),43.2,(+/-0.5),40.2,(+/-0.4),40.1,(+/-0.5),39.7,(+/-0.8),43.8,(+/-0.3),45.4,(+/-0.5),42.8,(+/-0.3),43.1,(+/-0.3),43.5,(+/-0.8)
People,"Sex and Age","18 years and over","612,234","(+/-4,766)","547,238","(+/-14,412)","626,799","(+/-15,030)","615,371","(+/-6,628)","594,200","(+/-6,673)","604,162","(+/-4,534)","618,295","(+/-2,213)","616,343","(+/-3,679)","613,451","(+/-5,441)","612,704","(+/-5,833)","599,582","(+/-5,326)","621,144","(+/-9,873)","612,136","(+/-2,718)","615,522","(+/-3,976)","616,528","(+/-3,186)","610,508","(+/-1,459)","600,837","(+/-9,010)"
People,"Sex and Age","65 years and over","161,520","(+/-2,622)","111,864","(+/-4,475)","113,332","(+/-4,482)","157,009","(+/-3,641)","132,450","(+/-2,819)","137,872","(+/-2,394)","153,196","(+/-1,502)","162,950","(+/-1,969)","165,973","(+/-2,954)","145,166","(+/-3,157)","157,559","(+/-2,616)","155,772","(+/-5,473)","171,106","(+/-1,375)","178,447","(+/-2,196)","163,475","(+/-1,517)","166,240","(+/-1,100)","164,023","(+/-4,947)"
People,Race,"Total population","763,720","(+/-6,109)","713,964","(+/-20,223)","768,800","(+/-21,266)","781,948","(+/-8,823)","757,986","(+/-9,246)","777,885","(+/-5,349)","778,593","(+/-3,277)","764,570","(+/-5,201)","765,968","(+/-7,312)","781,862","(+/-8,399)","773,134","(+/-7,628)","752,466","(+/-11,114)","765,875","(+/-3,630)","753,602","(+/-5,679)","750,180","(+/-3,953)","761,148","(+/-1,983)","749,982","(+/-9,870)"
People,Race,"One race","710,672","(+/-7,689)","634,747","(+/-19,991)","711,225","(+/-22,038)","728,944","(+/-11,104)","709,473","(+/-10,037)","677,785","(+/-9,701)","681,494","(+/-8,632)","689,555","(+/-7,586)","720,003","(+/-8,097)","717,347","(+/-10,645)","714,915","(+/-9,340)","711,111","(+/-12,140)","727,328","(+/-5,415)","721,687","(+/-6,390)","723,391","(+/-4,852)","723,561","(+/-4,174)","703,930","(+/-10,088)"
People,Race,White,"613,534","(+/-7,787)","263,340","(+/-11,143)","255,172","(+/-10,791)","588,246","(+/-10,154)","446,064","(+/-7,919)","549,176","(+/-7,465)","531,123","(+/-5,697)","563,275","(+/-6,265)","670,660","(+/-7,311)","556,830","(+/-8,188)","640,510","(+/-7,922)","556,597","(+/-11,054)","689,020","(+/-5,010)","689,079","(+/-5,765)","688,737","(+/-4,359)","672,587","(+/-3,358)","620,186","(+/-8,471)"
People,Race,"Black or African American","25,927","(+/-3,574)","192,518","(+/-17,442)","383,997","(+/-16,863)","72,817","(+/-5,584)","178,648","(+/-7,983)","37,745","(+/-3,856)","42,740","(+/-4,597)","54,465","(+/-3,520)","18,416","(+/-2,589)","84,060","(+/-5,075)","26,355","(+/-3,704)","110,250","(+/-6,858)","16,458","(+/-2,349)","23,219","(+/-2,467)","15,856","(+/-1,132)","32,043","(+/-2,548)","52,694","(+/-5,811)"
People,Race,"American Indian and Alaska Native","1,172",(+/-943),"4,583","(+/-2,531)","3,025","(+/-1,618)",829,(+/-579),"2,601","(+/-1,689)","2,381","(+/-1,954)","4,290","(+/-2,160)","1,501",(+/-866),"1,409",(+/-744),"1,965","(+/-1,257)","1,077",(+/-675),547,(+/-309),834,(+/-779),"1,353",(+/-854),923,(+/-349),"1,171",(+/-753),"1,053",(+/-600)
People,Race,Asian,"45,589","(+/-3,548)","68,188","(+/-5,193)","49,510","(+/-6,179)","47,227","(+/-4,064)","53,555","(+/-4,456)","41,957","(+/-1,752)","26,493","(+/-1,435)","16,370","(+/-1,375)","8,129","(+/-1,170)","39,195","(+/-2,219)","15,382","(+/-1,557)","31,424","(+/-3,477)","5,324",(+/-700),"5,792","(+/-1,089)","12,689","(+/-1,013)","9,446","(+/-1,285)","23,110","(+/-3,672)"
People,Race,"Native Hawaiian and Other Pacific Islander",163,(+/-160),348,(+/-227),298,(+/-337),264,(+/-249),221,(+/-360),96,(+/-107),64,(+/-101),575,(+/-824),194,(+/-245),0,(+/-190),"1,039","(+/-1,250)",23,(+/-4),170,(+/-226),368,(+/-360),91,(+/-92),131,(+/-132),125,(+/-228)
People,Race,"Some other race","24,287","(+/-5,489)","105,770","(+/-13,868)","19,223","(+/-5,524)","19,561","(+/-4,939)","28,384","(+/-6,650)","46,430","(+/-6,539)","76,784","(+/-7,878)","53,369","(+/-5,987)","21,195","(+/-4,827)","35,297","(+/-5,676)","30,552","(+/-4,599)","12,270","(+/-4,592)","15,522","(+/-3,076)","1,876",(+/-664),"5,095","(+/-1,109)","8,183","(+/-2,052)","6,762","(+/-2,435)"
People,Race,"Two or more races","53,048","(+/-5,877)","79,217","(+/-9,965)","57,575","(+/-7,412)","53,004","(+/-6,239)","48,513","(+/-6,075)","100,100","(+/-7,720)","97,099","(+/-8,340)","75,015","(+/-5,614)","45,965","(+/-5,033)","64,515","(+/-6,865)","58,219","(+/-5,893)","41,355","(+/-5,853)","38,547","(+/-3,985)","31,915","(+/-3,128)","26,789","(+/-2,672)","37,587","(+/-3,398)","46,052","(+/-4,824)"
People,"Hispanic or Latino and Race","Total population","763,720","(+/-6,109)","713,964","(+/-20,223)","768,800","(+/-21,266)","781,948","(+/-8,823)","757,986","(+/-9,246)","777,885","(+/-5,349)","778,593","(+/-3,277)","764,570","(+/-5,201)","765,968","(+/-7,312)","781,862","(+/-8,399)","773,134","(+/-7,628)","752,466","(+/-11,114)","765,875","(+/-3,630)","753,602","(+/-5,679)","750,180","(+/-3,953)","761,148","(+/-1,983)","749,982","(+/-9,870)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","49,940","(+/-2,528)","181,934","(+/-9,290)","56,121","(+/-8,899)","52,504","(+/-5,500)","54,963","(+/-5,083)","131,999","(+/-3,786)","166,107","(+/-2,096)","119,005","(+/-2,993)","55,109","(+/-3,119)","84,898","(+/-2,557)","74,308","(+/-2,482)","22,570","(+/-2,813)","30,158",(+/-965),"13,877",(+/-703),"16,373",(+/-599),"22,554",(+/-132),"19,340","(+/-2,805)"
People,"Hispanic or Latino and Race",Mexican,"15,765","(+/-3,952)","9,671","(+/-3,734)","8,796","(+/-2,880)","11,674","(+/-4,559)","18,485","(+/-4,897)","32,955","(+/-6,710)","8,226","(+/-2,691)","13,588","(+/-4,449)","11,948","(+/-2,991)","14,738","(+/-3,995)","7,192","(+/-2,065)","10,512","(+/-3,562)","11,024","(+/-2,579)","4,372","(+/-1,291)","3,464",(+/-759),"4,728","(+/-1,039)","5,362","(+/-1,830)"
People,"Hispanic or Latino and Race","Puerto Rican","13,128","(+/-2,465)","109,567","(+/-11,707)","21,709","(+/-5,959)","17,982","(+/-4,402)","12,004","(+/-3,179)","44,894","(+/-5,610)","76,988","(+/-7,732)","32,773","(+/-5,009)","25,102","(+/-3,420)","43,593","(+/-6,038)","41,063","(+/-4,612)","3,429","(+/-1,113)","8,010","(+/-1,925)","2,846",(+/-866),"5,218",(+/-896),"10,424","(+/-1,556)","3,942","(+/-1,179)"
People,"Hispanic or Latino and Race",Cuban,"1,814","(+/-1,077)","2,540",(+/-994),"2,221","(+/-1,057)","1,446",(+/-736),"1,129",(+/-636),"1,097",(+/-733),"1,057",(+/-545),"2,921","(+/-1,198)",775,(+/-478),"2,097","(+/-1,886)",822,(+/-508),646,(+/-453),310,(+/-249),607,(+/-475),506,(+/-304),"1,048",(+/-780),"1,801","(+/-1,218)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","19,233","(+/-3,873)","60,156","(+/-9,215)","23,395","(+/-5,419)","21,402","(+/-4,691)","23,345","(+/-5,173)","53,053","(+/-5,785)","79,836","(+/-7,299)","69,723","(+/-5,486)","17,284","(+/-3,627)","24,470","(+/-3,962)","25,231","(+/-4,912)","7,983","(+/-2,045)","10,814","(+/-2,802)","6,052","(+/-1,090)","7,185",(+/-818),"6,354","(+/-1,320)","8,235","(+/-1,664)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","713,780","(+/-6,365)","532,030","(+/-19,151)","712,679","(+/-19,926)","729,444","(+/-9,004)","703,023","(+/-8,421)","645,886","(+/-6,308)","612,486","(+/-2,964)","645,565","(+/-4,730)","710,859","(+/-6,534)","696,964","(+/-8,365)","698,826","(+/-7,526)","729,896","(+/-11,150)","735,717","(+/-3,687)","739,725","(+/-5,522)","733,807","(+/-3,839)","738,594","(+/-1,971)","730,642","(+/-9,900)"
People,"Place of Birth","Total population","763,720","(+/-6,109)","713,964","(+/-20,223)","768,800","(+/-21,266)","781,948","(+/-8,823)","757,986","(+/-9,246)","777,885","(+/-5,349)","778,593","(+/-3,277)","764,570","(+/-5,201)","765,968","(+/-7,312)","781,862","(+/-8,399)","773,134","(+/-7,628)","752,466","(+/-11,114)","765,875","(+/-3,630)","753,602","(+/-5,679)","750,180","(+/-3,953)","761,148","(+/-1,983)","749,982","(+/-9,870)"
People,"Place of Birth",Native,"680,511","(+/-10,313)","571,966","(+/-21,308)","691,394","(+/-20,044)","704,051","(+/-8,953)","655,711","(+/-8,681)","683,914","(+/-7,502)","689,351","(+/-7,645)","691,268","(+/-7,548)","741,774","(+/-7,615)","717,524","(+/-9,452)","732,551","(+/-9,279)","704,688","(+/-11,121)","747,249","(+/-4,156)","740,123","(+/-6,003)","728,349","(+/-4,910)","740,420","(+/-3,161)","709,519","(+/-9,800)"
People,"Place of Birth","Born in United States","671,046","(+/-10,427)","534,587","(+/-20,460)","678,081","(+/-19,674)","691,162","(+/-9,521)","644,534","(+/-8,604)","658,850","(+/-6,984)","654,476","(+/-7,915)","673,364","(+/-6,923)","728,526","(+/-7,506)","693,916","(+/-10,002)","712,698","(+/-9,393)","697,715","(+/-11,047)","740,928","(+/-4,395)","736,642","(+/-6,066)","722,583","(+/-5,033)","731,672","(+/-3,819)","705,492","(+/-9,501)"
People,"Place of Birth","State of residence","496,505","(+/-9,881)","440,573","(+/-19,920)","480,849","(+/-20,933)","560,274","(+/-10,902)","495,508","(+/-10,733)","481,628","(+/-9,611)","465,892","(+/-8,688)","449,926","(+/-8,045)","600,777","(+/-8,385)","525,995","(+/-9,660)","542,772","(+/-9,524)","567,907","(+/-11,537)","587,516","(+/-7,241)","618,191","(+/-8,002)","587,061","(+/-6,490)","607,383","(+/-7,267)","574,434","(+/-8,217)"
People,"Place of Birth","Different state","174,541","(+/-7,084)","94,014","(+/-7,071)","197,232","(+/-9,782)","130,888","(+/-6,869)","149,026","(+/-8,843)","177,222","(+/-8,509)","188,584","(+/-8,014)","223,438","(+/-8,442)","127,749","(+/-5,555)","167,921","(+/-8,647)","169,926","(+/-8,660)","129,808","(+/-5,945)","153,412","(+/-6,118)","118,451","(+/-6,337)","135,522","(+/-5,000)","124,289","(+/-6,228)","131,058","(+/-7,061)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","9,465","(+/-1,977)","37,379","(+/-4,583)","13,313","(+/-3,471)","12,889","(+/-2,920)","11,177","(+/-2,422)","25,064","(+/-3,573)","34,875","(+/-4,694)","17,904","(+/-3,453)","13,248","(+/-2,560)","23,608","(+/-4,746)","19,853","(+/-3,239)","6,973","(+/-1,998)","6,321","(+/-1,636)","3,481",(+/-923),"5,766","(+/-1,267)","8,748","(+/-1,941)","4,027","(+/-1,065)"
People,"Place of Birth","Foreign born","83,209","(+/-7,125)","141,998","(+/-12,335)","77,406","(+/-7,520)","77,897","(+/-6,164)","102,275","(+/-8,637)","93,971","(+/-5,496)","89,242","(+/-7,250)","73,302","(+/-5,241)","24,194","(+/-3,233)","64,338","(+/-5,429)","40,583","(+/-5,018)","47,778","(+/-4,227)","18,626","(+/-2,609)","13,479","(+/-2,094)","21,831","(+/-2,499)","20,728","(+/-2,539)","40,463","(+/-4,782)"
People,Ancestry,"Total population","763,720","(+/-6,109)","713,964","(+/-20,223)","768,800","(+/-21,266)","781,948","(+/-8,823)","757,986","(+/-9,246)","777,885","(+/-5,349)","778,593","(+/-3,277)","764,570","(+/-5,201)","765,968","(+/-7,312)","781,862","(+/-8,399)","773,134","(+/-7,628)","752,466","(+/-11,114)","765,875","(+/-3,630)","753,602","(+/-5,679)","750,180","(+/-3,953)","761,148","(+/-1,983)","749,982","(+/-9,870)"
People,Ancestry,American,"33,561","(+/-4,378)","13,122","(+/-3,614)","20,147","(+/-5,078)","28,734","(+/-4,145)","18,386","(+/-3,551)","28,486","(+/-4,896)","55,312","(+/-5,368)","45,023","(+/-5,241)","36,467","(+/-3,523)","46,389","(+/-5,298)","40,535","(+/-5,540)","22,850","(+/-3,490)","61,616","(+/-6,503)","31,555","(+/-3,524)","52,900","(+/-4,926)","39,154","(+/-4,716)","22,683","(+/-3,210)"
People,Ancestry,Arab,"2,648","(+/-1,576)","6,129","(+/-3,059)","4,154","(+/-1,451)","6,042","(+/-2,216)","4,581","(+/-1,773)","3,990","(+/-1,595)","9,018","(+/-2,983)","3,518","(+/-1,017)","1,436",(+/-528),"4,631","(+/-2,166)","1,332",(+/-943),"7,393","(+/-2,528)","1,565","(+/-1,104)","5,733","(+/-1,975)","1,622",(+/-819),"3,797","(+/-1,277)","5,477","(+/-1,830)"
People,Ancestry,Czech,"1,060",(+/-510),802,(+/-447),"1,160",(+/-609),"1,576","(+/-1,033)","1,990","(+/-1,344)","3,430","(+/-1,297)","3,320","(+/-1,187)","2,773",(+/-972),"2,207",(+/-748),876,(+/-467),"1,607",(+/-770),"3,117",(+/-985),"1,449",(+/-524),"4,103","(+/-1,108)","1,098",(+/-350),"2,208",(+/-927),"5,083","(+/-1,851)"
People,Ancestry,Danish,"1,433",(+/-639),536,(+/-423),472,(+/-277),869,(+/-435),397,(+/-378),"2,033",(+/-952),"1,013",(+/-660),727,(+/-535),403,(+/-248),465,(+/-328),686,(+/-389),637,(+/-415),"1,174",(+/-561),150,(+/-146),991,(+/-510),"1,007",(+/-602),"1,602",(+/-829)
People,Ancestry,Dutch,"5,099","(+/-1,474)","1,065",(+/-450),"2,234",(+/-993),"5,897","(+/-1,703)","4,891","(+/-1,632)","8,277","(+/-2,275)","10,368","(+/-2,512)","7,357","(+/-1,666)","14,128","(+/-2,149)","7,083","(+/-1,801)","7,645","(+/-1,830)","3,527","(+/-1,149)","8,918","(+/-2,702)","8,797","(+/-1,728)","10,223","(+/-1,857)","8,310","(+/-1,703)","4,702","(+/-1,312)"
People,Ancestry,English,"75,601","(+/-6,195)","20,504","(+/-3,507)","28,048","(+/-3,536)","61,502","(+/-5,168)","57,148","(+/-5,874)","77,633","(+/-5,906)","46,418","(+/-4,822)","44,198","(+/-3,489)","75,654","(+/-6,299)","58,219","(+/-4,663)","74,133","(+/-6,478)","62,735","(+/-5,270)","68,324","(+/-4,843)","80,519","(+/-6,315)","75,704","(+/-4,462)","74,060","(+/-4,725)","66,240","(+/-4,751)"
People,Ancestry,"French (except Basque)","13,284","(+/-2,599)","4,343","(+/-1,386)","6,248","(+/-1,627)","10,533","(+/-1,795)","6,495","(+/-1,696)","10,642","(+/-1,813)","9,430","(+/-2,200)","7,400","(+/-1,569)","9,068","(+/-1,790)","9,504","(+/-2,031)","12,631","(+/-2,492)","7,394","(+/-1,914)","10,390","(+/-1,812)","6,942","(+/-1,200)","11,209","(+/-1,920)","10,642","(+/-2,290)","11,008","(+/-1,855)"
People,Ancestry,"French Canadian","2,140",(+/-860),672,(+/-433),"1,201",(+/-618),948,(+/-586),"1,885",(+/-821),"2,685","(+/-1,395)",950,(+/-468),"2,026",(+/-960),"1,940","(+/-1,105)","2,088","(+/-1,317)","2,228",(+/-858),886,(+/-463),"1,170",(+/-734),621,(+/-397),"1,253",(+/-479),"1,226",(+/-469),"1,129",(+/-487)
People,Ancestry,German,"156,811","(+/-8,756)","42,930","(+/-5,432)","49,945","(+/-4,039)","167,637","(+/-8,218)","81,468","(+/-7,365)","144,970","(+/-9,680)","160,297","(+/-8,315)","108,395","(+/-6,298)","204,664","(+/-8,945)","194,041","(+/-9,648)","240,742","(+/-10,783)","149,208","(+/-7,613)","222,083","(+/-8,056)","175,099","(+/-8,362)","206,282","(+/-6,909)","187,420","(+/-7,879)","188,299","(+/-8,649)"
People,Ancestry,Greek,"3,767","(+/-1,365)","1,557",(+/-990),"3,078","(+/-1,241)","4,121","(+/-1,474)","6,456","(+/-1,974)","5,246","(+/-1,676)","3,690",(+/-989),"2,542",(+/-928),"2,091",(+/-668),"2,358",(+/-981),"3,991","(+/-1,822)","4,525","(+/-1,397)","2,265",(+/-913),"4,397","(+/-2,699)","2,025","(+/-1,071)","2,132",(+/-765),"6,869","(+/-2,018)"
People,Ancestry,Hungarian,"10,236","(+/-2,329)","1,028",(+/-569),"3,351","(+/-1,141)","6,148","(+/-1,623)","3,333","(+/-1,243)","4,531","(+/-1,355)","16,662","(+/-2,444)","5,673","(+/-1,675)","3,399",(+/-955),"3,182","(+/-1,065)","2,087",(+/-806),"11,368","(+/-2,192)","4,923",(+/-986),"8,377","(+/-1,443)","2,673",(+/-727),"7,414","(+/-1,483)","10,553","(+/-2,982)"
People,Ancestry,Irish,"164,147","(+/-8,202)","78,362","(+/-7,573)","68,086","(+/-6,630)","142,835","(+/-7,736)","136,412","(+/-8,279)","131,016","(+/-8,131)","79,357","(+/-5,975)","129,040","(+/-8,026)","90,738","(+/-5,103)","78,989","(+/-6,179)","89,496","(+/-7,359)","116,804","(+/-8,022)","95,501","(+/-5,882)","110,673","(+/-6,183)","93,777","(+/-5,590)","115,914","(+/-5,745)","135,202","(+/-8,108)"
People,Ancestry,Italian,"107,384","(+/-8,224)","43,821","(+/-5,645)","50,737","(+/-5,354)","99,515","(+/-6,971)","98,115","(+/-7,325)","98,548","(+/-7,131)","74,605","(+/-7,269)","106,864","(+/-6,783)","57,132","(+/-5,354)","48,613","(+/-4,904)","48,759","(+/-5,258)","110,398","(+/-7,578)","46,041","(+/-4,542)","96,990","(+/-6,189)","62,172","(+/-4,449)","90,986","(+/-6,877)","120,269","(+/-6,611)"
People,Ancestry,Lithuanian,"3,888","(+/-1,295)","1,400",(+/-643),"2,566",(+/-970),"4,101","(+/-1,127)","2,583",(+/-863),"2,712",(+/-994),"2,750",(+/-921),"10,057","(+/-1,504)","7,917","(+/-1,582)","2,061",(+/-827),"1,791",(+/-896),"4,136","(+/-1,377)","1,110",(+/-519),"1,708",(+/-547),"1,945",(+/-789),"1,526",(+/-711),"3,324",(+/-794)
