Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Median age (years)",41.1,(+/-0.4),39.0,(+/-0.7),40.1,(+/-0.4),40.8,(+/-0.6),39.4,(+/-0.6),39.8,(+/-0.7),36.9,(+/-0.6)
People,"Sex and Age","18 years and over","572,464","(+/-2,673)","557,923","(+/-4,738)","575,953","(+/-2,258)","557,593","(+/-4,668)","594,184","(+/-2,628)","552,818","(+/-6,602)","567,887","(+/-8,323)"
People,"Sex and Age","65 years and over","144,720","(+/-1,787)","131,696","(+/-2,256)","134,216","(+/-1,635)","140,041","(+/-2,163)","130,751","(+/-1,548)","124,848","(+/-2,480)","125,847","(+/-3,257)"
People,Race,"Total population","735,510","(+/-3,622)","724,401","(+/-7,738)","730,373","(+/-3,227)","722,049","(+/-5,964)","758,622","(+/-3,654)","722,381","(+/-9,416)","715,132","(+/-12,470)"
People,Race,"One race","697,200","(+/-6,533)","681,889","(+/-8,786)","694,354","(+/-5,311)","681,834","(+/-7,031)","704,741","(+/-7,057)","680,140","(+/-10,243)","683,330","(+/-12,238)"
People,Race,White,"477,507","(+/-4,442)","436,219","(+/-3,610)","498,408","(+/-3,705)","592,678","(+/-7,074)","529,689","(+/-5,065)","505,911","(+/-6,998)","263,529","(+/-7,558)"
People,Race,"Black or African American","192,547","(+/-4,981)","220,309","(+/-8,513)","169,913","(+/-4,214)","45,679","(+/-3,176)","133,299","(+/-3,843)","141,451","(+/-8,928)","395,559","(+/-11,249)"
People,Race,"American Indian and Alaska Native","4,642","(+/-1,556)","1,854",(+/-623),"4,074","(+/-1,671)","4,667","(+/-1,942)","5,697","(+/-1,868)","1,867",(+/-932),"1,690","(+/-1,019)"
People,Race,Asian,"12,129","(+/-1,136)","10,334","(+/-1,424)","11,899","(+/-1,572)","5,447","(+/-1,641)","15,401","(+/-1,148)","13,088","(+/-1,764)","9,147","(+/-1,944)"
People,Race,"Native Hawaiian and Other Pacific Islander",811,(+/-719),296,(+/-204),267,(+/-220),386,(+/-394),145,(+/-82),496,(+/-411),244,(+/-872)
People,Race,"Some other race","9,564","(+/-2,558)","12,877","(+/-2,562)","9,793","(+/-2,160)","32,977","(+/-4,245)","20,510","(+/-4,291)","17,327","(+/-4,405)","13,161","(+/-3,724)"
People,Race,"Two or more races","38,310","(+/-5,924)","42,512","(+/-4,382)","36,019","(+/-4,609)","40,215","(+/-4,239)","53,881","(+/-5,374)","42,241","(+/-6,514)","31,802","(+/-4,729)"
People,"Hispanic or Latino and Race","Total population","735,510","(+/-3,622)","724,401","(+/-7,738)","730,373","(+/-3,227)","722,049","(+/-5,964)","758,622","(+/-3,654)","722,381","(+/-9,416)","715,132","(+/-12,470)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","29,462",(+/-360),"37,615","(+/-2,378)","30,620",(+/-714),"58,515","(+/-1,811)","53,072",(+/-719),"49,765","(+/-3,189)","31,857","(+/-3,674)"
People,"Hispanic or Latino and Race",Mexican,"10,700","(+/-2,356)","20,483","(+/-3,239)","13,819","(+/-2,138)","31,372","(+/-4,206)","26,455","(+/-3,701)","31,455","(+/-3,659)","17,347","(+/-4,035)"
People,"Hispanic or Latino and Race","Puerto Rican","2,393","(+/-1,358)","4,695","(+/-1,693)","4,404","(+/-1,687)","2,248","(+/-1,016)","5,321","(+/-2,243)","1,757",(+/-835),"2,747","(+/-1,157)"
People,"Hispanic or Latino and Race",Cuban,"1,592",(+/-822),"2,289","(+/-1,513)","1,199",(+/-968),"1,812",(+/-988),"2,100","(+/-1,197)","2,242","(+/-1,572)",935,"(+/-1,099)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","14,777","(+/-2,501)","10,148","(+/-2,321)","11,198","(+/-1,862)","23,083","(+/-4,160)","19,196","(+/-3,454)","14,311","(+/-3,037)","10,828","(+/-2,510)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","706,048","(+/-3,671)","686,786","(+/-7,548)","699,753","(+/-3,357)","663,534","(+/-6,125)","705,550","(+/-3,599)","672,616","(+/-8,947)","683,275","(+/-12,092)"
People,"Place of Birth","Total population","735,510","(+/-3,622)","724,401","(+/-7,738)","730,373","(+/-3,227)","722,049","(+/-5,964)","758,622","(+/-3,654)","722,381","(+/-9,416)","715,132","(+/-12,470)"
People,"Place of Birth",Native,"707,617","(+/-5,059)","696,684","(+/-8,656)","707,039","(+/-3,904)","694,762","(+/-6,577)","726,832","(+/-5,352)","683,539","(+/-8,647)","688,852","(+/-12,194)"
People,"Place of Birth","Born in United States","701,741","(+/-5,331)","686,417","(+/-8,880)","700,186","(+/-4,065)","688,796","(+/-6,773)","714,387","(+/-5,680)","677,627","(+/-8,805)","684,227","(+/-12,363)"
People,"Place of Birth","State of residence","468,792","(+/-10,227)","479,727","(+/-10,850)","465,722","(+/-8,502)","516,534","(+/-8,426)","430,503","(+/-10,026)","476,702","(+/-9,970)","545,374","(+/-13,257)"
People,"Place of Birth","Different state","232,949","(+/-10,683)","206,690","(+/-6,809)","234,464","(+/-7,206)","172,262","(+/-7,584)","283,884","(+/-9,904)","200,925","(+/-10,059)","138,853","(+/-5,970)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,876","(+/-1,738)","10,267","(+/-1,780)","6,853","(+/-1,495)","5,966","(+/-1,706)","12,445","(+/-2,697)","5,912","(+/-1,810)","4,625","(+/-1,365)"
People,"Place of Birth","Foreign born","27,893","(+/-3,560)","27,717","(+/-3,352)","23,334","(+/-2,404)","27,287","(+/-3,445)","31,790","(+/-3,739)","38,842","(+/-4,715)","26,280","(+/-3,689)"
People,Ancestry,"Total population","735,510","(+/-3,622)","724,401","(+/-7,738)","730,373","(+/-3,227)","722,049","(+/-5,964)","758,622","(+/-3,654)","722,381","(+/-9,416)","715,132","(+/-12,470)"
People,Ancestry,American,"83,301","(+/-8,836)","100,330","(+/-9,082)","90,377","(+/-9,233)","121,893","(+/-7,525)","110,437","(+/-7,615)","82,536","(+/-8,051)","88,983","(+/-8,631)"
People,Ancestry,Arab,"1,720",(+/-915),"1,309","(+/-1,286)",805,(+/-465),95,(+/-168),950,(+/-524),"5,557","(+/-2,216)","1,183",(+/-754)
People,Ancestry,Czech,"1,371",(+/-600),"1,080",(+/-519),219,(+/-315),266,(+/-232),698,(+/-431),107,(+/-110),426,(+/-327)
People,Ancestry,Danish,"1,220",(+/-996),666,(+/-398),"1,004",(+/-889),51,(+/-60),677,(+/-428),829,(+/-477),132,(+/-132)
People,Ancestry,Dutch,"2,938","(+/-1,039)","2,816",(+/-955),"3,964","(+/-1,225)","3,793","(+/-1,188)","4,236","(+/-1,454)","4,694","(+/-1,678)","1,987",(+/-951)
People,Ancestry,English,"84,198","(+/-7,182)","76,079","(+/-5,843)","98,150","(+/-7,209)","98,771","(+/-7,345)","115,057","(+/-8,198)","117,324","(+/-7,813)","47,221","(+/-4,396)"
People,Ancestry,"French (except Basque)","11,611","(+/-2,412)","7,003","(+/-1,585)","7,683","(+/-2,174)","5,776","(+/-1,578)","11,263","(+/-2,003)","7,598","(+/-1,934)","4,209","(+/-1,630)"
People,Ancestry,"French Canadian","1,471",(+/-791),"1,260",(+/-740),"1,199",(+/-664),428,(+/-359),"1,811",(+/-872),"1,058",(+/-796),181,(+/-137)
People,Ancestry,German,"58,700","(+/-6,890)","40,023","(+/-5,541)","36,673","(+/-4,773)","45,013","(+/-4,742)","65,705","(+/-5,997)","47,981","(+/-5,127)","22,407","(+/-3,088)"
People,Ancestry,Greek,"1,927",(+/-887),"1,302",(+/-800),343,(+/-285),378,(+/-260),"1,086",(+/-609),"2,041",(+/-963),"1,208",(+/-767)
People,Ancestry,Hungarian,574,(+/-392),424,(+/-280),"1,223",(+/-895),819,(+/-514),"1,059",(+/-690),"1,033",(+/-527),464,(+/-344)
People,Ancestry,Irish,"58,827","(+/-5,506)","49,998","(+/-5,072)","64,288","(+/-6,180)","64,438","(+/-5,893)","69,072","(+/-5,723)","56,469","(+/-5,591)","29,176","(+/-3,470)"
People,Ancestry,Italian,"16,248","(+/-3,358)","9,210","(+/-1,610)","9,803","(+/-2,762)","10,616","(+/-2,180)","14,837","(+/-2,452)","20,846","(+/-3,447)","10,573","(+/-2,758)"
People,Ancestry,Lithuanian,362,(+/-346),167,(+/-161),363,(+/-297),232,(+/-276),426,(+/-344),551,(+/-384),0,(+/-210)
People,Ancestry,Norwegian,"1,896",(+/-756),"1,834",(+/-829),"2,052",(+/-871),"1,332",(+/-496),"3,705","(+/-1,185)","2,344",(+/-804),"1,660","(+/-1,383)"
People,Ancestry,Polish,"3,751","(+/-1,199)","2,472",(+/-874),"4,098","(+/-1,433)","3,350","(+/-1,077)","8,601","(+/-2,933)","4,129","(+/-1,160)","2,593","(+/-1,223)"
People,Ancestry,Portuguese,"1,560","(+/-1,471)",319,(+/-194),844,(+/-955),143,(+/-203),467,(+/-347),215,(+/-251),37,(+/-65)
People,Ancestry,Russian,"1,067",(+/-805),502,(+/-356),"1,525","(+/-1,504)",122,(+/-110),"1,483",(+/-831),926,(+/-517),720,(+/-530)
People,Ancestry,Scotch-Irish,"8,453","(+/-1,984)","8,881","(+/-2,366)","9,142","(+/-2,216)","7,688","(+/-1,600)","10,372","(+/-2,131)","14,623","(+/-3,087)","2,670",(+/-910)
People,Ancestry,Scottish,"12,961","(+/-2,254)","10,157","(+/-1,525)","11,896","(+/-2,040)","15,442","(+/-2,514)","18,618","(+/-3,103)","20,379","(+/-3,853)","5,935","(+/-1,585)"
People,Ancestry,Slovak,211,(+/-182),327,(+/-280),0,(+/-210),213,(+/-183),924,(+/-612),280,(+/-274),247,(+/-221)
People,Ancestry,"Subsaharan African","3,536","(+/-1,164)","5,313","(+/-2,097)","6,096","(+/-2,008)","2,033",(+/-974),"4,385","(+/-1,892)","5,095","(+/-1,950)","9,939","(+/-3,609)"
People,Ancestry,Swedish,"2,333",(+/-724),"1,321",(+/-790),"3,579","(+/-2,117)","1,670",(+/-714),"4,117","(+/-2,628)","2,477",(+/-998),"1,827","(+/-1,033)"
People,Ancestry,Swiss,391,(+/-302),539,(+/-325),752,(+/-408),588,(+/-703),"1,211",(+/-788),975,(+/-498),141,(+/-154)
People,Ancestry,Ukrainian,791,(+/-855),218,(+/-163),667,(+/-472),111,(+/-119),"1,447","(+/-1,077)","1,003",(+/-573),580,(+/-736)
People,Ancestry,Welsh,"2,610",(+/-992),"2,535",(+/-938),"3,628","(+/-2,002)","2,983","(+/-1,206)","3,061",(+/-997),"2,474",(+/-853),"1,412",(+/-805)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,031","(+/-2,196)","3,305","(+/-1,574)","1,705",(+/-982),943,(+/-513),"1,948","(+/-1,043)",971,(+/-714),"2,666","(+/-1,010)"
People,"Veteran Status","Civilian population 18 years and over","570,387","(+/-2,779)","551,142","(+/-4,942)","571,928","(+/-2,664)","557,420","(+/-4,715)","592,832","(+/-2,798)","552,026","(+/-6,684)","566,772","(+/-8,230)"
People,"Veteran Status","Civilian veterans","45,855","(+/-3,331)","54,631","(+/-3,345)","41,537","(+/-2,927)","39,140","(+/-3,131)","56,024","(+/-4,081)","30,632","(+/-2,589)","31,676","(+/-2,639)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","724,611","(+/-3,611)","701,871","(+/-7,887)","716,179","(+/-3,617)","714,483","(+/-5,999)","748,709","(+/-3,781)","714,802","(+/-9,444)","701,772","(+/-12,317)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","101,091","(+/-6,050)","125,555","(+/-5,237)","126,491","(+/-6,406)","142,492","(+/-6,273)","111,628","(+/-6,498)","100,468","(+/-5,561)","131,720","(+/-6,183)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","162,832","(+/-1,984)","166,023","(+/-4,554)","154,069","(+/-2,025)","164,293","(+/-3,146)","164,361","(+/-1,669)","169,400","(+/-5,047)","147,073","(+/-6,546)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,484","(+/-1,556)","10,640","(+/-1,922)","9,343","(+/-2,223)","9,293","(+/-1,452)","7,121","(+/-1,781)","7,747","(+/-1,523)","8,686","(+/-1,782)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","419,901","(+/-2,741)","407,656","(+/-4,710)","431,316","(+/-2,440)","414,165","(+/-5,111)","457,091","(+/-2,951)","423,940","(+/-6,408)","432,852","(+/-7,440)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,655","(+/-4,191)","63,618","(+/-3,478)","64,821","(+/-5,014)","77,207","(+/-5,192)","59,556","(+/-4,906)","50,558","(+/-4,424)","71,163","(+/-5,508)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","141,878","(+/-1,828)","128,192","(+/-2,232)","130,794","(+/-1,767)","136,025","(+/-2,153)","127,257","(+/-1,519)","121,462","(+/-2,471)","121,847","(+/-3,253)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,952","(+/-2,891)","51,297","(+/-2,743)","52,327","(+/-3,045)","55,992","(+/-2,933)","44,951","(+/-2,702)","42,163","(+/-2,970)","51,871","(+/-2,950)"
People,"Residence 1 Year Ago","Population 1 year and over","730,539","(+/-3,578)","717,405","(+/-7,697)","722,806","(+/-3,329)","714,499","(+/-6,086)","751,535","(+/-3,871)","714,045","(+/-9,441)","707,568","(+/-12,183)"
People,"Residence 1 Year Ago","Same house","658,447","(+/-6,631)","635,347","(+/-10,758)","644,136","(+/-7,080)","645,395","(+/-9,222)","662,127","(+/-7,892)","632,058","(+/-12,397)","605,482","(+/-13,406)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","72,092","(+/-7,242)","82,058","(+/-6,528)","78,670","(+/-7,141)","69,104","(+/-7,131)","89,408","(+/-8,194)","81,987","(+/-9,634)","102,086","(+/-8,464)"
People,"Residence 1 Year Ago","Different house in the U.S.","69,940","(+/-7,259)","78,517","(+/-6,539)","75,872","(+/-7,186)","66,964","(+/-7,095)","85,976","(+/-7,995)","80,094","(+/-9,407)","99,803","(+/-8,418)"
People,"Residence 1 Year Ago","Same county","38,631","(+/-5,193)","38,942","(+/-5,379)","30,784","(+/-4,426)","39,124","(+/-5,768)","41,316","(+/-5,903)","44,640","(+/-8,466)","53,094","(+/-6,581)"
People,"Residence 1 Year Ago","Different county","31,309","(+/-5,031)","39,575","(+/-4,590)","45,088","(+/-5,265)","27,840","(+/-3,435)","44,660","(+/-6,023)","35,454","(+/-5,550)","46,709","(+/-6,500)"
People,"Residence 1 Year Ago","Same state","14,031","(+/-3,169)","23,332","(+/-3,624)","25,505","(+/-3,786)","18,696","(+/-2,488)","19,596","(+/-3,817)","24,340","(+/-4,992)","25,714","(+/-4,847)"
People,"Residence 1 Year Ago","Different state","17,278","(+/-3,535)","16,243","(+/-2,604)","19,583","(+/-3,306)","9,144","(+/-2,232)","25,064","(+/-5,829)","11,114","(+/-2,979)","20,995","(+/-4,447)"
People,"Residence 1 Year Ago",Abroad,"2,152",(+/-855),"3,541","(+/-1,252)","2,798","(+/-1,542)","2,140",(+/-847),"3,432","(+/-1,140)","1,893",(+/-871),"2,283","(+/-1,244)"
Workers,"Employment Status","Population 16 years and over","591,942","(+/-3,373)","577,651","(+/-5,233)","594,867","(+/-3,353)","577,643","(+/-4,777)","615,665","(+/-3,570)","574,285","(+/-6,772)","583,226","(+/-9,303)"
Workers,"Employment Status","In labor force","341,241","(+/-6,184)","332,658","(+/-6,299)","339,172","(+/-6,128)","322,272","(+/-6,905)","385,260","(+/-6,182)","362,659","(+/-7,025)","327,053","(+/-8,466)"
Workers,"Employment Status","Civilian labor force","339,164","(+/-6,318)","325,877","(+/-6,499)","335,147","(+/-6,249)","322,099","(+/-6,907)","383,908","(+/-6,236)","361,867","(+/-7,081)","325,938","(+/-8,324)"
Workers,"Employment Status",Employed,"328,373","(+/-6,495)","312,876","(+/-6,370)","319,614","(+/-6,505)","310,091","(+/-7,041)","372,208","(+/-6,295)","349,180","(+/-6,706)","305,599","(+/-8,658)"
Workers,"Employment Status",Unemployed,"10,791","(+/-1,986)","13,001","(+/-1,972)","15,533","(+/-2,456)","12,008","(+/-2,083)","11,700","(+/-1,857)","12,687","(+/-2,019)","20,339","(+/-3,518)"
Workers,"Employment Status","Armed Forces","2,077",(+/-895),"6,781","(+/-1,456)","4,025","(+/-1,048)",173,(+/-207),"1,352",(+/-835),792,(+/-550),"1,115",(+/-575)
Workers,"Employment Status","Not in labor force","250,701","(+/-6,550)","244,993","(+/-5,483)","255,695","(+/-6,410)","255,371","(+/-5,724)","230,405","(+/-6,430)","211,626","(+/-4,865)","256,173","(+/-6,826)"
Workers,"Employment Status","Civilian labor force","339,164","(+/-6,318)","325,877","(+/-6,499)","335,147","(+/-6,249)","322,099","(+/-6,907)","383,908","(+/-6,236)","361,867","(+/-7,081)","325,938","(+/-8,324)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.6),4.0,(+/-0.6),4.6,(+/-0.7),3.7,(+/-0.6),3.0,(+/-0.5),3.5,(+/-0.5),6.2,(+/-1.1)
Workers,"Commuting to Work","Workers 16 years and over","322,621","(+/-6,345)","314,757","(+/-5,845)","315,995","(+/-6,403)","305,276","(+/-7,146)","366,053","(+/-6,730)","344,680","(+/-6,612)","301,269","(+/-8,764)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","260,655","(+/-7,275)","263,828","(+/-6,692)","255,181","(+/-7,459)","254,279","(+/-7,370)","283,611","(+/-6,836)","270,944","(+/-6,610)","228,498","(+/-8,185)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","24,315","(+/-3,312)","25,585","(+/-2,935)","24,768","(+/-3,153)","28,408","(+/-3,844)","29,686","(+/-4,610)","26,055","(+/-3,805)","30,087","(+/-3,826)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",750,(+/-410),553,(+/-296),"1,199",(+/-709),437,(+/-348),405,(+/-295),183,(+/-117),"2,980","(+/-1,237)"
Workers,"Commuting to Work",Walked,"2,851","(+/-1,103)","2,950",(+/-853),"4,663","(+/-1,030)","3,053","(+/-1,155)","3,412",(+/-897),"3,159","(+/-1,112)","9,725","(+/-2,078)"
Workers,"Commuting to Work","Other means","4,573","(+/-1,960)","3,699","(+/-1,019)","4,259","(+/-1,072)","3,032","(+/-1,342)","3,203","(+/-1,168)","3,502","(+/-1,367)","7,095","(+/-2,049)"
Workers,"Commuting to Work","Worked from home","29,477","(+/-3,606)","18,142","(+/-1,993)","25,925","(+/-3,302)","16,067","(+/-2,301)","45,736","(+/-4,057)","40,837","(+/-3,292)","22,884","(+/-3,657)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.6,(+/-0.8),24.1,(+/-0.8),26.3,(+/-0.8),26.9,(+/-0.9),24.0,(+/-0.6),28.0,(+/-0.8),23.5,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","328,373","(+/-6,495)","312,876","(+/-6,370)","319,614","(+/-6,505)","310,091","(+/-7,041)","372,208","(+/-6,295)","349,180","(+/-6,706)","305,599","(+/-8,658)"
Workers,Occupation,"Management, business, science, and arts occupations","117,120","(+/-6,179)","112,426","(+/-4,902)","124,063","(+/-5,990)","106,148","(+/-5,374)","176,285","(+/-6,803)","162,410","(+/-6,036)","112,746","(+/-6,592)"
Workers,Occupation,"Service occupations","52,725","(+/-4,848)","50,282","(+/-3,895)","46,385","(+/-4,415)","45,049","(+/-3,451)","48,426","(+/-3,532)","44,763","(+/-3,847)","54,392","(+/-4,991)"
Workers,Occupation,"Sales and office occupations","69,769","(+/-4,816)","63,975","(+/-4,257)","60,236","(+/-4,271)","59,905","(+/-4,013)","62,121","(+/-4,473)","70,439","(+/-4,152)","57,741","(+/-4,787)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","32,892","(+/-3,655)","30,443","(+/-2,912)","30,342","(+/-3,589)","34,277","(+/-3,214)","31,314","(+/-2,877)","29,851","(+/-2,961)","24,100","(+/-3,095)"
Workers,Occupation,"Production, transportation, and material moving occupations","55,867","(+/-4,566)","55,750","(+/-3,693)","58,588","(+/-4,258)","64,712","(+/-4,317)","54,062","(+/-4,279)","41,717","(+/-3,703)","56,620","(+/-4,614)"
Workers,Industry,"Civilian employed population 16 years and over","328,373","(+/-6,495)","312,876","(+/-6,370)","319,614","(+/-6,505)","310,091","(+/-7,041)","372,208","(+/-6,295)","349,180","(+/-6,706)","305,599","(+/-8,658)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,582","(+/-1,363)","5,880","(+/-1,141)","2,300",(+/-772),"6,342","(+/-1,581)","2,199",(+/-870),"2,776",(+/-984),"4,473","(+/-1,394)"
Workers,Industry,Construction,"25,007","(+/-3,099)","17,858","(+/-2,051)","23,764","(+/-3,139)","23,884","(+/-3,062)","24,531","(+/-3,164)","25,721","(+/-2,882)","16,340","(+/-2,573)"
Workers,Industry,Manufacturing,"44,589","(+/-4,233)","41,217","(+/-3,600)","51,520","(+/-4,036)","61,407","(+/-3,970)","63,492","(+/-4,855)","33,878","(+/-3,351)","39,805","(+/-3,652)"
Workers,Industry,"Wholesale trade","8,520","(+/-2,141)","6,727","(+/-1,235)","6,866","(+/-1,605)","6,504","(+/-1,433)","5,616","(+/-1,714)","9,525","(+/-1,922)","5,054","(+/-1,358)"
Workers,Industry,"Retail trade","40,029","(+/-4,126)","35,966","(+/-3,149)","32,768","(+/-3,400)","35,959","(+/-3,680)","37,902","(+/-3,936)","37,187","(+/-3,404)","33,962","(+/-4,036)"
Workers,Industry,"Transportation and warehousing, and utilities","18,991","(+/-2,901)","24,911","(+/-2,898)","21,114","(+/-3,484)","19,285","(+/-2,593)","13,808","(+/-2,083)","25,493","(+/-3,273)","21,050","(+/-3,033)"
Workers,Industry,Information,"4,239","(+/-1,404)","3,430","(+/-1,083)","3,495","(+/-1,019)","2,819",(+/-912),"5,008","(+/-1,237)","6,060","(+/-1,487)","3,083","(+/-1,370)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","19,077","(+/-3,214)","15,498","(+/-2,195)","17,225","(+/-2,463)","11,436","(+/-1,721)","15,260","(+/-2,233)","28,247","(+/-3,283)","16,621","(+/-2,497)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","35,161","(+/-3,898)","26,732","(+/-2,891)","26,683","(+/-2,891)","19,258","(+/-2,264)","66,062","(+/-3,962)","36,993","(+/-3,886)","25,222","(+/-3,467)"
Workers,Industry,"Educational services, and health care and social assistance","70,810","(+/-4,896)","68,913","(+/-4,192)","80,902","(+/-5,186)","71,477","(+/-4,391)","69,750","(+/-4,899)","83,674","(+/-4,866)","81,715","(+/-5,204)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","27,549","(+/-4,309)","26,296","(+/-3,027)","23,679","(+/-2,617)","23,122","(+/-3,079)","25,012","(+/-3,082)","27,977","(+/-2,902)","25,348","(+/-3,516)"
Workers,Industry,"Other services, except public administration","16,654","(+/-2,799)","14,871","(+/-1,798)","13,380","(+/-2,139)","15,371","(+/-2,012)","18,056","(+/-2,416)","18,669","(+/-2,733)","14,072","(+/-2,653)"
Workers,Industry,"Public administration","14,165","(+/-2,473)","24,577","(+/-2,504)","15,918","(+/-2,716)","13,227","(+/-1,941)","25,512","(+/-2,918)","12,980","(+/-1,991)","18,854","(+/-2,827)"
Workers,"Class of Worker","Civilian employed population 16 years and over","328,373","(+/-6,495)","312,876","(+/-6,370)","319,614","(+/-6,505)","310,091","(+/-7,041)","372,208","(+/-6,295)","349,180","(+/-6,706)","305,599","(+/-8,658)"
