Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
Workers,"Employment Status",Employed,"351,854","(+/-7,545)","315,981","(+/-7,369)"
Workers,"Employment Status",Unemployed,"11,584","(+/-2,018)","12,840","(+/-1,888)"
Workers,"Employment Status","Armed Forces","26,614","(+/-2,413)","20,067","(+/-1,610)"
Workers,"Employment Status","Not in labor force","206,790","(+/-6,152)","226,627","(+/-6,786)"
Workers,"Employment Status","Civilian labor force","363,438","(+/-7,707)","328,821","(+/-7,115)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.5),3.9,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","370,977","(+/-7,755)","326,785","(+/-7,742)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","222,059","(+/-7,484)","225,732","(+/-7,088)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","62,085","(+/-5,132)","48,425","(+/-4,585)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","21,275","(+/-2,599)","7,546","(+/-1,442)"
Workers,"Commuting to Work",Walked,"17,500","(+/-2,317)","9,573","(+/-1,493)"
Workers,"Commuting to Work","Other means","16,300","(+/-2,502)","6,751","(+/-1,408)"
Workers,"Commuting to Work","Worked from home","31,758","(+/-3,162)","28,758","(+/-2,646)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.8,(+/-0.7),27.2,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","351,854","(+/-7,545)","315,981","(+/-7,369)"
Workers,Occupation,"Management, business, science, and arts occupations","148,819","(+/-5,028)","113,675","(+/-5,528)"
Workers,Occupation,"Service occupations","72,090","(+/-4,415)","76,358","(+/-5,421)"
Workers,Occupation,"Sales and office occupations","72,475","(+/-4,197)","62,912","(+/-3,488)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,285","(+/-2,303)","31,814","(+/-3,310)"
Workers,Occupation,"Production, transportation, and material moving occupations","32,185","(+/-3,296)","31,222","(+/-3,526)"
Workers,Industry,"Civilian employed population 16 years and over","351,854","(+/-7,545)","315,981","(+/-7,369)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,637",(+/-658),"6,187","(+/-1,429)"
Workers,Industry,Construction,"22,396","(+/-2,175)","26,051","(+/-2,894)"
Workers,Industry,Manufacturing,"10,715","(+/-1,476)","8,649","(+/-1,624)"
Workers,Industry,"Wholesale trade","8,177","(+/-1,591)","6,364","(+/-1,328)"
Workers,Industry,"Retail trade","39,104","(+/-3,572)","36,139","(+/-3,459)"
Workers,Industry,"Transportation and warehousing, and utilities","24,631","(+/-2,720)","20,616","(+/-2,494)"
Workers,Industry,Information,"5,016",(+/-947),"4,420","(+/-1,035)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","23,519","(+/-2,281)","17,214","(+/-2,160)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","38,427","(+/-2,782)","34,949","(+/-3,321)"
Workers,Industry,"Educational services, and health care and social assistance","81,777","(+/-4,220)","66,891","(+/-3,808)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","45,876","(+/-3,621)","51,870","(+/-4,924)"
Workers,Industry,"Other services, except public administration","18,985","(+/-2,464)","14,725","(+/-2,425)"
Workers,Industry,"Public administration","31,594","(+/-3,158)","21,906","(+/-2,388)"
Workers,"Class of Worker","Civilian employed population 16 years and over","351,854","(+/-7,545)","315,981","(+/-7,369)"
Workers,"Class of Worker","Private wage and salary workers","257,210","(+/-6,549)","226,664","(+/-7,043)"
Workers,"Class of Worker","Government workers","75,306","(+/-4,180)","59,291","(+/-3,615)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","18,358","(+/-2,031)","28,962","(+/-3,066)"
Workers,"Class of Worker","Unpaid family workers",980,(+/-444),"1,064",(+/-553)
Housing,"Housing Occupancy","Total housing units","283,863","(+/-3,416)","288,179","(+/-3,429)"
Housing,"Housing Occupancy","Occupied housing units","256,889","(+/-3,965)","237,009","(+/-4,629)"
Housing,"Housing Occupancy","Vacant housing units","26,974","(+/-3,315)","51,170","(+/-4,328)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.1,(+/-0.5),0.5,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",8.2,(+/-1.6),9.0,(+/-2.1)
Housing,"Housing Tenure","Occupied housing units","256,889","(+/-3,965)","237,009","(+/-4,629)"
Housing,"Housing Tenure",Owner-occupied,"147,957","(+/-3,954)","160,464","(+/-4,477)"
Housing,"Housing Tenure",Renter-occupied,"108,932","(+/-4,268)","76,545","(+/-4,518)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.96,(+/-0.07),2.99,(+/-0.08)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.43,(+/-0.07),2.78,(+/-0.11)
Housing,"Year Householder Moved into Unit","Occupied housing units","256,889","(+/-3,965)","237,009","(+/-4,629)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","69,889","(+/-4,313)","52,897","(+/-3,916)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","40,938","(+/-2,754)","39,273","(+/-3,188)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","48,603","(+/-3,521)","48,820","(+/-3,020)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","37,219","(+/-2,848)","36,591","(+/-2,982)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,486","(+/-1,813)","22,938","(+/-2,245)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","37,754","(+/-2,262)","36,490","(+/-2,697)"
Housing,Value,"Owner-occupied units","147,957","(+/-3,954)","160,464","(+/-4,477)"
Housing,Value,"Less than $50,000","2,470",(+/-706),"2,580",(+/-838)
Housing,Value,"$50,000 to $99,999","2,201",(+/-602),"2,631",(+/-747)
Housing,Value,"$100,000 to $149,999","1,645",(+/-519),"2,854",(+/-946)
Housing,Value,"$150,000 to $199,999",874,(+/-404),"1,893",(+/-644)
Housing,Value,"$200,000 to $299,999","2,936",(+/-822),"7,318","(+/-1,511)"
Housing,Value,"$300,000 to $499,999","18,303","(+/-1,744)","23,101","(+/-2,395)"
Housing,Value,"$500,000 to $999,999","62,030","(+/-2,832)","67,875","(+/-3,536)"
Housing,Value,"$1,000,000 or more","57,498","(+/-2,537)","52,212","(+/-3,015)"
Housing,Value,"Median (dollars)","883,500","(+/-13,529)","811,000","(+/-17,783)"
Housing,"Mortgage Status","Owner-occupied units","147,957","(+/-3,954)","160,464","(+/-4,477)"
Housing,"Mortgage Status","Housing units with a mortgage","92,961","(+/-3,709)","98,786","(+/-4,148)"
Housing,"Mortgage Status","Housing units without a mortgage","54,996","(+/-3,067)","61,678","(+/-3,831)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","92,961","(+/-3,709)","98,786","(+/-4,148)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",387,(+/-266),934,(+/-645)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","2,070",(+/-656),"5,860","(+/-1,420)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","5,401","(+/-1,278)","10,287","(+/-1,562)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","10,351","(+/-1,158)","15,898","(+/-1,999)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,914","(+/-1,340)","16,255","(+/-2,041)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","15,940","(+/-1,886)","14,441","(+/-1,702)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","44,898","(+/-2,478)","35,111","(+/-2,609)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,950",(+/-62),"2,506",(+/-77)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","54,996","(+/-3,067)","61,678","(+/-3,831)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","1,136",(+/-376),"7,781","(+/-1,547)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","3,758",(+/-801),"10,869","(+/-1,671)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","11,694","(+/-1,400)","13,573","(+/-1,663)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","12,826","(+/-1,609)","11,549","(+/-1,873)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","7,838","(+/-1,229)","7,194","(+/-1,155)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","17,744","(+/-1,859)","10,712","(+/-1,531)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",770,(+/-25),580,(+/-27)
Housing,"Gross Rent","Occupied units paying rent","103,446","(+/-4,147)","70,145","(+/-4,306)"
Housing,"Gross Rent","Less than $500","4,892","(+/-1,032)","4,842","(+/-1,082)"
Housing,"Gross Rent","$500 to $999","8,041","(+/-1,443)","7,851","(+/-1,564)"
Housing,"Gross Rent","$1,000 to $1,499","18,052","(+/-1,869)","11,205","(+/-1,805)"
Housing,"Gross Rent","$1,500 to $1,999","24,130","(+/-2,481)","12,134","(+/-2,481)"
Housing,"Gross Rent","$2,000 to $2,499","16,939","(+/-2,322)","10,684","(+/-2,002)"
Housing,"Gross Rent","$2,500 to $2,999","12,018","(+/-2,015)","6,025","(+/-1,251)"
Housing,"Gross Rent","$3,000 or more","19,374","(+/-2,123)","17,404","(+/-2,021)"
Housing,"Gross Rent","Median (dollars)","1,930",(+/-47),"1,960",(+/-96)
Housing,"Gross Rent","No rent paid","5,486","(+/-1,112)","6,400","(+/-1,328)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","256,889","(+/-3,965)","237,009","(+/-4,629)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","11,526","(+/-1,677)","10,999","(+/-1,967)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","6,410","(+/-1,244)","7,727","(+/-1,307)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","12,223","(+/-2,196)","12,350","(+/-1,968)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","11,957","(+/-1,914)","13,518","(+/-1,969)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","19,985","(+/-2,212)","17,654","(+/-2,343)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","34,037","(+/-3,123)","35,879","(+/-2,927)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","28,871","(+/-2,245)","32,958","(+/-2,738)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","53,830","(+/-3,451)","43,799","(+/-2,967)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","31,284","(+/-2,409)","24,827","(+/-2,241)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","46,766","(+/-2,826)","37,298","(+/-2,428)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","102,320","(+/-3,295)","89,073","(+/-3,497)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","130,244","(+/-3,494)","118,718","(+/-3,389)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","690,526","(+/-10,540)","687,636","(+/-10,501)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","669,906","(+/-10,754)","663,923","(+/-10,325)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","539,509","(+/-11,647)","497,523","(+/-10,236)"
Socioeconomic,"Health Insurance Coverage","With public coverage","258,040","(+/-8,160)","296,982","(+/-9,654)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","20,620","(+/-2,657)","23,713","(+/-3,905)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","150,779","(+/-5,440)","159,058","(+/-5,303)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","4,237","(+/-1,221)","4,937","(+/-1,748)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.9,(+/-0.9),7.3,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.1,(+/-1.5),11.4,(+/-2.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.4,(+/-1.6),7.8,(+/-4.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.5,(+/-0.7),4.6,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.0,(+/-1.0),6.1,(+/-2.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.3,(+/-1.2),2.5,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",13.6,(+/-3.3),16.4,(+/-4.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.0,(+/-5.4),26.1,(+/-6.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.3,(+/-5.7),23.2,(+/-18.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.9,(+/-0.9),11.4,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",9.2,(+/-2.2),13.4,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",9.1,(+/-2.2),13.1,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",9.7,(+/-3.3),11.5,(+/-3.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",8.9,(+/-2.1),13.6,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.8,(+/-0.8),10.9,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.9,(+/-1.4),9.3,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.6,(+/-1.0),8.1,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",22.8,(+/-1.8),26.1,(+/-1.7)
Education,"School Enrollment","Population 3 years and over enrolled in school","164,763","(+/-5,732)","156,654","(+/-5,073)"
Education,"School Enrollment","Nursery school, preschool","10,420","(+/-1,787)","12,031","(+/-1,903)"
Education,"School Enrollment",Kindergarten,"7,549","(+/-1,116)","6,643","(+/-1,432)"
Education,"School Enrollment","Elementary school (grades 1-8)","62,153","(+/-3,256)","69,414","(+/-3,661)"
Education,"School Enrollment","High school (grades 9-12)","32,411","(+/-1,870)","32,965","(+/-2,134)"
Education,"School Enrollment","College or graduate school","52,230","(+/-3,712)","35,601","(+/-2,836)"
Education,"Educational Attainment","Population 25 years and over","523,208","(+/-6,644)","501,689","(+/-7,033)"
Education,"Educational Attainment","Less than 9th grade","17,626","(+/-2,670)","11,719","(+/-2,586)"
Education,"Educational Attainment","9th to 12th grade, no diploma","21,286","(+/-2,923)","21,199","(+/-2,355)"
Education,"Educational Attainment","High school graduate (includes equivalency)","126,427","(+/-5,703)","143,042","(+/-6,745)"
Education,"Educational Attainment","Some college, no degree","92,244","(+/-4,870)","99,760","(+/-4,892)"
Education,"Educational Attainment","Associate's degree","53,584","(+/-3,581)","58,801","(+/-4,501)"
Education,"Educational Attainment","Bachelor's degree","132,994","(+/-5,343)","104,234","(+/-4,613)"
Education,"Educational Attainment","Graduate or professional degree","79,047","(+/-4,326)","62,934","(+/-3,603)"
Education,"Educational Attainment","Percent high school graduate or higher",92.6,(+/-0.7),93.4,(+/-0.7)
Education,"Educational Attainment","Percent bachelor's degree or higher",40.5,(+/-1.1),33.3,(+/-1.1)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","279,718",G,"188,917",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",27,H,209,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",0,N,184,H
Business,"Paid employees for pay period including March 12",Utilities,"1,940",J,"1,547",H
Business,"Paid employees for pay period including March 12",Construction,"18,880",G,"11,888",G
Business,"Paid employees for pay period including March 12",Manufacturing,"5,924",G,"4,451",G
Business,"Paid employees for pay period including March 12","Wholesale trade","10,376",G,"5,430",G
Business,"Paid employees for pay period including March 12","Retail trade","33,905",G,"31,160",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","18,993",G,"8,891",G
Business,"Paid employees for pay period including March 12",Information,"5,456",H,"1,969",G
Business,"Paid employees for pay period including March 12","Finance and insurance","16,687",G,"2,990",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","7,016",G,"5,838",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","16,980",G,"7,004",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","6,391",G,723,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","17,911",G,"13,286",G
Business,"Paid employees for pay period including March 12","Educational services","10,567",G,"5,774",H
Business,"Paid employees for pay period including March 12","Health care and social assistance","44,831",G,"26,608",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","3,658",G,"6,133",G
