Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Workers,Industry,"Civilian employed population 16 years and over","394,022","(+/-7,775)","298,117","(+/-6,389)","373,223","(+/-7,834)","324,692","(+/-6,414)","357,404","(+/-8,674)","352,455","(+/-9,151)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","6,397","(+/-1,553)","15,787","(+/-1,908)","6,761","(+/-2,089)","10,842","(+/-2,470)","7,420","(+/-2,539)","11,794","(+/-2,777)"
Workers,Industry,Construction,"23,272","(+/-3,259)","20,577","(+/-2,992)","22,250","(+/-3,507)","20,899","(+/-3,090)","28,633","(+/-2,991)","24,948","(+/-3,369)"
Workers,Industry,Manufacturing,"63,626","(+/-4,293)","27,248","(+/-3,419)","34,112","(+/-3,883)","30,914","(+/-3,377)","34,220","(+/-3,255)","40,580","(+/-3,990)"
Workers,Industry,"Wholesale trade","8,546","(+/-1,696)","5,579","(+/-1,525)","7,880","(+/-1,392)","5,270","(+/-1,247)","8,366","(+/-1,632)","7,957","(+/-1,804)"
Workers,Industry,"Retail trade","43,948","(+/-3,174)","36,570","(+/-3,597)","44,504","(+/-3,734)","39,248","(+/-3,113)","43,970","(+/-4,374)","41,505","(+/-4,475)"
Workers,Industry,"Transportation and warehousing, and utilities","15,955","(+/-2,391)","16,444","(+/-2,393)","21,636","(+/-2,910)","11,410","(+/-1,846)","15,802","(+/-2,417)","16,779","(+/-2,757)"
Workers,Industry,Information,"6,751","(+/-1,530)","4,745","(+/-1,224)","9,085","(+/-1,734)","4,517","(+/-1,047)","5,707","(+/-1,406)","5,102","(+/-1,365)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","21,043","(+/-2,563)","12,950","(+/-2,093)","17,910","(+/-2,615)","13,468","(+/-2,190)","23,515","(+/-2,720)","18,206","(+/-2,336)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","57,410","(+/-4,111)","25,703","(+/-3,351)","51,701","(+/-4,121)","33,384","(+/-3,363)","46,400","(+/-3,799)","39,631","(+/-3,612)"
Workers,Industry,"Educational services, and health care and social assistance","85,372","(+/-4,724)","73,764","(+/-4,223)","91,390","(+/-5,672)","90,821","(+/-5,034)","81,190","(+/-4,415)","78,405","(+/-4,866)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","33,083","(+/-3,804)","27,070","(+/-3,333)","30,898","(+/-2,952)","29,665","(+/-3,118)","28,750","(+/-3,340)","28,387","(+/-3,026)"
Workers,Industry,"Other services, except public administration","15,549","(+/-2,280)","14,296","(+/-2,580)","21,421","(+/-2,795)","16,673","(+/-2,567)","16,572","(+/-2,165)","15,680","(+/-2,398)"
Workers,Industry,"Public administration","13,070","(+/-2,053)","17,384","(+/-2,362)","13,675","(+/-2,116)","17,581","(+/-2,665)","16,859","(+/-2,352)","23,481","(+/-3,234)"
Workers,"Class of Worker","Civilian employed population 16 years and over","394,022","(+/-7,775)","298,117","(+/-6,389)","373,223","(+/-7,834)","324,692","(+/-6,414)","357,404","(+/-8,674)","352,455","(+/-9,151)"
Workers,"Class of Worker","Private wage and salary workers","322,195","(+/-7,132)","223,529","(+/-6,894)","297,221","(+/-7,117)","240,272","(+/-6,097)","285,619","(+/-7,663)","273,689","(+/-9,784)"
Workers,"Class of Worker","Government workers","46,608","(+/-3,300)","49,788","(+/-4,247)","52,142","(+/-4,257)","59,590","(+/-3,190)","45,743","(+/-4,047)","57,066","(+/-4,308)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","24,259","(+/-2,969)","24,228","(+/-3,163)","23,674","(+/-2,903)","24,266","(+/-2,787)","25,625","(+/-3,032)","21,179","(+/-2,783)"
Workers,"Class of Worker","Unpaid family workers",960,(+/-590),572,(+/-301),186,(+/-170),564,(+/-363),417,(+/-302),521,(+/-386)
Housing,"Housing Occupancy","Total housing units","331,337","(+/-5,284)","318,308","(+/-2,306)","301,867","(+/-5,186)","333,683","(+/-1,906)","306,295","(+/-4,400)","288,020","(+/-4,163)"
Housing,"Housing Occupancy","Occupied housing units","310,113","(+/-5,207)","289,071","(+/-3,128)","284,314","(+/-5,077)","305,073","(+/-3,744)","287,486","(+/-4,681)","275,993","(+/-5,062)"
Housing,"Housing Occupancy","Vacant housing units","21,224","(+/-2,807)","29,237","(+/-2,984)","17,553","(+/-2,898)","28,610","(+/-3,041)","18,809","(+/-2,773)","12,027","(+/-2,822)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.3),0.9,(+/-0.4),0.7,(+/-0.4),0.7,(+/-0.3),0.5,(+/-0.4),0.6,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",4.7,(+/-1.4),4.6,(+/-1.4),5.1,(+/-1.5),4.1,(+/-1.3),4.6,(+/-1.6),4.4,(+/-1.6)
Housing,"Housing Tenure","Occupied housing units","310,113","(+/-5,207)","289,071","(+/-3,128)","284,314","(+/-5,077)","305,073","(+/-3,744)","287,486","(+/-4,681)","275,993","(+/-5,062)"
Housing,"Housing Tenure",Owner-occupied,"172,564","(+/-4,273)","200,668","(+/-4,474)","171,640","(+/-4,710)","193,198","(+/-4,467)","201,559","(+/-5,230)","171,968","(+/-5,300)"
Housing,"Housing Tenure",Renter-occupied,"137,549","(+/-5,385)","88,403","(+/-4,179)","112,674","(+/-5,074)","111,875","(+/-3,956)","85,927","(+/-4,869)","104,025","(+/-5,594)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.50,(+/-0.04),2.43,(+/-0.04),2.56,(+/-0.05),2.37,(+/-0.04),2.55,(+/-0.04),2.65,(+/-0.06)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.94,(+/-0.06),2.25,(+/-0.09),2.01,(+/-0.06),2.08,(+/-0.06),2.17,(+/-0.08),2.30,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","310,113","(+/-5,207)","289,071","(+/-3,128)","284,314","(+/-5,077)","305,073","(+/-3,744)","287,486","(+/-4,681)","275,993","(+/-5,062)"
