Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years","84,000","(+/-1,135)","86,910","(+/-4,113)","83,815","(+/-2,949)","104,061","(+/-3,804)","81,301",(+/-712),"89,634","(+/-2,612)","94,508","(+/-2,299)","89,243","(+/-3,605)"
People,"Sex and Age","55 to 59 years","32,469","(+/-2,451)","38,303","(+/-2,881)","39,765","(+/-2,567)","46,466","(+/-3,433)","38,062","(+/-2,708)","42,098","(+/-2,782)","41,634","(+/-3,044)","38,373","(+/-3,382)"
People,"Sex and Age","60 to 64 years","33,404","(+/-2,352)","44,375","(+/-3,068)","54,255","(+/-2,830)","49,410","(+/-3,155)","42,598","(+/-2,725)","42,482","(+/-2,958)","50,753","(+/-2,952)","40,048","(+/-2,840)"
People,"Sex and Age","65 to 74 years","56,085",(+/-820),"77,655","(+/-2,792)","98,973","(+/-2,109)","72,700","(+/-2,737)","64,347",(+/-607),"65,152","(+/-1,715)","85,058","(+/-1,842)","59,176","(+/-2,220)"
People,"Sex and Age","75 to 84 years","27,574","(+/-1,594)","35,495","(+/-1,928)","47,219","(+/-1,902)","36,746","(+/-2,320)","31,576","(+/-1,672)","33,012","(+/-1,814)","41,614","(+/-1,852)","26,369","(+/-1,928)"
People,"Sex and Age","85 years and over","9,334","(+/-1,572)","11,483","(+/-1,619)","14,939","(+/-1,680)","11,009","(+/-1,388)","9,818","(+/-1,671)","9,413","(+/-1,562)","12,154","(+/-1,406)","7,641","(+/-1,205)"
People,"Sex and Age","Median age (years)",35.5,(+/-0.1),38.3,(+/-0.5),42.4,(+/-0.5),39.6,(+/-0.4),35.3,(+/-0.1),37.2,(+/-0.4),41.3,(+/-0.4),35.1,(+/-0.3)
People,"Sex and Age","18 years and over","595,004","(+/-1,413)","597,137","(+/-6,435)","586,730","(+/-3,771)","593,569","(+/-7,042)","568,598","(+/-1,249)","564,329","(+/-4,800)","599,945","(+/-4,947)","561,618","(+/-6,087)"
People,"Sex and Age","65 years and over","92,993",(+/-821),"124,633","(+/-3,262)","161,131","(+/-2,389)","120,455","(+/-3,733)","105,741",(+/-611),"107,577","(+/-2,040)","138,826","(+/-2,224)","93,186","(+/-2,842)"
People,Race,"Total population","722,087","(+/-1,665)","721,783","(+/-7,685)","730,686","(+/-3,355)","767,791","(+/-7,975)","737,347","(+/-1,461)","730,351","(+/-6,409)","726,989","(+/-6,129)","740,576","(+/-7,717)"
People,Race,"One race","583,443","(+/-8,974)","625,462","(+/-9,044)","634,096","(+/-7,954)","679,040","(+/-9,830)","639,495","(+/-7,812)","621,444","(+/-11,365)","638,258","(+/-9,175)","591,504","(+/-14,114)"
People,Race,White,"430,130","(+/-5,395)","568,171","(+/-8,869)","556,974","(+/-8,886)","602,798","(+/-9,672)","520,143","(+/-6,122)","424,140","(+/-9,285)","578,487","(+/-8,112)","455,578","(+/-12,768)"
People,Race,"Black or African American","59,950","(+/-4,580)","7,902","(+/-1,620)","6,532",(+/-943),"13,637","(+/-2,852)","44,722","(+/-3,470)","69,672","(+/-4,804)","9,040","(+/-1,409)","17,333","(+/-3,234)"
People,Race,"American Indian and Alaska Native","8,988","(+/-2,954)","3,917","(+/-1,492)","16,225","(+/-3,021)","4,980","(+/-1,981)","8,571","(+/-3,620)","8,926","(+/-3,291)","7,339","(+/-3,016)","11,968","(+/-3,262)"
People,Race,Asian,"27,324","(+/-2,010)","25,534","(+/-2,584)","6,682","(+/-1,109)","26,596","(+/-2,765)","23,497","(+/-2,717)","40,657","(+/-3,882)","23,526","(+/-2,615)","22,939","(+/-3,477)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,783","(+/-1,324)",826,(+/-643),798,(+/-499),629,(+/-499),"2,338",(+/-841),"2,075",(+/-666),566,(+/-301),873,(+/-667)
People,Race,"Some other race","55,268","(+/-7,506)","19,112","(+/-4,314)","46,885","(+/-6,829)","30,400","(+/-5,136)","40,224","(+/-5,574)","75,974","(+/-9,289)","19,300","(+/-2,996)","82,813","(+/-10,464)"
People,Race,"Two or more races","138,644","(+/-8,976)","96,321","(+/-6,934)","96,590","(+/-7,798)","88,751","(+/-6,835)","97,852","(+/-7,836)","108,907","(+/-9,642)","88,731","(+/-7,105)","149,072","(+/-11,406)"
People,"Hispanic or Latino and Race","Total population","722,087","(+/-1,665)","721,783","(+/-7,685)","730,686","(+/-3,355)","767,791","(+/-7,975)","737,347","(+/-1,461)","730,351","(+/-6,409)","726,989","(+/-6,129)","740,576","(+/-7,717)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","201,599","(+/-1,147)","103,687","(+/-3,727)","189,348","(+/-2,019)","119,154","(+/-5,656)","141,334",(+/-550),"179,657","(+/-5,449)","114,034","(+/-2,819)","287,511","(+/-6,349)"
People,"Hispanic or Latino and Race",Mexican,"149,911","(+/-7,721)","63,890","(+/-5,394)","120,429","(+/-6,788)","79,769","(+/-5,670)","87,863","(+/-6,597)","126,694","(+/-7,087)","71,560","(+/-4,847)","227,854","(+/-9,109)"
People,"Hispanic or Latino and Race","Puerto Rican","5,385","(+/-1,705)","4,912","(+/-1,830)","2,409",(+/-969),"4,685","(+/-1,483)","13,652","(+/-3,488)","4,315","(+/-1,467)","3,745","(+/-1,512)","6,858","(+/-3,011)"
People,"Hispanic or Latino and Race",Cuban,"1,695",(+/-649),"2,783","(+/-1,487)",799,(+/-510),"1,740",(+/-874),"2,396","(+/-1,702)","2,718","(+/-1,460)","2,233","(+/-1,156)","1,702","(+/-1,038)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","44,608","(+/-7,352)","32,102","(+/-5,403)","65,711","(+/-6,595)","32,960","(+/-4,507)","37,423","(+/-5,230)","45,930","(+/-5,834)","36,496","(+/-4,822)","51,097","(+/-7,501)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","520,488","(+/-1,364)","618,096","(+/-8,458)","541,338","(+/-3,635)","648,637","(+/-7,628)","596,013","(+/-1,323)","550,694","(+/-7,326)","612,955","(+/-5,984)","453,065","(+/-8,109)"
People,"Place of Birth","Total population","722,087","(+/-1,665)","721,783","(+/-7,685)","730,686","(+/-3,355)","767,791","(+/-7,975)","737,347","(+/-1,461)","730,351","(+/-6,409)","726,989","(+/-6,129)","740,576","(+/-7,717)"
People,"Place of Birth",Native,"618,028","(+/-8,512)","659,619","(+/-9,045)","695,717","(+/-4,970)","715,221","(+/-8,055)","686,018","(+/-5,479)","601,291","(+/-8,994)","682,436","(+/-8,102)","656,179","(+/-11,960)"
People,"Place of Birth","Born in United States","605,749","(+/-8,141)","648,855","(+/-8,961)","688,170","(+/-5,065)","706,596","(+/-8,347)","664,676","(+/-5,706)","586,801","(+/-9,046)","671,143","(+/-7,879)","648,344","(+/-11,972)"
People,"Place of Birth","State of residence","267,071","(+/-8,613)","235,193","(+/-7,946)","357,625","(+/-8,757)","335,455","(+/-9,932)","233,275","(+/-9,705)","282,462","(+/-9,170)","307,429","(+/-9,541)","397,669","(+/-11,007)"
People,"Place of Birth","Different state","338,678","(+/-9,495)","413,662","(+/-10,997)","330,545","(+/-8,990)","371,141","(+/-9,863)","431,401","(+/-9,915)","304,339","(+/-8,782)","363,714","(+/-7,322)","250,675","(+/-10,199)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,279","(+/-2,717)","10,764","(+/-1,990)","7,547","(+/-1,752)","8,625","(+/-1,779)","21,342","(+/-2,657)","14,490","(+/-2,307)","11,293","(+/-2,062)","7,835","(+/-1,676)"
People,"Place of Birth","Foreign born","104,059","(+/-8,309)","62,164","(+/-4,815)","34,969","(+/-3,913)","52,570","(+/-4,358)","51,329","(+/-5,331)","129,060","(+/-7,123)","44,553","(+/-5,414)","84,397","(+/-7,693)"
People,Ancestry,"Total population","722,087","(+/-1,665)","721,783","(+/-7,685)","730,686","(+/-3,355)","767,791","(+/-7,975)","737,347","(+/-1,461)","730,351","(+/-6,409)","726,989","(+/-6,129)","740,576","(+/-7,717)"
People,Ancestry,American,"23,553","(+/-4,143)","22,786","(+/-3,800)","29,349","(+/-3,969)","32,036","(+/-4,704)","34,436","(+/-4,709)","23,977","(+/-3,898)","25,879","(+/-3,549)","22,832","(+/-4,052)"
People,Ancestry,Arab,"4,867","(+/-1,863)","4,794","(+/-2,082)","1,547",(+/-687),"2,169","(+/-1,166)","1,376",(+/-693),"7,041","(+/-2,835)","2,345",(+/-842),"1,844","(+/-1,111)"
People,Ancestry,Czech,"6,265","(+/-1,824)","4,177","(+/-1,097)","2,409","(+/-1,053)","6,098","(+/-2,193)","4,527","(+/-1,335)","3,203",(+/-952),"6,265","(+/-1,765)","2,450",(+/-883)
People,Ancestry,Danish,"3,423","(+/-1,018)","6,594","(+/-1,766)","5,484","(+/-1,371)","4,895","(+/-1,512)","3,946","(+/-1,505)","3,461","(+/-1,077)","5,356","(+/-1,406)","4,963","(+/-1,518)"
People,Ancestry,Dutch,"8,501","(+/-2,362)","10,670","(+/-2,380)","10,101","(+/-2,533)","14,050","(+/-2,718)","9,641","(+/-2,887)","8,779","(+/-1,685)","11,838","(+/-2,615)","7,318","(+/-1,778)"
People,Ancestry,English,"74,223","(+/-5,795)","103,836","(+/-7,382)","91,255","(+/-6,842)","105,980","(+/-6,502)","94,344","(+/-5,994)","76,633","(+/-4,994)","111,630","(+/-6,725)","72,299","(+/-7,506)"
People,Ancestry,"French (except Basque)","13,098","(+/-2,301)","22,100","(+/-3,036)","16,551","(+/-2,551)","17,682","(+/-3,380)","17,122","(+/-2,539)","14,868","(+/-2,790)","18,287","(+/-2,884)","12,276","(+/-2,839)"
People,Ancestry,"French Canadian","2,433","(+/-1,138)","2,942",(+/-821),"3,667","(+/-1,351)","1,932",(+/-782),"4,375","(+/-2,312)","1,930",(+/-811),"4,686","(+/-1,466)","1,498",(+/-648)
People,Ancestry,German,"101,410","(+/-6,190)","136,758","(+/-8,209)","123,303","(+/-7,340)","162,807","(+/-8,457)","136,328","(+/-8,122)","104,971","(+/-6,676)","144,916","(+/-7,936)","117,303","(+/-7,967)"
People,Ancestry,Greek,"5,809","(+/-2,400)","2,604","(+/-1,072)","2,738","(+/-1,117)","4,064","(+/-1,635)","2,279",(+/-972),"2,734",(+/-985),"2,984","(+/-1,146)","2,500","(+/-1,346)"
People,Ancestry,Hungarian,"2,798",(+/-808),"4,163","(+/-1,465)","2,312","(+/-1,064)","2,695",(+/-958),"2,420",(+/-907),"3,333","(+/-1,632)","2,858",(+/-968),"2,028","(+/-1,217)"
People,Ancestry,Irish,"81,863","(+/-4,891)","88,060","(+/-8,261)","77,524","(+/-5,814)","91,086","(+/-6,345)","89,194","(+/-8,176)","68,681","(+/-6,148)","94,464","(+/-6,388)","57,819","(+/-4,404)"
People,Ancestry,Italian,"39,503","(+/-5,187)","37,731","(+/-3,674)","30,772","(+/-3,474)","39,544","(+/-4,624)","33,983","(+/-4,867)","27,891","(+/-3,691)","47,338","(+/-4,079)","29,501","(+/-5,734)"
People,Ancestry,Lithuanian,"2,588","(+/-1,025)","1,596",(+/-537),783,(+/-483),"1,033",(+/-445),977,(+/-599),"1,278",(+/-627),750,(+/-417),851,(+/-514)
People,Ancestry,Norwegian,"10,567","(+/-1,928)","15,780","(+/-1,984)","12,019","(+/-2,320)","16,041","(+/-2,165)","11,196","(+/-2,331)","13,320","(+/-2,075)","16,211","(+/-2,220)","9,269","(+/-2,342)"
People,Ancestry,Polish,"19,380","(+/-2,932)","22,527","(+/-3,540)","12,936","(+/-2,412)","17,862","(+/-3,744)","19,875","(+/-3,741)","17,064","(+/-2,567)","23,367","(+/-3,044)","12,197","(+/-2,746)"
People,Ancestry,Portuguese,"1,922",(+/-791),"2,275",(+/-979),"1,389",(+/-677),964,(+/-492),"1,958",(+/-773),"2,053",(+/-817),"1,662",(+/-810),"2,363","(+/-1,423)"
People,Ancestry,Russian,"7,679","(+/-1,705)","7,979","(+/-2,187)","4,477","(+/-1,515)","5,517","(+/-1,495)","3,460","(+/-1,090)","6,182","(+/-2,233)","6,830","(+/-1,793)","3,924","(+/-1,329)"
People,Ancestry,Scotch-Irish,"6,006","(+/-1,562)","8,571","(+/-1,966)","9,593","(+/-2,066)","6,640","(+/-1,540)","7,229","(+/-1,979)","6,764","(+/-2,392)","10,235","(+/-1,958)","5,129","(+/-1,434)"
People,Ancestry,Scottish,"15,812","(+/-2,693)","23,009","(+/-2,939)","19,438","(+/-2,989)","20,463","(+/-3,011)","16,834","(+/-3,647)","17,903","(+/-3,174)","20,998","(+/-2,998)","13,683","(+/-3,047)"
People,Ancestry,Slovak,753,(+/-408),"1,331",(+/-933),679,(+/-413),"1,161",(+/-597),"1,085",(+/-610),"1,375",(+/-867),"1,243",(+/-531),346,(+/-271)
People,Ancestry,"Subsaharan African","12,505","(+/-4,379)","3,523","(+/-1,246)","1,649",(+/-984),"1,784",(+/-990),"9,328","(+/-3,701)","20,384","(+/-4,349)","2,627","(+/-1,219)","3,158","(+/-1,592)"
People,Ancestry,Swedish,"13,659","(+/-2,317)","15,904","(+/-2,763)","11,686","(+/-1,983)","16,857","(+/-2,816)","10,394","(+/-1,849)","12,680","(+/-2,443)","18,400","(+/-3,079)","9,938","(+/-2,077)"
People,Ancestry,Swiss,"2,158",(+/-876),"3,698","(+/-1,257)","3,722","(+/-1,371)","2,395",(+/-886),"2,080",(+/-890),"1,540",(+/-517),"3,614","(+/-1,201)",961,(+/-445)
People,Ancestry,Ukrainian,"1,988",(+/-940),"2,780",(+/-952),"1,746","(+/-1,060)","2,797","(+/-1,202)","1,974","(+/-1,120)","3,685","(+/-1,699)","2,712","(+/-1,263)","1,816",(+/-949)
People,Ancestry,Welsh,"4,535","(+/-1,518)","9,191","(+/-2,841)","6,587","(+/-1,959)","5,643","(+/-1,304)","5,976","(+/-1,999)","3,905","(+/-1,492)","5,976","(+/-1,623)","2,771",(+/-962)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","6,460","(+/-3,867)",703,(+/-526),"1,733","(+/-1,293)",322,(+/-320),"2,226","(+/-1,018)","1,190",(+/-678),918,(+/-699),534,(+/-647)
People,"Veteran Status","Civilian population 18 years and over","593,559","(+/-1,857)","596,579","(+/-6,471)","585,946","(+/-3,848)","592,668","(+/-7,109)","530,292","(+/-4,015)","562,431","(+/-4,763)","598,367","(+/-5,130)","560,219","(+/-6,122)"
People,"Veteran Status","Civilian veterans","23,689","(+/-2,698)","31,270","(+/-3,039)","45,437","(+/-3,267)","44,176","(+/-3,123)","79,673","(+/-4,840)","34,847","(+/-3,261)","41,074","(+/-3,220)","32,551","(+/-2,964)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","714,128","(+/-2,124)","717,709","(+/-7,690)","720,426","(+/-3,363)","757,133","(+/-8,224)","695,228","(+/-4,141)","724,530","(+/-6,440)","711,439","(+/-6,227)","735,891","(+/-7,832)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","78,298","(+/-5,337)","71,424","(+/-4,420)","107,281","(+/-4,688)","76,740","(+/-4,606)","87,501","(+/-4,773)","80,407","(+/-5,306)","89,365","(+/-5,024)","86,153","(+/-5,809)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","126,813",(+/-695),"124,476","(+/-3,548)","143,647","(+/-2,560)","174,216","(+/-4,769)","168,580",(+/-440),"165,952","(+/-4,842)","126,793","(+/-3,350)","178,900","(+/-4,463)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,649","(+/-1,839)","5,288","(+/-1,230)","6,613","(+/-1,552)","6,324","(+/-1,270)","8,840","(+/-1,644)","6,954","(+/-2,015)","5,603","(+/-1,473)","8,839","(+/-2,231)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","496,663","(+/-2,005)","470,676","(+/-6,582)","418,965","(+/-3,810)","465,403","(+/-6,969)","422,621","(+/-4,002)","453,044","(+/-4,505)","448,563","(+/-4,901)","465,353","(+/-5,959)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,686","(+/-4,279)","37,427","(+/-3,976)","50,966","(+/-3,521)","36,356","(+/-3,266)","46,953","(+/-3,623)","42,914","(+/-4,373)","47,523","(+/-4,090)","45,879","(+/-4,244)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","90,652",(+/-824),"122,557","(+/-3,276)","157,814","(+/-2,386)","117,514","(+/-3,787)","104,027",(+/-644),"105,534","(+/-2,071)","136,083","(+/-2,257)","91,638","(+/-2,844)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","26,963","(+/-2,668)","28,709","(+/-2,798)","49,702","(+/-2,661)","34,060","(+/-3,088)","31,708","(+/-2,424)","30,539","(+/-2,373)","36,239","(+/-2,638)","31,435","(+/-2,596)"
People,"Residence 1 Year Ago","Population 1 year and over","713,942","(+/-2,730)","717,510","(+/-7,703)","724,975","(+/-3,554)","758,796","(+/-7,820)","728,599","(+/-2,271)","722,418","(+/-6,634)","719,986","(+/-6,041)","732,883","(+/-7,380)"
People,"Residence 1 Year Ago","Same house","567,497","(+/-9,359)","587,177","(+/-10,230)","641,235","(+/-7,558)","667,224","(+/-10,570)","590,572","(+/-10,589)","603,966","(+/-11,410)","623,351","(+/-8,166)","623,071","(+/-13,370)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","146,445","(+/-9,174)","130,333","(+/-8,522)","83,740","(+/-6,557)","91,572","(+/-7,979)","138,027","(+/-11,151)","118,452","(+/-9,952)","96,635","(+/-6,220)","109,812","(+/-10,444)"
People,"Residence 1 Year Ago","Different house in the U.S.","141,893","(+/-9,372)","125,188","(+/-8,520)","80,530","(+/-6,660)","88,809","(+/-7,695)","130,796","(+/-10,978)","110,627","(+/-9,175)","93,704","(+/-6,100)","107,559","(+/-10,391)"
People,"Residence 1 Year Ago","Same county","59,987","(+/-5,723)","47,361","(+/-5,550)","33,048","(+/-4,127)","29,983","(+/-5,154)","71,981","(+/-9,000)","47,945","(+/-6,449)","31,714","(+/-4,226)","51,201","(+/-8,708)"
People,"Residence 1 Year Ago","Different county","81,906","(+/-7,901)","77,827","(+/-7,216)","47,482","(+/-6,208)","58,826","(+/-5,951)","58,815","(+/-6,848)","62,682","(+/-7,772)","61,990","(+/-5,919)","56,358","(+/-7,088)"
People,"Residence 1 Year Ago","Same state","48,258","(+/-7,328)","36,282","(+/-4,122)","26,374","(+/-4,459)","34,457","(+/-4,804)","11,989","(+/-2,627)","37,441","(+/-6,541)","40,913","(+/-4,711)","37,509","(+/-5,295)"
People,"Residence 1 Year Ago","Different state","33,648","(+/-4,873)","41,545","(+/-5,785)","21,108","(+/-4,256)","24,369","(+/-4,443)","46,826","(+/-6,156)","25,241","(+/-4,854)","21,077","(+/-3,351)","18,849","(+/-4,215)"
People,"Residence 1 Year Ago",Abroad,"4,552","(+/-2,750)","5,145","(+/-1,869)","3,210","(+/-1,197)","2,763","(+/-1,555)","7,231","(+/-2,841)","7,825","(+/-2,344)","2,931","(+/-1,536)","2,253","(+/-1,105)"
Workers,"Employment Status","Population 16 years and over","608,684","(+/-1,693)","615,389","(+/-7,172)","606,822","(+/-4,229)","617,350","(+/-7,320)","587,588","(+/-2,378)","583,382","(+/-4,760)","617,876","(+/-5,085)","580,953","(+/-6,338)"
Workers,"Employment Status","In labor force","457,604","(+/-5,265)","416,999","(+/-8,292)","365,401","(+/-6,120)","426,229","(+/-6,942)","410,944","(+/-4,842)","418,211","(+/-6,658)","412,529","(+/-6,060)","414,982","(+/-7,956)"
Workers,"Employment Status","Civilian labor force","456,159","(+/-5,500)","416,441","(+/-8,234)","364,617","(+/-6,226)","425,328","(+/-7,022)","372,638","(+/-6,492)","416,313","(+/-6,605)","410,951","(+/-6,173)","413,583","(+/-7,942)"
Workers,"Employment Status",Employed,"439,268","(+/-5,864)","400,213","(+/-7,866)","351,108","(+/-6,426)","406,612","(+/-7,083)","356,690","(+/-6,691)","398,833","(+/-7,019)","399,302","(+/-6,224)","399,668","(+/-7,803)"
Workers,"Employment Status",Unemployed,"16,891","(+/-2,272)","16,228","(+/-2,379)","13,509","(+/-2,200)","18,716","(+/-2,766)","15,948","(+/-2,283)","17,480","(+/-3,108)","11,649","(+/-1,736)","13,915","(+/-2,541)"
Workers,"Employment Status","Armed Forces","1,445",(+/-970),558,(+/-442),784,(+/-544),901,(+/-651),"38,306","(+/-3,795)","1,898",(+/-736),"1,578",(+/-862),"1,399",(+/-664)
Workers,"Employment Status","Not in labor force","151,080","(+/-5,324)","198,390","(+/-7,772)","241,421","(+/-5,462)","191,121","(+/-5,513)","176,644","(+/-4,919)","165,171","(+/-5,298)","205,347","(+/-5,127)","165,971","(+/-6,370)"
Workers,"Employment Status","Civilian labor force","456,159","(+/-5,500)","416,441","(+/-8,234)","364,617","(+/-6,226)","425,328","(+/-7,022)","372,638","(+/-6,492)","416,313","(+/-6,605)","410,951","(+/-6,173)","413,583","(+/-7,942)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.5),3.9,(+/-0.6),3.7,(+/-0.6),4.4,(+/-0.6),4.3,(+/-0.6),4.2,(+/-0.7),2.8,(+/-0.4),3.4,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","434,300","(+/-5,875)","393,734","(+/-7,407)","346,733","(+/-6,413)","402,128","(+/-7,239)","387,050","(+/-5,216)","394,063","(+/-7,117)","393,810","(+/-6,265)","396,554","(+/-7,962)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","246,432","(+/-7,259)","240,469","(+/-7,607)","247,638","(+/-6,557)","274,932","(+/-8,727)","266,513","(+/-6,604)","266,114","(+/-7,524)","250,822","(+/-7,055)","285,242","(+/-8,373)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,951","(+/-4,118)","24,594","(+/-3,257)","33,709","(+/-3,440)","24,291","(+/-2,991)","34,568","(+/-4,214)","31,796","(+/-4,069)","29,162","(+/-3,224)","38,268","(+/-4,908)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","16,449","(+/-2,600)","8,307","(+/-2,067)","3,028","(+/-1,102)","2,638","(+/-1,229)","1,105",(+/-506),"9,270","(+/-1,790)","5,471","(+/-1,542)","5,663","(+/-1,922)"
Workers,"Commuting to Work",Walked,"15,530","(+/-2,529)","12,540","(+/-2,237)","11,326","(+/-2,274)","4,760","(+/-1,375)","12,582","(+/-1,407)","7,492","(+/-1,818)","8,181","(+/-1,548)","4,254","(+/-1,386)"
Workers,"Commuting to Work","Other means","11,435","(+/-2,148)","14,535","(+/-2,396)","6,286","(+/-1,406)","5,485","(+/-1,299)","7,167","(+/-1,847)","7,729","(+/-1,822)","8,162","(+/-1,666)","6,959","(+/-1,588)"
Workers,"Commuting to Work","Worked from home","112,503","(+/-6,270)","93,289","(+/-4,907)","44,746","(+/-4,230)","90,022","(+/-5,371)","65,115","(+/-4,789)","71,662","(+/-4,216)","92,012","(+/-4,767)","56,168","(+/-4,260)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.7,(+/-0.8),22.8,(+/-0.8),21.8,(+/-0.9),27.9,(+/-0.9),23.6,(+/-0.7),27.1,(+/-0.8),26.6,(+/-1.0),28.2,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","439,268","(+/-5,864)","400,213","(+/-7,866)","351,108","(+/-6,426)","406,612","(+/-7,083)","356,690","(+/-6,691)","398,833","(+/-7,019)","399,302","(+/-6,224)","399,668","(+/-7,803)"
Workers,Occupation,"Management, business, science, and arts occupations","251,183","(+/-7,078)","221,098","(+/-6,030)","142,326","(+/-6,053)","211,194","(+/-6,744)","176,558","(+/-6,664)","186,686","(+/-6,754)","211,977","(+/-6,181)","152,873","(+/-6,199)"
Workers,Occupation,"Service occupations","54,156","(+/-4,531)","61,594","(+/-5,393)","66,368","(+/-4,307)","53,441","(+/-3,806)","54,298","(+/-4,526)","64,510","(+/-5,293)","59,639","(+/-4,205)","65,678","(+/-5,386)"
Workers,Occupation,"Sales and office occupations","77,501","(+/-5,607)","66,108","(+/-4,672)","65,089","(+/-4,125)","77,079","(+/-4,223)","70,744","(+/-4,920)","75,583","(+/-4,693)","71,139","(+/-4,861)","73,742","(+/-5,026)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,560","(+/-4,085)","24,005","(+/-2,743)","43,258","(+/-4,088)","33,578","(+/-3,330)","26,202","(+/-3,371)","33,164","(+/-3,123)","26,997","(+/-2,981)","51,267","(+/-4,802)"
Workers,Occupation,"Production, transportation, and material moving occupations","29,868","(+/-3,765)","27,408","(+/-3,286)","34,067","(+/-3,183)","31,320","(+/-3,858)","28,888","(+/-3,640)","38,890","(+/-3,732)","29,550","(+/-3,108)","56,108","(+/-4,806)"
