Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE"
People,"Veteran Status","Civilian population 18 years and over","597,359","(+/-3,511)","600,560","(+/-17,839)","645,249","(+/-8,789)","645,035","(+/-9,058)","611,705","(+/-9,701)","599,994","(+/-11,034)","635,726","(+/-16,661)","649,255","(+/-18,689)","580,415","(+/-17,657)","632,281","(+/-9,204)","564,051","(+/-5,761)","641,838","(+/-14,727)","605,775","(+/-7,271)","591,444","(+/-6,779)","572,978","(+/-9,530)","561,732","(+/-5,442)","615,396","(+/-7,846)","578,986","(+/-18,267)","577,306","(+/-3,779)","574,322","(+/-18,272)","655,267","(+/-12,610)","617,001","(+/-14,454)","559,752","(+/-13,189)","585,380","(+/-13,173)","616,967","(+/-12,498)","649,841","(+/-8,707)","592,423","(+/-4,270)","573,195","(+/-13,990)","532,868","(+/-18,091)","588,704","(+/-15,179)","637,183","(+/-7,838)","593,229","(+/-16,068)","546,705","(+/-17,562)","550,950","(+/-9,149)","638,496","(+/-20,015)","592,250","(+/-11,705)","637,473","(+/-12,018)","591,125","(+/-19,285)"
People,"Veteran Status","Civilian veterans","43,090","(+/-3,305)","37,177","(+/-4,250)","32,397","(+/-2,619)","39,361","(+/-3,049)","35,051","(+/-3,048)","34,745","(+/-2,585)","15,933","(+/-2,748)","39,433","(+/-3,767)","19,636","(+/-2,406)","39,000","(+/-2,916)","60,247","(+/-4,125)","46,591","(+/-4,177)","42,352","(+/-2,991)","35,961","(+/-3,021)","27,196","(+/-2,471)","41,158","(+/-3,514)","42,075","(+/-4,106)","23,681","(+/-3,614)","33,898","(+/-3,047)","50,498","(+/-4,982)","65,901","(+/-4,763)","33,087","(+/-4,485)","47,091","(+/-4,418)","36,818","(+/-2,994)","41,192","(+/-3,336)","41,320","(+/-3,778)","44,114","(+/-3,174)","41,572","(+/-4,068)","13,825","(+/-2,280)","29,824","(+/-4,031)","62,674","(+/-3,912)","22,954","(+/-3,109)","14,816","(+/-2,347)","23,383","(+/-3,143)","45,307","(+/-4,302)","36,985","(+/-3,830)","25,137","(+/-3,475)","29,417","(+/-2,977)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","767,187","(+/-4,593)","836,308","(+/-26,733)","869,017","(+/-11,120)","838,110","(+/-12,060)","820,633","(+/-10,903)","798,326","(+/-13,911)","805,172","(+/-24,182)","859,250","(+/-24,457)","761,918","(+/-24,422)","801,563","(+/-12,781)","765,870","(+/-6,616)","838,757","(+/-18,264)","764,161","(+/-9,584)","749,930","(+/-10,159)","788,170","(+/-15,290)","745,474","(+/-7,119)","775,966","(+/-11,412)","771,357","(+/-27,539)","742,183","(+/-5,047)","755,485","(+/-25,218)","825,172","(+/-18,836)","845,845","(+/-22,547)","756,594","(+/-18,836)","780,241","(+/-15,641)","806,660","(+/-18,158)","851,878","(+/-10,944)","762,067","(+/-6,244)","789,932","(+/-19,954)","738,831","(+/-27,327)","762,726","(+/-19,499)","832,095","(+/-10,092)","759,084","(+/-21,265)","730,495","(+/-25,402)","770,553","(+/-13,768)","818,858","(+/-31,333)","777,255","(+/-15,717)","762,968","(+/-15,228)","794,385","(+/-26,256)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","126,508","(+/-6,159)","91,913","(+/-7,113)","81,294","(+/-5,549)","94,214","(+/-5,695)","103,450","(+/-6,222)","96,913","(+/-5,672)","81,973","(+/-7,439)","94,091","(+/-6,510)","108,093","(+/-8,922)","90,646","(+/-6,085)","113,413","(+/-7,335)","104,677","(+/-6,340)","110,302","(+/-5,665)","107,219","(+/-6,236)","113,284","(+/-5,564)","99,501","(+/-5,792)","124,149","(+/-6,545)","97,811","(+/-7,663)","109,229","(+/-5,185)","128,774","(+/-7,739)","112,358","(+/-6,456)","75,743","(+/-5,825)","105,455","(+/-7,547)","75,049","(+/-5,701)","107,026","(+/-6,832)","87,997","(+/-5,496)","114,715","(+/-5,549)","127,352","(+/-8,828)","89,122","(+/-6,811)","103,650","(+/-7,787)","103,923","(+/-5,741)","76,308","(+/-7,127)","84,957","(+/-5,962)","101,596","(+/-6,327)","107,820","(+/-8,858)","99,879","(+/-6,318)","76,276","(+/-6,250)","75,434","(+/-5,065)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","187,685","(+/-2,412)","236,834","(+/-13,758)","226,936","(+/-5,702)","200,515","(+/-6,194)","215,442","(+/-7,472)","213,176","(+/-7,198)","173,330","(+/-12,042)","218,450","(+/-11,516)","184,256","(+/-11,650)","183,524","(+/-6,879)","209,443","(+/-3,980)","204,816","(+/-9,951)","179,810","(+/-4,948)","185,605","(+/-5,829)","225,737","(+/-8,928)","190,895","(+/-4,023)","184,121","(+/-5,285)","207,833","(+/-15,207)","188,083","(+/-3,168)","183,571","(+/-12,043)","175,218","(+/-9,193)","234,545","(+/-10,909)","212,379","(+/-9,808)","198,358","(+/-9,135)","195,761","(+/-8,864)","204,195","(+/-5,915)","185,164","(+/-3,798)","222,213","(+/-9,736)","206,556","(+/-14,560)","183,856","(+/-11,365)","211,468","(+/-5,261)","168,158","(+/-11,434)","187,042","(+/-12,108)","225,702","(+/-8,339)","191,393","(+/-15,380)","196,874","(+/-8,768)","128,050","(+/-7,380)","205,244","(+/-11,036)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","11,654","(+/-2,086)","8,908","(+/-2,330)","8,864","(+/-1,943)","9,750","(+/-2,199)","11,487","(+/-2,955)","10,433","(+/-2,084)","6,177","(+/-1,922)","8,097","(+/-1,860)","13,028","(+/-2,681)","10,305","(+/-2,545)","11,101","(+/-2,387)","13,361","(+/-2,759)","8,448","(+/-1,693)","9,353","(+/-1,863)","15,306","(+/-2,345)","10,067","(+/-2,106)","14,153","(+/-2,735)","13,154","(+/-2,933)","9,200","(+/-1,758)","15,823","(+/-3,641)","8,386","(+/-2,141)","7,283","(+/-1,947)","9,909","(+/-2,280)","6,729","(+/-1,567)","9,260","(+/-1,784)","10,436","(+/-2,164)","8,580","(+/-1,812)","13,976","(+/-2,982)","10,074","(+/-2,322)","10,398","(+/-3,044)","12,952","(+/-2,546)","7,899","(+/-2,320)","10,033","(+/-2,431)","11,541","(+/-2,707)","10,919","(+/-2,920)","9,110","(+/-1,974)","1,433",(+/-602),"7,605","(+/-2,338)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","438,682","(+/-3,753)","495,646","(+/-16,528)","536,471","(+/-9,258)","516,877","(+/-9,183)","489,330","(+/-8,636)","480,742","(+/-10,809)","538,354","(+/-15,957)","531,774","(+/-18,471)","476,949","(+/-15,809)","496,028","(+/-8,611)","447,386","(+/-5,403)","521,806","(+/-14,037)","468,327","(+/-7,196)","445,562","(+/-6,550)","456,473","(+/-9,109)","449,882","(+/-5,290)","476,793","(+/-8,067)","482,525","(+/-17,398)","444,190","(+/-3,845)","477,221","(+/-16,332)","491,342","(+/-12,042)","492,636","(+/-13,881)","443,957","(+/-12,740)","462,510","(+/-11,479)","481,637","(+/-11,799)","539,152","(+/-7,935)","445,664","(+/-4,147)","470,800","(+/-12,891)","455,108","(+/-17,589)","485,420","(+/-13,916)","493,744","(+/-7,525)","507,800","(+/-16,336)","470,591","(+/-17,458)","443,925","(+/-8,904)","545,581","(+/-18,502)","467,475","(+/-11,357)","544,296","(+/-11,608)","471,299","(+/-18,723)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","61,441","(+/-4,590)","48,080","(+/-5,207)","43,739","(+/-4,281)","49,676","(+/-4,523)","52,490","(+/-5,085)","50,532","(+/-4,943)","48,444","(+/-5,869)","49,573","(+/-5,404)","54,822","(+/-5,805)","45,544","(+/-4,877)","60,202","(+/-5,685)","53,337","(+/-4,779)","57,741","(+/-4,395)","54,806","(+/-4,880)","51,938","(+/-4,188)","48,855","(+/-4,638)","64,616","(+/-4,530)","53,029","(+/-5,767)","56,034","(+/-4,201)","69,200","(+/-5,280)","51,637","(+/-4,424)","32,652","(+/-3,882)","53,195","(+/-4,859)","32,976","(+/-3,762)","52,317","(+/-4,674)","45,719","(+/-4,196)","53,729","(+/-3,701)","68,514","(+/-6,734)","49,223","(+/-5,385)","58,345","(+/-5,844)","52,293","(+/-4,149)","42,104","(+/-5,446)","45,969","(+/-3,759)","46,998","(+/-4,872)","62,375","(+/-6,062)","48,408","(+/-4,304)","49,735","(+/-5,360)","35,723","(+/-4,454)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,820","(+/-2,549)","103,828","(+/-5,934)","105,610","(+/-3,631)","120,718","(+/-4,255)","115,861","(+/-4,434)","104,408","(+/-3,834)","93,488","(+/-6,200)","109,026","(+/-5,420)","100,713","(+/-6,700)","122,011","(+/-3,868)","109,041","(+/-3,149)","112,135","(+/-4,813)","116,024","(+/-3,299)","118,763","(+/-3,206)","105,960","(+/-3,040)","104,697","(+/-1,971)","115,052","(+/-2,968)","80,999","(+/-5,186)","109,910","(+/-2,616)","94,693","(+/-4,974)","158,612","(+/-5,258)","118,664","(+/-5,239)","100,258","(+/-5,242)","119,373","(+/-6,286)","129,262","(+/-4,259)","108,531","(+/-3,489)","131,239","(+/-2,494)","96,919","(+/-3,787)","77,167","(+/-5,369)","93,450","(+/-5,008)","126,883","(+/-2,685)","83,126","(+/-4,464)","72,862","(+/-3,858)","100,926","(+/-2,726)","81,884","(+/-4,939)","112,906","(+/-4,984)","90,622","(+/-4,096)","117,842","(+/-6,527)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","53,413","(+/-2,563)","34,925","(+/-3,750)","28,691","(+/-2,740)","34,788","(+/-2,608)","39,473","(+/-2,815)","35,948","(+/-2,589)","27,352","(+/-2,982)","36,421","(+/-3,199)","40,243","(+/-4,736)","34,797","(+/-2,482)","42,110","(+/-2,654)","37,979","(+/-3,140)","44,113","(+/-2,899)","43,060","(+/-2,897)","46,040","(+/-2,845)","40,579","(+/-2,572)","45,380","(+/-2,643)","31,628","(+/-3,451)","43,995","(+/-2,441)","43,751","(+/-3,751)","52,335","(+/-3,868)","35,808","(+/-3,802)","42,351","(+/-4,056)","35,344","(+/-4,257)","45,449","(+/-3,282)","31,842","(+/-3,123)","52,406","(+/-3,539)","44,862","(+/-3,265)","29,825","(+/-3,135)","34,907","(+/-3,277)","38,678","(+/-2,514)","26,305","(+/-2,671)","28,955","(+/-3,005)","43,057","(+/-3,122)","34,526","(+/-3,362)","42,361","(+/-3,643)","25,108","(+/-2,375)","32,106","(+/-3,008)"
People,"Residence 1 Year Ago","Population 1 year and over","775,796","(+/-4,856)","829,507","(+/-26,176)","862,127","(+/-11,219)","837,416","(+/-11,960)","816,982","(+/-11,125)","804,129","(+/-14,186)","798,532","(+/-23,841)","856,719","(+/-24,026)","754,556","(+/-23,724)","807,483","(+/-12,565)","778,860","(+/-6,962)","839,284","(+/-18,496)","783,175","(+/-9,370)","770,394","(+/-10,068)","788,812","(+/-15,200)","755,460","(+/-6,980)","791,174","(+/-11,311)","773,762","(+/-26,865)","761,269","(+/-5,179)","760,451","(+/-25,147)","831,239","(+/-18,398)","845,015","(+/-22,428)","777,470","(+/-18,204)","775,482","(+/-15,102)","804,647","(+/-17,512)","846,292","(+/-10,697)","769,526","(+/-6,415)","788,668","(+/-19,937)","729,443","(+/-26,833)","762,726","(+/-19,490)","858,901","(+/-9,568)","753,874","(+/-20,572)","725,692","(+/-25,222)","768,836","(+/-13,368)","820,532","(+/-30,609)","780,938","(+/-15,804)","760,856","(+/-15,358)","788,522","(+/-26,097)"
People,"Residence 1 Year Ago","Same house","685,126","(+/-8,933)","733,569","(+/-25,406)","741,030","(+/-15,095)","702,484","(+/-15,783)","730,443","(+/-15,630)","703,182","(+/-16,390)","664,717","(+/-22,665)","739,206","(+/-26,050)","652,407","(+/-23,282)","680,121","(+/-15,548)","658,367","(+/-14,074)","719,137","(+/-18,152)","667,287","(+/-11,262)","677,904","(+/-11,999)","708,663","(+/-15,204)","660,239","(+/-11,667)","663,696","(+/-13,736)","639,371","(+/-24,088)","634,459","(+/-10,127)","637,449","(+/-22,308)","705,887","(+/-18,593)","754,160","(+/-21,922)","675,365","(+/-19,644)","683,501","(+/-16,857)","688,036","(+/-18,913)","725,898","(+/-14,471)","675,052","(+/-11,427)","692,737","(+/-21,269)","636,542","(+/-24,770)","649,920","(+/-19,302)","729,982","(+/-12,591)","634,684","(+/-20,922)","607,960","(+/-23,166)","703,115","(+/-15,712)","661,474","(+/-27,090)","686,087","(+/-17,775)","614,906","(+/-17,442)","669,458","(+/-23,711)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","90,670","(+/-7,509)","95,938","(+/-9,766)","121,097","(+/-10,810)","134,932","(+/-12,632)","86,539","(+/-10,140)","100,947","(+/-11,202)","133,815","(+/-11,690)","117,513","(+/-12,975)","102,149","(+/-10,065)","127,362","(+/-8,833)","120,493","(+/-12,054)","120,147","(+/-10,917)","115,888","(+/-9,511)","92,490","(+/-8,569)","80,149","(+/-7,963)","95,221","(+/-8,280)","127,478","(+/-10,306)","134,391","(+/-13,090)","126,810","(+/-8,453)","123,002","(+/-12,459)","125,352","(+/-10,179)","90,855","(+/-11,254)","102,105","(+/-12,354)","91,981","(+/-7,824)","116,611","(+/-11,072)","120,394","(+/-10,731)","94,474","(+/-10,222)","95,931","(+/-11,568)","92,901","(+/-10,378)","112,806","(+/-11,765)","128,919","(+/-9,403)","119,190","(+/-11,531)","117,732","(+/-12,543)","65,721","(+/-9,698)","159,058","(+/-14,225)","94,851","(+/-10,101)","145,950","(+/-9,619)","119,064","(+/-13,616)"
People,"Residence 1 Year Ago","Different house in the U.S.","88,818","(+/-7,385)","87,788","(+/-9,705)","111,145","(+/-10,604)","125,134","(+/-12,367)","82,001","(+/-9,638)","95,261","(+/-10,639)","112,620","(+/-10,868)","111,425","(+/-12,579)","91,182","(+/-9,373)","119,972","(+/-8,451)","116,541","(+/-11,701)","115,508","(+/-10,878)","108,970","(+/-8,735)","90,587","(+/-8,398)","73,805","(+/-7,784)","88,105","(+/-8,503)","124,520","(+/-10,359)","126,639","(+/-12,875)","123,525","(+/-8,303)","113,609","(+/-11,637)","121,848","(+/-9,939)","79,928","(+/-11,013)","97,533","(+/-12,324)","86,409","(+/-7,644)","112,393","(+/-10,967)","115,803","(+/-10,750)","87,704","(+/-9,844)","91,557","(+/-11,467)","84,311","(+/-10,291)","106,036","(+/-11,724)","124,266","(+/-9,481)","107,994","(+/-11,441)","96,341","(+/-11,214)","61,638","(+/-9,491)","153,801","(+/-14,022)","89,773","(+/-10,031)","134,704","(+/-9,382)","109,021","(+/-12,643)"
People,"Residence 1 Year Ago","Same county","42,902","(+/-5,487)","43,002","(+/-7,906)","54,359","(+/-7,648)","48,020","(+/-6,447)","42,772","(+/-7,039)","41,595","(+/-8,060)","74,437","(+/-8,458)","68,935","(+/-11,220)","59,577","(+/-8,297)","48,945","(+/-6,124)","67,621","(+/-10,577)","68,445","(+/-8,513)","49,823","(+/-5,903)","49,170","(+/-6,578)","51,488","(+/-6,631)","57,606","(+/-7,018)","55,906","(+/-7,280)","91,758","(+/-10,915)","69,855","(+/-7,785)","82,140","(+/-9,856)","62,147","(+/-7,973)","31,311","(+/-7,842)","50,746","(+/-7,604)","50,040","(+/-6,735)","59,733","(+/-8,989)","52,900","(+/-8,022)","46,537","(+/-6,702)","65,020","(+/-10,473)","65,474","(+/-8,982)","60,457","(+/-9,075)","50,343","(+/-6,402)","56,694","(+/-7,889)","69,026","(+/-9,485)","43,621","(+/-8,203)","83,466","(+/-10,722)","48,221","(+/-7,027)","70,204","(+/-8,036)","73,859","(+/-11,093)"
People,"Residence 1 Year Ago","Different county","45,916","(+/-5,202)","44,786","(+/-7,760)","56,786","(+/-7,679)","77,114","(+/-9,841)","39,229","(+/-5,838)","53,666","(+/-7,945)","38,183","(+/-6,375)","42,490","(+/-5,792)","31,605","(+/-5,401)","71,027","(+/-6,662)","48,920","(+/-7,134)","47,063","(+/-6,771)","59,147","(+/-5,793)","41,417","(+/-5,301)","22,317","(+/-3,904)","30,499","(+/-4,470)","68,614","(+/-7,208)","34,881","(+/-6,545)","53,670","(+/-4,884)","31,469","(+/-5,923)","59,701","(+/-7,005)","48,617","(+/-7,177)","46,787","(+/-9,070)","36,369","(+/-4,827)","52,660","(+/-6,189)","62,903","(+/-6,200)","41,167","(+/-6,342)","26,537","(+/-5,393)","18,837","(+/-4,743)","45,579","(+/-7,853)","73,923","(+/-7,557)","51,300","(+/-7,766)","27,315","(+/-4,518)","18,017","(+/-4,236)","70,335","(+/-8,540)","41,552","(+/-7,312)","64,500","(+/-7,443)","35,162","(+/-6,184)"
People,"Residence 1 Year Ago","Same state","32,443","(+/-4,114)","25,690","(+/-5,405)","33,087","(+/-5,238)","54,565","(+/-8,435)","30,664","(+/-4,860)","41,991","(+/-6,554)","19,576","(+/-5,084)","28,178","(+/-4,214)","20,576","(+/-5,122)","56,862","(+/-6,265)","26,943","(+/-5,091)","33,229","(+/-6,386)","42,767","(+/-4,990)","29,396","(+/-3,803)","17,044","(+/-3,744)","8,692","(+/-2,699)","53,053","(+/-6,251)","18,192","(+/-3,886)","41,606","(+/-4,396)","19,183","(+/-4,699)","40,050","(+/-5,487)","30,016","(+/-5,322)","22,399","(+/-4,005)","20,919","(+/-3,488)","38,190","(+/-4,308)","45,462","(+/-5,818)","31,813","(+/-5,022)","17,033","(+/-4,693)","10,327","(+/-3,078)","24,788","(+/-5,689)","44,143","(+/-5,319)","30,192","(+/-6,022)","18,276","(+/-3,834)","12,945","(+/-3,176)","41,681","(+/-6,805)","32,821","(+/-6,638)","39,275","(+/-5,198)","14,051","(+/-3,617)"
People,"Residence 1 Year Ago","Different state","13,473","(+/-3,512)","19,096","(+/-5,799)","23,699","(+/-5,364)","22,549","(+/-4,378)","8,565","(+/-2,596)","11,675","(+/-3,464)","18,607","(+/-4,347)","14,312","(+/-4,184)","11,029","(+/-3,342)","14,165","(+/-2,864)","21,977","(+/-5,257)","13,834","(+/-2,922)","16,380","(+/-3,136)","12,021","(+/-3,178)","5,273","(+/-1,783)","21,807","(+/-4,279)","15,561","(+/-3,273)","16,689","(+/-4,570)","12,064","(+/-2,558)","12,286","(+/-3,701)","19,651","(+/-4,388)","18,601","(+/-5,765)","24,388","(+/-7,234)","15,450","(+/-3,964)","14,470","(+/-3,892)","17,441","(+/-3,772)","9,354","(+/-3,536)","9,504","(+/-3,141)","8,510","(+/-3,359)","20,791","(+/-5,306)","29,780","(+/-5,609)","21,108","(+/-5,495)","9,039","(+/-2,571)","5,072","(+/-2,305)","28,654","(+/-6,105)","8,731","(+/-2,597)","25,225","(+/-5,351)","21,111","(+/-5,073)"
People,"Residence 1 Year Ago",Abroad,"1,852",(+/-681),"8,150","(+/-3,423)","9,952","(+/-2,948)","9,798","(+/-2,819)","4,538","(+/-2,182)","5,686","(+/-2,771)","21,195","(+/-5,288)","6,088","(+/-2,349)","10,967","(+/-2,945)","7,390","(+/-2,127)","3,952","(+/-1,889)","4,639","(+/-1,312)","6,918","(+/-3,437)","1,903","(+/-1,262)","6,344","(+/-2,020)","7,116","(+/-2,034)","2,958","(+/-1,392)","7,752","(+/-2,193)","3,285","(+/-1,364)","9,393","(+/-4,111)","3,504","(+/-1,294)","10,927","(+/-3,547)","4,572","(+/-2,337)","5,572","(+/-2,465)","4,218","(+/-1,613)","4,591","(+/-1,597)","6,770","(+/-2,777)","4,374","(+/-1,736)","8,590","(+/-3,049)","6,770","(+/-3,743)","4,653","(+/-1,363)","11,196","(+/-2,936)","21,391","(+/-4,718)","4,083","(+/-1,896)","5,257","(+/-2,138)","5,078","(+/-1,960)","11,246","(+/-3,145)","10,043","(+/-2,958)"
Workers,"Employment Status","Population 16 years and over","622,473","(+/-4,061)","631,129","(+/-18,568)","673,076","(+/-9,666)","671,904","(+/-9,672)","636,822","(+/-10,738)","626,692","(+/-12,014)","655,956","(+/-17,347)","675,201","(+/-19,448)","602,728","(+/-18,494)","656,693","(+/-8,961)","601,976","(+/-5,967)","669,625","(+/-15,468)","630,212","(+/-7,834)","613,669","(+/-8,006)","600,635","(+/-10,284)","597,480","(+/-5,296)","637,602","(+/-8,565)","603,312","(+/-18,908)","605,499","(+/-4,680)","607,623","(+/-18,593)","686,077","(+/-13,401)","648,511","(+/-15,268)","599,838","(+/-14,765)","610,235","(+/-13,257)","641,671","(+/-13,593)","675,121","(+/-8,536)","615,918","(+/-4,665)","602,944","(+/-14,394)","561,528","(+/-18,944)","610,308","(+/-16,136)","680,579","(+/-7,875)","610,304","(+/-16,727)","568,722","(+/-18,521)","580,596","(+/-9,569)","658,303","(+/-21,304)","614,519","(+/-12,708)","654,027","(+/-12,150)","617,754","(+/-20,484)"
Workers,"Employment Status","In labor force","361,187","(+/-5,640)","425,183","(+/-16,093)","468,970","(+/-9,883)","447,569","(+/-10,608)","416,232","(+/-9,319)","415,343","(+/-11,244)","463,287","(+/-14,265)","450,874","(+/-17,410)","406,942","(+/-13,091)","410,857","(+/-9,522)","395,070","(+/-7,211)","457,546","(+/-13,074)","404,950","(+/-6,735)","373,443","(+/-8,121)","358,182","(+/-9,186)","374,855","(+/-8,151)","396,462","(+/-9,499)","400,493","(+/-14,874)","381,819","(+/-6,531)","400,190","(+/-15,033)","439,792","(+/-12,946)","431,189","(+/-13,634)","377,002","(+/-12,817)","425,615","(+/-10,463)","424,113","(+/-11,063)","484,658","(+/-8,800)","375,313","(+/-6,059)","378,867","(+/-12,545)","365,042","(+/-13,879)","413,630","(+/-13,089)","447,775","(+/-8,271)","443,422","(+/-14,535)","393,887","(+/-15,356)","349,202","(+/-7,909)","470,501","(+/-17,281)","391,954","(+/-10,424)","488,441","(+/-10,726)","425,945","(+/-15,879)"
Workers,"Employment Status","Civilian labor force","360,848","(+/-5,611)","423,617","(+/-16,275)","468,604","(+/-9,832)","447,292","(+/-10,570)","416,050","(+/-9,345)","414,585","(+/-11,084)","462,779","(+/-14,257)","450,589","(+/-17,415)","406,836","(+/-13,100)","409,196","(+/-9,593)","378,311","(+/-7,728)","454,504","(+/-13,173)","400,439","(+/-6,770)","371,932","(+/-8,178)","357,237","(+/-9,140)","361,162","(+/-8,730)","395,876","(+/-9,483)","399,639","(+/-14,891)","376,499","(+/-6,371)","389,742","(+/-15,507)","431,569","(+/-12,759)","430,018","(+/-13,568)","362,409","(+/-12,672)","425,076","(+/-10,538)","423,280","(+/-11,048)","484,158","(+/-8,945)","373,853","(+/-6,037)","374,954","(+/-12,717)","363,977","(+/-14,073)","413,425","(+/-13,041)","428,402","(+/-8,659)","442,826","(+/-14,585)","393,399","(+/-15,411)","347,783","(+/-8,006)","466,548","(+/-17,158)","391,529","(+/-10,394)","488,239","(+/-10,706)","425,633","(+/-15,831)"
Workers,"Employment Status",Employed,"346,999","(+/-6,379)","400,242","(+/-15,294)","452,304","(+/-10,018)","431,458","(+/-9,736)","397,027","(+/-9,324)","397,527","(+/-10,688)","440,329","(+/-14,010)","427,736","(+/-16,745)","380,408","(+/-12,687)","392,464","(+/-8,957)","364,524","(+/-7,832)","437,896","(+/-13,067)","386,690","(+/-7,022)","354,082","(+/-8,344)","340,276","(+/-8,657)","345,484","(+/-8,441)","375,995","(+/-9,962)","373,926","(+/-14,326)","362,988","(+/-6,870)","369,231","(+/-14,624)","419,314","(+/-12,879)","411,768","(+/-13,186)","348,126","(+/-12,126)","413,498","(+/-10,250)","406,645","(+/-11,103)","467,314","(+/-8,532)","357,337","(+/-5,878)","357,155","(+/-12,893)","337,567","(+/-13,728)","389,673","(+/-12,197)","413,538","(+/-8,421)","428,213","(+/-13,652)","375,265","(+/-15,088)","327,418","(+/-8,180)","440,877","(+/-16,699)","373,080","(+/-10,088)","473,179","(+/-10,717)","409,208","(+/-15,156)"
Workers,"Employment Status",Unemployed,"13,849","(+/-2,573)","23,375","(+/-3,683)","16,300","(+/-2,578)","15,834","(+/-2,704)","19,023","(+/-3,441)","17,058","(+/-3,039)","22,450","(+/-3,356)","22,853","(+/-4,277)","26,428","(+/-3,922)","16,732","(+/-2,546)","13,787","(+/-2,331)","16,608","(+/-2,784)","13,749","(+/-2,378)","17,850","(+/-2,550)","16,961","(+/-2,596)","15,678","(+/-2,554)","19,881","(+/-3,102)","25,713","(+/-3,214)","13,511","(+/-2,371)","20,511","(+/-3,275)","12,255","(+/-2,306)","18,250","(+/-3,377)","14,283","(+/-2,838)","11,578","(+/-2,025)","16,635","(+/-2,967)","16,844","(+/-2,437)","16,516","(+/-2,473)","17,799","(+/-3,425)","26,410","(+/-3,790)","23,752","(+/-3,604)","14,864","(+/-2,807)","14,613","(+/-2,627)","18,134","(+/-3,009)","20,365","(+/-3,264)","25,671","(+/-3,292)","18,449","(+/-2,901)","15,060","(+/-2,785)","16,425","(+/-3,229)"
Workers,"Employment Status","Armed Forces",339,(+/-333),"1,566","(+/-1,430)",366,(+/-329),277,(+/-181),182,(+/-218),758,(+/-697),508,(+/-405),285,(+/-289),106,(+/-126),"1,661",(+/-626),"16,759","(+/-2,756)","3,042","(+/-1,126)","4,511","(+/-1,471)","1,511",(+/-714),945,(+/-683),"13,693","(+/-2,285)",586,(+/-412),854,(+/-710),"5,320","(+/-1,445)","10,448","(+/-3,324)","8,223","(+/-1,700)","1,171",(+/-893),"14,593","(+/-1,898)",539,(+/-464),833,(+/-447),500,(+/-547),"1,460",(+/-657),"3,913","(+/-1,328)","1,065","(+/-1,035)",205,(+/-259),"19,373","(+/-2,412)",596,(+/-410),488,(+/-543),"1,419",(+/-648),"3,953","(+/-1,698)",425,(+/-323),202,(+/-197),312,(+/-489)
