Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,Ancestry,"French Canadian","2,199",(+/-960),"1,940",(+/-889),"1,748",(+/-724),"1,173",(+/-570)
People,Ancestry,German,"82,561","(+/-6,101)","83,524","(+/-7,893)","79,000","(+/-5,190)","79,412","(+/-7,093)"
People,Ancestry,Greek,"2,959","(+/-1,068)","3,025","(+/-1,236)","4,362","(+/-1,618)","5,568","(+/-1,695)"
People,Ancestry,Hungarian,"1,041",(+/-603),"3,017","(+/-1,539)","1,380",(+/-687),869,(+/-441)
People,Ancestry,Irish,"48,646","(+/-4,909)","57,221","(+/-6,121)","49,935","(+/-4,161)","45,334","(+/-6,194)"
People,Ancestry,Italian,"23,827","(+/-4,368)","18,577","(+/-2,749)","21,270","(+/-2,397)","15,824","(+/-2,489)"
People,Ancestry,Lithuanian,891,(+/-465),601,(+/-332),793,(+/-545),400,(+/-332)
People,Ancestry,Norwegian,"18,925","(+/-3,444)","17,646","(+/-3,071)","16,420","(+/-2,516)","15,902","(+/-3,127)"
People,Ancestry,Polish,"6,543","(+/-1,662)","6,842","(+/-1,620)","8,078","(+/-1,990)","5,670","(+/-1,860)"
People,Ancestry,Portuguese,646,(+/-454),"2,744","(+/-1,229)","2,453",(+/-834),706,(+/-708)
People,Ancestry,Russian,"3,104","(+/-1,095)","3,049","(+/-1,309)","2,579",(+/-962),"1,444",(+/-750)
People,Ancestry,Scotch-Irish,"4,566","(+/-1,366)","5,933","(+/-2,111)","8,244","(+/-2,533)","6,675","(+/-2,247)"
People,Ancestry,Scottish,"31,358","(+/-4,388)","27,509","(+/-3,046)","34,630","(+/-4,284)","30,857","(+/-4,633)"
People,Ancestry,Slovak,282,(+/-256),465,(+/-352),544,(+/-454),165,(+/-156)
People,Ancestry,"Subsaharan African","1,766",(+/-769),"3,447","(+/-2,329)","3,829","(+/-1,783)","8,986","(+/-3,773)"
People,Ancestry,Swedish,"23,833","(+/-3,673)","17,751","(+/-2,802)","26,024","(+/-4,020)","29,281","(+/-4,317)"
People,Ancestry,Swiss,"10,033","(+/-2,563)","7,794","(+/-2,199)","7,321","(+/-1,953)","5,500","(+/-1,395)"
People,Ancestry,Ukrainian,"1,336",(+/-665),"1,911",(+/-973),"2,053",(+/-997),602,(+/-392)
People,Ancestry,Welsh,"12,427","(+/-2,154)","10,847","(+/-2,107)","13,351","(+/-2,364)","10,362","(+/-2,256)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,335","(+/-1,011)","1,028",(+/-842),770,(+/-573),501,(+/-376)
People,"Veteran Status","Civilian population 18 years and over","623,574","(+/-7,210)","637,712","(+/-8,613)","608,769","(+/-7,472)","607,148","(+/-9,389)"
People,"Veteran Status","Civilian veterans","33,658","(+/-2,813)","32,495","(+/-3,286)","23,312","(+/-2,636)","20,188","(+/-2,342)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","847,001","(+/-8,781)","849,362","(+/-9,597)","815,241","(+/-10,359)","879,777","(+/-10,469)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","90,345","(+/-5,777)","101,258","(+/-5,203)","90,652","(+/-6,075)","88,901","(+/-6,027)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","227,359","(+/-3,928)","218,580","(+/-5,789)","209,365","(+/-6,962)","276,531","(+/-8,340)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","8,898","(+/-1,887)","6,840","(+/-1,360)","10,552","(+/-1,955)","13,720","(+/-2,861)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","518,669","(+/-6,834)","508,575","(+/-8,761)","501,483","(+/-7,193)","520,359","(+/-8,628)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,875","(+/-4,224)","54,900","(+/-4,365)","49,164","(+/-4,316)","49,744","(+/-4,287)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","100,973","(+/-3,152)","122,207","(+/-3,835)","104,393","(+/-4,243)","82,887","(+/-4,735)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","31,572","(+/-2,437)","39,518","(+/-2,797)","30,936","(+/-2,503)","25,437","(+/-2,547)"
People,"Residence 1 Year Ago","Population 1 year and over","845,918","(+/-8,803)","847,149","(+/-9,914)","808,116","(+/-10,411)","872,618","(+/-10,280)"
People,"Residence 1 Year Ago","Same house","734,982","(+/-11,333)","734,828","(+/-11,556)","680,226","(+/-13,347)","750,244","(+/-14,313)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","110,936","(+/-8,447)","112,321","(+/-8,652)","127,890","(+/-8,571)","122,374","(+/-11,783)"
People,"Residence 1 Year Ago","Different house in the U.S.","104,758","(+/-8,279)","105,346","(+/-8,618)","119,326","(+/-8,435)","116,315","(+/-10,893)"
People,"Residence 1 Year Ago","Same county","53,387","(+/-6,752)","56,959","(+/-6,610)","72,283","(+/-6,011)","80,671","(+/-10,060)"
People,"Residence 1 Year Ago","Different county","51,371","(+/-5,205)","48,387","(+/-5,344)","47,043","(+/-5,735)","35,644","(+/-5,358)"
People,"Residence 1 Year Ago","Same state","26,693","(+/-3,905)","25,385","(+/-3,347)","20,179","(+/-3,571)","19,323","(+/-2,927)"
People,"Residence 1 Year Ago","Different state","24,678","(+/-3,233)","23,002","(+/-3,527)","26,864","(+/-4,066)","16,321","(+/-4,043)"
People,"Residence 1 Year Ago",Abroad,"6,178","(+/-1,908)","6,975","(+/-2,963)","8,564","(+/-2,488)","6,059","(+/-2,228)"
Workers,"Employment Status","Population 16 years and over","656,018","(+/-7,420)","665,489","(+/-8,917)","637,430","(+/-8,137)","642,013","(+/-9,640)"
Workers,"Employment Status","In labor force","466,042","(+/-8,310)","453,110","(+/-9,235)","437,872","(+/-7,832)","468,311","(+/-8,190)"
Workers,"Employment Status","Civilian labor force","461,580","(+/-8,610)","452,745","(+/-9,214)","437,419","(+/-7,875)","466,965","(+/-8,150)"
Workers,"Employment Status",Employed,"448,799","(+/-8,722)","435,529","(+/-9,113)","421,659","(+/-7,998)","452,073","(+/-8,141)"
Workers,"Employment Status",Unemployed,"12,781","(+/-1,655)","17,216","(+/-2,444)","15,760","(+/-1,797)","14,892","(+/-2,183)"
Workers,"Employment Status","Armed Forces","4,462","(+/-1,310)",365,(+/-299),453,(+/-342),"1,346",(+/-655)
Workers,"Employment Status","Not in labor force","189,976","(+/-6,691)","212,379","(+/-5,746)","199,558","(+/-6,126)","173,702","(+/-6,173)"
Workers,"Employment Status","Civilian labor force","461,580","(+/-8,610)","452,745","(+/-9,214)","437,419","(+/-7,875)","466,965","(+/-8,150)"
Workers,"Employment Status","Unemployment Rate",2.8,(+/-0.4),3.8,(+/-0.5),3.6,(+/-0.4),3.2,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","447,114","(+/-8,588)","426,822","(+/-9,427)","414,449","(+/-7,725)","445,211","(+/-8,224)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","317,297","(+/-8,927)","291,446","(+/-9,335)","271,700","(+/-6,911)","298,615","(+/-8,854)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","35,002","(+/-3,175)","47,105","(+/-4,843)","47,950","(+/-4,326)","52,710","(+/-4,618)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","8,613","(+/-1,856)","6,916","(+/-1,454)","8,613","(+/-1,508)","4,136","(+/-1,217)"
Workers,"Commuting to Work",Walked,"9,057","(+/-1,374)","7,702","(+/-1,596)","10,642","(+/-1,852)","4,153","(+/-1,240)"
Workers,"Commuting to Work","Other means","6,789","(+/-1,259)","7,960","(+/-1,722)","5,672","(+/-1,145)","7,409","(+/-1,677)"
Workers,"Commuting to Work","Worked from home","70,356","(+/-4,209)","65,693","(+/-5,001)","69,872","(+/-4,320)","78,188","(+/-4,806)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.9,(+/-0.6),21.5,(+/-0.7),22.0,(+/-0.6),25.1,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","448,799","(+/-8,722)","435,529","(+/-9,113)","421,659","(+/-7,998)","452,073","(+/-8,141)"
Workers,Occupation,"Management, business, science, and arts occupations","202,187","(+/-7,136)","173,237","(+/-6,957)","204,098","(+/-7,371)","201,025","(+/-6,785)"
Workers,Occupation,"Service occupations","63,606","(+/-4,152)","73,518","(+/-5,820)","60,120","(+/-4,187)","59,869","(+/-4,626)"
Workers,Occupation,"Sales and office occupations","86,933","(+/-4,458)","84,129","(+/-5,633)","81,162","(+/-5,081)","100,223","(+/-5,210)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","42,760","(+/-3,089)","47,478","(+/-4,145)","33,949","(+/-2,790)","36,811","(+/-3,231)"
Workers,Occupation,"Production, transportation, and material moving occupations","53,313","(+/-3,814)","57,167","(+/-4,699)","42,330","(+/-3,432)","54,145","(+/-4,447)"
Workers,Industry,"Civilian employed population 16 years and over","448,799","(+/-8,722)","435,529","(+/-9,113)","421,659","(+/-7,998)","452,073","(+/-8,141)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","5,804","(+/-1,305)","6,759","(+/-1,258)","7,593","(+/-1,140)","5,446","(+/-1,152)"
Workers,Industry,Construction,"34,842","(+/-3,862)","41,316","(+/-3,803)","29,569","(+/-3,030)","36,135","(+/-3,591)"
Workers,Industry,Manufacturing,"55,958","(+/-4,403)","43,485","(+/-3,646)","32,956","(+/-3,071)","46,018","(+/-4,244)"
Workers,Industry,"Wholesale trade","6,915","(+/-1,556)","8,490","(+/-1,733)","8,666","(+/-1,614)","9,458","(+/-2,093)"
Workers,Industry,"Retail trade","48,096","(+/-3,314)","47,321","(+/-3,742)","45,239","(+/-3,602)","53,937","(+/-3,977)"
Workers,Industry,"Transportation and warehousing, and utilities","20,555","(+/-2,825)","27,802","(+/-3,278)","16,174","(+/-2,198)","24,407","(+/-3,101)"
Workers,Industry,Information,"5,751","(+/-1,259)","6,663","(+/-1,327)","8,326","(+/-1,496)","8,223","(+/-1,651)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","27,054","(+/-2,808)","26,387","(+/-3,329)","30,586","(+/-2,928)","35,401","(+/-3,332)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","53,491","(+/-3,930)","52,942","(+/-4,030)","65,206","(+/-4,073)","62,501","(+/-4,688)"
Workers,Industry,"Educational services, and health care and social assistance","106,164","(+/-5,357)","93,991","(+/-5,429)","110,067","(+/-5,752)","100,982","(+/-5,769)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","35,689","(+/-3,345)","41,950","(+/-4,211)","34,337","(+/-3,137)","32,279","(+/-3,744)"
Workers,Industry,"Other services, except public administration","16,804","(+/-1,986)","19,714","(+/-2,710)","19,198","(+/-2,226)","21,394","(+/-2,664)"
Workers,Industry,"Public administration","31,676","(+/-3,141)","18,709","(+/-2,289)","13,742","(+/-1,876)","15,892","(+/-2,158)"
Workers,"Class of Worker","Civilian employed population 16 years and over","448,799","(+/-8,722)","435,529","(+/-9,113)","421,659","(+/-7,998)","452,073","(+/-8,141)"
Workers,"Class of Worker","Private wage and salary workers","343,796","(+/-8,576)","347,483","(+/-9,402)","339,157","(+/-7,099)","371,574","(+/-8,135)"
Workers,"Class of Worker","Government workers","82,902","(+/-4,401)","63,112","(+/-4,438)","58,878","(+/-4,671)","60,213","(+/-4,438)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","21,047","(+/-2,616)","24,328","(+/-2,955)","22,645","(+/-2,464)","19,753","(+/-2,385)"
Workers,"Class of Worker","Unpaid family workers","1,054",(+/-581),606,(+/-529),979,(+/-437),533,(+/-306)
Housing,"Housing Occupancy","Total housing units","319,463","(+/-4,456)","341,990","(+/-4,617)","310,043","(+/-4,555)","287,033","(+/-4,658)"
Housing,"Housing Occupancy","Occupied housing units","300,230","(+/-4,371)","305,021","(+/-5,373)","284,449","(+/-4,463)","277,891","(+/-4,795)"
Housing,"Housing Occupancy","Vacant housing units","19,233","(+/-2,928)","36,969","(+/-3,208)","25,594","(+/-2,676)","9,142","(+/-1,734)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.5,(+/-0.3),0.6,(+/-0.4),0.1,(+/-0.1),0.5,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.8,(+/-1.5),9.4,(+/-1.8),4.0,(+/-1.3),4.0,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","300,230","(+/-4,371)","305,021","(+/-5,373)","284,449","(+/-4,463)","277,891","(+/-4,795)"
Housing,"Housing Tenure",Owner-occupied,"209,597","(+/-4,269)","209,222","(+/-5,092)","193,836","(+/-4,637)","205,378","(+/-4,886)"
Housing,"Housing Tenure",Renter-occupied,"90,633","(+/-4,286)","95,799","(+/-4,684)","90,613","(+/-3,960)","72,513","(+/-4,565)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.01,(+/-0.04),2.91,(+/-0.05),2.92,(+/-0.05),3.33,(+/-0.06)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.28,(+/-0.08),2.45,(+/-0.09),2.60,(+/-0.07),2.69,(+/-0.11)
Housing,"Year Householder Moved into Unit","Occupied housing units","300,230","(+/-4,371)","305,021","(+/-5,373)","284,449","(+/-4,463)","277,891","(+/-4,795)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","86,895","(+/-4,730)","91,032","(+/-5,835)","88,911","(+/-4,302)","81,271","(+/-4,188)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","60,220","(+/-3,696)","59,199","(+/-3,404)","50,121","(+/-3,494)","61,452","(+/-4,187)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","66,904","(+/-3,964)","72,946","(+/-4,621)","60,999","(+/-3,696)","63,668","(+/-4,137)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","41,851","(+/-3,104)","43,969","(+/-3,725)","38,527","(+/-2,811)","38,218","(+/-3,337)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,938","(+/-2,290)","20,045","(+/-1,974)","23,163","(+/-1,704)","18,856","(+/-2,212)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","21,422","(+/-2,188)","17,830","(+/-2,220)","22,728","(+/-2,028)","14,426","(+/-1,641)"
Housing,Value,"Owner-occupied units","209,597","(+/-4,269)","209,222","(+/-5,092)","193,836","(+/-4,637)","205,378","(+/-4,886)"
Housing,Value,"Less than $50,000","5,956","(+/-1,587)","7,445","(+/-1,664)","4,959",(+/-933),"4,558","(+/-1,245)"
Housing,Value,"$50,000 to $99,999","4,239","(+/-1,174)","5,627","(+/-1,413)","4,386","(+/-1,057)","3,492",(+/-945)
Housing,Value,"$100,000 to $149,999","1,666",(+/-591),"1,799",(+/-894),"2,972",(+/-720),"2,087",(+/-711)
Housing,Value,"$150,000 to $199,999","1,870",(+/-686),"3,432",(+/-718),"3,301",(+/-864),"1,692",(+/-572)
Housing,Value,"$200,000 to $299,999","14,010","(+/-2,089)","18,781","(+/-2,057)","12,998","(+/-1,587)","7,495","(+/-1,393)"
Housing,Value,"$300,000 to $499,999","83,501","(+/-3,803)","78,243","(+/-3,800)","46,642","(+/-2,612)","69,401","(+/-3,915)"
Housing,Value,"$500,000 to $999,999","81,195","(+/-3,472)","83,731","(+/-4,604)","90,259","(+/-4,083)","106,024","(+/-4,434)"
Housing,Value,"$1,000,000 or more","17,160","(+/-1,753)","10,164","(+/-1,535)","28,319","(+/-2,071)","10,629","(+/-1,530)"
Housing,Value,"Median (dollars)","485,600","(+/-7,017)","475,300","(+/-8,079)","590,100","(+/-10,459)","543,800","(+/-10,716)"
Housing,"Mortgage Status","Owner-occupied units","209,597","(+/-4,269)","209,222","(+/-5,092)","193,836","(+/-4,637)","205,378","(+/-4,886)"
Housing,"Mortgage Status","Housing units with a mortgage","141,973","(+/-4,520)","139,368","(+/-5,391)","122,717","(+/-3,983)","153,032","(+/-4,658)"
Housing,"Mortgage Status","Housing units without a mortgage","67,624","(+/-3,154)","69,854","(+/-3,908)","71,119","(+/-3,917)","52,346","(+/-3,510)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","141,973","(+/-4,520)","139,368","(+/-5,391)","122,717","(+/-3,983)","153,032","(+/-4,658)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",422,(+/-302),853,(+/-372),734,(+/-499),"1,532",(+/-879)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","8,531","(+/-1,481)","10,438","(+/-1,515)","6,775","(+/-1,226)","4,781","(+/-1,111)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","29,110","(+/-2,675)","33,402","(+/-2,994)","20,098","(+/-1,840)","23,069","(+/-2,368)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","38,826","(+/-3,249)","36,246","(+/-3,102)","30,781","(+/-2,686)","38,971","(+/-3,034)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","25,270","(+/-2,223)","25,519","(+/-2,700)","22,502","(+/-2,056)","35,601","(+/-2,945)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","17,010","(+/-2,030)","16,204","(+/-2,214)","16,217","(+/-1,969)","23,368","(+/-2,669)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","22,804","(+/-2,210)","16,706","(+/-2,009)","25,610","(+/-2,490)","25,710","(+/-2,430)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,919",(+/-43),"1,834",(+/-40),"2,066",(+/-61),"2,115",(+/-41)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","67,624","(+/-3,154)","69,854","(+/-3,908)","71,119","(+/-3,917)","52,346","(+/-3,510)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","2,159",(+/-761),"4,587","(+/-1,065)","3,479",(+/-946),"1,964",(+/-837)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","9,209","(+/-1,486)","15,802","(+/-1,848)","10,420","(+/-1,390)","7,192","(+/-1,415)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","23,844","(+/-2,079)","24,562","(+/-2,445)","22,754","(+/-2,054)","23,096","(+/-2,213)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","18,193","(+/-2,266)","14,322","(+/-1,900)","16,725","(+/-1,916)","11,378","(+/-1,344)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","6,103","(+/-1,177)","4,947","(+/-1,216)","7,830","(+/-1,262)","4,443",(+/-923)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","8,116","(+/-1,401)","5,634","(+/-1,480)","9,911","(+/-1,067)","4,273","(+/-1,053)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",588,(+/-18),514,(+/-16),590,(+/-17),553,(+/-12)
Housing,"Gross Rent","Occupied units paying rent","88,326","(+/-4,332)","92,675","(+/-4,674)","87,045","(+/-3,993)","69,365","(+/-4,518)"
Housing,"Gross Rent","Less than $500","5,067","(+/-1,333)","5,430","(+/-1,811)","2,190",(+/-717),"1,184",(+/-644)
Housing,"Gross Rent","$500 to $999","13,928","(+/-1,681)","14,355","(+/-2,107)","13,571","(+/-1,591)","5,228","(+/-1,230)"
Housing,"Gross Rent","$1,000 to $1,499","27,356","(+/-2,862)","27,948","(+/-3,145)","24,980","(+/-2,478)","17,124","(+/-2,495)"
Housing,"Gross Rent","$1,500 to $1,999","24,408","(+/-2,558)","24,091","(+/-3,163)","28,249","(+/-2,680)","25,599","(+/-3,357)"
Housing,"Gross Rent","$2,000 to $2,499","10,017","(+/-1,886)","12,531","(+/-2,378)","10,986","(+/-2,293)","13,550","(+/-2,225)"
Housing,"Gross Rent","$2,500 to $2,999","4,451","(+/-1,468)","5,280","(+/-1,422)","4,521",(+/-983),"4,458","(+/-1,349)"
Housing,"Gross Rent","$3,000 or more","3,099",(+/-928),"3,040","(+/-1,714)","2,548",(+/-871),"2,222",(+/-826)
Housing,"Gross Rent","Median (dollars)","1,462",(+/-41),"1,475",(+/-56),"1,549",(+/-34),"1,718",(+/-39)
Housing,"Gross Rent","No rent paid","2,307",(+/-681),"3,124",(+/-926),"3,568",(+/-773),"3,148",(+/-885)
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","300,230","(+/-4,371)","305,021","(+/-5,373)","284,449","(+/-4,463)","277,891","(+/-4,795)"
