Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Hispanic or Latino and Race","Total population","745,641","(+/-2,669)","701,580","(+/-5,661)","740,675","(+/-6,398)","751,794","(+/-3,215)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","29,037","(+/-1,689)","16,646","(+/-2,868)","22,477","(+/-1,498)","41,724",(+/-602)
People,"Hispanic or Latino and Race",Mexican,"19,653","(+/-1,715)","8,619","(+/-2,655)","12,871","(+/-2,406)","15,407","(+/-2,904)"
People,"Hispanic or Latino and Race","Puerto Rican","1,110",(+/-866),"1,170",(+/-672),"1,458",(+/-695),"6,703","(+/-1,918)"
People,"Hispanic or Latino and Race",Cuban,294,(+/-426),274,(+/-470),434,(+/-378),889,(+/-610)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","7,980","(+/-1,968)","6,583","(+/-1,403)","7,714","(+/-2,478)","18,725","(+/-2,435)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","716,604","(+/-3,250)","684,934","(+/-6,585)","718,198","(+/-6,349)","710,070","(+/-3,141)"
People,"Place of Birth","Total population","745,641","(+/-2,669)","701,580","(+/-5,661)","740,675","(+/-6,398)","751,794","(+/-3,215)"
People,"Place of Birth",Native,"725,419","(+/-3,745)","690,365","(+/-5,719)","722,919","(+/-7,047)","725,822","(+/-4,366)"
People,"Place of Birth","Born in United States","720,736","(+/-4,096)","688,140","(+/-5,755)","718,321","(+/-7,075)","715,763","(+/-4,329)"
People,"Place of Birth","State of residence","456,629","(+/-10,485)","581,392","(+/-8,648)","567,429","(+/-10,105)","456,820","(+/-10,078)"
People,"Place of Birth","Different state","264,107","(+/-10,723)","106,748","(+/-7,279)","150,892","(+/-7,589)","258,943","(+/-9,344)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,683","(+/-1,442)","2,225",(+/-792),"4,598","(+/-1,333)","10,059","(+/-1,871)"
People,"Place of Birth","Foreign born","20,222","(+/-2,842)","11,215","(+/-1,572)","17,756","(+/-2,824)","25,972","(+/-3,087)"
People,Ancestry,"Total population","745,641","(+/-2,669)","701,580","(+/-5,661)","740,675","(+/-6,398)","751,794","(+/-3,215)"
People,Ancestry,American,"66,626","(+/-6,870)","56,161","(+/-6,160)","74,538","(+/-6,964)","84,018","(+/-7,717)"
People,Ancestry,Arab,"2,489","(+/-2,378)","1,595","(+/-1,447)","2,513","(+/-1,271)","2,085",(+/-975)
People,Ancestry,Czech,297,(+/-278),231,(+/-207),237,(+/-176),448,(+/-324)
People,Ancestry,Danish,229,(+/-283),83,(+/-110),437,(+/-398),"1,412",(+/-879)
People,Ancestry,Dutch,"1,814","(+/-1,013)",931,(+/-497),"2,454",(+/-855),"2,744",(+/-790)
People,Ancestry,English,"96,246","(+/-8,185)","36,570","(+/-4,083)","79,274","(+/-6,660)","97,061","(+/-7,141)"
People,Ancestry,"French (except Basque)","7,264","(+/-1,944)","4,960","(+/-1,516)","7,267","(+/-1,370)","29,013","(+/-3,591)"
People,Ancestry,"French Canadian",656,(+/-481),669,(+/-438),"2,269","(+/-1,463)","2,253",(+/-806)
People,Ancestry,German,"41,826","(+/-5,221)","15,829","(+/-2,423)","30,467","(+/-4,346)","59,482","(+/-5,878)"
People,Ancestry,Greek,534,(+/-399),198,(+/-145),399,(+/-390),"1,566","(+/-1,100)"
People,Ancestry,Hungarian,364,(+/-375),43,(+/-76),"1,163",(+/-748),901,(+/-466)
People,Ancestry,Irish,"59,314","(+/-6,062)","34,383","(+/-4,108)","57,199","(+/-6,396)","67,853","(+/-6,398)"
People,Ancestry,Italian,"12,762","(+/-2,871)","5,577","(+/-1,685)","9,765","(+/-2,498)","23,120","(+/-3,421)"
People,Ancestry,Lithuanian,0,(+/-222),0,(+/-222),198,(+/-180),130,(+/-114)
People,Ancestry,Norwegian,"1,909",(+/-936),820,(+/-474),"2,525","(+/-2,122)","2,063",(+/-804)
People,Ancestry,Polish,"2,694","(+/-1,172)",661,(+/-334),"2,351","(+/-1,226)","4,585","(+/-1,790)"
People,Ancestry,Portuguese,188,(+/-196),0,(+/-222),124,(+/-145),296,(+/-245)
People,Ancestry,Russian,606,(+/-493),280,(+/-208),"2,706","(+/-2,521)",698,(+/-698)
People,Ancestry,Scotch-Irish,"5,490","(+/-1,466)","4,155","(+/-1,401)","7,100","(+/-1,511)","8,075","(+/-1,749)"
People,Ancestry,Scottish,"13,199","(+/-2,645)","8,647","(+/-3,170)","14,388","(+/-3,521)","14,353","(+/-2,487)"
People,Ancestry,Slovak,0,(+/-222),0,(+/-222),0,(+/-222),345,(+/-359)
People,Ancestry,"Subsaharan African","3,500","(+/-1,638)","11,500","(+/-2,731)","20,653","(+/-4,007)","3,351","(+/-1,217)"
People,Ancestry,Swedish,"2,406","(+/-1,191)",406,(+/-277),"1,708",(+/-888),"3,343",(+/-927)
People,Ancestry,Swiss,456,(+/-320),248,(+/-256),135,(+/-152),640,(+/-371)
People,Ancestry,Ukrainian,"1,361","(+/-1,631)",0,(+/-222),71,(+/-92),404,(+/-294)
People,Ancestry,Welsh,"2,040",(+/-924),791,(+/-446),"2,077","(+/-1,548)","1,715",(+/-635)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",912,(+/-826),605,(+/-742),346,(+/-355),"3,249","(+/-1,535)"
People,"Veteran Status","Civilian population 18 years and over","571,094","(+/-2,394)","539,828","(+/-4,339)","567,989","(+/-4,869)","573,120","(+/-3,025)"
People,"Veteran Status","Civilian veterans","36,822","(+/-3,362)","30,842","(+/-3,121)","35,947","(+/-3,259)","52,491","(+/-3,549)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","734,822","(+/-2,843)","680,072","(+/-5,617)","726,282","(+/-6,562)","733,114","(+/-3,478)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","118,631","(+/-6,249)","123,473","(+/-6,826)","123,586","(+/-6,196)","142,281","(+/-6,582)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","171,956","(+/-1,489)","161,350","(+/-3,251)","171,085","(+/-3,935)","170,048","(+/-2,526)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,568","(+/-2,274)","11,217","(+/-2,449)","9,422","(+/-1,774)","12,218","(+/-2,519)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","441,756","(+/-3,041)","394,728","(+/-4,240)","428,364","(+/-4,633)","435,397","(+/-3,321)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","61,349","(+/-4,561)","62,030","(+/-4,395)","63,078","(+/-5,158)","73,675","(+/-5,372)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","121,110","(+/-1,747)","123,994","(+/-2,027)","126,833","(+/-2,142)","127,669","(+/-1,809)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,714","(+/-2,887)","50,226","(+/-2,960)","51,086","(+/-2,914)","56,388","(+/-3,124)"
People,"Residence 1 Year Ago","Population 1 year and over","737,475","(+/-3,529)","695,964","(+/-5,803)","731,241","(+/-6,812)","742,954","(+/-3,730)"
People,"Residence 1 Year Ago","Same house","661,912","(+/-9,325)","626,198","(+/-7,089)","647,014","(+/-9,095)","666,531","(+/-8,947)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","75,563","(+/-8,072)","69,766","(+/-5,530)","84,227","(+/-7,164)","76,423","(+/-7,678)"
People,"Residence 1 Year Ago","Different house in the U.S.","73,434","(+/-7,913)","66,227","(+/-5,666)","82,124","(+/-6,918)","73,887","(+/-7,561)"
People,"Residence 1 Year Ago","Same county","26,929","(+/-4,279)","35,240","(+/-5,334)","39,320","(+/-6,113)","33,012","(+/-5,741)"
People,"Residence 1 Year Ago","Different county","46,505","(+/-6,399)","30,987","(+/-4,199)","42,804","(+/-4,890)","40,875","(+/-4,678)"
People,"Residence 1 Year Ago","Same state","23,702","(+/-3,634)","20,794","(+/-3,584)","30,646","(+/-4,965)","21,419","(+/-3,945)"
People,"Residence 1 Year Ago","Different state","22,803","(+/-5,126)","10,193","(+/-2,367)","12,158","(+/-2,255)","19,456","(+/-3,514)"
People,"Residence 1 Year Ago",Abroad,"2,129","(+/-1,157)","3,539","(+/-1,285)","2,103",(+/-923),"2,536","(+/-1,375)"
Workers,"Employment Status","Population 16 years and over","594,907","(+/-2,774)","564,792","(+/-5,307)","590,387","(+/-4,889)","604,053","(+/-3,492)"
Workers,"Employment Status","In labor force","356,163","(+/-6,261)","301,041","(+/-7,533)","341,938","(+/-5,999)","356,398","(+/-7,531)"
Workers,"Employment Status","Civilian labor force","353,772","(+/-6,427)","300,851","(+/-7,500)","340,558","(+/-6,130)","347,878","(+/-7,514)"
Workers,"Employment Status",Employed,"342,398","(+/-6,499)","279,664","(+/-7,874)","325,009","(+/-6,009)","331,351","(+/-8,267)"
Workers,"Employment Status",Unemployed,"11,374","(+/-1,900)","21,187","(+/-3,050)","15,549","(+/-2,528)","16,527","(+/-2,429)"
Workers,"Employment Status","Armed Forces","2,391",(+/-885),190,(+/-165),"1,380",(+/-511),"8,520","(+/-1,251)"
Workers,"Employment Status","Not in labor force","238,744","(+/-5,953)","263,751","(+/-7,377)","248,449","(+/-5,624)","247,655","(+/-6,929)"
Workers,"Employment Status","Civilian labor force","353,772","(+/-6,427)","300,851","(+/-7,500)","340,558","(+/-6,130)","347,878","(+/-7,514)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.5),7.0,(+/-1.0),4.6,(+/-0.7),4.8,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","339,630","(+/-6,635)","274,833","(+/-7,961)","320,592","(+/-6,242)","333,394","(+/-8,154)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","277,558","(+/-7,470)","214,421","(+/-7,793)","260,712","(+/-7,404)","266,068","(+/-7,866)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","34,891","(+/-3,656)","32,281","(+/-4,356)","31,871","(+/-4,336)","31,885","(+/-3,423)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",149,(+/-216),994,(+/-526),"1,180",(+/-919),542,(+/-452)
Workers,"Commuting to Work",Walked,"2,192",(+/-651),"4,461","(+/-1,176)","4,030","(+/-1,155)","8,655","(+/-1,780)"
Workers,"Commuting to Work","Other means","2,501",(+/-932),"4,536","(+/-1,329)","4,076","(+/-1,371)","4,690","(+/-1,042)"
Workers,"Commuting to Work","Worked from home","22,339","(+/-3,373)","18,140","(+/-2,684)","18,723","(+/-2,383)","21,554","(+/-2,539)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,(+/-0.6),24.2,(+/-0.9),25.4,(+/-0.9),26.3,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","342,398","(+/-6,499)","279,664","(+/-7,874)","325,009","(+/-6,009)","331,351","(+/-8,267)"
Workers,Occupation,"Management, business, science, and arts occupations","118,951","(+/-6,344)","88,560","(+/-5,791)","129,140","(+/-5,886)","118,781","(+/-5,091)"
Workers,Occupation,"Service occupations","47,226","(+/-3,864)","53,140","(+/-4,246)","53,193","(+/-4,742)","60,845","(+/-4,530)"
Workers,Occupation,"Sales and office occupations","70,332","(+/-4,627)","58,089","(+/-4,596)","67,623","(+/-4,794)","65,240","(+/-4,504)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","31,627","(+/-3,056)","27,036","(+/-3,556)","26,931","(+/-3,052)","39,418","(+/-3,504)"
Workers,Occupation,"Production, transportation, and material moving occupations","74,262","(+/-5,095)","52,839","(+/-4,870)","48,122","(+/-4,073)","47,067","(+/-3,631)"
Workers,Industry,"Civilian employed population 16 years and over","342,398","(+/-6,499)","279,664","(+/-7,874)","325,009","(+/-6,009)","331,351","(+/-8,267)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","5,033","(+/-1,341)","7,080","(+/-1,390)","8,512","(+/-1,717)","5,654","(+/-1,227)"
Workers,Industry,Construction,"18,388","(+/-2,528)","19,652","(+/-3,100)","16,195","(+/-2,592)","25,909","(+/-2,728)"
Workers,Industry,Manufacturing,"56,151","(+/-4,804)","33,164","(+/-3,365)","35,071","(+/-3,536)","37,522","(+/-3,589)"
Workers,Industry,"Wholesale trade","6,954","(+/-1,601)","4,949","(+/-1,448)","8,797","(+/-1,897)","5,441","(+/-1,123)"
Workers,Industry,"Retail trade","40,864","(+/-3,656)","34,366","(+/-4,149)","35,141","(+/-4,049)","36,880","(+/-4,117)"
Workers,Industry,"Transportation and warehousing, and utilities","39,753","(+/-4,041)","20,646","(+/-2,959)","19,693","(+/-3,090)","18,803","(+/-2,532)"
Workers,Industry,Information,"3,671","(+/-1,178)","2,590","(+/-1,072)","5,052","(+/-1,276)","2,667",(+/-914)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","13,070","(+/-2,076)","11,410","(+/-1,991)","17,959","(+/-2,711)","17,246","(+/-2,191)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","24,607","(+/-3,026)","20,676","(+/-2,689)","26,041","(+/-3,143)","30,782","(+/-3,274)"
Workers,Industry,"Educational services, and health care and social assistance","82,614","(+/-5,193)","70,486","(+/-5,425)","89,696","(+/-5,852)","78,928","(+/-4,362)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","21,775","(+/-3,019)","23,378","(+/-3,133)","28,075","(+/-3,450)","38,344","(+/-4,401)"
Workers,Industry,"Other services, except public administration","16,442","(+/-2,633)","16,438","(+/-2,577)","17,593","(+/-2,462)","16,672","(+/-2,616)"
Workers,Industry,"Public administration","13,076","(+/-2,500)","14,829","(+/-2,801)","17,184","(+/-2,225)","16,503","(+/-2,066)"
Workers,"Class of Worker","Civilian employed population 16 years and over","342,398","(+/-6,499)","279,664","(+/-7,874)","325,009","(+/-6,009)","331,351","(+/-8,267)"
Workers,"Class of Worker","Private wage and salary workers","269,500","(+/-8,005)","210,451","(+/-8,173)","241,078","(+/-6,567)","250,059","(+/-8,480)"
Workers,"Class of Worker","Government workers","52,674","(+/-4,508)","52,026","(+/-5,061)","63,252","(+/-4,743)","61,118","(+/-3,972)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","19,508","(+/-3,036)","16,696","(+/-2,399)","19,829","(+/-2,737)","18,913","(+/-2,461)"
Workers,"Class of Worker","Unpaid family workers",716,(+/-521),491,(+/-365),850,(+/-539),"1,261",(+/-814)
Housing,"Housing Occupancy","Total housing units","339,315","(+/-1,128)","342,003","(+/-2,539)","333,516","(+/-2,718)","335,718","(+/-1,378)"
Housing,"Housing Occupancy","Occupied housing units","288,344","(+/-3,801)","283,640","(+/-4,937)","292,994","(+/-4,469)","301,639","(+/-2,755)"
Housing,"Housing Occupancy","Vacant housing units","50,971","(+/-3,692)","58,363","(+/-4,269)","40,522","(+/-4,064)","34,079","(+/-2,814)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.3),0.5,(+/-0.3),0.2,(+/-0.2),0.8,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",13.9,(+/-2.1),6.9,(+/-1.6),5.2,(+/-1.7),7.2,(+/-1.5)
Housing,"Housing Tenure","Occupied housing units","288,344","(+/-3,801)","283,640","(+/-4,937)","292,994","(+/-4,469)","301,639","(+/-2,755)"
Housing,"Housing Tenure",Owner-occupied,"219,582","(+/-4,500)","182,447","(+/-4,707)","214,475","(+/-4,664)","212,656","(+/-5,043)"
Housing,"Housing Tenure",Renter-occupied,"68,762","(+/-3,797)","101,193","(+/-4,783)","78,519","(+/-4,093)","88,983","(+/-3,945)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.56,(+/-0.05),2.47,(+/-0.05),2.57,(+/-0.05),2.54,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.38,(+/-0.11),2.15,(+/-0.08),2.13,(+/-0.11),2.17,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","288,344","(+/-3,801)","283,640","(+/-4,937)","292,994","(+/-4,469)","301,639","(+/-2,755)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","62,149","(+/-5,102)","54,873","(+/-3,941)","65,145","(+/-4,405)","75,775","(+/-4,333)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","54,754","(+/-3,966)","46,946","(+/-4,435)","50,066","(+/-4,451)","56,741","(+/-4,391)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","66,480","(+/-3,468)","60,918","(+/-4,710)","63,886","(+/-4,185)","62,861","(+/-4,236)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","43,100","(+/-2,969)","52,767","(+/-3,484)","51,282","(+/-3,160)","50,521","(+/-3,277)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","30,009","(+/-2,666)","33,725","(+/-3,117)","30,903","(+/-2,554)","27,525","(+/-2,865)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","31,852","(+/-2,608)","34,411","(+/-2,720)","31,712","(+/-2,715)","28,216","(+/-2,423)"
Housing,Value,"Owner-occupied units","219,582","(+/-4,500)","182,447","(+/-4,707)","214,475","(+/-4,664)","212,656","(+/-5,043)"
Housing,Value,"Less than $50,000","25,036","(+/-2,711)","30,708","(+/-2,689)","30,450","(+/-2,412)","22,262","(+/-2,650)"
Housing,Value,"$50,000 to $99,999","31,971","(+/-3,319)","45,401","(+/-3,185)","28,979","(+/-2,854)","28,739","(+/-2,792)"
Housing,Value,"$100,000 to $149,999","30,048","(+/-3,206)","30,610","(+/-2,809)","27,383","(+/-3,141)","27,359","(+/-3,266)"
Housing,Value,"$150,000 to $199,999","28,478","(+/-2,780)","22,409","(+/-2,824)","31,372","(+/-2,772)","35,379","(+/-3,381)"
Housing,Value,"$200,000 to $299,999","49,337","(+/-4,257)","29,351","(+/-2,692)","43,570","(+/-3,651)","49,074","(+/-3,489)"
Housing,Value,"$300,000 to $499,999","40,961","(+/-3,264)","18,770","(+/-2,337)","37,092","(+/-3,109)","39,097","(+/-2,904)"
Housing,Value,"$500,000 to $999,999","11,769","(+/-1,897)","4,406","(+/-1,154)","12,722","(+/-2,046)","9,070","(+/-1,253)"
Housing,Value,"$1,000,000 or more","1,982",(+/-926),792,(+/-388),"2,907","(+/-1,001)","1,676",(+/-528)
Housing,Value,"Median (dollars)","188,000","(+/-9,462)","119,000","(+/-4,320)","178,100","(+/-6,717)","187,700","(+/-6,332)"
Housing,"Mortgage Status","Owner-occupied units","219,582","(+/-4,500)","182,447","(+/-4,707)","214,475","(+/-4,664)","212,656","(+/-5,043)"
Housing,"Mortgage Status","Housing units with a mortgage","115,866","(+/-5,133)","75,354","(+/-3,579)","104,115","(+/-4,185)","102,881","(+/-4,233)"
Housing,"Mortgage Status","Housing units without a mortgage","103,716","(+/-4,746)","107,093","(+/-4,276)","110,360","(+/-3,844)","109,775","(+/-4,006)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","115,866","(+/-5,133)","75,354","(+/-3,579)","104,115","(+/-4,185)","102,881","(+/-4,233)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","2,218",(+/-817),998,(+/-570),"1,455",(+/-696),"1,551",(+/-616)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","29,217","(+/-2,965)","26,978","(+/-2,622)","24,488","(+/-2,393)","19,957","(+/-2,322)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","36,208","(+/-3,272)","27,232","(+/-2,505)","33,421","(+/-3,568)","36,302","(+/-3,410)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","24,443","(+/-2,655)","10,669","(+/-1,835)","23,639","(+/-2,516)","25,372","(+/-2,760)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","11,327","(+/-2,092)","4,349","(+/-1,129)","7,732","(+/-1,547)","11,423","(+/-1,898)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","6,349","(+/-2,021)","2,265",(+/-831),"7,560","(+/-1,546)","3,139",(+/-814)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","6,104","(+/-1,464)","2,863",(+/-955),"5,820","(+/-1,196)","5,137",(+/-972)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,350",(+/-50),"1,146",(+/-34),"1,374",(+/-49),"1,400",(+/-40)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","103,716","(+/-4,746)","107,093","(+/-4,276)","110,360","(+/-3,844)","109,775","(+/-4,006)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","19,158","(+/-2,507)","14,433","(+/-2,023)","15,408","(+/-1,739)","17,369","(+/-2,163)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","34,513","(+/-3,236)","30,539","(+/-2,816)","31,660","(+/-2,913)","30,380","(+/-2,595)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","27,867","(+/-2,611)","33,238","(+/-3,313)","33,978","(+/-2,517)","33,109","(+/-3,189)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","12,622","(+/-1,850)","16,221","(+/-2,084)","17,468","(+/-2,027)","15,817","(+/-1,896)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","4,981","(+/-1,192)","6,898","(+/-1,367)","7,078","(+/-1,467)","6,356","(+/-1,313)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","4,575","(+/-1,305)","5,764","(+/-1,252)","4,768","(+/-1,169)","6,744","(+/-1,197)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",391,(+/-14),445,(+/-14),444,(+/-14),440,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","61,607","(+/-3,771)","91,319","(+/-4,446)","67,047","(+/-4,053)","82,018","(+/-4,009)"
Housing,"Gross Rent","Less than $500","9,050","(+/-1,598)","17,187","(+/-2,084)","7,541","(+/-1,511)","6,729","(+/-1,500)"
Housing,"Gross Rent","$500 to $999","27,327","(+/-2,913)","45,625","(+/-3,764)","28,797","(+/-3,152)","35,884","(+/-3,650)"
Housing,"Gross Rent","$1,000 to $1,499","16,177","(+/-2,413)","22,837","(+/-2,839)","20,239","(+/-2,970)","27,741","(+/-2,641)"
Housing,"Gross Rent","$1,500 to $1,999","6,170","(+/-1,758)","4,640","(+/-1,244)","7,124","(+/-1,672)","9,678","(+/-2,086)"
Housing,"Gross Rent","$2,000 to $2,499","1,983",(+/-723),179,(+/-297),"2,505",(+/-884),"1,389",(+/-791)
Housing,"Gross Rent","$2,500 to $2,999",763,(+/-536),0,(+/-222),310,(+/-313),122,(+/-133)
Housing,"Gross Rent","$3,000 or more",137,(+/-226),851,(+/-483),531,(+/-331),475,(+/-279)
Housing,"Gross Rent","Median (dollars)",862,(+/-50),826,(+/-17),954,(+/-46),982,(+/-35)
Housing,"Gross Rent","No rent paid","7,155","(+/-1,539)","9,874","(+/-1,860)","11,472","(+/-1,950)","6,965","(+/-1,537)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","288,344","(+/-3,801)","283,640","(+/-4,937)","292,994","(+/-4,469)","301,639","(+/-2,755)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","16,621","(+/-2,494)","28,819","(+/-2,730)","19,851","(+/-2,552)","21,580","(+/-2,647)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","16,139","(+/-2,920)","23,345","(+/-3,093)","16,625","(+/-2,538)","18,083","(+/-2,813)"
