Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","75 to 84 years","40,601","(+/-1,788)","40,877","(+/-1,686)","37,517","(+/-1,613)","36,051","(+/-1,605)"
People,"Sex and Age","85 years and over","13,620","(+/-1,499)","14,307","(+/-1,195)","12,254","(+/-1,430)","16,148","(+/-1,448)"
People,"Sex and Age","Median age (years)",36.5,(+/-0.4),38.6,(+/-0.5),38.8,(+/-0.4),37.6,(+/-0.3)
People,"Sex and Age","18 years and over","567,557","(+/-2,165)","554,888","(+/-4,473)","572,421","(+/-3,876)","558,917","(+/-1,640)"
People,"Sex and Age","65 years and over","129,538","(+/-2,155)","137,798","(+/-2,208)","122,496","(+/-1,180)","128,533","(+/-1,079)"
People,Race,"Total population","726,249","(+/-2,287)","725,930","(+/-7,474)","749,221","(+/-6,596)","739,147","(+/-2,100)"
People,Race,"One race","643,161","(+/-5,847)","643,685","(+/-7,663)","671,089","(+/-7,392)","652,848","(+/-7,394)"
People,Race,White,"568,186","(+/-4,628)","539,541","(+/-5,548)","577,717","(+/-4,799)","546,490","(+/-5,226)"
People,Race,"Black or African American","21,471","(+/-1,953)","50,352","(+/-3,260)","39,380","(+/-3,442)","45,839","(+/-3,546)"
People,Race,"American Indian and Alaska Native","7,067","(+/-1,543)","6,516","(+/-1,291)","4,074","(+/-1,889)","6,360","(+/-1,305)"
People,Race,Asian,"12,480","(+/-1,549)","14,217","(+/-1,254)","27,805","(+/-2,564)","22,746","(+/-1,688)"
People,Race,"Native Hawaiian and Other Pacific Islander",346,(+/-368),"2,372","(+/-1,953)",728,(+/-478),456,(+/-459)
People,Race,"Some other race","33,611","(+/-4,083)","30,687","(+/-4,597)","21,385","(+/-3,895)","30,957","(+/-5,715)"
People,Race,"Two or more races","83,088","(+/-5,637)","82,245","(+/-6,409)","78,132","(+/-5,361)","86,299","(+/-7,363)"
People,"Hispanic or Latino and Race","Total population","726,249","(+/-2,287)","725,930","(+/-7,474)","749,221","(+/-6,596)","739,147","(+/-2,100)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","118,700",(+/-797),"96,060","(+/-4,873)","81,008","(+/-4,834)","105,908",(+/-591)
People,"Hispanic or Latino and Race",Mexican,"97,677","(+/-3,784)","71,919","(+/-5,653)","58,112","(+/-5,767)","82,823","(+/-4,842)"
People,"Hispanic or Latino and Race","Puerto Rican","3,798","(+/-1,575)","4,255","(+/-1,830)","5,404","(+/-2,227)","5,308","(+/-2,949)"
People,"Hispanic or Latino and Race",Cuban,"1,598","(+/-1,289)",710,(+/-482),"2,143","(+/-1,177)","1,633","(+/-1,051)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,627","(+/-3,314)","19,176","(+/-3,676)","15,349","(+/-3,251)","16,144","(+/-4,200)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","607,549","(+/-2,175)","629,870","(+/-5,566)","668,213","(+/-4,656)","633,239","(+/-2,017)"
People,"Place of Birth","Total population","726,249","(+/-2,287)","725,930","(+/-7,474)","749,221","(+/-6,596)","739,147","(+/-2,100)"
People,"Place of Birth",Native,"674,364","(+/-4,184)","679,071","(+/-7,915)","689,071","(+/-7,630)","690,620","(+/-3,557)"
People,"Place of Birth","Born in United States","668,499","(+/-4,085)","670,719","(+/-7,725)","680,007","(+/-7,280)","683,210","(+/-4,279)"
People,"Place of Birth","State of residence","458,778","(+/-6,688)","441,594","(+/-8,504)","355,851","(+/-10,389)","486,989","(+/-7,525)"
People,"Place of Birth","Different state","209,721","(+/-7,147)","229,125","(+/-8,402)","324,156","(+/-9,072)","196,221","(+/-7,561)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,865","(+/-1,475)","8,352","(+/-1,663)","9,064","(+/-2,374)","7,410","(+/-2,239)"
People,"Place of Birth","Foreign born","51,885","(+/-3,627)","46,859","(+/-3,735)","60,150","(+/-4,320)","48,527","(+/-3,266)"
People,Ancestry,"Total population","726,249","(+/-2,287)","725,930","(+/-7,474)","749,221","(+/-6,596)","739,147","(+/-2,100)"
People,Ancestry,American,"35,883","(+/-4,161)","45,008","(+/-4,694)","38,582","(+/-5,261)","42,665","(+/-4,581)"
People,Ancestry,Arab,"1,472","(+/-1,428)","1,145",(+/-797),"2,957","(+/-1,316)","3,155","(+/-1,232)"
People,Ancestry,Czech,"8,101","(+/-1,598)","3,021","(+/-1,103)","5,539","(+/-1,483)","3,926","(+/-1,361)"
People,Ancestry,Danish,"2,605",(+/-672),"1,753",(+/-642),"3,667",(+/-982),"1,891",(+/-797)
People,Ancestry,Dutch,"12,281","(+/-2,494)","8,155","(+/-1,712)","7,624","(+/-1,596)","9,018","(+/-2,319)"
People,Ancestry,English,"75,038","(+/-5,493)","84,536","(+/-5,369)","105,270","(+/-6,479)","70,114","(+/-5,080)"
People,Ancestry,"French (except Basque)","15,751","(+/-1,804)","11,325","(+/-1,679)","15,494","(+/-2,976)","12,464","(+/-2,129)"
People,Ancestry,"French Canadian","1,449",(+/-512),"1,623",(+/-760),"2,564","(+/-1,738)","1,249",(+/-654)
People,Ancestry,German,"201,889","(+/-7,360)","145,892","(+/-6,912)","177,201","(+/-9,766)","156,703","(+/-6,696)"
People,Ancestry,Greek,500,(+/-312),625,(+/-381),"2,059",(+/-878),"1,144",(+/-624)
People,Ancestry,Hungarian,"1,170",(+/-565),892,(+/-518),"1,242",(+/-559),767,(+/-643)
People,Ancestry,Irish,"70,210","(+/-4,690)","74,716","(+/-5,352)","99,218","(+/-6,629)","67,143","(+/-6,042)"
People,Ancestry,Italian,"12,436","(+/-2,764)","13,558","(+/-3,370)","21,006","(+/-2,644)","11,286","(+/-2,241)"
People,Ancestry,Lithuanian,287,(+/-245),560,(+/-752),"1,068",(+/-654),160,(+/-148)
People,Ancestry,Norwegian,"5,651","(+/-1,250)","5,698","(+/-1,469)","8,730","(+/-2,352)","3,929","(+/-1,268)"
People,Ancestry,Polish,"8,609","(+/-1,730)","10,739","(+/-2,585)","14,206","(+/-2,656)","5,681","(+/-1,242)"
People,Ancestry,Portuguese,644,(+/-526),199,(+/-153),787,(+/-545),112,(+/-139)
People,Ancestry,Russian,"4,358","(+/-1,008)","1,697",(+/-550),"4,534","(+/-1,381)","2,468",(+/-900)
People,Ancestry,Scotch-Irish,"6,487","(+/-1,486)","4,947","(+/-1,469)","6,455","(+/-1,569)","8,263","(+/-2,194)"
People,Ancestry,Scottish,"13,823","(+/-2,446)","13,586","(+/-2,245)","14,343","(+/-2,280)","15,005","(+/-2,950)"
People,Ancestry,Slovak,228,(+/-189),292,(+/-194),493,(+/-361),506,(+/-471)
People,Ancestry,"Subsaharan African","6,576","(+/-1,785)","5,066","(+/-1,834)","6,250","(+/-1,650)","5,283","(+/-2,328)"
People,Ancestry,Swedish,"16,825","(+/-2,260)","10,175","(+/-1,879)","11,224","(+/-2,185)","8,691","(+/-1,350)"
People,Ancestry,Swiss,"3,559","(+/-1,073)","3,756","(+/-2,122)","2,446",(+/-835),"2,966","(+/-1,351)"
People,Ancestry,Ukrainian,915,(+/-673),"1,103",(+/-860),"1,128",(+/-600),825,(+/-516)
People,Ancestry,Welsh,"3,900","(+/-1,027)","4,904","(+/-1,315)","4,849","(+/-1,481)","3,318",(+/-949)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,670",(+/-990),"2,092",(+/-948),895,(+/-572),810,(+/-610)
People,"Veteran Status","Civilian population 18 years and over","559,300","(+/-2,691)","545,496","(+/-4,631)","572,097","(+/-3,888)","554,792","(+/-2,116)"
People,"Veteran Status","Civilian veterans","33,440","(+/-2,457)","45,753","(+/-2,653)","28,249","(+/-2,298)","36,280","(+/-2,583)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","704,526","(+/-2,593)","704,324","(+/-7,689)","743,600","(+/-6,609)","724,171","(+/-2,549)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","94,278","(+/-4,603)","122,384","(+/-5,402)","78,344","(+/-4,846)","104,929","(+/-4,920)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","158,616","(+/-2,203)","170,677","(+/-4,084)","176,741","(+/-3,691)","179,912","(+/-1,037)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,905","(+/-1,325)","11,208","(+/-1,706)","6,584","(+/-1,567)","7,599","(+/-1,873)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","421,715","(+/-3,129)","400,698","(+/-4,814)","447,797","(+/-3,655)","420,052","(+/-2,051)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,858","(+/-3,599)","62,916","(+/-4,190)","39,666","(+/-4,211)","55,615","(+/-4,082)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","124,195","(+/-2,170)","132,949","(+/-2,199)","119,062","(+/-1,208)","124,207","(+/-1,049)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","40,515","(+/-2,487)","48,260","(+/-2,830)","32,094","(+/-2,556)","41,715","(+/-2,333)"
People,"Residence 1 Year Ago","Population 1 year and over","718,420","(+/-2,645)","717,764","(+/-7,376)","740,121","(+/-6,536)","731,430","(+/-2,362)"
People,"Residence 1 Year Ago","Same house","606,493","(+/-7,192)","613,141","(+/-10,519)","656,834","(+/-9,292)","629,930","(+/-8,858)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","111,927","(+/-6,533)","104,623","(+/-8,181)","83,287","(+/-7,124)","101,500","(+/-8,467)"
People,"Residence 1 Year Ago","Different house in the U.S.","106,314","(+/-6,616)","97,665","(+/-8,282)","79,138","(+/-6,699)","97,158","(+/-8,448)"
People,"Residence 1 Year Ago","Same county","49,347","(+/-4,360)","52,340","(+/-5,898)","45,233","(+/-6,297)","63,470","(+/-7,533)"
People,"Residence 1 Year Ago","Different county","56,967","(+/-4,989)","45,325","(+/-5,661)","33,905","(+/-4,087)","33,688","(+/-4,610)"
People,"Residence 1 Year Ago","Same state","35,126","(+/-4,494)","26,007","(+/-4,540)","11,934","(+/-2,737)","19,680","(+/-3,478)"
People,"Residence 1 Year Ago","Different state","21,841","(+/-2,950)","19,318","(+/-3,261)","21,971","(+/-3,243)","14,008","(+/-2,668)"
People,"Residence 1 Year Ago",Abroad,"5,613","(+/-2,089)","6,958","(+/-2,090)","4,149","(+/-1,799)","4,342","(+/-1,631)"
Workers,"Employment Status","Population 16 years and over","588,083","(+/-2,346)","575,181","(+/-4,966)","595,764","(+/-4,527)","580,488","(+/-2,350)"
Workers,"Employment Status","In labor force","387,951","(+/-6,284)","362,511","(+/-6,019)","420,978","(+/-5,965)","378,118","(+/-5,358)"
Workers,"Employment Status","Civilian labor force","379,694","(+/-6,089)","353,119","(+/-6,064)","420,654","(+/-5,997)","373,993","(+/-5,320)"
Workers,"Employment Status",Employed,"366,657","(+/-6,026)","339,775","(+/-6,203)","409,684","(+/-6,315)","361,477","(+/-5,404)"
Workers,"Employment Status",Unemployed,"13,037","(+/-2,096)","13,344","(+/-2,090)","10,970","(+/-2,050)","12,516","(+/-2,325)"
Workers,"Employment Status","Armed Forces","8,257","(+/-1,402)","9,392","(+/-1,387)",324,(+/-257),"4,125","(+/-1,284)"
Workers,"Employment Status","Not in labor force","200,132","(+/-6,231)","212,670","(+/-4,967)","174,786","(+/-4,747)","202,370","(+/-5,408)"
Workers,"Employment Status","Civilian labor force","379,694","(+/-6,089)","353,119","(+/-6,064)","420,654","(+/-5,997)","373,993","(+/-5,320)"
Workers,"Employment Status","Unemployment Rate",3.4,(+/-0.5),3.8,(+/-0.6),2.6,(+/-0.5),3.3,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","370,493","(+/-6,114)","343,216","(+/-6,480)","404,357","(+/-6,362)","359,002","(+/-5,346)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","282,992","(+/-6,191)","260,242","(+/-6,096)","299,323","(+/-6,705)","289,259","(+/-5,697)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,521","(+/-2,884)","37,144","(+/-3,733)","27,286","(+/-3,801)","33,557","(+/-3,397)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,217",(+/-816),"1,597","(+/-1,170)",590,(+/-398),"1,892",(+/-821)
Workers,"Commuting to Work",Walked,"17,531","(+/-1,868)","10,615","(+/-2,012)","3,788","(+/-1,174)","5,123","(+/-1,048)"
Workers,"Commuting to Work","Other means","4,248","(+/-1,081)","5,349","(+/-1,211)","4,788","(+/-1,296)","4,551","(+/-1,159)"
Workers,"Commuting to Work","Worked from home","31,984","(+/-3,337)","28,269","(+/-2,625)","68,582","(+/-4,209)","24,620","(+/-2,619)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",18.1,(+/-0.6),20.2,(+/-0.7),21.4,(+/-0.4),20.1,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","366,657","(+/-6,026)","339,775","(+/-6,203)","409,684","(+/-6,315)","361,477","(+/-5,404)"
Workers,Occupation,"Management, business, science, and arts occupations","143,453","(+/-5,781)","124,950","(+/-4,628)","222,657","(+/-6,495)","138,336","(+/-5,878)"
Workers,Occupation,"Service occupations","58,144","(+/-3,224)","58,513","(+/-3,933)","48,852","(+/-3,915)","60,023","(+/-3,849)"
Workers,Occupation,"Sales and office occupations","66,791","(+/-4,686)","62,587","(+/-4,024)","77,915","(+/-4,896)","73,422","(+/-4,717)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","42,508","(+/-3,530)","33,659","(+/-2,739)","20,838","(+/-2,264)","37,033","(+/-2,952)"
Workers,Occupation,"Production, transportation, and material moving occupations","55,761","(+/-4,587)","60,066","(+/-4,398)","39,422","(+/-3,506)","52,663","(+/-3,690)"
Workers,Industry,"Civilian employed population 16 years and over","366,657","(+/-6,026)","339,775","(+/-6,203)","409,684","(+/-6,315)","361,477","(+/-5,404)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","25,476","(+/-2,665)","9,798","(+/-1,337)","3,787","(+/-1,018)","9,657","(+/-1,505)"
Workers,Industry,Construction,"25,169","(+/-2,432)","22,739","(+/-2,366)","23,872","(+/-2,371)","23,374","(+/-2,983)"
Workers,Industry,Manufacturing,"42,877","(+/-2,983)","41,765","(+/-3,477)","36,434","(+/-3,092)","57,798","(+/-4,080)"
Workers,Industry,"Wholesale trade","5,955","(+/-1,208)","6,532","(+/-1,213)","12,320","(+/-2,030)","7,342","(+/-1,566)"
Workers,Industry,"Retail trade","38,849","(+/-3,240)","39,243","(+/-3,473)","41,500","(+/-3,455)","39,119","(+/-3,771)"
Workers,Industry,"Transportation and warehousing, and utilities","17,152","(+/-1,817)","22,695","(+/-2,555)","23,877","(+/-3,028)","21,697","(+/-2,450)"
Workers,Industry,Information,"5,108","(+/-1,170)","5,076","(+/-1,110)","10,818","(+/-1,670)","5,086","(+/-1,615)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","18,096","(+/-2,274)","18,340","(+/-1,779)","42,277","(+/-3,150)","21,524","(+/-2,768)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","27,096","(+/-2,312)","27,405","(+/-2,780)","64,444","(+/-3,980)","32,733","(+/-3,155)"
Workers,Industry,"Educational services, and health care and social assistance","97,797","(+/-4,458)","87,603","(+/-4,764)","94,212","(+/-4,601)","86,842","(+/-4,570)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","24,879","(+/-2,419)","23,258","(+/-2,563)","28,652","(+/-2,773)","27,779","(+/-2,909)"
Workers,Industry,"Other services, except public administration","17,858","(+/-2,133)","12,477","(+/-1,597)","14,919","(+/-2,219)","15,388","(+/-1,796)"
Workers,Industry,"Public administration","20,345","(+/-2,298)","22,844","(+/-2,242)","12,572","(+/-1,860)","13,138","(+/-1,998)"
Workers,"Class of Worker","Civilian employed population 16 years and over","366,657","(+/-6,026)","339,775","(+/-6,203)","409,684","(+/-6,315)","361,477","(+/-5,404)"
Workers,"Class of Worker","Private wage and salary workers","261,700","(+/-5,864)","251,188","(+/-6,708)","336,576","(+/-7,032)","287,835","(+/-5,713)"
Workers,"Class of Worker","Government workers","76,664","(+/-3,920)","68,079","(+/-4,039)","50,266","(+/-3,984)","53,986","(+/-4,060)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","27,460","(+/-2,304)","19,546","(+/-2,462)","21,690","(+/-2,391)","19,257","(+/-2,057)"
Workers,"Class of Worker","Unpaid family workers",833,(+/-416),962,(+/-620),"1,152",(+/-656),399,(+/-251)
Housing,"Housing Occupancy","Total housing units","331,241","(+/-1,543)","327,442","(+/-2,467)","315,132","(+/-1,939)","326,116",(+/-871)
Housing,"Housing Occupancy","Occupied housing units","296,099","(+/-2,970)","294,366","(+/-3,890)","301,039","(+/-3,151)","296,836","(+/-3,079)"
Housing,"Housing Occupancy","Vacant housing units","35,142","(+/-3,037)","33,076","(+/-3,151)","14,093","(+/-2,428)","29,280","(+/-3,099)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,(+/-0.5),1.2,(+/-0.4),0.6,(+/-0.3),0.8,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",5.4,(+/-1.3),6.2,(+/-1.5),4.5,(+/-1.6),5.1,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","296,099","(+/-2,970)","294,366","(+/-3,890)","301,039","(+/-3,151)","296,836","(+/-3,079)"
Housing,"Housing Tenure",Owner-occupied,"193,721","(+/-3,640)","202,751","(+/-4,080)","200,661","(+/-3,850)","195,233","(+/-4,750)"
Housing,"Housing Tenure",Renter-occupied,"102,378","(+/-3,716)","91,615","(+/-4,219)","100,378","(+/-4,052)","101,603","(+/-4,260)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.46,(+/-0.03),2.49,(+/-0.04),2.72,(+/-0.04),2.59,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.06,(+/-0.06),2.16,(+/-0.08),1.95,(+/-0.06),2.12,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","296,099","(+/-2,970)","294,366","(+/-3,890)","301,039","(+/-3,151)","296,836","(+/-3,079)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","83,913","(+/-4,028)","78,402","(+/-3,298)","86,041","(+/-4,405)","80,733","(+/-3,648)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","54,801","(+/-3,627)","52,832","(+/-3,075)","58,632","(+/-4,081)","57,704","(+/-3,490)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","59,190","(+/-3,579)","61,230","(+/-2,992)","69,065","(+/-3,797)","67,386","(+/-4,180)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","42,553","(+/-2,511)","43,777","(+/-2,997)","43,057","(+/-2,658)","41,396","(+/-2,659)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","26,412","(+/-1,983)","26,483","(+/-2,086)","26,480","(+/-2,241)","25,614","(+/-2,156)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","29,230","(+/-1,750)","31,642","(+/-2,099)","17,764","(+/-1,731)","24,003","(+/-1,870)"
Housing,Value,"Owner-occupied units","193,721","(+/-3,640)","202,751","(+/-4,080)","200,661","(+/-3,850)","195,233","(+/-4,750)"
Housing,Value,"Less than $50,000","20,522","(+/-1,835)","24,828","(+/-2,172)","8,034","(+/-1,613)","16,475","(+/-1,869)"
Housing,Value,"$50,000 to $99,999","32,104","(+/-2,333)","33,500","(+/-2,177)","5,328","(+/-1,251)","27,082","(+/-2,295)"
Housing,Value,"$100,000 to $149,999","26,303","(+/-2,214)","30,938","(+/-2,880)","6,549","(+/-1,340)","25,717","(+/-2,108)"
Housing,Value,"$150,000 to $199,999","32,128","(+/-2,261)","29,664","(+/-2,420)","10,016","(+/-1,416)","30,750","(+/-2,760)"
Housing,Value,"$200,000 to $299,999","39,994","(+/-2,795)","39,499","(+/-2,649)","37,360","(+/-2,762)","49,811","(+/-3,061)"
Housing,Value,"$300,000 to $499,999","32,364","(+/-2,215)","32,111","(+/-2,390)","81,130","(+/-3,861)","31,662","(+/-2,456)"
Housing,Value,"$500,000 to $999,999","9,058","(+/-1,320)","10,440","(+/-1,420)","44,358","(+/-2,771)","11,507","(+/-1,440)"
Housing,Value,"$1,000,000 or more","1,248",(+/-417),"1,771",(+/-596),"7,886","(+/-1,386)","2,229",(+/-705)
Housing,Value,"Median (dollars)","173,400","(+/-3,999)","168,100","(+/-4,368)","364,700","(+/-4,797)","194,900","(+/-5,265)"
Housing,"Mortgage Status","Owner-occupied units","193,721","(+/-3,640)","202,751","(+/-4,080)","200,661","(+/-3,850)","195,233","(+/-4,750)"
Housing,"Mortgage Status","Housing units with a mortgage","100,812","(+/-3,821)","106,148","(+/-4,357)","133,996","(+/-3,815)","111,190","(+/-4,092)"
Housing,"Mortgage Status","Housing units without a mortgage","92,909","(+/-3,319)","96,603","(+/-3,459)","66,665","(+/-3,508)","84,043","(+/-3,849)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","100,812","(+/-3,821)","106,148","(+/-4,357)","133,996","(+/-3,815)","111,190","(+/-4,092)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",750,(+/-323),701,(+/-371),371,(+/-301),"1,111",(+/-514)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","19,293","(+/-1,883)","19,627","(+/-2,175)","6,309","(+/-1,210)","20,080","(+/-1,961)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","35,482","(+/-2,600)","35,048","(+/-2,854)","22,878","(+/-2,110)","32,464","(+/-2,214)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","22,934","(+/-2,464)","25,458","(+/-2,261)","32,758","(+/-2,990)","29,266","(+/-2,434)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,058","(+/-1,430)","14,178","(+/-1,664)","26,852","(+/-1,945)","14,610","(+/-2,045)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","4,756","(+/-1,058)","5,703","(+/-1,308)","17,610","(+/-1,856)","5,892","(+/-1,159)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","4,539","(+/-1,011)","5,433","(+/-1,316)","27,218","(+/-2,405)","7,767","(+/-1,356)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,415",(+/-37),"1,464",(+/-35),"2,087",(+/-46),"1,530",(+/-34)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","92,909","(+/-3,319)","96,603","(+/-3,459)","66,665","(+/-3,508)","84,043","(+/-3,849)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","4,672",(+/-839),"5,372","(+/-1,213)","1,748",(+/-697),"4,116","(+/-1,022)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","13,862","(+/-1,882)","15,714","(+/-1,498)","3,104",(+/-933),"10,847","(+/-1,379)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","26,735","(+/-2,108)","28,172","(+/-2,169)","11,311","(+/-1,587)","26,741","(+/-2,329)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","23,561","(+/-2,019)","24,394","(+/-2,278)","16,268","(+/-1,807)","21,410","(+/-2,157)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","11,502","(+/-1,287)","11,927","(+/-1,691)","14,340","(+/-1,960)","10,099","(+/-1,104)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","12,577","(+/-1,262)","11,024","(+/-1,611)","19,894","(+/-2,052)","10,830","(+/-1,499)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",609,(+/-15),594,(+/-15),811,(+/-24),604,(+/-18)
Housing,"Gross Rent","Occupied units paying rent","94,480","(+/-3,527)","85,131","(+/-4,454)","98,372","(+/-4,055)","96,639","(+/-4,273)"
Housing,"Gross Rent","Less than $500","8,099","(+/-1,268)","9,188","(+/-1,583)","2,861",(+/-854),"5,426",(+/-994)
Housing,"Gross Rent","$500 to $999","47,678","(+/-3,370)","38,774","(+/-3,121)","14,275","(+/-2,003)","49,226","(+/-3,301)"
Housing,"Gross Rent","$1,000 to $1,499","27,646","(+/-2,981)","26,044","(+/-3,197)","42,386","(+/-3,578)","32,181","(+/-3,225)"
Housing,"Gross Rent","$1,500 to $1,999","8,385","(+/-1,685)","7,250","(+/-1,464)","25,875","(+/-2,734)","7,556","(+/-1,591)"
Housing,"Gross Rent","$2,000 to $2,499","1,575",(+/-851),"2,804",(+/-971),"9,041","(+/-1,637)","1,262",(+/-716)
Housing,"Gross Rent","$2,500 to $2,999",337,(+/-312),280,(+/-207),"1,152",(+/-323),140,(+/-172)
Housing,"Gross Rent","$3,000 or more",760,(+/-461),791,(+/-425),"2,782",(+/-917),848,(+/-348)
Housing,"Gross Rent","Median (dollars)",886,(+/-24),943,(+/-21),"1,361",(+/-36),947,(+/-22)
Housing,"Gross Rent","No rent paid","7,898","(+/-1,327)","6,484","(+/-1,247)","2,006",(+/-623),"4,964","(+/-1,051)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","296,099","(+/-2,970)","294,366","(+/-3,890)","301,039","(+/-3,151)","296,836","(+/-3,079)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","14,146","(+/-2,071)","16,151","(+/-2,484)","10,316","(+/-1,716)","13,710","(+/-2,134)"
