Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Hispanic or Latino and Race","Puerto Rican","2,808","(+/-1,143)","2,102","(+/-1,191)","2,668","(+/-1,845)","1,929","(+/-1,089)"
People,"Hispanic or Latino and Race",Cuban,348,(+/-246),665,(+/-542),504,(+/-587),"2,651","(+/-1,381)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,234","(+/-2,253)","10,468","(+/-2,037)","20,897","(+/-4,592)","21,412","(+/-3,781)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","750,991","(+/-1,774)","759,067","(+/-1,754)","749,282","(+/-2,669)","713,516","(+/-2,433)"
People,"Place of Birth","Total population","798,244","(+/-1,704)","791,219","(+/-1,693)","821,239","(+/-2,652)","796,302","(+/-2,398)"
People,"Place of Birth",Native,"761,315","(+/-3,200)","759,239","(+/-3,900)","751,460","(+/-5,958)","746,385","(+/-3,962)"
People,"Place of Birth","Born in United States","756,910","(+/-3,461)","753,901","(+/-4,007)","746,008","(+/-6,150)","738,624","(+/-4,195)"
People,"Place of Birth","State of residence","550,144","(+/-7,073)","585,357","(+/-8,101)","561,619","(+/-9,171)","530,331","(+/-6,447)"
People,"Place of Birth","Different state","206,766","(+/-6,904)","168,544","(+/-7,389)","184,389","(+/-8,515)","208,293","(+/-5,779)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,405","(+/-1,222)","5,338","(+/-1,336)","5,452","(+/-2,001)","7,761","(+/-1,788)"
People,"Place of Birth","Foreign born","36,929","(+/-2,836)","31,980","(+/-3,608)","69,779","(+/-5,272)","49,917","(+/-3,259)"
People,Ancestry,"Total population","798,244","(+/-1,704)","791,219","(+/-1,693)","821,239","(+/-2,652)","796,302","(+/-2,398)"
People,Ancestry,American,"40,153","(+/-4,296)","44,395","(+/-3,874)","31,846","(+/-3,658)","51,587","(+/-4,937)"
People,Ancestry,Arab,"2,917","(+/-1,125)","1,197",(+/-610),"2,630","(+/-1,607)",629,(+/-327)
People,Ancestry,Czech,"9,100","(+/-1,615)","19,957","(+/-2,395)","4,986","(+/-1,177)","7,148","(+/-1,254)"
People,Ancestry,Danish,"6,351","(+/-1,654)","7,205","(+/-1,059)","13,506","(+/-3,197)","13,516","(+/-1,493)"
People,Ancestry,Dutch,"26,400","(+/-2,794)","15,135","(+/-2,730)","19,947","(+/-2,701)","38,587","(+/-3,125)"
People,Ancestry,English,"81,154","(+/-5,055)","74,037","(+/-5,783)","94,956","(+/-6,644)","64,938","(+/-4,088)"
People,Ancestry,"French (except Basque)","10,424","(+/-1,812)","11,135","(+/-1,657)","16,252","(+/-2,657)","10,329","(+/-1,815)"
People,Ancestry,"French Canadian","1,836",(+/-734),"1,219",(+/-564),"1,720","(+/-1,220)","1,350",(+/-586)
People,Ancestry,German,"235,874","(+/-8,081)","282,875","(+/-8,307)","199,479","(+/-10,088)","234,513","(+/-7,747)"
People,Ancestry,Greek,"2,588","(+/-1,153)","1,153",(+/-458),"1,364",(+/-751),763,(+/-450)
People,Ancestry,Hungarian,"1,204",(+/-706),413,(+/-248),822,(+/-669),285,(+/-240)
People,Ancestry,Irish,"113,307","(+/-7,249)","112,063","(+/-6,414)","109,213","(+/-8,784)","86,010","(+/-5,912)"
People,Ancestry,Italian,"17,897","(+/-2,539)","12,846","(+/-2,076)","22,432","(+/-3,423)","11,528","(+/-1,910)"
People,Ancestry,Lithuanian,569,(+/-407),"1,003",(+/-703),651,(+/-475),371,(+/-195)
People,Ancestry,Norwegian,"18,955","(+/-3,123)","47,359","(+/-4,020)","25,014","(+/-3,347)","40,935","(+/-3,261)"
People,Ancestry,Polish,"11,156","(+/-1,892)","8,325","(+/-1,949)","6,799","(+/-1,709)","8,891","(+/-2,032)"
People,Ancestry,Portuguese,332,(+/-384),146,(+/-117),98,(+/-95),815,(+/-732)
People,Ancestry,Russian,"1,547",(+/-805),"1,527","(+/-1,094)","1,539",(+/-799),931,(+/-496)
People,Ancestry,Scotch-Irish,"7,881","(+/-1,778)","4,550","(+/-1,209)","4,184",(+/-984),"4,953","(+/-1,316)"
People,Ancestry,Scottish,"12,611","(+/-1,797)","9,969","(+/-1,863)","16,223","(+/-2,969)","9,047","(+/-1,515)"
People,Ancestry,Slovak,760,(+/-521),92,(+/-110),14,(+/-18),202,(+/-198)
People,Ancestry,"Subsaharan African","11,162","(+/-2,554)","8,271","(+/-2,537)","22,118","(+/-4,694)","5,429","(+/-1,724)"
People,Ancestry,Swedish,"17,528","(+/-2,426)","11,179","(+/-1,827)","18,640","(+/-2,469)","17,364","(+/-1,710)"
People,Ancestry,Swiss,"5,004","(+/-1,405)","4,454","(+/-1,292)","2,540","(+/-1,410)","2,729","(+/-1,143)"
People,Ancestry,Ukrainian,296,(+/-233),942,(+/-549),440,(+/-284),368,(+/-275)
People,Ancestry,Welsh,"4,053",(+/-899),"4,235","(+/-1,496)","7,548","(+/-2,401)","3,618",(+/-915)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,880",(+/-955),969,(+/-896),932,(+/-670),185,(+/-202)
People,"Veteran Status","Civilian population 18 years and over","624,718","(+/-1,721)","616,626","(+/-1,737)","622,454","(+/-1,930)","615,895","(+/-2,311)"
People,"Veteran Status","Civilian veterans","41,551","(+/-2,861)","41,431","(+/-3,004)","37,252","(+/-3,614)","40,203","(+/-2,533)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","785,978","(+/-1,772)","781,120","(+/-1,714)","811,468","(+/-2,634)","783,482","(+/-2,435)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","101,575","(+/-3,966)","107,318","(+/-4,616)","102,657","(+/-4,982)","106,609","(+/-4,600)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","173,128",(+/-998),"173,888","(+/-1,518)","197,772","(+/-1,436)","179,831","(+/-2,094)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","8,430","(+/-1,288)","8,825","(+/-1,919)","9,554","(+/-1,638)","8,446","(+/-1,504)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","469,177","(+/-2,067)","454,454","(+/-1,911)","488,137","(+/-1,947)","457,175","(+/-2,290)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","52,587","(+/-3,618)","53,216","(+/-3,478)","54,422","(+/-4,030)","53,958","(+/-3,349)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","143,673","(+/-1,362)","152,778","(+/-1,254)","125,559","(+/-1,293)","146,476","(+/-1,631)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","40,558","(+/-2,039)","45,277","(+/-2,369)","38,681","(+/-2,827)","44,205","(+/-2,091)"
People,"Residence 1 Year Ago","Population 1 year and over","788,335","(+/-2,257)","782,382","(+/-2,183)","811,533","(+/-3,005)","788,303","(+/-2,821)"
People,"Residence 1 Year Ago","Same house","682,159","(+/-7,566)","694,229","(+/-6,265)","698,447","(+/-9,266)","699,499","(+/-6,713)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","106,176","(+/-7,330)","88,153","(+/-5,967)","113,086","(+/-8,761)","88,804","(+/-5,860)"
People,"Residence 1 Year Ago","Different house in the U.S.","102,687","(+/-7,340)","84,767","(+/-6,160)","106,112","(+/-8,513)","85,531","(+/-5,766)"
People,"Residence 1 Year Ago","Same county","54,263","(+/-6,306)","45,410","(+/-5,199)","57,778","(+/-6,776)","39,458","(+/-3,911)"
People,"Residence 1 Year Ago","Different county","48,424","(+/-4,290)","39,357","(+/-3,922)","48,334","(+/-5,644)","46,073","(+/-3,652)"
People,"Residence 1 Year Ago","Same state","30,000","(+/-3,206)","22,387","(+/-2,647)","32,615","(+/-4,430)","24,010","(+/-2,861)"
People,"Residence 1 Year Ago","Different state","18,424","(+/-2,681)","16,970","(+/-3,039)","15,719","(+/-3,247)","22,063","(+/-2,707)"
People,"Residence 1 Year Ago",Abroad,"3,489",(+/-938),"3,386","(+/-1,306)","6,974","(+/-3,431)","3,273","(+/-1,175)"
Workers,"Employment Status","Population 16 years and over","645,125","(+/-2,204)","638,435","(+/-2,135)","647,969","(+/-2,623)","639,058","(+/-2,557)"
Workers,"Employment Status","In labor force","422,161","(+/-4,913)","416,828","(+/-5,677)","449,070","(+/-5,304)","415,158","(+/-5,392)"
Workers,"Employment Status","Civilian labor force","421,818","(+/-4,962)","416,570","(+/-5,660)","448,346","(+/-5,369)","414,719","(+/-5,450)"
Workers,"Employment Status",Employed,"410,230","(+/-5,360)","405,507","(+/-5,739)","434,183","(+/-6,004)","404,360","(+/-5,706)"
Workers,"Employment Status",Unemployed,"11,588","(+/-2,000)","11,063","(+/-1,849)","14,163","(+/-2,609)","10,359","(+/-1,380)"
Workers,"Employment Status","Armed Forces",343,(+/-269),258,(+/-187),724,(+/-416),439,(+/-315)
Workers,"Employment Status","Not in labor force","222,964","(+/-5,083)","221,607","(+/-5,456)","198,899","(+/-5,130)","223,900","(+/-4,815)"
Workers,"Employment Status","Civilian labor force","421,818","(+/-4,962)","416,570","(+/-5,660)","448,346","(+/-5,369)","414,719","(+/-5,450)"
Workers,"Employment Status","Unemployment Rate",2.7,(+/-0.5),2.7,(+/-0.4),3.2,(+/-0.6),2.5,(+/-0.3)
Workers,"Commuting to Work","Workers 16 years and over","402,663","(+/-5,418)","399,900","(+/-5,749)","427,573","(+/-6,045)","398,191","(+/-5,750)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","305,210","(+/-6,016)","310,760","(+/-7,145)","319,027","(+/-7,157)","306,023","(+/-6,770)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,497","(+/-3,546)","28,802","(+/-3,106)","36,810","(+/-4,147)","37,627","(+/-3,419)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","4,897","(+/-1,309)","1,927",(+/-820),"1,489",(+/-780),"3,940","(+/-1,147)"
Workers,"Commuting to Work",Walked,"13,749","(+/-2,285)","12,615","(+/-1,578)","6,975","(+/-1,808)","12,080","(+/-1,905)"
Workers,"Commuting to Work","Other means","5,782","(+/-1,001)","4,782","(+/-1,038)","8,906","(+/-2,130)","5,743","(+/-1,370)"
Workers,"Commuting to Work","Worked from home","42,528","(+/-2,868)","41,014","(+/-2,896)","54,366","(+/-3,761)","32,778","(+/-2,752)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.0,(+/-0.5),19.3,(+/-0.5),20.5,(+/-0.5),19.3,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","410,230","(+/-5,360)","405,507","(+/-5,739)","434,183","(+/-6,004)","404,360","(+/-5,706)"
Workers,Occupation,"Management, business, science, and arts occupations","162,544","(+/-5,226)","157,419","(+/-5,228)","191,059","(+/-6,430)","146,506","(+/-4,652)"
Workers,Occupation,"Service occupations","65,524","(+/-4,519)","60,374","(+/-3,571)","59,288","(+/-5,565)","65,118","(+/-3,987)"
Workers,Occupation,"Sales and office occupations","74,762","(+/-4,107)","78,700","(+/-4,439)","81,919","(+/-5,400)","74,295","(+/-4,188)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","38,417","(+/-2,863)","40,678","(+/-2,982)","42,010","(+/-3,668)","46,080","(+/-2,859)"
Workers,Occupation,"Production, transportation, and material moving occupations","68,983","(+/-3,875)","68,336","(+/-3,878)","59,907","(+/-3,633)","72,361","(+/-4,278)"
Workers,Industry,"Civilian employed population 16 years and over","410,230","(+/-5,360)","405,507","(+/-5,739)","434,183","(+/-6,004)","404,360","(+/-5,706)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","11,171","(+/-1,592)","14,306","(+/-1,619)","9,804","(+/-1,460)","24,913","(+/-2,397)"
Workers,Industry,Construction,"26,544","(+/-2,340)","28,883","(+/-2,684)","35,089","(+/-4,068)","29,453","(+/-2,359)"
Workers,Industry,Manufacturing,"66,937","(+/-3,963)","68,582","(+/-4,331)","47,736","(+/-3,389)","62,287","(+/-3,626)"
Workers,Industry,"Wholesale trade","9,238","(+/-1,579)","8,934","(+/-1,390)","11,345","(+/-1,859)","9,849","(+/-1,253)"
Workers,Industry,"Retail trade","45,621","(+/-3,739)","44,694","(+/-3,148)","45,100","(+/-3,470)","46,518","(+/-3,098)"
Workers,Industry,"Transportation and warehousing, and utilities","21,102","(+/-2,451)","21,111","(+/-2,393)","23,132","(+/-2,708)","22,706","(+/-2,188)"
Workers,Industry,Information,"5,491","(+/-1,251)","6,061","(+/-1,197)","6,778","(+/-1,638)","4,771",(+/-957)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","23,199","(+/-2,404)","26,167","(+/-2,655)","50,597","(+/-3,443)","21,043","(+/-2,251)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","29,627","(+/-2,826)","29,673","(+/-2,614)","43,307","(+/-3,797)","25,662","(+/-2,562)"
Workers,Industry,"Educational services, and health care and social assistance","108,709","(+/-5,172)","96,931","(+/-4,921)","92,087","(+/-4,913)","102,068","(+/-4,379)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","28,203","(+/-2,855)","30,956","(+/-3,176)","33,482","(+/-4,215)","25,722","(+/-2,515)"
Workers,Industry,"Other services, except public administration","17,885","(+/-2,187)","17,798","(+/-2,045)","20,146","(+/-2,640)","16,047","(+/-1,586)"
Workers,Industry,"Public administration","16,503","(+/-2,124)","11,411","(+/-1,606)","15,580","(+/-2,023)","13,321","(+/-1,507)"
Workers,"Class of Worker","Civilian employed population 16 years and over","410,230","(+/-5,360)","405,507","(+/-5,739)","434,183","(+/-6,004)","404,360","(+/-5,706)"
Workers,"Class of Worker","Private wage and salary workers","312,593","(+/-6,211)","326,923","(+/-5,509)","352,403","(+/-6,877)","308,407","(+/-6,335)"
Workers,"Class of Worker","Government workers","71,413","(+/-5,021)","52,994","(+/-3,553)","56,915","(+/-3,741)","63,329","(+/-3,674)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","25,605","(+/-2,887)","24,849","(+/-2,169)","23,930","(+/-2,483)","31,684","(+/-2,287)"
Workers,"Class of Worker","Unpaid family workers",619,(+/-324),741,(+/-486),935,(+/-683),940,(+/-705)
Housing,"Housing Occupancy","Total housing units","358,602",(+/-875),"364,947",(+/-830),"366,368","(+/-1,018)","358,819","(+/-1,306)"
Housing,"Housing Occupancy","Occupied housing units","334,808","(+/-2,917)","334,713","(+/-3,449)","338,434","(+/-3,427)","329,288","(+/-2,965)"
Housing,"Housing Occupancy","Vacant housing units","23,794","(+/-2,735)","30,234","(+/-3,490)","27,934","(+/-3,382)","29,531","(+/-2,946)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.3),0.8,(+/-0.4),0.5,(+/-0.3),0.6,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",7.1,(+/-1.6),5.3,(+/-1.7),4.7,(+/-1.4),3.8,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","334,808","(+/-2,917)","334,713","(+/-3,449)","338,434","(+/-3,427)","329,288","(+/-2,965)"
Housing,"Housing Tenure",Owner-occupied,"239,837","(+/-4,642)","248,476","(+/-4,758)","233,501","(+/-5,548)","237,929","(+/-3,846)"
Housing,"Housing Tenure",Renter-occupied,"94,971","(+/-4,282)","86,237","(+/-4,126)","104,933","(+/-4,618)","91,359","(+/-3,369)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.44,(+/-0.03),2.42,(+/-0.04),2.54,(+/-0.04),2.45,(+/-0.03)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.95,(+/-0.06),1.91,(+/-0.08),2.04,(+/-0.08),1.97,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","334,808","(+/-2,917)","334,713","(+/-3,449)","338,434","(+/-3,427)","329,288","(+/-2,965)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","83,179","(+/-3,750)","78,301","(+/-3,909)","98,296","(+/-4,474)","80,324","(+/-3,472)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","61,667","(+/-2,998)","56,091","(+/-2,983)","64,553","(+/-4,125)","55,571","(+/-3,107)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","75,266","(+/-3,623)","76,162","(+/-3,567)","75,490","(+/-3,713)","72,281","(+/-3,538)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","47,403","(+/-2,946)","52,478","(+/-2,975)","48,840","(+/-2,885)","52,999","(+/-3,031)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","32,155","(+/-2,267)","33,097","(+/-2,217)","26,431","(+/-2,133)","31,926","(+/-2,183)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","35,138","(+/-1,926)","38,584","(+/-2,392)","24,824","(+/-2,015)","36,187","(+/-1,900)"
Housing,Value,"Owner-occupied units","239,837","(+/-4,642)","248,476","(+/-4,758)","233,501","(+/-5,548)","237,929","(+/-3,846)"
Housing,Value,"Less than $50,000","14,741","(+/-1,812)","14,373","(+/-1,448)","13,505","(+/-1,448)","19,095","(+/-1,714)"
Housing,Value,"$50,000 to $99,999","26,300","(+/-2,412)","25,045","(+/-1,807)","18,973","(+/-2,027)","34,399","(+/-2,393)"
Housing,Value,"$100,000 to $149,999","33,782","(+/-2,656)","37,236","(+/-3,061)","22,622","(+/-2,258)","36,411","(+/-2,558)"
Housing,Value,"$150,000 to $199,999","34,306","(+/-2,493)","45,807","(+/-2,961)","31,470","(+/-2,514)","39,476","(+/-2,489)"
Housing,Value,"$200,000 to $299,999","54,385","(+/-3,148)","60,425","(+/-3,766)","55,833","(+/-3,509)","48,732","(+/-2,702)"
Housing,Value,"$300,000 to $499,999","53,418","(+/-3,185)","49,125","(+/-2,641)","64,336","(+/-3,694)","42,587","(+/-2,165)"
Housing,Value,"$500,000 to $999,999","19,713","(+/-2,143)","12,708","(+/-1,657)","22,668","(+/-2,361)","14,572","(+/-1,543)"
Housing,Value,"$1,000,000 or more","3,192",(+/-793),"3,757",(+/-798),"4,094","(+/-1,245)","2,657",(+/-783)
Housing,Value,"Median (dollars)","218,600","(+/-5,486)","202,600","(+/-4,660)","248,300","(+/-5,387)","182,700","(+/-4,721)"
Housing,"Mortgage Status","Owner-occupied units","239,837","(+/-4,642)","248,476","(+/-4,758)","233,501","(+/-5,548)","237,929","(+/-3,846)"
Housing,"Mortgage Status","Housing units with a mortgage","141,955","(+/-4,697)","148,403","(+/-4,492)","149,842","(+/-5,476)","128,548","(+/-3,859)"
Housing,"Mortgage Status","Housing units without a mortgage","97,882","(+/-3,471)","100,073","(+/-3,328)","83,659","(+/-3,423)","109,381","(+/-3,577)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","141,955","(+/-4,697)","148,403","(+/-4,492)","149,842","(+/-5,476)","128,548","(+/-3,859)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,503",(+/-659),986,(+/-370),"1,245",(+/-588),"1,626",(+/-467)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","25,478","(+/-2,104)","30,509","(+/-2,742)","18,935","(+/-2,040)","27,997","(+/-2,269)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","44,270","(+/-3,128)","50,372","(+/-3,101)","42,751","(+/-3,193)","44,779","(+/-2,730)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","32,418","(+/-2,649)","33,285","(+/-2,700)","39,246","(+/-3,704)","28,595","(+/-2,301)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","18,485","(+/-2,168)","18,089","(+/-1,900)","21,975","(+/-2,723)","13,482","(+/-1,703)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","8,761","(+/-1,249)","7,781","(+/-1,256)","12,636","(+/-2,073)","6,125","(+/-1,073)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","11,040","(+/-1,673)","7,381","(+/-1,185)","13,054","(+/-1,929)","5,944",(+/-960)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,497",(+/-33),"1,424",(+/-23),"1,633",(+/-34),"1,379",(+/-26)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","97,882","(+/-3,471)","100,073","(+/-3,328)","83,659","(+/-3,423)","109,381","(+/-3,577)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","3,814",(+/-929),"3,639",(+/-712),"2,356",(+/-608),"4,670",(+/-805)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","12,189","(+/-1,857)","13,170","(+/-1,632)","9,999","(+/-1,297)","17,907","(+/-1,710)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","31,200","(+/-2,588)","31,164","(+/-2,102)","24,066","(+/-2,121)","35,233","(+/-2,387)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","26,113","(+/-2,042)","29,295","(+/-2,087)","20,343","(+/-2,117)","25,254","(+/-1,787)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","13,439","(+/-1,711)","10,781","(+/-1,425)","13,326","(+/-1,753)","13,555","(+/-1,344)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","11,127","(+/-1,338)","12,024","(+/-1,566)","13,569","(+/-1,609)","12,762","(+/-1,303)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",611,(+/-13),613,(+/-11),647,(+/-16),583,(+/-9)
Housing,"Gross Rent","Occupied units paying rent","88,224","(+/-4,018)","80,352","(+/-3,956)","100,448","(+/-4,470)","85,914","(+/-3,194)"
Housing,"Gross Rent","Less than $500","7,927","(+/-1,571)","7,367","(+/-1,136)","5,666","(+/-1,076)","9,690","(+/-1,236)"
Housing,"Gross Rent","$500 to $999","41,900","(+/-3,045)","44,381","(+/-3,137)","36,110","(+/-3,764)","45,379","(+/-2,889)"
Housing,"Gross Rent","$1,000 to $1,499","25,853","(+/-2,545)","22,608","(+/-2,704)","37,910","(+/-3,636)","23,125","(+/-2,610)"
Housing,"Gross Rent","$1,500 to $1,999","7,863","(+/-1,583)","4,201","(+/-1,003)","14,326","(+/-2,312)","4,952","(+/-1,222)"
Housing,"Gross Rent","$2,000 to $2,499","2,939","(+/-1,130)",511,(+/-327),"4,118","(+/-1,431)","1,169",(+/-560)
Housing,"Gross Rent","$2,500 to $2,999",213,(+/-210),437,(+/-250),"1,028",(+/-636),430,(+/-381)
Housing,"Gross Rent","$3,000 or more","1,529",(+/-680),847,(+/-390),"1,290",(+/-846),"1,169",(+/-478)
Housing,"Gross Rent","Median (dollars)",945,(+/-23),881,(+/-21),"1,094",(+/-36),867,(+/-26)
Housing,"Gross Rent","No rent paid","6,747","(+/-1,295)","5,885","(+/-1,000)","4,485","(+/-1,069)","5,445","(+/-1,046)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","334,808","(+/-2,917)","334,713","(+/-3,449)","338,434","(+/-3,427)","329,288","(+/-2,965)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","15,455","(+/-2,010)","14,119","(+/-1,968)","12,041","(+/-1,825)","15,009","(+/-1,760)"
