Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,Ancestry,"Total population","770,713","(+/-11,557)","742,904","(+/-14,389)","762,638","(+/-2,387)","757,390","(+/-1,443)","754,781","(+/-6,355)","785,323","(+/-11,479)"
People,Ancestry,American,"65,232","(+/-9,035)","23,055","(+/-4,087)","47,357","(+/-6,517)","101,645","(+/-7,923)","76,630","(+/-7,899)","60,109","(+/-7,973)"
People,Ancestry,Arab,"4,080","(+/-2,195)","4,811","(+/-2,324)","4,761","(+/-3,394)","2,071","(+/-1,031)","2,007",(+/-795),"6,001","(+/-3,482)"
People,Ancestry,Czech,742,(+/-660),256,(+/-233),833,(+/-613),304,(+/-331),314,(+/-244),"1,266",(+/-667)
People,Ancestry,Danish,386,(+/-318),284,(+/-239),319,(+/-251),431,(+/-281),474,(+/-378),634,(+/-406)
People,Ancestry,Dutch,"2,832","(+/-1,269)","1,473",(+/-634),"2,259",(+/-853),"2,668","(+/-1,056)","2,787","(+/-1,213)","3,595","(+/-1,177)"
People,Ancestry,English,"63,983","(+/-6,900)","27,720","(+/-3,764)","43,194","(+/-5,500)","61,640","(+/-5,293)","66,693","(+/-6,445)","69,664","(+/-6,678)"
People,Ancestry,"French (except Basque)","105,001","(+/-8,478)","43,959","(+/-4,639)","112,053","(+/-10,288)","30,346","(+/-3,427)","40,928","(+/-4,418)","91,581","(+/-6,577)"
People,Ancestry,"French Canadian","12,563","(+/-2,322)","4,382","(+/-1,237)","29,319","(+/-4,455)","7,450","(+/-2,624)","4,132","(+/-1,209)","14,043","(+/-2,945)"
People,Ancestry,German,"95,825","(+/-7,923)","36,364","(+/-3,549)","55,688","(+/-6,650)","36,121","(+/-3,488)","41,166","(+/-4,114)","62,993","(+/-6,339)"
People,Ancestry,Greek,"2,154","(+/-1,044)",854,(+/-386),89,(+/-92),777,(+/-452),296,(+/-224),"2,223","(+/-1,297)"
People,Ancestry,Hungarian,"1,881",(+/-816),550,(+/-335),147,(+/-180),131,(+/-149),947,(+/-484),"1,218",(+/-954)
People,Ancestry,Irish,"73,635","(+/-5,569)","29,457","(+/-3,316)","37,950","(+/-4,972)","38,309","(+/-3,409)","50,437","(+/-5,607)","56,036","(+/-6,276)"
People,Ancestry,Italian,"86,126","(+/-8,124)","27,886","(+/-3,370)","20,620","(+/-3,977)","11,759","(+/-1,997)","22,050","(+/-3,443)","43,098","(+/-5,669)"
People,Ancestry,Lithuanian,775,(+/-667),244,(+/-266),181,(+/-181),0,(+/-221),48,(+/-80),552,(+/-474)
People,Ancestry,Norwegian,"2,502","(+/-1,024)","1,628",(+/-825),"1,817","(+/-1,025)",912,(+/-307),"1,979","(+/-1,459)","2,034",(+/-930)
People,Ancestry,Polish,"5,089","(+/-1,409)","2,494","(+/-1,009)","2,545","(+/-1,740)","1,952",(+/-855),"1,653","(+/-1,266)","4,705","(+/-1,471)"
People,Ancestry,Portuguese,"1,891","(+/-1,215)",307,(+/-252),227,(+/-311),620,(+/-537),123,(+/-201),826,(+/-465)
People,Ancestry,Russian,"2,108","(+/-1,163)",884,(+/-431),202,(+/-182),430,(+/-477),183,(+/-150),480,(+/-313)
People,Ancestry,Scotch-Irish,"4,185","(+/-1,139)","2,347",(+/-659),"4,662","(+/-1,700)","4,550","(+/-1,281)","4,044","(+/-1,110)","4,965","(+/-1,475)"
People,Ancestry,Scottish,"7,093","(+/-2,028)","5,373","(+/-1,606)","9,982","(+/-3,155)","9,782","(+/-2,208)","7,312","(+/-1,698)","9,558","(+/-2,316)"
People,Ancestry,Slovak,206,(+/-258),268,(+/-216),31,(+/-61),81,(+/-102),67,(+/-93),82,(+/-98)
People,Ancestry,"Subsaharan African","4,753","(+/-2,194)","25,804","(+/-4,739)","2,895","(+/-1,430)","3,852","(+/-1,189)","5,986","(+/-2,317)","7,642","(+/-2,852)"
People,Ancestry,Swedish,"2,842","(+/-1,173)","1,254",(+/-531),"2,031","(+/-1,430)","1,031",(+/-458),819,(+/-514),"1,754",(+/-784)
People,Ancestry,Swiss,495,(+/-312),315,(+/-226),"1,064","(+/-1,295)",78,(+/-108),245,(+/-269),504,(+/-283)
People,Ancestry,Ukrainian,446,(+/-286),408,(+/-346),587,(+/-536),678,(+/-790),433,(+/-390),475,(+/-458)
People,Ancestry,Welsh,"2,282","(+/-1,080)","1,621",(+/-656),"1,067",(+/-489),"2,194",(+/-813),"1,939",(+/-884),"2,320","(+/-1,426)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,126",(+/-559),"6,565","(+/-2,515)",246,(+/-183),918,(+/-645),"1,031","(+/-1,620)","2,909","(+/-3,048)"
People,"Veteran Status","Civilian population 18 years and over","591,894","(+/-8,148)","580,302","(+/-10,021)","573,799","(+/-2,160)","568,679","(+/-1,965)","580,845","(+/-5,203)","596,574","(+/-8,712)"
People,"Veteran Status","Civilian veterans","33,065","(+/-3,784)","27,541","(+/-3,125)","31,819","(+/-3,338)","46,561","(+/-2,985)","32,914","(+/-3,183)","31,131","(+/-2,707)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","760,585","(+/-11,772)","731,248","(+/-14,381)","755,310","(+/-2,558)","729,690","(+/-1,969)","721,956","(+/-6,347)","779,084","(+/-11,467)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","123,355","(+/-6,014)","130,365","(+/-8,246)","120,647","(+/-7,437)","136,006","(+/-6,077)","146,153","(+/-7,569)","115,663","(+/-7,442)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","174,459","(+/-5,333)","161,134","(+/-7,287)","187,504","(+/-1,150)","179,499","(+/-1,073)","172,602","(+/-4,812)","187,490","(+/-5,666)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","13,041","(+/-2,879)","16,578","(+/-4,525)","11,678","(+/-2,263)","12,473","(+/-2,461)","12,369","(+/-2,783)","11,994","(+/-3,344)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","443,697","(+/-7,643)","443,123","(+/-9,718)","443,732","(+/-2,185)","419,267","(+/-2,292)","418,715","(+/-4,951)","473,268","(+/-8,026)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","55,927","(+/-3,941)","68,700","(+/-4,830)","61,408","(+/-5,175)","73,587","(+/-4,445)","77,418","(+/-5,441)","57,965","(+/-4,582)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","142,429","(+/-3,279)","126,991","(+/-3,294)","124,074","(+/-1,682)","130,924","(+/-1,612)","130,639","(+/-2,813)","118,326","(+/-3,462)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","54,387","(+/-3,167)","45,087","(+/-3,238)","47,561","(+/-3,180)","49,946","(+/-2,111)","56,366","(+/-3,148)","45,704","(+/-3,283)"
People,"Residence 1 Year Ago","Population 1 year and over","763,446","(+/-11,539)","735,067","(+/-13,769)","752,081","(+/-3,021)","749,359","(+/-2,085)","746,621","(+/-6,714)","777,511","(+/-11,559)"
People,"Residence 1 Year Ago","Same house","687,427","(+/-11,358)","651,158","(+/-14,160)","674,607","(+/-8,748)","676,539","(+/-6,376)","646,417","(+/-10,397)","688,214","(+/-12,858)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","76,019","(+/-7,422)","83,909","(+/-9,900)","77,474","(+/-7,916)","72,820","(+/-6,095)","100,204","(+/-7,793)","89,297","(+/-9,490)"
People,"Residence 1 Year Ago","Different house in the U.S.","72,233","(+/-7,175)","76,504","(+/-9,214)","76,248","(+/-7,743)","70,253","(+/-5,929)","96,413","(+/-7,756)","85,922","(+/-9,365)"
People,"Residence 1 Year Ago","Same county","38,509","(+/-5,801)","50,619","(+/-7,790)","45,364","(+/-6,739)","38,500","(+/-4,871)","52,779","(+/-6,625)","45,128","(+/-7,101)"
People,"Residence 1 Year Ago","Different county","33,724","(+/-5,006)","25,885","(+/-4,039)","30,884","(+/-5,265)","31,753","(+/-4,008)","43,634","(+/-5,179)","40,794","(+/-6,324)"
People,"Residence 1 Year Ago","Same state","19,207","(+/-3,906)","15,365","(+/-3,323)","22,066","(+/-4,119)","19,122","(+/-2,772)","30,957","(+/-4,684)","30,493","(+/-6,081)"
People,"Residence 1 Year Ago","Different state","14,517","(+/-3,306)","10,520","(+/-2,029)","8,818","(+/-3,023)","12,631","(+/-2,983)","12,677","(+/-3,071)","10,301","(+/-2,633)"
People,"Residence 1 Year Ago",Abroad,"3,786","(+/-1,388)","7,405","(+/-4,576)","1,226",(+/-749),"2,567",(+/-708),"3,791",(+/-694),"3,375","(+/-1,274)"
Workers,"Employment Status","Population 16 years and over","618,716","(+/-8,595)","600,931","(+/-10,967)","595,731","(+/-2,674)","598,054","(+/-2,240)","603,000","(+/-5,649)","618,705","(+/-9,507)"
Workers,"Employment Status","In labor force","390,942","(+/-8,311)","352,347","(+/-10,088)","364,136","(+/-6,114)","330,484","(+/-6,722)","318,657","(+/-7,913)","396,697","(+/-7,865)"
Workers,"Employment Status","Civilian labor force","386,705","(+/-8,459)","350,981","(+/-10,039)","362,847","(+/-6,306)","321,287","(+/-6,944)","317,779","(+/-7,903)","395,444","(+/-7,849)"
Workers,"Employment Status",Employed,"372,456","(+/-8,561)","328,521","(+/-9,919)","348,172","(+/-6,453)","304,588","(+/-6,904)","297,627","(+/-7,593)","379,585","(+/-7,964)"
Workers,"Employment Status",Unemployed,"14,249","(+/-2,804)","22,460","(+/-2,796)","14,675","(+/-2,498)","16,699","(+/-2,710)","20,152","(+/-3,187)","15,859","(+/-2,463)"
Workers,"Employment Status","Armed Forces","4,237","(+/-1,665)","1,366",(+/-652),"1,289",(+/-743),"9,197","(+/-1,429)",878,(+/-257),"1,253",(+/-874)
Workers,"Employment Status","Not in labor force","227,774","(+/-6,931)","248,584","(+/-8,456)","231,595","(+/-6,154)","267,570","(+/-6,448)","284,343","(+/-6,789)","222,008","(+/-7,460)"
Workers,"Employment Status","Civilian labor force","386,705","(+/-8,459)","350,981","(+/-10,039)","362,847","(+/-6,306)","321,287","(+/-6,944)","317,779","(+/-7,903)","395,444","(+/-7,849)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.7),6.4,(+/-0.8),4.0,(+/-0.7),5.2,(+/-0.8),6.3,(+/-1.0),4.0,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","371,289","(+/-8,693)","321,590","(+/-9,989)","343,784","(+/-6,491)","310,078","(+/-6,726)","292,618","(+/-7,276)","373,457","(+/-8,089)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","286,266","(+/-8,416)","231,237","(+/-9,866)","281,608","(+/-8,191)","255,491","(+/-6,358)","231,327","(+/-7,804)","297,214","(+/-8,459)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,640","(+/-3,922)","28,661","(+/-4,112)","27,410","(+/-3,810)","25,595","(+/-3,478)","26,978","(+/-3,583)","34,264","(+/-4,668)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,193",(+/-755),"9,170","(+/-1,966)",998,(+/-665),"1,550",(+/-699),783,(+/-568),"2,121","(+/-1,006)"
Workers,"Commuting to Work",Walked,"7,167","(+/-1,284)","9,562","(+/-2,058)","4,571","(+/-1,540)","4,462","(+/-1,129)","4,465","(+/-1,152)","7,443","(+/-1,741)"
Workers,"Commuting to Work","Other means","8,649","(+/-1,838)","10,091","(+/-2,494)","5,915","(+/-1,560)","4,975","(+/-1,291)","7,369","(+/-1,505)","3,173",(+/-892)
Workers,"Commuting to Work","Worked from home","37,374","(+/-3,812)","32,869","(+/-3,609)","23,282","(+/-2,740)","18,005","(+/-2,424)","21,696","(+/-2,609)","29,242","(+/-3,541)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.9,(+/-0.8),24.7,(+/-0.7),24.9,(+/-1.1),25.2,(+/-0.9),26.3,(+/-0.9),26.1,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","372,456","(+/-8,561)","328,521","(+/-9,919)","348,172","(+/-6,453)","304,588","(+/-6,904)","297,627","(+/-7,593)","379,585","(+/-7,964)"
Workers,Occupation,"Management, business, science, and arts occupations","162,981","(+/-6,068)","128,508","(+/-7,089)","129,348","(+/-5,940)","102,235","(+/-5,167)","100,906","(+/-5,750)","165,267","(+/-6,822)"
Workers,Occupation,"Service occupations","61,600","(+/-5,515)","68,188","(+/-5,187)","60,482","(+/-4,436)","61,431","(+/-4,606)","57,607","(+/-5,146)","55,490","(+/-5,056)"
Workers,Occupation,"Sales and office occupations","74,592","(+/-4,771)","64,658","(+/-5,977)","74,199","(+/-4,384)","60,892","(+/-4,276)","61,482","(+/-5,299)","73,029","(+/-4,497)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","35,400","(+/-4,477)","24,450","(+/-2,930)","40,790","(+/-3,408)","32,335","(+/-3,573)","34,874","(+/-3,455)","41,105","(+/-4,676)"
Workers,Occupation,"Production, transportation, and material moving occupations","37,883","(+/-3,739)","42,717","(+/-4,621)","43,353","(+/-3,838)","47,695","(+/-3,695)","42,758","(+/-3,509)","44,694","(+/-4,331)"
Workers,Industry,"Civilian employed population 16 years and over","372,456","(+/-8,561)","328,521","(+/-9,919)","348,172","(+/-6,453)","304,588","(+/-6,904)","297,627","(+/-7,593)","379,585","(+/-7,964)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","7,830","(+/-1,666)","1,962",(+/-839),"22,954","(+/-2,560)","12,755","(+/-2,379)","11,104","(+/-1,964)","5,874","(+/-1,514)"
Workers,Industry,Construction,"33,590","(+/-3,431)","23,944","(+/-2,711)","29,358","(+/-3,578)","24,999","(+/-2,805)","23,124","(+/-3,233)","36,482","(+/-4,021)"
Workers,Industry,Manufacturing,"23,866","(+/-3,120)","20,627","(+/-2,944)","25,121","(+/-2,640)","22,633","(+/-3,134)","23,856","(+/-3,027)","34,897","(+/-3,414)"
Workers,Industry,"Wholesale trade","9,769","(+/-1,952)","5,782","(+/-1,519)","5,786","(+/-1,651)","4,912","(+/-1,502)","7,709","(+/-1,718)","7,438","(+/-1,533)"
Workers,Industry,"Retail trade","39,576","(+/-4,719)","34,301","(+/-4,149)","40,862","(+/-3,559)","35,334","(+/-3,204)","35,139","(+/-4,485)","38,780","(+/-4,198)"
Workers,Industry,"Transportation and warehousing, and utilities","26,497","(+/-3,471)","22,294","(+/-3,425)","21,495","(+/-3,022)","19,844","(+/-2,568)","17,227","(+/-2,440)","20,163","(+/-3,085)"
Workers,Industry,Information,"3,820","(+/-1,027)","5,105","(+/-1,382)","4,073","(+/-1,394)","4,827","(+/-1,386)","4,741","(+/-1,590)","6,404","(+/-1,838)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","22,505","(+/-2,668)","15,517","(+/-2,585)","16,428","(+/-2,700)","12,992","(+/-1,996)","14,339","(+/-2,253)","22,233","(+/-2,867)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","44,397","(+/-4,144)","36,852","(+/-3,466)","32,827","(+/-3,751)","23,630","(+/-2,726)","25,265","(+/-3,211)","39,011","(+/-4,033)"
Workers,Industry,"Educational services, and health care and social assistance","92,357","(+/-5,203)","86,416","(+/-5,472)","84,110","(+/-5,056)","78,710","(+/-4,379)","79,201","(+/-4,932)","94,233","(+/-5,851)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","33,606","(+/-3,696)","40,033","(+/-5,301)","35,486","(+/-4,206)","26,789","(+/-3,918)","25,589","(+/-3,433)","32,026","(+/-4,194)"
Workers,Industry,"Other services, except public administration","18,287","(+/-3,361)","17,060","(+/-3,357)","16,429","(+/-3,027)","19,425","(+/-2,933)","13,752","(+/-2,117)","20,683","(+/-3,002)"
Workers,Industry,"Public administration","16,356","(+/-2,082)","18,628","(+/-2,612)","13,243","(+/-2,568)","17,738","(+/-2,578)","16,581","(+/-2,468)","21,361","(+/-2,951)"
Workers,"Class of Worker","Civilian employed population 16 years and over","372,456","(+/-8,561)","328,521","(+/-9,919)","348,172","(+/-6,453)","304,588","(+/-6,904)","297,627","(+/-7,593)","379,585","(+/-7,964)"
Workers,"Class of Worker","Private wage and salary workers","294,659","(+/-8,657)","254,007","(+/-8,331)","274,472","(+/-7,524)","235,906","(+/-6,967)","224,788","(+/-7,336)","291,467","(+/-8,133)"
Workers,"Class of Worker","Government workers","48,337","(+/-3,787)","52,983","(+/-4,392)","47,401","(+/-4,313)","50,806","(+/-4,472)","52,314","(+/-3,929)","65,776","(+/-5,228)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","28,211","(+/-3,984)","21,223","(+/-3,367)","26,050","(+/-3,130)","16,916","(+/-2,212)","19,719","(+/-2,213)","22,064","(+/-2,909)"
Workers,"Class of Worker","Unpaid family workers","1,249",(+/-682),308,(+/-272),249,(+/-180),960,(+/-445),806,(+/-489),278,(+/-242)
Housing,"Housing Occupancy","Total housing units","340,827","(+/-4,319)","370,544","(+/-5,311)","354,941","(+/-1,187)","366,236",(+/-868),"352,979","(+/-2,667)","339,403","(+/-5,168)"
Housing,"Housing Occupancy","Occupied housing units","308,455","(+/-5,397)","305,373","(+/-6,381)","302,888","(+/-4,633)","316,587","(+/-3,035)","296,763","(+/-4,290)","303,849","(+/-5,364)"
Housing,"Housing Occupancy","Vacant housing units","32,372","(+/-3,699)","65,171","(+/-3,551)","52,053","(+/-4,714)","49,649","(+/-2,846)","56,216","(+/-4,105)","35,554","(+/-3,409)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.4),1.5,(+/-0.6),1.2,(+/-0.5),0.9,(+/-0.4),1.0,(+/-0.4),1.2,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",7.6,(+/-1.9),9.8,(+/-1.5),8.3,(+/-2.2),5.7,(+/-1.3),6.1,(+/-1.5),10.5,(+/-2.1)
Housing,"Housing Tenure","Occupied housing units","308,455","(+/-5,397)","305,373","(+/-6,381)","302,888","(+/-4,633)","316,587","(+/-3,035)","296,763","(+/-4,290)","303,849","(+/-5,364)"
Housing,"Housing Tenure",Owner-occupied,"223,529","(+/-5,327)","179,837","(+/-5,513)","211,438","(+/-4,831)","215,415","(+/-4,825)","195,605","(+/-4,819)","222,399","(+/-5,556)"
Housing,"Housing Tenure",Renter-occupied,"84,926","(+/-5,434)","125,536","(+/-5,325)","91,450","(+/-4,757)","101,172","(+/-4,380)","101,158","(+/-4,273)","81,450","(+/-4,960)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.57,(+/-0.04),2.50,(+/-0.06),2.56,(+/-0.05),2.37,(+/-0.04),2.45,(+/-0.06),2.62,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.14,(+/-0.09),2.20,(+/-0.08),2.33,(+/-0.08),2.21,(+/-0.06),2.28,(+/-0.09),2.30,(+/-0.11)
Housing,"Year Householder Moved into Unit","Occupied housing units","308,455","(+/-5,397)","305,373","(+/-6,381)","302,888","(+/-4,633)","316,587","(+/-3,035)","296,763","(+/-4,290)","303,849","(+/-5,364)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","69,721","(+/-5,218)","76,366","(+/-5,368)","76,219","(+/-4,117)","77,471","(+/-3,825)","77,958","(+/-4,723)","79,015","(+/-5,624)"
