Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Hispanic or Latino and Race","Total population","751,575","(+/-21,906)","720,502","(+/-16,747)","720,148","(+/-21,274)","704,764","(+/-18,895)","754,102","(+/-16,515)","725,829","(+/-11,898)","732,352","(+/-23,440)","730,604","(+/-11,094)","742,949","(+/-17,005)","746,076","(+/-7,783)","761,048","(+/-11,757)","749,426","(+/-5,302)","725,183","(+/-10,597)","755,370","(+/-8,406)","745,893","(+/-9,342)","755,171","(+/-10,504)","728,697","(+/-7,385)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","83,528","(+/-9,338)","117,144","(+/-13,321)","333,195","(+/-18,380)","452,485","(+/-17,745)","93,785","(+/-10,624)","118,713","(+/-10,951)","131,223","(+/-15,497)","196,051","(+/-10,813)","105,045","(+/-12,079)","191,228","(+/-5,126)","151,767","(+/-10,380)","23,054","(+/-1,957)","33,430","(+/-3,963)","180,909","(+/-7,586)","22,696","(+/-3,284)","58,626","(+/-5,277)","85,307","(+/-4,469)"
People,"Hispanic or Latino and Race",Mexican,"62,427","(+/-8,201)","95,931","(+/-12,271)","214,284","(+/-15,440)","403,460","(+/-16,924)","48,130","(+/-7,590)","91,452","(+/-9,460)","85,287","(+/-11,816)","146,228","(+/-11,278)","61,186","(+/-10,997)","140,705","(+/-9,162)","125,491","(+/-9,966)","13,790","(+/-2,274)","18,358","(+/-3,497)","154,920","(+/-8,223)","16,899","(+/-3,239)","46,822","(+/-5,149)","68,999","(+/-4,717)"
People,"Hispanic or Latino and Race","Puerto Rican","9,192","(+/-3,707)","10,701","(+/-3,573)","58,235","(+/-8,338)","17,892","(+/-4,159)","16,703","(+/-3,715)","12,115","(+/-3,213)","13,954","(+/-4,718)","12,161","(+/-3,512)","9,282","(+/-2,651)","14,199","(+/-4,092)","9,961","(+/-2,833)","3,416","(+/-1,240)","2,885","(+/-1,089)","10,030","(+/-2,215)","1,792",(+/-587),"3,056","(+/-1,360)","6,102","(+/-1,800)"
People,"Hispanic or Latino and Race",Cuban,"1,819","(+/-1,411)","1,515","(+/-1,077)","4,971","(+/-3,491)","1,339",(+/-713),"4,035","(+/-1,863)","1,419",(+/-753),"1,401",(+/-895),"1,500",(+/-931),"4,346","(+/-1,719)","2,197","(+/-1,137)","2,089","(+/-1,126)",928,(+/-821),938,(+/-688),"1,135",(+/-784),138,(+/-127),981,(+/-556),"1,013",(+/-653)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","10,090","(+/-3,807)","8,997","(+/-2,833)","55,705","(+/-9,632)","29,794","(+/-5,872)","24,917","(+/-4,318)","13,727","(+/-3,834)","30,581","(+/-8,060)","36,162","(+/-7,013)","30,231","(+/-5,749)","34,127","(+/-6,813)","14,226","(+/-3,512)","4,920","(+/-1,144)","11,249","(+/-3,349)","14,824","(+/-3,617)","3,867","(+/-1,117)","7,767","(+/-3,019)","9,193","(+/-2,781)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","668,047","(+/-20,230)","603,358","(+/-15,575)","386,953","(+/-15,714)","252,279","(+/-13,561)","660,317","(+/-13,393)","607,116","(+/-13,736)","601,129","(+/-21,302)","534,553","(+/-13,192)","637,904","(+/-17,413)","554,848","(+/-8,603)","609,281","(+/-12,056)","726,372","(+/-5,132)","691,753","(+/-10,417)","574,461","(+/-7,786)","723,197","(+/-8,869)","696,545","(+/-9,035)","643,390","(+/-6,975)"
People,"Place of Birth","Total population","751,575","(+/-21,906)","720,502","(+/-16,747)","720,148","(+/-21,274)","704,764","(+/-18,895)","754,102","(+/-16,515)","725,829","(+/-11,898)","732,352","(+/-23,440)","730,604","(+/-11,094)","742,949","(+/-17,005)","746,076","(+/-7,783)","761,048","(+/-11,757)","749,426","(+/-5,302)","725,183","(+/-10,597)","755,370","(+/-8,406)","745,893","(+/-9,342)","755,171","(+/-10,504)","728,697","(+/-7,385)"
People,"Place of Birth",Native,"687,721","(+/-20,892)","658,541","(+/-16,754)","518,220","(+/-16,628)","486,025","(+/-17,270)","603,160","(+/-15,049)","611,031","(+/-12,606)","608,778","(+/-20,231)","516,947","(+/-12,074)","545,572","(+/-13,933)","588,434","(+/-10,400)","641,671","(+/-12,205)","736,325","(+/-5,175)","680,655","(+/-10,859)","655,118","(+/-10,090)","729,305","(+/-8,878)","720,313","(+/-9,858)","682,983","(+/-8,669)"
People,"Place of Birth","Born in United States","680,798","(+/-20,694)","652,735","(+/-16,931)","493,311","(+/-15,681)","474,103","(+/-17,152)","593,932","(+/-14,702)","600,599","(+/-12,776)","599,750","(+/-19,877)","507,104","(+/-12,219)","534,528","(+/-13,961)","574,876","(+/-10,384)","634,607","(+/-12,232)","731,381","(+/-5,174)","674,833","(+/-10,962)","647,648","(+/-9,966)","724,733","(+/-8,849)","714,821","(+/-9,786)","679,078","(+/-8,943)"
People,"Place of Birth","State of residence","580,235","(+/-18,826)","547,845","(+/-15,962)","395,205","(+/-14,112)","419,180","(+/-16,530)","419,410","(+/-12,891)","527,232","(+/-12,295)","431,166","(+/-19,045)","432,491","(+/-11,311)","380,215","(+/-12,903)","432,261","(+/-11,515)","506,804","(+/-12,190)","524,712","(+/-8,174)","495,572","(+/-10,019)","543,206","(+/-8,969)","586,791","(+/-8,872)","574,254","(+/-8,813)","530,544","(+/-10,063)"
People,"Place of Birth","Different state","100,563","(+/-6,563)","104,890","(+/-7,221)","98,106","(+/-7,206)","54,923","(+/-5,252)","174,522","(+/-8,033)","73,367","(+/-4,060)","168,584","(+/-10,748)","74,613","(+/-4,782)","154,313","(+/-7,478)","142,615","(+/-7,155)","127,803","(+/-6,418)","206,669","(+/-7,167)","179,261","(+/-7,866)","104,442","(+/-6,697)","137,942","(+/-6,135)","140,567","(+/-6,385)","148,534","(+/-6,651)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,923","(+/-2,307)","5,806","(+/-1,936)","24,909","(+/-5,241)","11,922","(+/-2,796)","9,228","(+/-1,752)","10,432","(+/-2,089)","9,028","(+/-2,206)","9,843","(+/-2,270)","11,044","(+/-1,920)","13,558","(+/-2,795)","7,064","(+/-1,869)","4,944","(+/-1,053)","5,822","(+/-1,535)","7,470","(+/-1,768)","4,572","(+/-1,223)","5,492","(+/-1,594)","3,905","(+/-1,105)"
People,"Place of Birth","Foreign born","63,854","(+/-7,691)","61,961","(+/-6,830)","201,928","(+/-12,793)","218,739","(+/-9,877)","150,942","(+/-8,160)","114,798","(+/-9,075)","123,574","(+/-12,924)","213,657","(+/-10,324)","197,377","(+/-11,827)","157,642","(+/-7,596)","119,377","(+/-8,376)","13,101","(+/-1,482)","44,528","(+/-4,852)","100,252","(+/-6,151)","16,588","(+/-2,799)","34,858","(+/-3,822)","45,714","(+/-4,798)"
People,Ancestry,"Total population","751,575","(+/-21,906)","720,502","(+/-16,747)","720,148","(+/-21,274)","704,764","(+/-18,895)","754,102","(+/-16,515)","725,829","(+/-11,898)","732,352","(+/-23,440)","730,604","(+/-11,094)","742,949","(+/-17,005)","746,076","(+/-7,783)","761,048","(+/-11,757)","749,426","(+/-5,302)","725,183","(+/-10,597)","755,370","(+/-8,406)","745,893","(+/-9,342)","755,171","(+/-10,504)","728,697","(+/-7,385)"
People,Ancestry,American,"19,758","(+/-4,103)","24,467","(+/-3,587)","14,301","(+/-3,047)","8,923","(+/-2,984)","17,369","(+/-3,832)","16,767","(+/-3,395)","15,583","(+/-3,104)","18,133","(+/-3,506)","20,332","(+/-4,046)","22,265","(+/-3,434)","20,262","(+/-3,169)","53,423","(+/-4,723)","32,379","(+/-3,811)","20,953","(+/-4,470)","55,712","(+/-4,998)","36,971","(+/-4,125)","29,320","(+/-3,729)"
People,Ancestry,Arab,"6,183","(+/-2,217)","1,158",(+/-790),"6,480","(+/-2,349)","4,766","(+/-2,673)","10,830","(+/-3,409)","24,148","(+/-6,218)","8,871","(+/-8,073)","9,504","(+/-3,472)","10,364","(+/-3,365)","2,241",(+/-891),"5,704","(+/-2,308)",744,(+/-446),"3,259","(+/-1,369)","2,950","(+/-1,365)",875,(+/-781),"1,776",(+/-789),"1,611",(+/-647)
People,Ancestry,Czech,"4,276","(+/-1,335)","1,983",(+/-854),"5,047","(+/-1,898)","6,922","(+/-2,069)","5,234","(+/-1,472)","12,172","(+/-2,217)","3,829","(+/-1,320)","5,002","(+/-1,346)","4,942","(+/-1,173)","6,083","(+/-2,005)","10,631","(+/-2,126)","2,285",(+/-759),"1,998",(+/-868),"5,253","(+/-1,425)","2,174","(+/-1,278)","3,457",(+/-965),"2,391",(+/-824)
People,Ancestry,Danish,"1,163",(+/-499),"1,739",(+/-641),866,(+/-353),700,(+/-441),"4,707","(+/-1,745)","2,138",(+/-713),"1,413",(+/-892),"3,081",(+/-782),"1,787",(+/-612),"1,891",(+/-810),"2,948",(+/-977),"1,167",(+/-512),"1,685",(+/-788),"2,077","(+/-1,072)",975,(+/-423),"1,796",(+/-660),"2,174",(+/-748)
People,Ancestry,Dutch,"6,930","(+/-1,743)","5,808","(+/-1,261)","3,489","(+/-1,116)","2,783","(+/-1,042)","7,485","(+/-1,681)","11,455","(+/-2,247)","4,073","(+/-1,190)","5,551","(+/-1,876)","6,964","(+/-1,794)","3,833","(+/-1,097)","6,776","(+/-2,041)","7,030","(+/-1,619)","6,238","(+/-1,679)","8,630","(+/-2,125)","7,338","(+/-1,319)","11,914","(+/-2,533)","11,813","(+/-2,182)"
People,Ancestry,English,"19,615","(+/-2,579)","29,734","(+/-3,312)","31,007","(+/-3,929)","14,401","(+/-2,625)","51,953","(+/-4,373)","33,956","(+/-3,619)","27,317","(+/-3,887)","29,563","(+/-4,081)","48,466","(+/-5,317)","43,838","(+/-5,291)","53,337","(+/-5,531)","89,395","(+/-6,609)","70,286","(+/-5,334)","47,151","(+/-5,371)","100,369","(+/-6,807)","91,723","(+/-5,908)","72,527","(+/-4,658)"
People,Ancestry,"French (except Basque)","6,001","(+/-1,623)","9,644","(+/-1,559)","7,579","(+/-1,941)","3,289","(+/-1,184)","13,776","(+/-2,801)","8,952","(+/-1,705)","7,293","(+/-2,122)","7,850","(+/-1,841)","10,126","(+/-1,754)","10,151","(+/-2,622)","11,458","(+/-2,197)","13,937","(+/-2,182)","13,728","(+/-2,615)","11,351","(+/-2,154)","11,588","(+/-1,628)","13,885","(+/-2,260)","9,444","(+/-1,650)"
People,Ancestry,"French Canadian",991,(+/-534),"1,969",(+/-624),"1,283",(+/-730),823,(+/-627),"2,263",(+/-794),"3,137","(+/-2,106)","1,155",(+/-716),"1,094",(+/-572),"2,396",(+/-998),"1,535",(+/-569),"1,950",(+/-823),"1,119",(+/-616),895,(+/-545),"1,547",(+/-829),"1,286",(+/-562),"2,125","(+/-1,042)","1,497",(+/-825)
People,Ancestry,German,"63,319","(+/-5,378)","69,557","(+/-5,173)","72,303","(+/-5,250)","36,444","(+/-4,211)","128,167","(+/-9,069)","116,732","(+/-6,868)","56,208","(+/-6,997)","96,377","(+/-7,451)","101,162","(+/-5,598)","107,913","(+/-7,603)","141,250","(+/-7,952)","187,139","(+/-6,827)","139,260","(+/-7,115)","129,633","(+/-7,929)","183,825","(+/-7,437)","207,606","(+/-8,574)","146,155","(+/-7,966)"
People,Ancestry,Greek,"3,950","(+/-1,465)","1,222",(+/-796),"3,360","(+/-1,700)","4,636","(+/-2,872)","12,442","(+/-2,424)","10,370","(+/-3,000)","6,993","(+/-2,735)","8,321","(+/-1,978)","10,651","(+/-2,328)","6,168","(+/-2,021)","5,713","(+/-1,385)","1,120",(+/-723),"2,908","(+/-1,419)","6,420","(+/-1,933)",824,(+/-455),984,(+/-524),"1,364",(+/-698)
People,Ancestry,Hungarian,"2,034","(+/-1,447)","1,297",(+/-495),"1,553",(+/-622),"1,024",(+/-691),"4,829","(+/-2,043)","2,408",(+/-764),975,(+/-492),"1,539",(+/-633),"3,872","(+/-1,176)","4,066","(+/-1,289)","3,671","(+/-1,022)","1,747",(+/-739),"2,659","(+/-1,639)","3,207","(+/-1,408)","1,010",(+/-411),"1,709",(+/-529),"1,490","(+/-1,021)"
People,Ancestry,Irish,"57,572","(+/-5,166)","45,901","(+/-4,122)","52,850","(+/-5,522)","38,073","(+/-5,734)","110,028","(+/-6,522)","128,694","(+/-7,598)","49,371","(+/-6,023)","67,080","(+/-6,519)","75,300","(+/-7,070)","70,884","(+/-5,599)","92,122","(+/-7,524)","83,902","(+/-5,965)","73,959","(+/-6,773)","87,087","(+/-6,989)","91,660","(+/-6,063)","99,529","(+/-7,469)","96,183","(+/-6,140)"
People,Ancestry,Italian,"35,850","(+/-4,198)","23,430","(+/-4,513)","41,928","(+/-5,321)","27,123","(+/-4,042)","69,851","(+/-6,819)","70,356","(+/-6,559)","31,124","(+/-5,141)","63,580","(+/-6,593)","39,630","(+/-4,800)","41,560","(+/-5,193)","58,019","(+/-6,410)","17,688","(+/-2,243)","25,431","(+/-3,752)","52,622","(+/-4,706)","20,116","(+/-2,948)","40,897","(+/-4,236)","26,395","(+/-3,803)"
People,Ancestry,Lithuanian,"6,496","(+/-2,027)","1,305",(+/-584),"1,826",(+/-606),"3,533","(+/-1,936)","4,467","(+/-1,242)","9,983","(+/-2,118)","4,883","(+/-3,407)","1,611",(+/-478),"3,953","(+/-1,323)","4,413","(+/-1,470)","7,327","(+/-2,762)","2,192","(+/-1,166)","2,978","(+/-1,258)","6,033","(+/-2,484)","1,862",(+/-879),"2,533",(+/-870),"1,787",(+/-721)
