Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,Race,"Some other race","32,294","(+/-6,297)","20,702","(+/-3,960)","13,868","(+/-1,977)","42,438","(+/-6,467)","12,249","(+/-2,395)","11,634","(+/-2,326)","7,848","(+/-1,351)","17,595","(+/-3,694)"
People,Race,"Two or more races","83,314","(+/-8,493)","56,656","(+/-4,812)","32,878","(+/-2,882)","102,964","(+/-7,580)","42,677","(+/-4,107)","43,568","(+/-3,466)","39,668","(+/-3,276)","47,213","(+/-4,637)"
People,"Hispanic or Latino and Race","Total population","730,388","(+/-5,797)","747,345","(+/-3,169)","739,552","(+/-4,869)","719,795","(+/-5,558)","746,152","(+/-4,633)","738,802","(+/-3,155)","747,209","(+/-4,928)","741,712","(+/-1,919)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","97,256","(+/-2,971)","53,890","(+/-1,029)","27,770",(+/-896),"138,472","(+/-3,044)","44,861","(+/-2,090)","44,201",(+/-737),"22,050",(+/-912),"49,574",(+/-240)
People,"Hispanic or Latino and Race",Mexican,"77,224","(+/-3,677)","31,116","(+/-3,986)","17,993","(+/-1,818)","90,313","(+/-5,182)","29,077","(+/-2,662)","31,560","(+/-2,623)","15,100","(+/-1,303)","34,615","(+/-3,037)"
People,"Hispanic or Latino and Race","Puerto Rican","9,337","(+/-2,731)","4,705","(+/-1,628)","2,285",(+/-864),"29,906","(+/-5,006)","6,043","(+/-1,715)","4,610","(+/-1,955)","1,828",(+/-642),"5,996","(+/-2,469)"
People,"Hispanic or Latino and Race",Cuban,576,(+/-401),"1,496","(+/-1,551)",685,(+/-405),"1,163",(+/-778),422,(+/-356),676,(+/-468),509,(+/-267),"1,313",(+/-736)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","10,119","(+/-2,475)","16,573","(+/-3,497)","6,807","(+/-1,500)","17,090","(+/-3,503)","9,319","(+/-1,834)","7,355","(+/-1,664)","4,613",(+/-964),"7,650","(+/-2,360)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","633,132","(+/-5,779)","693,455","(+/-3,138)","711,782","(+/-4,821)","581,323","(+/-5,416)","701,291","(+/-4,893)","694,601","(+/-3,173)","725,159","(+/-4,922)","692,138","(+/-1,908)"
People,"Place of Birth","Total population","730,388","(+/-5,797)","747,345","(+/-3,169)","739,552","(+/-4,869)","719,795","(+/-5,558)","746,152","(+/-4,633)","738,802","(+/-3,155)","747,209","(+/-4,928)","741,712","(+/-1,919)"
People,"Place of Birth",Native,"685,472","(+/-7,622)","690,958","(+/-5,329)","720,172","(+/-4,960)","641,695","(+/-7,519)","711,622","(+/-5,674)","711,296","(+/-3,841)","731,499","(+/-5,351)","710,342","(+/-3,911)"
People,"Place of Birth","Born in United States","678,302","(+/-7,543)","684,506","(+/-5,494)","714,228","(+/-5,174)","625,438","(+/-7,482)","706,484","(+/-5,734)","707,166","(+/-3,674)","728,311","(+/-5,479)","704,748","(+/-3,885)"
People,"Place of Birth","State of residence","464,777","(+/-10,039)","466,784","(+/-8,336)","528,831","(+/-6,607)","464,511","(+/-8,662)","573,230","(+/-7,648)","572,171","(+/-6,800)","495,744","(+/-7,682)","575,297","(+/-6,469)"
People,"Place of Birth","Different state","213,525","(+/-8,376)","217,722","(+/-8,064)","185,397","(+/-5,568)","160,927","(+/-7,317)","133,254","(+/-5,758)","134,995","(+/-5,869)","232,567","(+/-6,155)","129,451","(+/-6,285)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,170","(+/-2,092)","6,452","(+/-1,431)","5,944","(+/-1,289)","16,257","(+/-2,595)","5,138","(+/-1,252)","4,130","(+/-1,059)","3,188",(+/-980),"5,594","(+/-1,443)"
People,"Place of Birth","Foreign born","44,916","(+/-4,306)","56,387","(+/-4,347)","19,380","(+/-1,930)","78,100","(+/-5,394)","34,530","(+/-3,186)","27,506","(+/-2,237)","15,710","(+/-1,649)","31,370","(+/-3,413)"
People,Ancestry,"Total population","730,388","(+/-5,797)","747,345","(+/-3,169)","739,552","(+/-4,869)","719,795","(+/-5,558)","746,152","(+/-4,633)","738,802","(+/-3,155)","747,209","(+/-4,928)","741,712","(+/-1,919)"
People,Ancestry,American,"27,799","(+/-4,551)","24,283","(+/-4,068)","26,514","(+/-3,264)","12,692","(+/-3,608)","44,651","(+/-6,291)","39,278","(+/-5,059)","28,554","(+/-2,763)","35,758","(+/-4,343)"
People,Ancestry,Arab,"3,848","(+/-1,806)","1,235",(+/-795),"1,246",(+/-554),"3,266","(+/-1,473)","1,717",(+/-726),776,(+/-480),454,(+/-292),"1,131",(+/-597)
People,Ancestry,Czech,"6,426","(+/-1,335)","8,532","(+/-1,667)","12,812","(+/-2,146)","4,572","(+/-1,178)","7,198","(+/-1,930)","9,070","(+/-1,480)","12,127","(+/-1,383)","12,769","(+/-2,146)"
People,Ancestry,Danish,"11,501","(+/-2,499)","4,970","(+/-1,241)","5,316","(+/-1,004)","2,376",(+/-860),"5,887","(+/-1,757)","5,011","(+/-1,531)","7,511","(+/-1,105)","6,635","(+/-1,581)"
People,Ancestry,Dutch,"8,113","(+/-1,587)","13,536","(+/-1,915)","11,162","(+/-1,971)","6,536","(+/-1,258)","10,476","(+/-2,362)","24,044","(+/-2,901)","12,594","(+/-1,565)","31,856","(+/-3,078)"
People,Ancestry,English,"52,844","(+/-5,174)","76,488","(+/-5,493)","57,499","(+/-4,367)","26,341","(+/-3,326)","48,530","(+/-3,997)","45,623","(+/-3,403)","51,571","(+/-3,481)","40,888","(+/-3,938)"
People,Ancestry,"French (except Basque)","18,550","(+/-2,696)","15,562","(+/-2,565)","18,785","(+/-2,746)","11,069","(+/-2,622)","17,322","(+/-2,223)","22,334","(+/-2,830)","21,503","(+/-2,631)","19,866","(+/-2,344)"
People,Ancestry,"French Canadian","5,161","(+/-1,859)","3,553",(+/-863),"2,871",(+/-722),"2,298",(+/-748),"4,192","(+/-1,263)","4,531",(+/-912),"7,320","(+/-1,239)","8,884","(+/-1,535)"
People,Ancestry,German,"217,613","(+/-8,184)","245,172","(+/-8,516)","271,727","(+/-7,202)","129,464","(+/-5,894)","313,018","(+/-9,344)","322,564","(+/-8,896)","274,661","(+/-7,230)","262,372","(+/-7,352)"
People,Ancestry,Greek,"4,631","(+/-2,075)","1,695",(+/-707),816,(+/-441),"2,692","(+/-1,146)","2,725","(+/-1,387)","1,763",(+/-766),"1,160",(+/-501),940,(+/-458)
People,Ancestry,Hungarian,"2,929",(+/-840),"2,157",(+/-793),"1,231",(+/-436),"2,714",(+/-808),"3,835","(+/-1,075)","2,527","(+/-1,004)","2,214",(+/-514),"1,189",(+/-402)
People,Ancestry,Irish,"75,638","(+/-6,775)","94,947","(+/-6,206)","80,535","(+/-5,065)","51,427","(+/-4,501)","79,618","(+/-5,521)","72,396","(+/-4,525)","68,700","(+/-3,898)","63,043","(+/-4,125)"
People,Ancestry,Italian,"45,714","(+/-4,921)","25,095","(+/-3,248)","19,003","(+/-3,251)","21,372","(+/-3,305)","33,915","(+/-4,406)","22,788","(+/-3,537)","19,934","(+/-2,360)","18,023","(+/-2,825)"
People,Ancestry,Lithuanian,"2,131",(+/-808),"1,493",(+/-558),"1,257",(+/-425),755,(+/-420),"1,320",(+/-569),"1,905",(+/-575),"1,404",(+/-454),693,(+/-356)
People,Ancestry,Norwegian,"31,820","(+/-3,569)","62,935","(+/-4,874)","99,184","(+/-4,276)","13,604","(+/-1,901)","27,337","(+/-3,249)","30,289","(+/-3,170)","67,272","(+/-4,465)","26,882","(+/-2,613)"
People,Ancestry,Polish,"67,680","(+/-5,456)","35,743","(+/-3,533)","52,969","(+/-3,292)","41,581","(+/-4,109)","76,776","(+/-5,272)","49,907","(+/-3,999)","57,946","(+/-3,097)","58,455","(+/-3,908)"
People,Ancestry,Portuguese,910,(+/-758),"1,272",(+/-705),488,(+/-389),415,(+/-326),520,(+/-344),352,(+/-301),455,(+/-270),812,(+/-444)
People,Ancestry,Russian,"3,986","(+/-1,608)","5,325","(+/-1,655)","2,701",(+/-852),"5,141","(+/-1,793)","2,865",(+/-797),"4,843","(+/-1,183)","3,657","(+/-1,114)","2,273",(+/-748)
People,Ancestry,Scotch-Irish,"2,875",(+/-834),"3,503","(+/-1,120)","2,465",(+/-808),"1,367",(+/-571),"2,976",(+/-847),"2,336",(+/-726),"3,197","(+/-1,028)","1,834",(+/-722)
People,Ancestry,Scottish,"10,532","(+/-2,612)","13,185","(+/-2,607)","7,956","(+/-1,442)","5,161","(+/-1,064)","9,038","(+/-2,159)","10,124","(+/-2,205)","8,789","(+/-1,702)","7,272","(+/-1,625)"
People,Ancestry,Slovak,"1,419",(+/-603),"1,482",(+/-638),"1,052",(+/-511),"1,250",(+/-650),"2,159","(+/-1,393)",816,(+/-450),"1,273",(+/-314),511,(+/-264)
People,Ancestry,"Subsaharan African","2,184","(+/-1,225)","10,190","(+/-3,978)","1,151",(+/-410),"12,017","(+/-3,165)","3,956","(+/-1,967)","5,502","(+/-1,286)","1,251",(+/-666),"3,258","(+/-1,750)"
People,Ancestry,Swedish,"14,384","(+/-2,445)","14,371","(+/-2,237)","17,040","(+/-2,047)","6,619","(+/-1,375)","12,244","(+/-1,805)","11,159","(+/-1,589)","31,837","(+/-2,397)","12,608","(+/-1,833)"
People,Ancestry,Swiss,"3,288","(+/-1,087)","17,102","(+/-2,250)","6,603","(+/-1,113)","2,200",(+/-758),"3,491",(+/-928),"3,721",(+/-906),"6,909","(+/-1,219)","1,402",(+/-436)
People,Ancestry,Ukrainian,"2,298","(+/-1,182)","2,667","(+/-1,068)",590,(+/-317),697,(+/-348),"1,017",(+/-407),644,(+/-330),930,(+/-280),"1,448",(+/-785)
People,Ancestry,Welsh,"3,497","(+/-1,177)","5,548","(+/-1,199)","3,260",(+/-848),"1,832",(+/-548),"4,343","(+/-1,190)","3,182",(+/-898),"2,647",(+/-647),"1,827",(+/-634)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",560,(+/-371),765,(+/-672),278,(+/-200),"1,765",(+/-916),609,(+/-543),662,(+/-548),418,(+/-426),513,(+/-438)
People,"Veteran Status","Civilian population 18 years and over","573,727","(+/-5,157)","599,262","(+/-2,636)","587,066","(+/-3,168)","545,291","(+/-5,153)","592,336","(+/-3,941)","590,321","(+/-2,782)","594,307","(+/-3,090)","581,455","(+/-1,814)"
People,"Veteran Status","Civilian veterans","35,756","(+/-2,688)","25,968","(+/-2,611)","41,158","(+/-2,630)","20,475","(+/-2,297)","31,980","(+/-2,691)","38,524","(+/-2,352)","43,086","(+/-2,255)","38,584","(+/-2,245)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","722,957","(+/-5,885)","743,216","(+/-3,199)","729,495","(+/-5,025)","715,039","(+/-5,554)","742,644","(+/-4,649)","723,180","(+/-3,243)","739,224","(+/-4,919)","735,512","(+/-1,908)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","99,424","(+/-5,709)","77,699","(+/-4,302)","100,564","(+/-4,643)","95,682","(+/-5,403)","73,845","(+/-3,716)","98,838","(+/-4,877)","104,848","(+/-3,487)","90,125","(+/-4,388)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","156,025","(+/-3,386)","147,796","(+/-1,488)","151,164","(+/-2,789)","174,015","(+/-3,691)","153,385","(+/-2,871)","148,257","(+/-1,551)","152,329","(+/-2,643)","160,034","(+/-1,312)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,484","(+/-2,532)","5,302","(+/-1,061)","6,825",(+/-981),"9,811","(+/-2,004)","4,506","(+/-1,079)","8,314","(+/-1,469)","8,316","(+/-1,338)","6,293","(+/-1,050)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","434,108","(+/-4,956)","473,326","(+/-2,583)","435,686","(+/-3,434)","443,565","(+/-4,420)","437,349","(+/-3,882)","425,225","(+/-2,910)","419,331","(+/-3,011)","432,393","(+/-1,855)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","48,604","(+/-4,034)","41,077","(+/-3,631)","51,075","(+/-3,441)","54,337","(+/-3,846)","33,296","(+/-3,057)","50,140","(+/-3,803)","48,099","(+/-2,685)","45,571","(+/-3,526)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","132,824","(+/-2,972)","122,094","(+/-1,537)","142,645","(+/-1,549)","97,459","(+/-2,970)","151,910","(+/-2,549)","149,698","(+/-1,308)","167,564","(+/-1,528)","143,085","(+/-1,296)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,336","(+/-2,540)","31,320","(+/-2,295)","42,664","(+/-2,709)","31,534","(+/-2,341)","36,043","(+/-2,217)","40,384","(+/-2,246)","48,433","(+/-2,155)","38,261","(+/-2,390)"
People,"Residence 1 Year Ago","Population 1 year and over","722,792","(+/-5,894)","742,155","(+/-3,294)","732,223","(+/-4,883)","712,133","(+/-5,616)","739,430","(+/-4,553)","733,222","(+/-2,969)","740,055","(+/-4,671)","735,354","(+/-2,195)"
People,"Residence 1 Year Ago","Same house","652,200","(+/-7,988)","619,729","(+/-8,471)","640,477","(+/-8,240)","615,762","(+/-9,231)","682,141","(+/-7,513)","660,353","(+/-6,827)","674,751","(+/-6,479)","657,511","(+/-5,366)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","70,592","(+/-5,794)","122,426","(+/-8,053)","91,746","(+/-6,325)","96,371","(+/-6,893)","57,289","(+/-5,390)","72,869","(+/-6,398)","65,304","(+/-4,761)","77,843","(+/-5,339)"
People,"Residence 1 Year Ago","Different house in the U.S.","69,373","(+/-5,761)","116,210","(+/-7,547)","89,819","(+/-6,179)","92,748","(+/-6,592)","55,548","(+/-5,319)","70,727","(+/-6,359)","63,715","(+/-4,786)","75,405","(+/-5,435)"
People,"Residence 1 Year Ago","Same county","33,876","(+/-3,911)","71,605","(+/-6,243)","44,112","(+/-4,399)","64,300","(+/-6,703)","25,438","(+/-3,856)","30,388","(+/-3,607)","31,039","(+/-3,640)","43,302","(+/-4,961)"
People,"Residence 1 Year Ago","Different county","35,497","(+/-4,431)","44,605","(+/-4,534)","45,707","(+/-3,986)","28,448","(+/-3,539)","30,110","(+/-4,182)","40,339","(+/-4,729)","32,676","(+/-2,541)","32,103","(+/-3,236)"
People,"Residence 1 Year Ago","Same state","17,849","(+/-2,805)","18,962","(+/-2,915)","29,691","(+/-2,565)","15,480","(+/-2,818)","21,414","(+/-3,364)","28,900","(+/-4,167)","19,270","(+/-1,985)","22,981","(+/-2,652)"
People,"Residence 1 Year Ago","Different state","17,648","(+/-3,248)","25,643","(+/-3,526)","16,016","(+/-2,665)","12,968","(+/-2,165)","8,696","(+/-1,868)","11,439","(+/-2,896)","13,406","(+/-1,983)","9,122","(+/-1,770)"
People,"Residence 1 Year Ago",Abroad,"1,219",(+/-752),"6,216","(+/-2,121)","1,927",(+/-732),"3,623","(+/-1,906)","1,741",(+/-673),"2,142","(+/-1,031)","1,589",(+/-518),"2,438",(+/-982)
Workers,"Employment Status","Population 16 years and over","593,964","(+/-5,407)","617,876","(+/-3,050)","607,619","(+/-3,172)","565,862","(+/-5,344)","612,269","(+/-4,121)","609,651","(+/-3,079)","614,507","(+/-3,484)","601,153","(+/-2,161)"
Workers,"Employment Status","In labor force","390,768","(+/-6,450)","430,525","(+/-6,004)","387,943","(+/-4,467)","372,757","(+/-6,796)","408,900","(+/-5,583)","388,912","(+/-4,204)","374,788","(+/-5,211)","392,009","(+/-5,018)"
Workers,"Employment Status","Civilian labor force","390,440","(+/-6,516)","430,260","(+/-5,986)","386,712","(+/-4,480)","372,391","(+/-6,829)","408,570","(+/-5,574)","388,758","(+/-4,210)","374,452","(+/-5,176)","391,907","(+/-4,991)"
Workers,"Employment Status",Employed,"375,606","(+/-6,557)","420,262","(+/-6,029)","374,609","(+/-4,567)","355,951","(+/-7,212)","400,364","(+/-5,531)","380,075","(+/-4,407)","366,233","(+/-5,263)","383,431","(+/-4,990)"
Workers,"Employment Status",Unemployed,"14,834","(+/-2,052)","9,998","(+/-1,632)","12,103","(+/-1,575)","16,440","(+/-2,599)","8,206","(+/-1,441)","8,683","(+/-1,505)","8,219","(+/-1,074)","8,476","(+/-1,203)"
Workers,"Employment Status","Armed Forces",328,(+/-385),265,(+/-225),"1,231",(+/-499),366,(+/-275),330,(+/-295),154,(+/-127),336,(+/-196),102,(+/-121)
Workers,"Employment Status","Not in labor force","203,196","(+/-6,248)","187,351","(+/-5,671)","219,676","(+/-3,923)","193,105","(+/-5,552)","203,369","(+/-5,078)","220,739","(+/-3,959)","239,719","(+/-4,377)","209,144","(+/-4,857)"
Workers,"Employment Status","Civilian labor force","390,440","(+/-6,516)","430,260","(+/-5,986)","386,712","(+/-4,480)","372,391","(+/-6,829)","408,570","(+/-5,574)","388,758","(+/-4,210)","374,452","(+/-5,176)","391,907","(+/-4,991)"
Workers,"Employment Status","Unemployment Rate",3.8,(+/-0.5),2.3,(+/-0.4),3.1,(+/-0.4),4.4,(+/-0.7),2.0,(+/-0.3),2.2,(+/-0.4),2.2,(+/-0.3),2.2,(+/-0.3)
Workers,"Commuting to Work","Workers 16 years and over","370,563","(+/-6,614)","414,394","(+/-6,366)","369,160","(+/-4,830)","351,545","(+/-7,247)","395,222","(+/-5,623)","375,182","(+/-4,479)","361,424","(+/-5,406)","377,928","(+/-4,834)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","288,185","(+/-6,721)","280,954","(+/-6,485)","283,025","(+/-4,881)","233,936","(+/-7,783)","308,386","(+/-6,143)","292,985","(+/-5,383)","273,542","(+/-5,188)","296,326","(+/-5,477)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,620","(+/-3,240)","26,838","(+/-3,766)","27,023","(+/-2,545)","34,483","(+/-3,734)","22,111","(+/-2,904)","29,642","(+/-2,442)","32,279","(+/-2,485)","28,945","(+/-3,070)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,725","(+/-1,036)","9,876","(+/-1,965)","1,218",(+/-570),"15,332","(+/-2,321)","1,408",(+/-814),688,(+/-341),908,(+/-544),"1,298",(+/-600)
Workers,"Commuting to Work",Walked,"5,820","(+/-1,110)","18,694","(+/-2,619)","12,701","(+/-1,489)","14,246","(+/-2,399)","3,768",(+/-994),"7,928","(+/-1,278)","8,969","(+/-1,431)","6,649","(+/-1,038)"
Workers,"Commuting to Work","Other means","5,825","(+/-1,990)","10,752","(+/-1,657)","7,295","(+/-1,081)","5,023","(+/-1,095)","3,644","(+/-1,066)","5,111","(+/-1,428)","5,486","(+/-1,199)","4,158","(+/-1,059)"
Workers,"Commuting to Work","Worked from home","39,388","(+/-3,372)","67,280","(+/-4,147)","37,898","(+/-2,556)","48,525","(+/-3,892)","55,905","(+/-3,420)","38,828","(+/-2,956)","40,240","(+/-2,067)","40,552","(+/-2,799)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.2,(+/-0.7),21.9,(+/-0.5),21.1,(+/-0.5),22.2,(+/-0.5),23.8,(+/-0.6),21.6,(+/-0.5),23.5,(+/-0.6),21.6,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","375,606","(+/-6,557)","420,262","(+/-6,029)","374,609","(+/-4,567)","355,951","(+/-7,212)","400,364","(+/-5,531)","380,075","(+/-4,407)","366,233","(+/-5,263)","383,431","(+/-4,990)"
Workers,Occupation,"Management, business, science, and arts occupations","145,897","(+/-5,572)","221,473","(+/-6,207)","138,714","(+/-4,480)","146,609","(+/-6,452)","184,942","(+/-5,307)","140,468","(+/-4,409)","136,581","(+/-3,866)","145,236","(+/-4,951)"
Workers,Occupation,"Service occupations","54,276","(+/-3,957)","58,336","(+/-4,449)","58,824","(+/-3,117)","63,053","(+/-4,253)","49,459","(+/-4,055)","53,981","(+/-3,463)","55,416","(+/-3,208)","54,476","(+/-3,475)"
Workers,Occupation,"Sales and office occupations","74,918","(+/-4,786)","69,208","(+/-4,322)","67,986","(+/-3,445)","60,578","(+/-4,161)","79,402","(+/-4,802)","70,475","(+/-4,584)","65,178","(+/-2,987)","73,368","(+/-3,766)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","29,506","(+/-2,545)","27,844","(+/-2,548)","36,913","(+/-2,466)","21,526","(+/-2,450)","34,024","(+/-2,642)","35,172","(+/-2,564)","42,333","(+/-2,210)","37,324","(+/-2,477)"
Workers,Occupation,"Production, transportation, and material moving occupations","71,009","(+/-4,409)","43,401","(+/-3,214)","72,172","(+/-3,243)","64,185","(+/-4,319)","52,537","(+/-3,952)","79,979","(+/-3,701)","66,725","(+/-2,885)","73,027","(+/-3,856)"
Workers,Industry,"Civilian employed population 16 years and over","375,606","(+/-6,557)","420,262","(+/-6,029)","374,609","(+/-4,567)","355,951","(+/-7,212)","400,364","(+/-5,531)","380,075","(+/-4,407)","366,233","(+/-5,263)","383,431","(+/-4,990)"
