Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","14,506","(+/-2,036)","27,072","(+/-2,889)","26,667","(+/-2,747)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","27,985","(+/-3,024)","27,182","(+/-2,887)","31,734","(+/-2,057)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","15,064","(+/-1,999)","9,851","(+/-1,614)","17,717","(+/-2,559)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","7,333","(+/-1,376)","4,568","(+/-1,003)","7,386","(+/-1,272)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","6,652","(+/-1,137)","4,017",(+/-964),"9,295","(+/-1,578)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",521,(+/-17),397,(+/-13),458,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","101,443","(+/-5,070)","69,085","(+/-4,579)","70,587","(+/-4,304)"
Housing,"Gross Rent","Less than $500","4,452","(+/-1,302)","10,147","(+/-1,984)","7,160","(+/-1,431)"
Housing,"Gross Rent","$500 to $999","30,576","(+/-3,278)","27,058","(+/-2,641)","25,866","(+/-2,420)"
Housing,"Gross Rent","$1,000 to $1,499","35,992","(+/-3,667)","21,677","(+/-2,731)","21,185","(+/-2,309)"
Housing,"Gross Rent","$1,500 to $1,999","18,993","(+/-2,746)","6,775","(+/-1,608)","10,419","(+/-2,282)"
Housing,"Gross Rent","$2,000 to $2,499","7,700","(+/-1,846)","2,301",(+/-889),"2,492",(+/-910)
Housing,"Gross Rent","$2,500 to $2,999","1,561",(+/-775),578,(+/-397),"1,561",(+/-699)
Housing,"Gross Rent","$3,000 or more","2,169",(+/-856),549,(+/-470),"1,904",(+/-697)
Housing,"Gross Rent","Median (dollars)","1,202",(+/-38),954,(+/-41),"1,042",(+/-35)
Housing,"Gross Rent","No rent paid","4,869","(+/-1,610)","8,107","(+/-1,911)","9,076","(+/-1,676)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","308,144","(+/-5,002)","269,814","(+/-5,130)","278,622","(+/-4,293)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","15,738","(+/-2,585)","21,822","(+/-2,879)","19,872","(+/-2,576)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","10,969","(+/-2,106)","16,921","(+/-2,698)","14,708","(+/-1,912)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","24,158","(+/-2,733)","26,023","(+/-3,007)","25,328","(+/-2,847)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","23,834","(+/-2,894)","24,942","(+/-2,977)","22,488","(+/-2,070)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","34,626","(+/-3,700)","32,194","(+/-3,018)","34,657","(+/-3,804)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","58,105","(+/-4,223)","45,172","(+/-3,661)","47,794","(+/-4,066)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","38,080","(+/-3,679)","36,118","(+/-3,904)","34,218","(+/-2,995)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","49,237","(+/-4,004)","37,185","(+/-2,895)","38,935","(+/-3,009)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","25,503","(+/-3,189)","16,366","(+/-2,287)","19,242","(+/-2,494)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","27,894","(+/-2,924)","13,071","(+/-2,185)","21,380","(+/-2,032)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","68,255","(+/-2,542)","56,082","(+/-2,003)","62,270","(+/-2,444)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","94,597","(+/-3,475)","74,288","(+/-2,396)","87,165","(+/-3,430)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","697,591","(+/-14,350)","692,164","(+/-14,360)","686,701","(+/-6,233)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","649,310","(+/-14,274)","623,870","(+/-13,326)","614,676","(+/-7,744)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","435,789","(+/-14,302)","339,040","(+/-11,898)","347,600","(+/-10,581)"
Socioeconomic,"Health Insurance Coverage","With public coverage","335,578","(+/-12,873)","375,328","(+/-14,551)","373,131","(+/-10,910)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","48,281","(+/-5,830)","68,294","(+/-6,406)","72,025","(+/-5,983)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","142,287","(+/-7,986)","170,913","(+/-7,555)","164,910","(+/-3,885)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","7,538","(+/-2,497)","8,923","(+/-2,483)","11,931","(+/-2,597)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.9,(+/-1.3),17.5,(+/-1.9),16.5,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.3,(+/-3.0),25.7,(+/-3.6),25.3,(+/-2.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",22.0,(+/-8.7),18.1,(+/-7.4),33.8,(+/-8.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.0,(+/-0.9),9.1,(+/-1.4),7.2,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.5,(+/-2.4),11.2,(+/-3.3),10.7,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.2,(+/-10.8),6.2,(+/-4.9),7.9,(+/-6.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",21.8,(+/-3.7),38.6,(+/-5.1),35.9,(+/-4.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",32.3,(+/-6.1),51.2,(+/-7.4),44.1,(+/-5.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",45.3,(+/-17.9),38.8,(+/-17.9),57.6,(+/-17.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",12.9,(+/-1.3),20.1,(+/-1.7),20.3,(+/-1.6)
