Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Veteran Status","Civilian population 18 years and over","610,780","(+/-4,984)","621,194","(+/-6,009)","610,858","(+/-6,985)","594,028","(+/-6,508)","610,978","(+/-7,796)","613,296","(+/-7,377)","617,482","(+/-9,114)","592,832","(+/-9,400)","594,518","(+/-9,361)","595,581","(+/-11,077)","611,052","(+/-8,355)","599,973","(+/-8,563)"
People,"Veteran Status","Civilian veterans","28,189","(+/-2,584)","34,120","(+/-2,340)","31,610","(+/-3,011)","30,833","(+/-2,442)","18,094","(+/-2,314)","19,194","(+/-2,427)","22,164","(+/-2,002)","10,311","(+/-2,064)","14,915","(+/-2,081)","15,811","(+/-2,567)","17,080","(+/-1,752)","16,164","(+/-2,273)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","771,634","(+/-6,580)","774,538","(+/-6,819)","767,956","(+/-7,589)","789,472","(+/-7,684)","760,697","(+/-10,028)","759,653","(+/-9,306)","772,939","(+/-11,241)","746,019","(+/-12,795)","768,267","(+/-12,231)","758,150","(+/-14,510)","770,965","(+/-9,201)","763,847","(+/-8,311)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","113,913","(+/-6,434)","106,392","(+/-5,771)","82,553","(+/-4,097)","85,949","(+/-5,295)","73,369","(+/-4,009)","78,834","(+/-4,267)","71,670","(+/-4,469)","82,734","(+/-5,588)","75,953","(+/-5,757)","93,132","(+/-6,538)","67,308","(+/-4,153)","69,972","(+/-4,776)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","166,189","(+/-2,935)","163,484","(+/-4,156)","168,094","(+/-4,517)","200,571","(+/-4,386)","156,268","(+/-5,485)","152,751","(+/-5,947)","160,710","(+/-5,382)","157,103","(+/-8,084)","175,607","(+/-6,853)","172,384","(+/-7,171)","164,742","(+/-5,428)","170,536","(+/-5,999)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","12,065","(+/-2,441)","9,428","(+/-2,587)","5,541","(+/-1,395)","3,414",(+/-962),"3,670","(+/-1,139)","6,437","(+/-1,868)","6,855","(+/-1,399)","7,482","(+/-2,111)","6,914","(+/-1,570)","9,679","(+/-2,796)","4,831","(+/-1,294)","6,742","(+/-1,857)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","472,994","(+/-4,800)","444,454","(+/-5,783)","454,287","(+/-7,091)","423,868","(+/-6,325)","456,306","(+/-8,029)","483,293","(+/-7,782)","466,925","(+/-8,095)","502,123","(+/-8,266)","471,500","(+/-10,017)","471,088","(+/-9,696)","469,950","(+/-7,369)","467,567","(+/-7,669)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","55,259","(+/-4,334)","50,534","(+/-3,858)","39,052","(+/-3,454)","32,905","(+/-3,915)","32,072","(+/-2,749)","35,623","(+/-3,021)","28,781","(+/-2,649)","39,145","(+/-3,581)","34,606","(+/-3,591)","48,953","(+/-4,463)","31,025","(+/-3,097)","27,168","(+/-3,186)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","132,451","(+/-2,851)","166,600","(+/-3,347)","145,575","(+/-3,289)","165,033","(+/-4,022)","148,123","(+/-4,436)","123,609","(+/-4,213)","145,304","(+/-4,664)","86,793","(+/-4,774)","121,160","(+/-4,751)","114,678","(+/-5,733)","136,273","(+/-4,284)","125,744","(+/-5,300)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,589","(+/-3,169)","46,430","(+/-3,137)","37,960","(+/-2,268)","49,630","(+/-3,181)","37,627","(+/-3,052)","36,774","(+/-2,708)","36,034","(+/-3,199)","36,107","(+/-3,529)","34,433","(+/-3,472)","34,500","(+/-3,513)","31,452","(+/-2,546)","36,062","(+/-2,730)"
People,"Residence 1 Year Ago","Population 1 year and over","768,854","(+/-6,634)","780,070","(+/-6,674)","775,001","(+/-7,780)","784,941","(+/-7,726)","760,368","(+/-10,102)","759,333","(+/-9,330)","772,497","(+/-11,549)","739,668","(+/-12,787)","759,602","(+/-11,897)","759,105","(+/-14,167)","770,155","(+/-9,301)","763,037","(+/-8,142)"
People,"Residence 1 Year Ago","Same house","687,283","(+/-11,529)","708,775","(+/-8,883)","705,491","(+/-10,878)","720,021","(+/-10,902)","690,154","(+/-11,233)","679,660","(+/-11,445)","714,875","(+/-11,820)","655,734","(+/-14,940)","696,682","(+/-13,193)","682,180","(+/-16,353)","709,131","(+/-11,115)","682,058","(+/-11,554)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","81,571","(+/-9,768)","71,295","(+/-7,409)","69,510","(+/-7,346)","64,920","(+/-8,173)","70,214","(+/-7,513)","79,673","(+/-8,147)","57,622","(+/-6,211)","83,934","(+/-8,219)","62,920","(+/-7,041)","76,925","(+/-9,637)","61,024","(+/-6,686)","80,979","(+/-9,316)"
People,"Residence 1 Year Ago","Different house in the U.S.","76,839","(+/-9,141)","64,889","(+/-6,318)","66,237","(+/-7,439)","60,731","(+/-7,272)","65,601","(+/-7,420)","68,215","(+/-7,349)","53,021","(+/-6,243)","68,372","(+/-7,249)","53,211","(+/-6,368)","64,875","(+/-8,713)","54,441","(+/-6,309)","70,197","(+/-9,371)"
People,"Residence 1 Year Ago","Same county","39,101","(+/-6,688)","34,562","(+/-5,360)","24,708","(+/-4,157)","35,037","(+/-5,891)","31,186","(+/-5,615)","34,093","(+/-6,197)","21,857","(+/-4,821)","36,762","(+/-5,242)","31,369","(+/-4,899)","41,866","(+/-6,953)","24,586","(+/-4,459)","35,037","(+/-8,085)"
People,"Residence 1 Year Ago","Different county","37,738","(+/-5,869)","30,327","(+/-3,555)","41,529","(+/-6,296)","25,694","(+/-3,895)","34,415","(+/-4,700)","34,122","(+/-4,114)","31,164","(+/-4,577)","31,610","(+/-5,452)","21,842","(+/-3,856)","23,009","(+/-4,628)","29,855","(+/-4,539)","35,160","(+/-5,403)"
People,"Residence 1 Year Ago","Same state","24,689","(+/-5,072)","17,606","(+/-2,712)","27,299","(+/-5,102)","16,520","(+/-3,135)","15,543","(+/-3,031)","20,828","(+/-3,211)","19,958","(+/-3,887)","11,368","(+/-4,491)","15,266","(+/-3,232)","10,287","(+/-2,570)","18,615","(+/-3,573)","22,151","(+/-4,179)"
People,"Residence 1 Year Ago","Different state","13,049","(+/-2,672)","12,721","(+/-2,566)","14,230","(+/-3,633)","9,174","(+/-2,599)","18,872","(+/-3,815)","13,294","(+/-2,500)","11,206","(+/-2,333)","20,242","(+/-3,681)","6,576","(+/-1,599)","12,722","(+/-3,746)","11,240","(+/-2,393)","13,009","(+/-2,963)"
People,"Residence 1 Year Ago",Abroad,"4,732","(+/-1,942)","6,406","(+/-3,324)","3,273","(+/-1,204)","4,189","(+/-2,929)","4,613","(+/-1,631)","11,458","(+/-3,096)","4,601","(+/-1,437)","15,562","(+/-3,865)","9,709","(+/-3,096)","12,050","(+/-3,774)","6,583","(+/-2,205)","10,782","(+/-3,259)"
Workers,"Employment Status","Population 16 years and over","629,082","(+/-5,591)","643,552","(+/-6,229)","636,557","(+/-6,912)","614,253","(+/-6,976)","630,890","(+/-8,040)","632,342","(+/-7,464)","640,023","(+/-9,536)","609,494","(+/-9,532)","617,089","(+/-9,588)","616,339","(+/-11,766)","629,777","(+/-8,701)","620,784","(+/-8,517)"
Workers,"Employment Status","In labor force","421,114","(+/-6,946)","399,077","(+/-8,171)","421,560","(+/-7,365)","377,394","(+/-7,136)","422,642","(+/-8,267)","425,330","(+/-8,968)","440,002","(+/-9,032)","441,211","(+/-7,958)","415,566","(+/-9,631)","414,594","(+/-10,072)","432,996","(+/-8,447)","420,770","(+/-7,430)"
Workers,"Employment Status","Civilian labor force","420,568","(+/-6,888)","396,976","(+/-8,220)","418,178","(+/-7,549)","376,173","(+/-7,175)","422,239","(+/-8,287)","425,330","(+/-8,968)","439,878","(+/-9,008)","441,173","(+/-7,961)","415,052","(+/-9,628)","414,047","(+/-10,234)","432,996","(+/-8,447)","420,542","(+/-7,426)"
Workers,"Employment Status",Employed,"401,773","(+/-7,150)","375,743","(+/-7,765)","400,590","(+/-8,051)","361,641","(+/-7,012)","407,029","(+/-8,438)","401,153","(+/-8,891)","426,283","(+/-8,520)","418,082","(+/-8,059)","393,888","(+/-9,214)","382,918","(+/-10,504)","416,206","(+/-8,221)","400,199","(+/-7,518)"
Workers,"Employment Status",Unemployed,"18,795","(+/-3,075)","21,233","(+/-3,373)","17,588","(+/-2,705)","14,532","(+/-2,241)","15,210","(+/-2,237)","24,177","(+/-2,868)","13,595","(+/-1,987)","23,091","(+/-2,850)","21,164","(+/-3,064)","31,129","(+/-4,160)","16,790","(+/-2,956)","20,343","(+/-2,673)"
Workers,"Employment Status","Armed Forces",546,(+/-503),"2,101",(+/-821),"3,382",(+/-760),"1,221",(+/-627),403,(+/-442),0,(+/-225),124,(+/-171),38,(+/-66),514,(+/-418),547,(+/-574),0,(+/-225),228,(+/-302)
Workers,"Employment Status","Not in labor force","207,968","(+/-6,498)","244,475","(+/-6,551)","214,997","(+/-5,674)","236,859","(+/-6,056)","208,248","(+/-6,283)","207,012","(+/-6,847)","200,021","(+/-5,757)","168,283","(+/-7,577)","201,523","(+/-6,206)","201,745","(+/-9,185)","196,781","(+/-6,456)","200,014","(+/-7,274)"
Workers,"Employment Status","Civilian labor force","420,568","(+/-6,888)","396,976","(+/-8,220)","418,178","(+/-7,549)","376,173","(+/-7,175)","422,239","(+/-8,287)","425,330","(+/-8,968)","439,878","(+/-9,008)","441,173","(+/-7,961)","415,052","(+/-9,628)","414,047","(+/-10,234)","432,996","(+/-8,447)","420,542","(+/-7,426)"
Workers,"Employment Status","Unemployment Rate",4.5,(+/-0.7),5.3,(+/-0.8),4.2,(+/-0.7),3.9,(+/-0.6),3.6,(+/-0.5),5.7,(+/-0.7),3.1,(+/-0.4),5.2,(+/-0.6),5.1,(+/-0.7),7.5,(+/-1.0),3.9,(+/-0.7),4.8,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","392,558","(+/-7,145)","369,180","(+/-7,560)","395,243","(+/-8,037)","353,570","(+/-6,936)","397,634","(+/-8,272)","392,043","(+/-8,705)","419,693","(+/-8,609)","408,568","(+/-8,080)","384,231","(+/-9,298)","372,619","(+/-10,418)","409,112","(+/-8,433)","392,949","(+/-7,531)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","282,880","(+/-9,030)","272,720","(+/-7,834)","283,079","(+/-7,844)","265,279","(+/-7,318)","249,892","(+/-8,752)","244,542","(+/-7,746)","289,313","(+/-7,768)","141,853","(+/-8,004)","235,242","(+/-9,159)","197,720","(+/-9,526)","261,334","(+/-8,484)","243,341","(+/-8,665)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,230","(+/-4,217)","33,315","(+/-4,327)","23,148","(+/-2,879)","26,149","(+/-3,386)","31,262","(+/-4,617)","33,942","(+/-4,109)","25,543","(+/-3,698)","37,513","(+/-4,998)","46,147","(+/-3,971)","34,169","(+/-4,835)","23,819","(+/-3,408)","29,541","(+/-3,528)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","13,876","(+/-2,400)","10,380","(+/-2,274)","12,922","(+/-2,059)","7,687","(+/-1,745)","43,680","(+/-4,068)","28,305","(+/-3,224)","18,723","(+/-2,427)","133,860","(+/-7,183)","42,575","(+/-3,855)","77,694","(+/-5,171)","37,607","(+/-3,766)","22,575","(+/-2,665)"
Workers,"Commuting to Work",Walked,"5,327","(+/-1,313)","8,034","(+/-1,511)","3,473","(+/-1,304)","3,495","(+/-1,097)","8,902","(+/-1,538)","13,467","(+/-2,097)","5,370","(+/-1,279)","27,920","(+/-3,442)","14,472","(+/-2,107)","11,078","(+/-2,503)","6,137","(+/-1,484)","9,478","(+/-1,793)"
Workers,"Commuting to Work","Other means","5,841","(+/-1,503)","7,227","(+/-1,774)","6,715","(+/-1,803)","6,439","(+/-1,921)","7,565","(+/-1,799)","19,103","(+/-2,532)","4,045","(+/-1,117)","10,228","(+/-2,076)","8,434","(+/-2,014)","15,147","(+/-3,250)","5,679","(+/-1,474)","23,642","(+/-3,498)"
Workers,"Commuting to Work","Worked from home","53,404","(+/-3,705)","37,504","(+/-3,773)","65,906","(+/-4,581)","44,521","(+/-3,766)","56,333","(+/-3,761)","52,684","(+/-4,405)","76,699","(+/-4,435)","57,194","(+/-4,532)","37,361","(+/-3,694)","36,811","(+/-3,856)","74,536","(+/-4,628)","64,372","(+/-4,730)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",28.9,(+/-0.8),26.2,(+/-0.8),30.5,(+/-0.8),31.0,(+/-0.9),33.2,(+/-0.9),31.1,(+/-0.8),33.7,(+/-0.8),34.4,(+/-0.9),29.1,(+/-0.8),35.1,(+/-1.1),31.9,(+/-0.9),31.7,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","401,773","(+/-7,150)","375,743","(+/-7,765)","400,590","(+/-8,051)","361,641","(+/-7,012)","407,029","(+/-8,438)","401,153","(+/-8,891)","426,283","(+/-8,520)","418,082","(+/-8,059)","393,888","(+/-9,214)","382,918","(+/-10,504)","416,206","(+/-8,221)","400,199","(+/-7,518)"
Workers,Occupation,"Management, business, science, and arts occupations","171,882","(+/-6,469)","145,370","(+/-5,899)","202,110","(+/-6,726)","167,702","(+/-5,755)","219,857","(+/-8,062)","190,459","(+/-6,454)","241,257","(+/-6,588)","181,624","(+/-7,496)","154,221","(+/-6,875)","151,809","(+/-6,290)","241,400","(+/-7,030)","199,705","(+/-5,475)"
Workers,Occupation,"Service occupations","64,339","(+/-4,161)","78,796","(+/-5,616)","52,041","(+/-3,844)","58,259","(+/-4,596)","52,713","(+/-4,252)","62,478","(+/-5,810)","48,484","(+/-4,388)","66,520","(+/-5,184)","71,503","(+/-4,904)","78,775","(+/-6,350)","48,101","(+/-4,501)","60,483","(+/-4,211)"
Workers,Occupation,"Sales and office occupations","87,235","(+/-5,408)","71,704","(+/-5,246)","84,435","(+/-5,232)","74,845","(+/-5,307)","84,280","(+/-4,768)","71,299","(+/-4,167)","76,761","(+/-5,305)","68,592","(+/-5,970)","76,104","(+/-5,568)","69,107","(+/-6,135)","76,780","(+/-4,983)","67,816","(+/-4,340)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","28,677","(+/-2,647)","32,147","(+/-2,853)","23,575","(+/-2,507)","30,869","(+/-3,551)","21,708","(+/-3,156)","25,844","(+/-2,720)","26,218","(+/-2,911)","38,720","(+/-3,804)","31,650","(+/-3,354)","27,936","(+/-3,473)","19,968","(+/-3,050)","24,250","(+/-2,763)"
Workers,Occupation,"Production, transportation, and material moving occupations","49,640","(+/-4,438)","47,726","(+/-4,079)","38,429","(+/-3,827)","29,966","(+/-2,928)","28,471","(+/-2,908)","51,073","(+/-3,620)","33,563","(+/-3,350)","62,626","(+/-5,454)","60,410","(+/-4,863)","55,291","(+/-5,035)","29,957","(+/-3,469)","47,945","(+/-4,665)"
Workers,Industry,"Civilian employed population 16 years and over","401,773","(+/-7,150)","375,743","(+/-7,765)","400,590","(+/-8,051)","361,641","(+/-7,012)","407,029","(+/-8,438)","401,153","(+/-8,891)","426,283","(+/-8,520)","418,082","(+/-8,059)","393,888","(+/-9,214)","382,918","(+/-10,504)","416,206","(+/-8,221)","400,199","(+/-7,518)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,791","(+/-1,081)","3,845","(+/-1,094)",763,(+/-455),420,(+/-266),"1,000",(+/-501),"1,721",(+/-970),"2,549",(+/-810),874,(+/-717),990,(+/-588),453,(+/-337),603,(+/-398),"1,629",(+/-973)
Workers,Industry,Construction,"25,679","(+/-2,853)","26,561","(+/-2,832)","22,758","(+/-2,640)","31,021","(+/-3,728)","23,552","(+/-3,274)","21,099","(+/-3,055)","23,128","(+/-2,907)","34,690","(+/-3,817)","27,906","(+/-3,286)","24,310","(+/-3,282)","19,390","(+/-3,196)","21,142","(+/-2,590)"
Workers,Industry,Manufacturing,"30,430","(+/-3,036)","26,963","(+/-3,223)","32,063","(+/-3,334)","22,070","(+/-2,685)","30,508","(+/-3,160)","34,479","(+/-3,674)","50,456","(+/-3,839)","31,157","(+/-3,801)","34,600","(+/-3,189)","20,607","(+/-2,564)","38,778","(+/-3,757)","43,568","(+/-3,183)"
Workers,Industry,"Wholesale trade","8,858","(+/-1,723)","6,849","(+/-1,336)","9,539","(+/-1,861)","7,875","(+/-1,732)","12,991","(+/-2,119)","13,188","(+/-2,188)","8,422","(+/-1,800)","13,545","(+/-2,967)","11,366","(+/-1,974)","7,795","(+/-1,930)","10,130","(+/-1,802)","9,634","(+/-1,919)"
Workers,Industry,"Retail trade","51,186","(+/-3,942)","38,625","(+/-3,653)","41,690","(+/-4,294)","38,760","(+/-3,792)","44,318","(+/-4,048)","40,074","(+/-3,391)","36,826","(+/-3,270)","36,610","(+/-3,979)","41,273","(+/-4,439)","32,725","(+/-3,579)","37,276","(+/-4,329)","36,637","(+/-3,436)"
Workers,Industry,"Transportation and warehousing, and utilities","26,650","(+/-2,857)","21,535","(+/-3,041)","24,639","(+/-3,496)","18,438","(+/-2,773)","16,868","(+/-2,518)","29,360","(+/-3,332)","19,443","(+/-3,271)","37,487","(+/-4,749)","29,756","(+/-3,943)","43,228","(+/-5,129)","19,762","(+/-2,854)","27,278","(+/-3,522)"
Workers,Industry,Information,"8,487","(+/-2,188)","4,269","(+/-1,071)","10,853","(+/-2,182)","8,756","(+/-1,866)","10,065","(+/-1,444)","9,867","(+/-1,580)","12,081","(+/-1,844)","14,718","(+/-2,837)","7,188","(+/-1,526)","9,044","(+/-1,656)","15,268","(+/-1,727)","12,916","(+/-2,080)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","29,729","(+/-3,456)","21,415","(+/-2,552)","33,885","(+/-3,182)","25,818","(+/-2,800)","43,127","(+/-3,487)","34,192","(+/-2,362)","43,727","(+/-3,876)","40,282","(+/-3,433)","29,339","(+/-3,711)","25,534","(+/-3,342)","44,349","(+/-2,949)","37,418","(+/-3,566)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","46,391","(+/-3,708)","36,599","(+/-4,080)","55,718","(+/-4,145)","45,783","(+/-4,048)","64,117","(+/-4,290)","63,798","(+/-4,946)","69,301","(+/-4,186)","67,345","(+/-4,979)","51,951","(+/-4,379)","46,604","(+/-4,940)","71,209","(+/-4,268)","70,212","(+/-4,963)"
Workers,Industry,"Educational services, and health care and social assistance","108,803","(+/-5,603)","99,799","(+/-5,981)","96,230","(+/-5,477)","96,342","(+/-5,218)","98,885","(+/-5,427)","93,320","(+/-4,988)","99,142","(+/-5,457)","78,876","(+/-5,663)","92,568","(+/-5,931)","104,102","(+/-7,190)","101,684","(+/-5,337)","86,232","(+/-4,896)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","27,716","(+/-3,181)","51,636","(+/-4,335)","28,402","(+/-2,792)","29,987","(+/-3,148)","32,113","(+/-3,599)","27,231","(+/-2,975)","27,057","(+/-3,396)","30,652","(+/-3,660)","33,648","(+/-3,456)","28,421","(+/-3,533)","26,224","(+/-3,155)","24,598","(+/-3,258)"
Workers,Industry,"Other services, except public administration","16,656","(+/-2,149)","15,357","(+/-1,852)","17,536","(+/-3,172)","17,531","(+/-2,729)","16,947","(+/-2,502)","17,731","(+/-2,730)","18,228","(+/-2,314)","18,882","(+/-3,026)","21,868","(+/-2,731)","21,155","(+/-3,078)","17,021","(+/-2,469)","12,843","(+/-2,130)"
Workers,Industry,"Public administration","19,397","(+/-2,171)","22,290","(+/-2,727)","26,514","(+/-3,292)","18,840","(+/-2,741)","12,538","(+/-2,012)","15,093","(+/-2,265)","15,923","(+/-2,230)","12,964","(+/-2,430)","11,435","(+/-1,979)","18,940","(+/-2,651)","14,512","(+/-2,168)","16,092","(+/-2,363)"
Workers,"Class of Worker","Civilian employed population 16 years and over","401,773","(+/-7,150)","375,743","(+/-7,765)","400,590","(+/-8,051)","361,641","(+/-7,012)","407,029","(+/-8,438)","401,153","(+/-8,891)","426,283","(+/-8,520)","418,082","(+/-8,059)","393,888","(+/-9,214)","382,918","(+/-10,504)","416,206","(+/-8,221)","400,199","(+/-7,518)"
Workers,"Class of Worker","Private wage and salary workers","324,512","(+/-7,414)","285,037","(+/-8,751)","317,448","(+/-8,332)","282,535","(+/-6,793)","333,480","(+/-7,864)","327,556","(+/-9,234)","343,347","(+/-8,314)","349,477","(+/-7,676)","322,216","(+/-8,603)","308,173","(+/-9,132)","335,050","(+/-9,193)","334,265","(+/-7,522)"
Workers,"Class of Worker","Government workers","58,826","(+/-4,084)","72,643","(+/-4,983)","64,060","(+/-5,328)","56,536","(+/-3,989)","48,595","(+/-3,586)","52,871","(+/-3,986)","60,971","(+/-4,292)","43,631","(+/-3,999)","47,408","(+/-4,162)","56,951","(+/-5,123)","59,423","(+/-4,653)","47,800","(+/-3,973)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","17,623","(+/-2,558)","17,727","(+/-2,650)","18,544","(+/-2,576)","21,757","(+/-2,922)","23,763","(+/-2,978)","20,244","(+/-2,892)","21,627","(+/-2,614)","24,038","(+/-4,339)","22,662","(+/-3,128)","17,225","(+/-2,775)","21,306","(+/-2,662)","17,428","(+/-2,570)"
Workers,"Class of Worker","Unpaid family workers",812,(+/-495),336,(+/-306),538,(+/-383),813,(+/-718),"1,191",(+/-692),482,(+/-341),338,(+/-287),936,(+/-594),"1,602",(+/-791),569,(+/-551),427,(+/-331),706,(+/-507)
Housing,"Housing Occupancy","Total housing units","315,250","(+/-2,654)","415,719","(+/-3,769)","304,496","(+/-3,819)","335,205","(+/-3,823)","303,542","(+/-4,277)","299,530","(+/-4,201)","307,563","(+/-4,131)","334,539","(+/-5,418)","286,115","(+/-4,959)","309,895","(+/-6,466)","298,634","(+/-4,560)","293,164","(+/-5,044)"
Housing,"Housing Occupancy","Occupied housing units","299,064","(+/-3,448)","315,537","(+/-4,477)","293,965","(+/-4,149)","297,201","(+/-4,326)","289,812","(+/-4,326)","285,680","(+/-4,521)","298,608","(+/-4,599)","314,211","(+/-5,775)","275,403","(+/-5,309)","295,262","(+/-6,305)","287,915","(+/-5,057)","285,799","(+/-5,034)"
Housing,"Housing Occupancy","Vacant housing units","16,186","(+/-2,599)","100,182","(+/-4,572)","10,531","(+/-2,003)","38,004","(+/-3,700)","13,730","(+/-2,289)","13,850","(+/-2,314)","8,955","(+/-1,956)","20,328","(+/-3,037)","10,712","(+/-2,019)","14,633","(+/-2,098)","10,719","(+/-2,303)","7,365","(+/-1,647)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.3),0.5,(+/-0.2),0.2,(+/-0.2),0.6,(+/-0.4),0.7,(+/-0.4),0.1,(+/-0.2),0.3,(+/-0.3),1.8,(+/-1.0),0.4,(+/-0.3),0.7,(+/-0.4),0.5,(+/-0.3),0.2,(+/-0.2)
Housing,"Housing Occupancy","Rental vacancy rate",3.9,(+/-1.3),6.2,(+/-1.6),2.3,(+/-1.4),5.3,(+/-2.0),2.7,(+/-1.1),1.6,(+/-0.9),2.8,(+/-1.5),2.7,(+/-0.6),2.0,(+/-0.7),2.7,(+/-0.7),3.7,(+/-1.5),1.9,(+/-0.7)
Housing,"Housing Tenure","Occupied housing units","299,064","(+/-3,448)","315,537","(+/-4,477)","293,965","(+/-4,149)","297,201","(+/-4,326)","289,812","(+/-4,326)","285,680","(+/-4,521)","298,608","(+/-4,599)","314,211","(+/-5,775)","275,403","(+/-5,309)","295,262","(+/-6,305)","287,915","(+/-5,057)","285,799","(+/-5,034)"
Housing,"Housing Tenure",Owner-occupied,"206,323","(+/-5,211)","235,618","(+/-5,238)","227,572","(+/-4,843)","234,983","(+/-4,804)","209,815","(+/-5,235)","167,965","(+/-4,893)","234,408","(+/-4,702)","84,526","(+/-4,589)","134,603","(+/-5,233)","124,053","(+/-5,731)","209,300","(+/-4,754)","186,286","(+/-4,979)"
Housing,"Housing Tenure",Renter-occupied,"92,741","(+/-5,020)","79,919","(+/-4,244)","66,393","(+/-4,039)","62,218","(+/-4,210)","79,997","(+/-4,670)","117,715","(+/-5,318)","64,200","(+/-4,030)","229,685","(+/-6,148)","140,800","(+/-5,350)","171,209","(+/-5,850)","78,615","(+/-4,998)","99,513","(+/-4,435)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.77,(+/-0.04),2.45,(+/-0.05),2.75,(+/-0.05),2.65,(+/-0.05),2.77,(+/-0.05),2.73,(+/-0.06),2.72,(+/-0.04),2.61,(+/-0.09),2.95,(+/-0.09),2.90,(+/-0.10),2.82,(+/-0.04),2.71,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.09,(+/-0.09),2.42,(+/-0.10),2.12,(+/-0.12),2.67,(+/-0.14),2.18,(+/-0.09),2.40,(+/-0.08),2.06,(+/-0.09),2.27,(+/-0.05),2.62,(+/-0.06),2.28,(+/-0.07),2.14,(+/-0.10),2.48,(+/-0.09)
Housing,"Year Householder Moved into Unit","Occupied housing units","299,064","(+/-3,448)","315,537","(+/-4,477)","293,965","(+/-4,149)","297,201","(+/-4,326)","289,812","(+/-4,326)","285,680","(+/-4,521)","298,608","(+/-4,599)","314,211","(+/-5,775)","275,403","(+/-5,309)","295,262","(+/-6,305)","287,915","(+/-5,057)","285,799","(+/-5,034)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","67,302","(+/-4,399)","56,569","(+/-3,915)","53,139","(+/-3,959)","52,664","(+/-3,907)","59,198","(+/-3,949)","67,075","(+/-4,266)","56,228","(+/-3,650)","108,686","(+/-5,650)","59,911","(+/-4,638)","75,738","(+/-5,199)","59,022","(+/-4,158)","66,045","(+/-4,626)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","56,664","(+/-4,335)","61,440","(+/-4,687)","51,767","(+/-3,373)","58,367","(+/-4,387)","48,196","(+/-3,885)","52,539","(+/-3,395)","49,800","(+/-4,287)","66,150","(+/-5,059)","53,024","(+/-4,399)","60,950","(+/-4,956)","45,935","(+/-3,220)","48,134","(+/-3,739)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","61,592","(+/-4,076)","71,073","(+/-4,541)","66,390","(+/-3,673)","71,284","(+/-4,055)","60,176","(+/-3,833)","60,907","(+/-3,548)","68,916","(+/-3,617)","65,296","(+/-5,227)","65,420","(+/-3,934)","70,152","(+/-5,310)","65,674","(+/-4,043)","67,126","(+/-4,423)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","43,673","(+/-3,063)","59,124","(+/-3,571)","55,254","(+/-4,067)","52,095","(+/-3,002)","50,692","(+/-3,639)","44,801","(+/-3,624)","52,563","(+/-3,682)","35,071","(+/-3,482)","45,527","(+/-4,181)","41,679","(+/-3,926)","47,881","(+/-3,181)","50,398","(+/-3,810)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","30,809","(+/-2,772)","31,955","(+/-2,563)","34,884","(+/-2,886)","33,744","(+/-2,749)","32,746","(+/-3,139)","29,696","(+/-2,407)","36,250","(+/-2,477)","19,606","(+/-3,084)","25,575","(+/-3,173)","23,452","(+/-2,742)","34,648","(+/-2,730)","29,809","(+/-2,667)"
