Business,"Total Establishments",Information,379,X
Business,"Total Establishments","Finance and insurance","1,837",X
Business,"Total Establishments","Real estate and rental and leasing","1,128",X
Business,"Total Establishments","Professional, scientific, and technical services","1,887",X
Business,"Total Establishments","Management of companies and enterprises",142,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,164",X
Business,"Total Establishments","Educational services",196,X
Business,"Total Establishments","Health care and social assistance","2,345",X
Business,"Total Establishments","Arts, entertainment, and recreation",514,X
Business,"Total Establishments","Accommodation and food services","2,157",X
Business,"Total Establishments","Other services (except public administration)","2,608",X
Business,"Total Establishments","Industries not classified",30,X


"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
