Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","60 to 64 years","62,153","(+/-4,892)","62,303","(+/-3,198)","36,401","(+/-3,836)","46,567","(+/-4,017)","46,075","(+/-3,842)","59,393","(+/-3,243)","40,811","(+/-3,129)","53,563","(+/-4,034)","60,565","(+/-4,703)"
People,"Sex and Age","65 to 74 years","94,932","(+/-5,111)","118,996","(+/-2,731)","45,117","(+/-3,423)","75,105","(+/-4,507)","78,116","(+/-4,871)","120,248","(+/-3,950)","67,622","(+/-3,448)","100,562","(+/-5,139)","107,534","(+/-4,819)"
People,"Sex and Age","75 to 84 years","54,630","(+/-3,808)","64,782","(+/-3,437)","21,900","(+/-2,902)","43,558","(+/-3,619)","50,938","(+/-3,681)","77,808","(+/-3,179)","39,777","(+/-2,555)","70,715","(+/-3,958)","66,293","(+/-3,684)"
People,"Sex and Age","85 years and over","18,986","(+/-2,151)","15,206","(+/-1,567)","4,621","(+/-1,167)","13,038","(+/-1,800)","11,609","(+/-1,451)","24,842","(+/-2,297)","9,606","(+/-1,449)","23,350","(+/-2,588)","17,840","(+/-2,483)"
People,"Sex and Age","Median age (years)",42.5,(+/-1.3),42.6,(+/-0.6),31.5,(+/-0.6),35.8,(+/-0.9),38.5,(+/-0.6),46.0,(+/-1.0),34.1,(+/-0.7),43.5,(+/-1.4),41.9,(+/-0.9)
People,"Sex and Age","18 years and over","662,683","(+/-16,025)","665,809","(+/-5,762)","602,968","(+/-16,607)","657,557","(+/-12,287)","641,105","(+/-12,762)","668,211","(+/-12,308)","622,442","(+/-12,851)","637,355","(+/-15,758)","693,135","(+/-12,322)"
People,"Sex and Age","65 years and over","168,548","(+/-7,081)","198,984","(+/-3,140)","71,638","(+/-4,914)","131,701","(+/-5,846)","140,663","(+/-6,331)","222,898","(+/-5,304)","117,005","(+/-4,511)","194,627","(+/-6,999)","191,667","(+/-6,452)"
People,Race,"Total population","804,256","(+/-22,081)","833,298","(+/-6,866)","814,391","(+/-24,226)","814,381","(+/-17,786)","857,744","(+/-16,572)","813,933","(+/-16,423)","811,832","(+/-17,054)","800,203","(+/-19,470)","881,306","(+/-12,542)"
People,Race,"One race","707,238","(+/-18,763)","718,981","(+/-9,406)","512,727","(+/-23,960)","662,835","(+/-17,398)","738,945","(+/-19,030)","668,918","(+/-15,791)","504,979","(+/-17,015)","692,076","(+/-18,666)","743,858","(+/-15,572)"
People,Race,White,"574,043","(+/-16,223)","486,513","(+/-8,088)","228,722","(+/-12,601)","487,459","(+/-16,150)","596,525","(+/-17,294)","545,839","(+/-12,183)","309,222","(+/-14,246)","551,434","(+/-17,194)","549,746","(+/-16,232)"
People,Race,"Black or African American","31,910","(+/-7,619)","25,071","(+/-4,080)","94,333","(+/-11,103)","43,657","(+/-6,806)","27,403","(+/-6,360)","30,107","(+/-4,166)","30,962","(+/-4,313)","31,864","(+/-5,873)","41,525","(+/-7,948)"
People,Race,"American Indian and Alaska Native","14,310","(+/-3,262)","152,191","(+/-4,436)","25,624","(+/-5,522)","19,454","(+/-3,832)","12,836","(+/-3,343)","13,373","(+/-4,247)","27,951","(+/-3,517)","15,047","(+/-5,189)","13,797","(+/-2,713)"
People,Race,Asian,"40,755","(+/-6,042)","13,098","(+/-2,735)","18,464","(+/-3,686)","48,726","(+/-6,459)","55,071","(+/-7,231)","23,965","(+/-2,299)","15,698","(+/-3,071)","35,419","(+/-5,158)","18,799","(+/-4,381)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,019",(+/-755),"2,190",(+/-869),"1,610",(+/-889),"4,396","(+/-1,901)",788,(+/-650),"2,850","(+/-1,444)",526,(+/-499),"2,061","(+/-1,231)","1,417",(+/-842)
People,Race,"Some other race","45,201","(+/-9,237)","39,918","(+/-6,115)","143,974","(+/-16,921)","59,143","(+/-9,265)","46,322","(+/-8,708)","52,784","(+/-7,394)","120,620","(+/-11,736)","56,251","(+/-9,523)","118,574","(+/-14,254)"
People,Race,"Two or more races","97,018","(+/-10,321)","114,317","(+/-9,272)","301,664","(+/-18,163)","151,546","(+/-13,111)","118,799","(+/-9,615)","145,015","(+/-11,052)","306,853","(+/-15,243)","108,127","(+/-13,073)","137,448","(+/-11,983)"
People,"Hispanic or Latino and Race","Total population","804,256","(+/-22,081)","833,298","(+/-6,866)","814,391","(+/-24,226)","814,381","(+/-17,786)","857,744","(+/-16,572)","813,933","(+/-16,423)","811,832","(+/-17,054)","800,203","(+/-19,470)","881,306","(+/-12,542)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","135,776","(+/-13,797)","150,960","(+/-7,276)","509,811","(+/-22,466)","238,066","(+/-17,327)","168,238","(+/-12,548)","214,126","(+/-11,882)","489,263","(+/-12,851)","168,860","(+/-15,291)","271,708","(+/-16,033)"
People,"Hispanic or Latino and Race",Mexican,"107,389","(+/-12,452)","127,426","(+/-6,974)","456,859","(+/-23,267)","192,789","(+/-15,429)","129,589","(+/-11,559)","177,799","(+/-10,887)","463,950","(+/-12,996)","136,610","(+/-14,826)","228,348","(+/-15,863)"
People,"Hispanic or Latino and Race","Puerto Rican","4,191","(+/-1,890)","2,930","(+/-1,327)","5,233","(+/-1,901)","9,668","(+/-2,849)","7,808","(+/-2,463)","8,656","(+/-2,780)","4,118","(+/-1,680)","3,825","(+/-1,374)","7,393","(+/-2,161)"
People,"Hispanic or Latino and Race",Cuban,"2,998","(+/-1,827)","1,285","(+/-1,150)","3,692","(+/-1,338)","3,405","(+/-2,134)","1,395",(+/-995),"2,489","(+/-1,587)","1,950","(+/-1,269)","4,546","(+/-2,354)","2,298","(+/-1,094)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","21,198","(+/-4,591)","19,319","(+/-4,622)","44,027","(+/-7,547)","32,204","(+/-5,736)","29,446","(+/-6,651)","25,182","(+/-5,230)","19,245","(+/-3,112)","23,879","(+/-4,250)","33,669","(+/-6,621)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","668,480","(+/-18,004)","682,338","(+/-6,537)","304,580","(+/-16,484)","576,315","(+/-18,298)","689,506","(+/-17,421)","599,807","(+/-11,907)","322,569","(+/-12,719)","631,343","(+/-17,312)","609,598","(+/-15,376)"
People,"Place of Birth","Total population","804,256","(+/-22,081)","833,298","(+/-6,866)","814,391","(+/-24,226)","814,381","(+/-17,786)","857,744","(+/-16,572)","813,933","(+/-16,423)","811,832","(+/-17,054)","800,203","(+/-19,470)","881,306","(+/-12,542)"
People,"Place of Birth",Native,"700,868","(+/-20,504)","784,068","(+/-7,692)","614,295","(+/-22,156)","703,050","(+/-17,640)","773,529","(+/-14,626)","741,263","(+/-15,652)","644,263","(+/-17,863)","703,075","(+/-18,498)","786,006","(+/-14,209)"
People,"Place of Birth","Born in United States","688,402","(+/-19,958)","777,003","(+/-7,715)","602,645","(+/-22,065)","689,781","(+/-17,337)","763,108","(+/-14,853)","724,735","(+/-15,239)","632,638","(+/-17,463)","691,393","(+/-17,660)","770,484","(+/-13,876)"
People,"Place of Birth","State of residence","255,109","(+/-13,758)","392,071","(+/-9,826)","382,523","(+/-16,986)","315,455","(+/-14,711)","310,642","(+/-12,160)","295,602","(+/-12,514)","387,510","(+/-13,626)","287,679","(+/-13,326)","280,763","(+/-12,910)"
People,"Place of Birth","Different state","433,293","(+/-14,583)","384,932","(+/-9,543)","220,122","(+/-11,968)","374,326","(+/-12,265)","452,466","(+/-11,696)","429,133","(+/-11,635)","245,128","(+/-10,713)","403,714","(+/-13,004)","489,721","(+/-12,651)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,466","(+/-2,937)","7,065","(+/-1,563)","11,650","(+/-2,766)","13,269","(+/-2,860)","10,421","(+/-2,490)","16,528","(+/-2,990)","11,625","(+/-2,577)","11,682","(+/-2,997)","15,522","(+/-3,085)"
People,"Place of Birth","Foreign born","103,388","(+/-10,362)","49,230","(+/-5,154)","200,096","(+/-11,201)","111,331","(+/-9,499)","84,215","(+/-7,495)","72,670","(+/-4,816)","167,569","(+/-9,503)","97,128","(+/-9,057)","95,300","(+/-8,587)"
People,Ancestry,"Total population","804,256","(+/-22,081)","833,298","(+/-6,866)","814,391","(+/-24,226)","814,381","(+/-17,786)","857,744","(+/-16,572)","813,933","(+/-16,423)","811,832","(+/-17,054)","800,203","(+/-19,470)","881,306","(+/-12,542)"
People,Ancestry,American,"27,707","(+/-4,168)","28,150","(+/-5,062)","13,704","(+/-2,947)","53,024","(+/-8,420)","36,123","(+/-4,998)","32,532","(+/-4,454)","26,240","(+/-5,443)","32,191","(+/-4,798)","59,543","(+/-9,410)"
People,Ancestry,Arab,"5,970","(+/-1,974)","1,676",(+/-892),"3,270","(+/-1,571)","3,892","(+/-1,636)","6,492","(+/-2,498)","5,305","(+/-2,023)","4,069","(+/-2,359)","8,624","(+/-3,258)","3,271","(+/-1,316)"
People,Ancestry,Czech,"5,706","(+/-2,325)","2,896","(+/-1,246)","1,637",(+/-808),"3,193",(+/-981),"2,532",(+/-905),"4,601","(+/-1,511)","1,287",(+/-545),"2,862",(+/-743),"2,576",(+/-949)
People,Ancestry,Danish,"2,774",(+/-821),"4,488","(+/-2,172)",901,(+/-495),"4,757","(+/-1,451)","5,974","(+/-2,140)","3,897","(+/-1,335)","1,553",(+/-975),"5,284","(+/-1,661)","4,352","(+/-2,165)"
People,Ancestry,Dutch,"9,399","(+/-2,241)","7,109","(+/-1,482)","3,324","(+/-1,557)","7,651","(+/-1,855)","12,455","(+/-2,889)","8,467","(+/-2,015)","3,273",(+/-974),"8,715","(+/-2,335)","7,680","(+/-1,780)"
People,Ancestry,English,"87,556","(+/-6,610)","99,881","(+/-6,973)","26,451","(+/-4,490)","82,921","(+/-6,844)","114,627","(+/-9,530)","108,284","(+/-7,116)","37,663","(+/-4,722)","96,489","(+/-8,762)","83,295","(+/-5,786)"
People,Ancestry,"French (except Basque)","19,945","(+/-3,584)","13,433","(+/-2,218)","4,862","(+/-1,610)","13,044","(+/-2,541)","19,020","(+/-4,084)","20,157","(+/-3,274)","8,175","(+/-1,934)","16,094","(+/-2,703)","18,063","(+/-3,626)"
People,Ancestry,"French Canadian","3,897","(+/-1,513)","2,635","(+/-1,045)",801,(+/-488),"2,628",(+/-868),"3,379","(+/-1,363)","4,728","(+/-1,488)","2,276","(+/-1,012)","2,876","(+/-1,051)","4,847","(+/-1,640)"
People,Ancestry,German,"126,816","(+/-7,934)","108,705","(+/-7,980)","40,511","(+/-5,511)","93,581","(+/-7,101)","123,676","(+/-8,380)","118,743","(+/-7,091)","54,370","(+/-6,094)","117,235","(+/-6,896)","100,966","(+/-7,351)"
People,Ancestry,Greek,"4,820","(+/-2,165)","2,237","(+/-1,039)",748,(+/-551),"1,626",(+/-625),"4,531","(+/-2,748)","2,029",(+/-926),"1,720","(+/-1,194)","4,062","(+/-1,963)","3,594","(+/-1,794)"
People,Ancestry,Hungarian,"4,385","(+/-1,196)","1,846",(+/-705),"1,405",(+/-683),"2,427",(+/-940),"2,020",(+/-849),"3,441","(+/-1,147)",990,(+/-600),"3,301","(+/-1,053)","3,781","(+/-1,564)"
People,Ancestry,Irish,"90,557","(+/-7,036)","79,404","(+/-6,487)","28,844","(+/-4,938)","74,406","(+/-7,223)","75,802","(+/-6,428)","78,315","(+/-6,427)","40,349","(+/-4,318)","77,752","(+/-8,207)","73,146","(+/-5,549)"
People,Ancestry,Italian,"52,654","(+/-5,109)","26,648","(+/-3,192)","13,775","(+/-2,738)","36,864","(+/-4,308)","48,653","(+/-6,372)","39,773","(+/-4,732)","19,180","(+/-3,233)","44,186","(+/-5,695)","31,181","(+/-4,455)"
People,Ancestry,Lithuanian,"1,577",(+/-803),784,(+/-424),193,(+/-190),897,(+/-567),"1,127",(+/-509),"1,925",(+/-829),336,(+/-212),"1,317",(+/-834),802,(+/-669)
People,Ancestry,Norwegian,"19,326","(+/-3,469)","12,550","(+/-2,159)","4,557","(+/-1,642)","12,805","(+/-2,671)","20,645","(+/-3,509)","13,323","(+/-2,714)","5,878","(+/-1,681)","16,627","(+/-2,675)","16,708","(+/-3,911)"
People,Ancestry,Polish,"27,677","(+/-3,246)","14,183","(+/-2,332)","6,181","(+/-1,925)","17,620","(+/-2,643)","21,504","(+/-3,884)","21,651","(+/-3,133)","8,132","(+/-2,507)","23,717","(+/-3,486)","14,719","(+/-3,027)"
People,Ancestry,Portuguese,"2,428",(+/-916),"2,230",(+/-885),836,(+/-475),"1,467",(+/-728),"3,409","(+/-1,505)","2,398",(+/-952),"1,265",(+/-648),"1,730","(+/-1,117)","2,689","(+/-1,072)"
People,Ancestry,Russian,"8,746","(+/-2,041)","3,646","(+/-1,416)","1,350",(+/-738),"3,572","(+/-1,227)","5,309","(+/-1,467)","5,562","(+/-1,349)","2,892",(+/-819),"6,484","(+/-2,266)","3,747","(+/-1,061)"
People,Ancestry,Scotch-Irish,"7,668","(+/-2,022)","6,593","(+/-1,812)","2,088",(+/-951),"6,200","(+/-2,531)","7,051","(+/-2,204)","7,318","(+/-1,520)","2,970",(+/-963),"4,183","(+/-1,243)","5,709","(+/-1,321)"
People,Ancestry,Scottish,"18,348","(+/-3,253)","20,399","(+/-2,929)","4,393","(+/-1,550)","11,201","(+/-1,895)","16,632","(+/-3,962)","18,033","(+/-3,038)","8,357","(+/-1,645)","13,609","(+/-2,723)","14,239","(+/-2,662)"
People,Ancestry,Slovak,"2,001","(+/-1,264)",964,(+/-428),162,(+/-163),875,(+/-623),"1,791",(+/-836),996,(+/-491),430,(+/-394),"1,406",(+/-695),940,(+/-587)
People,Ancestry,"Subsaharan African","8,972","(+/-5,373)","3,100","(+/-1,218)","24,436","(+/-7,543)","7,354","(+/-3,041)","6,127","(+/-3,039)","5,382","(+/-1,973)","4,408","(+/-2,031)","6,904","(+/-2,856)","6,479","(+/-3,539)"
People,Ancestry,Swedish,"15,014","(+/-3,498)","9,356","(+/-1,917)","4,282","(+/-1,541)","9,990","(+/-2,365)","13,143","(+/-2,938)","14,533","(+/-2,693)","3,794","(+/-1,319)","14,096","(+/-2,931)","11,048","(+/-1,920)"
People,Ancestry,Swiss,"3,250","(+/-1,204)","2,155",(+/-941),409,(+/-364),"1,172",(+/-505),"2,610","(+/-1,220)","2,453",(+/-808),914,(+/-433),"1,545",(+/-749),"1,591",(+/-767)
People,Ancestry,Ukrainian,"4,751","(+/-1,708)","1,512",(+/-675),807,(+/-502),"2,082",(+/-879),"1,332",(+/-645),"2,307","(+/-1,008)","2,321","(+/-2,072)","2,911","(+/-1,079)",858,(+/-398)
People,Ancestry,Welsh,"5,314","(+/-1,539)","4,828","(+/-1,847)",912,(+/-449),"6,316","(+/-2,006)","3,962","(+/-1,006)","5,764","(+/-1,486)","2,509","(+/-1,344)","4,277","(+/-1,345)","4,498","(+/-1,289)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,783","(+/-1,958)",643,(+/-667),"2,120","(+/-1,283)","1,075",(+/-568),"2,360","(+/-1,672)","1,787",(+/-980),"1,133",(+/-567),"2,844","(+/-1,967)","2,201",(+/-796)
People,"Veteran Status","Civilian population 18 years and over","662,351","(+/-16,079)","665,469","(+/-5,768)","602,288","(+/-16,673)","656,356","(+/-12,333)","640,833","(+/-12,764)","657,596","(+/-12,256)","617,319","(+/-13,235)","636,911","(+/-15,696)","686,071","(+/-12,085)"
People,"Veteran Status","Civilian veterans","35,556","(+/-2,792)","53,341","(+/-3,064)","23,414","(+/-2,959)","36,784","(+/-3,501)","43,173","(+/-3,720)","79,523","(+/-4,366)","36,349","(+/-3,358)","54,845","(+/-4,397)","71,502","(+/-4,777)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","799,769","(+/-22,154)","819,138","(+/-6,918)","804,567","(+/-24,090)","809,613","(+/-17,699)","856,289","(+/-16,616)","790,714","(+/-16,289)","788,170","(+/-17,271)","794,200","(+/-19,404)","859,047","(+/-12,709)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","85,828","(+/-5,638)","138,514","(+/-7,625)","102,611","(+/-8,886)","97,668","(+/-5,888)","98,474","(+/-7,144)","136,134","(+/-6,675)","109,065","(+/-6,517)","121,266","(+/-7,303)","135,788","(+/-6,195)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","141,301","(+/-11,962)","167,281","(+/-4,308)","210,536","(+/-12,151)","156,605","(+/-10,076)","216,477","(+/-9,173)","145,444","(+/-6,512)","189,236","(+/-7,548)","162,514","(+/-9,648)","187,921","(+/-8,804)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,834","(+/-1,699)","9,256","(+/-2,239)","13,161","(+/-3,660)","4,453","(+/-1,193)","12,023","(+/-2,283)","9,098","(+/-2,311)","11,616","(+/-2,558)","9,357","(+/-2,340)","10,028","(+/-1,942)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","493,336","(+/-15,017)","454,685","(+/-6,047)","523,582","(+/-16,649)","523,889","(+/-11,598)","500,002","(+/-11,766)","425,702","(+/-11,586)","483,274","(+/-12,000)","440,255","(+/-16,269)","481,215","(+/-10,579)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","37,945","(+/-3,783)","68,438","(+/-5,774)","63,165","(+/-6,542)","53,859","(+/-4,941)","45,069","(+/-4,446)","57,030","(+/-4,647)","55,069","(+/-4,916)","51,904","(+/-5,369)","57,068","(+/-4,912)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","165,132","(+/-7,074)","197,172","(+/-3,076)","70,449","(+/-4,818)","129,119","(+/-5,842)","139,810","(+/-6,351)","219,568","(+/-5,217)","115,660","(+/-4,554)","191,431","(+/-7,033)","189,911","(+/-6,385)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","42,049","(+/-3,132)","60,820","(+/-2,830)","26,285","(+/-3,163)","39,356","(+/-3,023)","41,382","(+/-3,563)","70,006","(+/-3,580)","42,380","(+/-3,144)","60,005","(+/-4,356)","68,692","(+/-3,544)"
People,"Residence 1 Year Ago","Population 1 year and over","797,496","(+/-21,989)","825,571","(+/-6,804)","806,212","(+/-23,903)","806,480","(+/-17,854)","849,655","(+/-16,284)","808,086","(+/-16,510)","804,163","(+/-16,562)","793,769","(+/-19,526)","871,032","(+/-12,744)"
People,"Residence 1 Year Ago","Same house","675,183","(+/-19,290)","713,531","(+/-11,609)","696,779","(+/-24,141)","670,519","(+/-18,928)","740,253","(+/-17,018)","685,546","(+/-17,529)","690,163","(+/-16,661)","702,061","(+/-19,920)","761,682","(+/-16,977)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","122,313","(+/-12,062)","112,040","(+/-10,996)","109,433","(+/-11,508)","135,961","(+/-10,283)","109,402","(+/-10,738)","122,540","(+/-9,929)","114,000","(+/-8,641)","91,708","(+/-10,368)","109,350","(+/-9,900)"
People,"Residence 1 Year Ago","Different house in the U.S.","113,034","(+/-11,094)","109,068","(+/-10,960)","100,775","(+/-11,211)","128,151","(+/-10,441)","103,212","(+/-10,786)","118,432","(+/-9,893)","103,570","(+/-8,711)","85,479","(+/-9,867)","106,386","(+/-9,626)"
People,"Residence 1 Year Ago","Same county","82,012","(+/-9,687)","45,959","(+/-7,911)","72,686","(+/-9,007)","90,033","(+/-9,338)","56,021","(+/-7,983)","68,834","(+/-7,509)","61,158","(+/-7,303)","61,057","(+/-8,604)","58,498","(+/-7,476)"
People,"Residence 1 Year Ago","Different county","31,022","(+/-4,677)","63,109","(+/-7,290)","28,089","(+/-5,273)","38,118","(+/-5,549)","47,191","(+/-7,796)","49,598","(+/-6,749)","42,412","(+/-4,475)","24,422","(+/-4,206)","47,888","(+/-7,405)"
People,"Residence 1 Year Ago","Same state","5,232","(+/-1,866)","35,359","(+/-5,281)","5,847","(+/-2,324)","10,133","(+/-2,258)","15,219","(+/-4,508)","13,595","(+/-2,695)","18,805","(+/-3,600)","3,502","(+/-1,657)","7,954","(+/-2,018)"
People,"Residence 1 Year Ago","Different state","25,790","(+/-4,047)","27,750","(+/-4,202)","22,242","(+/-4,254)","27,985","(+/-5,033)","31,972","(+/-6,778)","36,003","(+/-5,623)","23,607","(+/-3,718)","20,920","(+/-3,964)","39,934","(+/-7,055)"
People,"Residence 1 Year Ago",Abroad,"9,279","(+/-5,233)","2,972","(+/-1,045)","8,658","(+/-2,865)","7,810","(+/-2,287)","6,190","(+/-1,748)","4,108","(+/-1,337)","10,430","(+/-3,652)","6,229","(+/-3,125)","2,964","(+/-1,213)"
Workers,"Employment Status","Population 16 years and over","681,813","(+/-16,843)","688,117","(+/-5,940)","631,021","(+/-17,632)","675,515","(+/-13,292)","669,175","(+/-13,567)","688,300","(+/-12,807)","642,795","(+/-13,242)","657,704","(+/-16,570)","714,669","(+/-12,558)"
Workers,"Employment Status","In labor force","446,087","(+/-14,756)","350,995","(+/-7,538)","425,235","(+/-14,159)","460,927","(+/-11,640)","441,857","(+/-12,065)","374,736","(+/-11,229)","391,100","(+/-11,362)","386,683","(+/-14,436)","397,179","(+/-11,399)"
Workers,"Employment Status","Civilian labor force","445,755","(+/-14,801)","350,655","(+/-7,520)","424,555","(+/-14,251)","459,726","(+/-11,636)","441,585","(+/-12,084)","364,121","(+/-11,213)","385,977","(+/-11,444)","386,239","(+/-14,400)","390,115","(+/-11,171)"
Workers,"Employment Status",Employed,"429,770","(+/-14,550)","328,673","(+/-8,337)","402,611","(+/-13,557)","441,961","(+/-10,850)","429,015","(+/-11,897)","348,188","(+/-10,816)","364,803","(+/-11,475)","373,757","(+/-13,421)","374,765","(+/-11,087)"
Workers,"Employment Status",Unemployed,"15,985","(+/-2,629)","21,982","(+/-2,443)","21,944","(+/-3,508)","17,765","(+/-2,644)","12,570","(+/-2,556)","15,933","(+/-2,619)","21,174","(+/-3,183)","12,482","(+/-2,526)","15,350","(+/-2,912)"
Workers,"Employment Status","Armed Forces",332,(+/-366),340,(+/-241),680,(+/-590),"1,201","(+/-1,073)",272,(+/-275),"10,615","(+/-2,432)","5,123","(+/-1,674)",444,(+/-317),"7,064","(+/-1,727)"
Workers,"Employment Status","Not in labor force","235,726","(+/-9,317)","337,122","(+/-7,444)","205,786","(+/-9,087)","214,588","(+/-9,146)","227,318","(+/-7,647)","313,564","(+/-7,776)","251,695","(+/-8,848)","271,021","(+/-9,398)","317,490","(+/-9,902)"
Workers,"Employment Status","Civilian labor force","445,755","(+/-14,801)","350,655","(+/-7,520)","424,555","(+/-14,251)","459,726","(+/-11,636)","441,585","(+/-12,084)","364,121","(+/-11,213)","385,977","(+/-11,444)","386,239","(+/-14,400)","390,115","(+/-11,171)"
Workers,"Employment Status","Unemployment Rate",3.6,(+/-0.6),6.3,(+/-0.7),5.2,(+/-0.8),3.9,(+/-0.5),2.8,(+/-0.6),4.4,(+/-0.7),5.5,(+/-0.8),3.2,(+/-0.6),3.9,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","424,740","(+/-14,728)","323,244","(+/-8,213)","396,602","(+/-13,596)","436,204","(+/-10,760)","421,652","(+/-11,630)","351,765","(+/-10,846)","363,545","(+/-11,324)","368,543","(+/-13,365)","376,322","(+/-11,366)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","270,451","(+/-11,510)","215,902","(+/-8,260)","253,852","(+/-11,357)","282,749","(+/-8,534)","274,253","(+/-10,782)","249,649","(+/-9,127)","258,998","(+/-10,490)","245,621","(+/-11,219)","270,254","(+/-11,201)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,053","(+/-4,900)","34,341","(+/-4,234)","64,620","(+/-6,033)","40,985","(+/-4,966)","36,212","(+/-3,934)","35,660","(+/-4,196)","43,102","(+/-5,516)","36,198","(+/-5,689)","35,304","(+/-3,909)"
