Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","33,694","(+/-3,243)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","18,092","(+/-2,211)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","20,497","(+/-2,153)"
Housing,Value,"Owner-occupied units","130,934","(+/-4,679)"
Housing,Value,"Less than $50,000","1,753",(+/-759)
Housing,Value,"$50,000 to $99,999",831,(+/-503)
Housing,Value,"$100,000 to $149,999",718,(+/-650)
Housing,Value,"$150,000 to $199,999",512,(+/-311)
Housing,Value,"$200,000 to $299,999","5,864","(+/-1,361)"
Housing,Value,"$300,000 to $499,999","28,275","(+/-2,643)"
Housing,Value,"$500,000 to $999,999","53,054","(+/-3,656)"
Housing,Value,"$1,000,000 or more","39,927","(+/-3,225)"
Housing,Value,"Median (dollars)","715,500","(+/-20,516)"
Housing,"Mortgage Status","Owner-occupied units","130,934","(+/-4,679)"
Housing,"Mortgage Status","Housing units with a mortgage","101,216","(+/-4,747)"
Housing,"Mortgage Status","Housing units without a mortgage","29,718","(+/-2,958)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","101,216","(+/-4,747)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",488,(+/-309)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","2,357",(+/-874)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","5,633","(+/-1,340)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","13,047","(+/-2,076)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,763","(+/-2,095)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","15,302","(+/-2,218)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","50,626","(+/-3,534)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","3,001",(+/-102)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","29,718","(+/-2,958)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","1,737",(+/-628)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","3,411","(+/-1,094)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","5,039","(+/-1,491)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","5,205","(+/-1,323)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","2,584",(+/-909)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","11,742","(+/-1,418)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",772,(+/-91)
Housing,"Gross Rent","Occupied units paying rent","200,912","(+/-5,314)"
Housing,"Gross Rent","Less than $500","12,720","(+/-2,483)"
Housing,"Gross Rent","$500 to $999","11,934","(+/-2,217)"
Housing,"Gross Rent","$1,000 to $1,499","39,580","(+/-5,562)"
Housing,"Gross Rent","$1,500 to $1,999","44,843","(+/-4,383)"
Housing,"Gross Rent","$2,000 to $2,499","35,633","(+/-3,818)"
Housing,"Gross Rent","$2,500 to $2,999","22,483","(+/-2,833)"
Housing,"Gross Rent","$3,000 or more","33,719","(+/-3,960)"
Housing,"Gross Rent","Median (dollars)","1,904",(+/-48)
Housing,"Gross Rent","No rent paid","2,827",(+/-951)
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","334,673","(+/-3,520)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","26,386","(+/-3,383)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","9,776","(+/-1,928)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","15,930","(+/-3,095)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","10,386","(+/-1,997)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","19,521","(+/-2,968)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","41,223","(+/-5,540)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","34,061","(+/-3,569)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","50,024","(+/-4,392)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","40,721","(+/-4,858)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","86,645","(+/-4,031)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","108,210","(+/-6,847)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","160,752","(+/-5,987)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","669,458",(+/-876)
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","651,333","(+/-3,258)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","493,219","(+/-13,121)"
Socioeconomic,"Health Insurance Coverage","With public coverage","225,265","(+/-12,998)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","18,125","(+/-3,290)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","134,196","(+/-1,647)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","1,702","(+/-1,174)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",11.1,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.1,(+/-4.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",11.2,(+/-9.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.6,(+/-2.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.1,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",7.2,(+/-10.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",23.9,(+/-5.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",29.2,(+/-7.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",30.5,(+/-25.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.0,(+/-1.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",17.1,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",16.9,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",13.2,(+/-5.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",18.6,(+/-4.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",13.3,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",17.7,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",12.2,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",16.8,(+/-1.7)
Education,"School Enrollment","Population 3 years and over enrolled in school","160,220","(+/-4,330)"
Education,"School Enrollment","Nursery school, preschool","13,708","(+/-1,945)"
Education,"School Enrollment",Kindergarten,"9,195","(+/-2,367)"
Education,"School Enrollment","Elementary school (grades 1-8)","57,124","(+/-2,944)"
Education,"School Enrollment","High school (grades 9-12)","21,673","(+/-2,143)"
Education,"School Enrollment","College or graduate school","58,520","(+/-3,435)"
Education,"Educational Attainment","Population 25 years and over","482,919",(+/-762)
Education,"Educational Attainment","Less than 9th grade","15,862","(+/-2,458)"
Education,"Educational Attainment","9th to 12th grade, no diploma","19,161","(+/-3,196)"
Education,"Educational Attainment","High school graduate (includes equivalency)","63,274","(+/-5,483)"
Education,"Educational Attainment","Some college, no degree","53,895","(+/-5,577)"
Education,"Educational Attainment","Associate's degree","12,270","(+/-2,190)"
Education,"Educational Attainment","Bachelor's degree","129,951","(+/-6,402)"
Education,"Educational Attainment","Graduate or professional degree","188,506","(+/-5,839)"
Education,"Educational Attainment","Percent high school graduate or higher",92.7,(+/-0.8)
Education,"Educational Attainment","Percent bachelor's degree or higher",65.9,(+/-1.4)


"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","527,355",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",15,J
Business,"Paid employees for pay period including March 12",Utilities,"2,008",H
Business,"Paid employees for pay period including March 12",Construction,"10,774",G
Business,"Paid employees for pay period including March 12",Manufacturing,"1,014",G
Business,"Paid employees for pay period including March 12","Wholesale trade","3,397",G
Business,"Paid employees for pay period including March 12","Retail trade","21,837",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","2,245",G
Business,"Paid employees for pay period including March 12",Information,"26,867",G
Business,"Paid employees for pay period including March 12","Finance and insurance","21,199",H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","11,094",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","113,870",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","9,788",J
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","31,653",G
Business,"Paid employees for pay period including March 12","Educational services","54,596",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","69,826",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","8,480",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","61,744",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","76,934",G
Business,"Paid employees for pay period including March 12","Industries not classified",13,J
Business,"Annual payroll ($1,000)","Total for all sectors","52,216,924",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",645,G
Business,"Annual payroll ($1,000)",Utilities,"298,503",H
Business,"Annual payroll ($1,000)",Construction,"779,352",G
Business,"Annual payroll ($1,000)",Manufacturing,"55,910",G
Business,"Annual payroll ($1,000)","Wholesale trade","367,737",G
Business,"Annual payroll ($1,000)","Retail trade","805,865",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","138,852",H
Business,"Annual payroll ($1,000)",Information,"3,842,360",G
Business,"Annual payroll ($1,000)","Finance and insurance","4,099,323",H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","1,103,338",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","17,939,828",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","1,386,284",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,839,026",G
Business,"Annual payroll ($1,000)","Educational services","3,563,075",G
Business,"Annual payroll ($1,000)","Health care and social assistance","4,719,288",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","784,397",G
Business,"Annual payroll ($1,000)","Accommodation and food services","2,332,695",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","8,159,235",G
Business,"Annual payroll ($1,000)","Industries not classified","1,183",G
Business,"Total Establishments","Total for all sectors","23,874",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",3,X
Business,"Total Establishments",Utilities,78,X
Business,"Total Establishments",Construction,518,X
Business,"Total Establishments",Manufacturing,106,X
Business,"Total Establishments","Wholesale trade",387,X
Business,"Total Establishments","Retail trade","1,649",X
Business,"Total Establishments","Transportation and warehousing",173,X
Business,"Total Establishments",Information,848,X
Business,"Total Establishments","Finance and insurance","1,139",X
Business,"Total Establishments","Real estate and rental and leasing","1,496",X
Business,"Total Establishments","Professional, scientific, and technical services","5,703",X
Business,"Total Establishments","Management of companies and enterprises",204,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,063",X
Business,"Total Establishments","Educational services",672,X
Business,"Total Establishments","Health care and social assistance","2,331",X
Business,"Total Establishments","Arts, entertainment, and recreation",454,X
Business,"Total Establishments","Accommodation and food services","2,762",X
Business,"Total Establishments","Other services (except public administration)","4,268",X
Business,"Total Establishments","Industries not classified",19,X


"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
